Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2011-04-12;4.95286;5.26892;4.94764;5.18241;1063818.4933175
2011-04-13;5.20266;5.30466;5.16197;5.17718;352914.77424605
2011-04-14;5.16197;5.16197;5.05468;5.08538;119121.09971097
2011-04-15;5.08032;5.10059;4.86086;5.04963;133308.53585481
2011-04-18;5.0445;5.17718;4.95286;5.10059;174955.37742751
2011-04-19;5.04963;5.2231;5.04963;5.19762;69432.870855707
2011-04-20;5.15172;5.20266;5.12615;5.15172;20505.997604142
2011-04-21;5.15172;5.2231;5.10588;5.21292;193194.55948046
2011-04-26;5.22822;5.48317;5.22822;5.43735;161007.15875431
2011-04-27;5.43735;5.80958;5.40673;5.69246;165315.37339398
2011-04-28;5.66689;5.78913;5.66167;5.73315;48428.886882379
2011-04-29;5.66167;5.74341;5.66167;5.69749;17551.431824835
2011-05-02;5.66167;5.66167;5.57003;5.64133;13470.93381589
2011-05-04;5.59046;5.71783;5.35578;5.68724;78812.955906709
2011-05-05;5.66167;5.73837;5.50873;5.71783;36212.6947034
2011-05-06;5.71281;5.77897;5.51891;5.77897;68027.468215647
2011-05-09;5.69749;5.78418;5.55968;5.73837;19391.566214438
2011-05-10;5.70758;5.76367;5.58011;5.73837;30335.765496604
2011-05-11;5.58516;5.76367;5.58516;5.73315;32029.839219033
2011-05-12;5.64646;5.75872;5.64646;5.7534;34473.767705224
2011-05-13;5.68724;5.75872;5.68724;5.7281;34311.605862141
2011-05-16;5.71281;5.75872;5.63628;5.68724;41871.10795143
2011-05-17;5.61594;5.71281;5.58516;5.6108;22989.028946113
2011-05-18;5.6108;5.76367;5.6108;5.76367;71559.376159692
2011-05-19;5.75872;6.01374;5.63628;5.93731;65373.074358645
2011-05-20;5.87566;5.96748;5.86583;5.95279;22560.047616537
2011-05-23;5.87088;5.87088;5.75872;5.86583;15347.870893286
2011-05-24;5.77897;5.87088;5.77897;5.87088;6693.488842182
2011-05-25;5.86583;5.86583;5.67194;5.81487;35426.037251844
2011-05-26;5.69246;5.86088;5.67698;5.80454;2716.4983926519
2011-05-27;5.86088;5.86583;5.61594;5.73837;6328.9122162419
2011-05-30;5.66167;5.96261;5.6108;5.83002;34056.287215584
2011-05-31;5.81487;5.82496;5.61594;5.66167;5660.7134160172
2011-06-01;5.63628;5.71281;5.5649;5.71281;3786.0765066088
2011-06-02;5.70758;5.76367;5.6108;5.73837;11763.059085539
2011-06-03;5.61594;5.76367;5.61594;5.76367;12129.935879466
2011-06-06;5.61594;5.73837;5.6108;5.66167;5244.3830103694
2011-06-07;5.66167;5.71281;5.15172;5.60568;13349.024912578
2011-06-08;5.60568;5.70758;5.42204;5.68724;10273.700313954
2011-06-09;5.55968;5.65671;5.55968;5.6108;5077.6208313116
2011-06-10;5.6108;5.6108;5.55968;5.6108;5507.7522448814
2011-06-13;5.55968;5.6108;5.55968;5.60568;6893.6034570514
2011-06-14;5.42204;5.63628;5.40673;5.55473;49547.918608057
2011-06-15;5.40673;5.55473;5.25361;5.50873;9696.358149216
2011-06-16;5.2844;5.55473;5.25361;5.40673;9024.7090970107
2011-06-17;5.22822;5.371;5.22822;5.26892;6386.416415917
2011-06-20;5.22822;5.22822;5.04963;5.19762;33661.808405812
2011-06-21;5.10059;5.10059;5.04963;5.10059;3191.4830819682
2011-06-22;5.10059;5.14658;5.05468;5.10059;59812.418250062
2011-06-24;5.02937;5.04963;5.02937;5.03441;2611.8407492432
2011-06-27;5.03441;5.10059;4.97311;5.09554;3810.2282704724
2011-06-28;4.97311;5.02415;4.94764;4.94764;6335.8127202029
2011-06-29;4.94764;5.09554;4.85079;5.09554;12508.313513329
2011-06-30;5.0751;5.0751;4.8813;5.07015;2494.532181906
2011-07-01;4.85591;5.09041;4.85591;5.08538;9396.1862269119
2011-07-04;5.08538;5.09041;5.08538;5.08538;2569.2876414836
2011-07-05;4.90181;5.0445;4.90181;4.99859;6274.8582685473
2011-07-06;4.99363;4.99859;4.99363;4.99859;2939.6146873913
2011-07-07;4.99859;4.99859;4.94764;4.99363;7033.9137042587
2011-07-08;4.85591;5.01902;4.85591;4.96285;7428.3925140299
2011-07-11;4.8813;4.99363;4.84564;4.98842;4594.5855540408
2011-07-12;4.84564;4.9579;4.77948;4.95286;3316.84223726
2011-07-13;4.84564;4.98338;4.80478;4.96807;4533.6311023852
2011-07-14;4.84564;4.9579;4.83034;4.8813;4104.6497728089
2011-07-15;4.69774;4.84564;4.69774;4.84043;15637.692059648
2011-07-18;4.83547;4.84043;4.3662;4.59054;41311.017046594
2011-07-19;4.43768;4.59054;4.41211;4.41211;4679.6917695599
2011-07-20;4.41211;4.43768;4.33551;4.43254;1139.7332375606
2011-07-21;4.36107;4.43254;4.36107;4.43254;310.52267824556
2011-07-22;4.36107;4.44794;4.36107;4.44794;1406.552724053
2011-07-25;4.3662;4.3662;4.33551;4.36107;4616.4371499173
2011-07-26;4.33551;4.33551;4.28969;4.33551;2184.0095036604
2011-07-27;4.38663;4.38663;4.23361;4.36107;811.95929941246
2011-07-28;4.23361;4.36107;4.13152;4.36107;438.18200152429
2011-07-29;4.36107;4.36107;4.14178;4.18257;4931.5601641369
2011-08-01;4.13152;4.157;3.83572;3.94284;5036.2178075456
2011-08-02;3.96319;4.07553;3.84598;4.07553;7518.099065523
2011-08-03;4.17744;4.17744;3.76946;4.02449;40255.23994056
2011-08-04;3.83068;3.83068;3.7286;3.82564;9522.6954661971
2011-08-05;3.60617;3.82564;3.51939;3.82564;9966.6278876889
2011-08-08;3.57052;3.86128;3.51939;3.69304;52887.762525186
2011-08-09;3.4174;3.42254;3.06039;3.11143;23143.140201242
2011-08-10;3.11143;3.31532;2.90744;3.11143;32884.351626205
2011-08-11;3.06039;3.36644;2.96866;3.21342;14606.066717476
2011-08-12;3.54495;3.54495;3.36644;3.46845;4940.7608360849
2011-08-16;3.54495;3.81529;3.54495;3.81529;3897.6346539785
2011-08-17;3.82564;3.82564;3.78469;3.78469;494.53611720589
2011-08-18;3.62147;3.62147;3.36644;3.59591;3623.914663525
2011-08-19;3.44296;3.56026;3.44296;3.56026;3921.7864178421
2011-08-22;3.46845;3.46845;3.46845;3.46845;57.504199675103
