Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2003-01-15;8.98797;8.98797;8.98797;8.98797;111.10248690652
2003-01-16;8.53889;8.53889;8.53889;8.53889;56.09057591397
2003-01-17;8.53889;8.53889;8.53889;8.53889;56.09057591397
2003-02-24;6.65137;6.65137;6.65137;6.65137;2853.0687171625
2003-02-25;8.44905;8.44905;8.44905;8.44905;38.83193717121
2003-02-26;5.21321;5.21321;5.21321;5.21321;6050.2315442588
2003-03-04;5.21321;5.21321;4.49416;4.49416;13595.492669609
2003-03-05;4.49416;4.49416;4.49416;4.49416;556.59109945401
2003-03-10;5.12337;5.12337;4.49416;4.49416;13907.2268319
2003-03-12;4.49416;4.49416;4.49416;4.49416;1001.0010470801
2003-03-17;5.03345;5.03345;4.49416;4.49416;12238.53219846
2003-03-21;4.49416;4.49416;4.49416;4.49416;3893.9803663352
2003-03-24;4.85368;4.85368;4.49416;4.49416;10803.907852968
2003-03-25;4.49416;4.49416;4.49416;4.49416;599.73769631091
2003-03-26;4.71889;4.71889;4.71889;4.71889;586.79371725384
2003-03-28;4.71889;4.71889;4.71889;4.71889;1869.3263088252
2003-03-31;4.49416;4.49416;4.49416;4.49416;739.96413609583
2003-04-08;4.94361;6.29185;4.94361;6.29185;1855.3036648467
2003-04-09;7.72992;8.53889;5.39297;5.39297;2191.8471203305
2003-04-10;8.08945;8.08945;5.39297;5.39297;1446.4896596276
2003-04-17;5.12337;5.12337;5.12337;5.12337;623.4683245822
2003-04-23;6.29185;6.29185;6.29185;6.29185;111.10248690652
2003-04-24;5.8424;6.20192;5.8424;6.20192;832.72931933817
2003-04-25;4.53913;4.53913;4.53913;4.53913;214.65431936308
2003-05-05;4.49416;4.49416;4.49416;4.49416;102.47316753514
2003-05-12;4.49416;4.49416;4.49416;4.49416;8.62931937138
2003-05-14;4.49416;4.49416;4.49416;4.49416;248.09293192717
2003-05-15;5.12337;5.12337;5.12337;5.12337;1.0786649214225
2003-05-23;4.94361;4.94361;4.94361;4.94361;324.67814134817
2003-05-26;5.39297;5.39297;5.39297;5.39297;556.59109945401
2003-05-27;4.94361;4.94361;4.94361;4.94361;556.59109945401
2003-05-28;5.8424;5.8424;5.39297;5.39297;798.21204185265
2003-05-29;5.3481;5.48289;5.3481;5.39297;1557.5921465341
2003-06-02;7.19065;8.85353;5.57272;6.47161;117043.77329371
2003-06-03;6.33672;6.33672;6.29185;6.29185;500.50052354004
2003-06-04;6.74121;6.74121;6.74121;6.74121;1724.7852093546
2003-06-23;4.62897;4.62897;4.49416;4.49416;162.8784031348
2003-06-27;6.29185;6.29185;6.29185;6.29185;135.91178009923
2003-07-01;6.29185;6.29185;6.29185;6.29185;308.49816752684
2003-07-08;6.29185;6.29185;6.29185;6.29185;91.686518320912
2003-07-10;5.75248;5.75248;5.75248;5.75248;235.14895287011
2003-07-21;7.81985;7.81985;7.81985;7.81985;2114.1832459881
2003-07-24;4.53913;4.584;4.49416;4.584;1051.6982983869
2003-07-25;5.43792;5.43792;5.43792;5.43792;368.90340312649
2003-07-28;6.20192;6.20192;6.20192;6.20192;556.59109945401
2003-08-01;5.48289;5.57272;5.48289;5.57272;2075.3513088169
2003-08-05;5.93234;5.93234;5.93234;5.93234;1126.1261779651
2003-08-08;5.8424;5.8424;5.8424;5.8424;1001.0010470801
2003-08-11;5.8424;5.8424;5.8424;5.8424;577.08573296104
2003-08-12;5.39297;5.8424;5.39297;5.8424;667.69358636053
2003-08-14;5.43792;5.43792;5.43792;5.43792;210.33965967739
2003-08-18;5.39297;5.48289;5.39297;5.48289;1870.4049737466
2003-08-19;5.39297;5.39297;5.39297;5.39297;333.30746071955
2003-08-20;5.39297;5.39297;5.39297;5.39297;7838.6579839773
2003-08-21;5.39297;5.39297;5.39297;5.39297;1082.9795811082
2003-08-25;5.39297;5.39297;5.39297;5.39297;1112.1035339866
2003-09-18;5.48289;5.48289;5.48289;5.48289;169.35039266333
2003-09-26;4.53913;5.52785;4.53913;5.52785;1942.6755234819
2003-09-29;4.584;4.584;4.584;4.584;92.765183242335
2003-10-13;5.39297;5.39297;5.39297;5.39297;102.47316753514
2003-10-14;5.8424;5.8424;5.57272;5.57272;1198.3967277004
2003-10-15;5.79745;5.79745;5.39297;5.39297;215.7329842845
2003-10-17;5.79745;5.8424;5.79745;5.8424;1668.6946334406
2003-10-20;5.8424;6.20192;5.8424;6.20192;1495.0295810916
2003-10-21;6.20192;6.20192;6.20192;6.20192;333.30746071955
2003-10-23;6.20192;7.10082;6.20192;7.05585;955.69712038034
2003-10-27;6.29185;6.29185;6.29185;6.29185;1112.1035339866
2003-10-29;7.05585;7.19065;7.05585;7.19065;1335.3871727211
2003-10-31;7.01089;7.05585;7.01089;7.05585;2457.1986910005
2003-11-03;7.05585;7.05585;7.05585;7.05585;333.30746071955
2003-11-04;7.01089;7.01089;7.01089;7.01089;556.59109945401
2003-11-12;7.01089;7.01089;7.01089;7.01089;1668.6946334406
2003-11-13;7.10082;7.10082;7.05585;7.05585;1102.3955496938
2003-11-14;7.14568;7.14568;7.14568;7.14568;1020.4170156657
2003-11-26;5.75248;5.75248;5.75248;5.75248;333.30746071955
2003-12-01;7.01089;7.01089;5.75248;5.75248;2035.4407067243
2003-12-02;5.75248;6.47161;5.75248;6.47161;1705.369240769
2003-12-04;6.74121;6.74121;6.74121;6.74121;389.39803663352
2003-12-09;7.01089;7.14568;7.01089;7.14568;2225.2857328946
2003-12-15;7.01089;7.01089;7.01089;7.01089;33.438612564097
2003-12-17;7.55016;7.55016;7.55016;7.55016;1257.7232983786
2003-12-18;7.55016;7.55016;7.01089;7.01089;3419.3678009093
2003-12-23;7.55016;7.6401;7.55016;7.6401;2997.6098166331
2003-12-29;7.55016;7.99961;7.55016;7.99961;4227.2878270548
2003-12-30;7.99961;7.99961;7.99961;7.99961;141.30510470635
2003-12-31;8.44905;8.44905;8.44905;8.44905;1112.1035339866
2004-01-02;8.44905;8.44905;8.44905;8.44905;278.295549727
2004-01-06;8.08945;8.08945;8.08945;8.08945;333.30746071955
2004-01-07;8.08945;8.08945;8.08945;8.08945;222.20497381303
2004-01-13;8.08945;8.08945;8.08945;8.08945;1171.4301046648
2004-01-21;7.3704;7.3704;7.3704;7.3704;226.51963349872
2004-01-22;8.08945;8.08945;8.08945;8.08945;222.20497381303
2004-01-23;8.44905;12.584;8.44905;12.584;2266.2749999087
2004-01-27;8.89803;8.89803;8.89803;8.89803;162.8784031348
2004-01-30;8.62882;8.62882;8.62882;8.62882;167.19306282049
2004-02-02;8.62882;8.89803;8.62882;8.89803;121.88913612074
2004-02-03;8.89803;8.89803;8.89803;8.89803;222.20497381303
2004-02-04;8.89803;8.89803;8.62882;8.62882;382.92604710499
2004-02-05;8.53889;8.67368;8.53889;8.67368;333.30746071955
2004-02-06;8.98797;9.34766;8.98797;9.34766;991.29306278728
2004-02-09;9.34766;9.34766;8.98797;9.34766;1542.4908376342
2004-02-10;9.34766;9.52748;9.34766;9.52748;1668.6946334406
2004-02-11;9.4376;9.4376;9.4376;9.4376;2225.2857328946
2004-02-12;8.98797;9.39309;8.98797;9.39309;1550.0414920841
2004-02-18;9.30316;9.30316;9.30316;9.30316;701.13219892462
2004-02-24;9.21324;9.21324;9.21324;9.21324;556.59109945401
2004-02-26;6.6064;8.17937;6.6064;8.17937;1023.65301043
2004-02-27;7.19065;8.85353;7.19065;8.85353;1024.7316753514
2004-03-01;6.51658;7.6401;6.51658;7.6401;3760.2259160788
2004-03-02;8.44905;8.80903;8.26929;8.80903;777.71740834562
2004-03-03;8.62882;8.62882;8.53889;8.53889;1088.3729057153
2004-03-04;8.53889;8.62882;8.08945;8.53889;4791.4295809587
2004-03-05;8.44905;8.80903;4.94361;8.53889;23699.346988574
2004-03-08;8.53889;8.62882;8.53889;8.53889;5163.5689788495
2004-03-09;8.62882;8.76361;8.62882;8.76361;2725.7862564347
2004-03-10;8.53889;8.53889;8.53889;8.53889;556.59109945401
2004-03-11;8.53889;8.53889;8.53889;8.53889;745.35746070295
2004-03-12;8.35913;8.53889;8.35913;8.35913;729.17748688161
2004-03-15;8.08945;8.1344;8.08945;8.1344;1112.1035339866
2004-03-16;8.17937;8.35913;8.17937;8.17937;1223.2060208931
2004-03-18;8.35913;8.4041;8.35913;8.4041;2669.6956805207
2004-03-19;8.35913;8.44905;8.17937;8.31416;1999.8447643173
2004-03-23;8.35913;8.35913;8.35913;8.35913;222.20497381303
2004-03-24;8.4041;8.4041;8.35913;8.35913;1448.6469894704
2004-03-26;8.35913;8.44905;8.35913;8.44905;1724.7852093546
2004-03-29;8.44905;13.4379;8.44905;8.85353;1121.8115182794
2004-03-30;10.7865;10.7865;9.4376;9.4376;389.39803663352
2004-03-31;9.88724;10.067;9.88724;10.067;334.38612564098
2004-04-01;10.067;10.157;9.52748;9.52748;1435.7030104133
2004-04-02;9.5729;9.88724;9.52748;9.88724;4817.3175390729
2004-04-05;9.93171;10.7865;9.93171;10.7865;1315.9712041355
2004-04-06;10.6966;11.2352;10.6966;10.7865;13706.595156516
2004-04-07;11.1008;11.2352;10.8309;11.2352;8070.5709420831
2004-04-08;10.8309;11.2352;10.8309;11.2352;1240.4646596359
2004-04-13;10.8755;11.5949;10.8755;11.1453;11212.721858187
2004-04-14;11.1907;11.2352;11.1453;11.2352;2329.9162302726
2004-04-15;11.3251;11.3251;11.2352;11.3251;1057.091622994
2004-04-16;11.2352;11.3251;10.9654;10.9654;4000.7681935561
2004-04-19;10.7865;10.8309;10.7865;10.8309;106.78782722083
2004-04-20;11.3251;11.3251;10.9654;11.1453;5673.7774866823
2004-04-21;11.2352;11.2352;10.8309;11.2352;6255.1778793291
2004-04-22;10.7865;11.3251;10.7865;11.3251;3917.7109946065
2004-04-23;11.3251;11.5949;10.9654;11.5949;2696.6623035563
2004-04-26;11.5949;12.584;11.5949;12.584;12179.205627781
2004-04-27;12.584;13.4824;12.584;13.4824;1075.4289266582
2004-04-28;13.5723;15.28;13.5723;15.28;6245.4698950363
2004-04-29;15.1001;17.4373;14.696;16.1792;1783.0331151114
2004-04-30;16.0893;16.0893;15.28;15.9994;1486.4002617202
2004-05-04;13.7077;15.28;11.1008;15.28;2776.4835077415
2004-05-05;14.3816;14.3816;14.3816;14.3816;154.24908376342
2004-05-06;14.3816;15.1901;13.3925;15.1901;189.84502617036
2004-05-07;15.1901;16.1792;15.1901;16.1792;478.92722511159
2004-05-10;16.1792;16.1792;15.7297;15.7297;1057.091622994
2004-05-11;14.8303;15.28;14.8303;15.28;200.63167538458
2004-05-12;15.28;15.28;15.28;15.28;1.0786649214225
2004-05-13;14.3816;15.28;13.6177;15.28;412.04999998339
2004-05-18;15.28;15.28;14.8303;14.8303;531.78180626129
2004-05-19;14.3816;15.9094;14.3816;15.9094;559.82709421828
2004-05-20;16.1792;17.4373;16.1792;17.4373;3420.4464658307
2004-05-21;17.9314;17.9314;16.6289;17.5272;696.81753923893
2004-05-24;17.9314;18.7853;17.9314;17.9314;1948.068848089
2004-05-25;17.9768;17.9768;17.5272;17.9768;1164.9581151363
2004-05-26;18.7853;20.224;17.9768;20.224;19110.706412842
2004-05-27;22.0216;22.4713;20.224;20.224;678.48023557475
2004-05-28;21.5721;21.5721;18.4265;20.6728;625.62565442505
2004-05-31;20.224;21.5721;20.224;21.5721;2215.5777486018
2004-06-01;21.5721;23.3697;21.5721;23.3697;1855.3036648467
2004-06-02;23.3697;24.179;22.4713;23.8192;1107.7888743009
2004-06-03;23.8192;23.8192;23.3697;23.3697;652.59227746061
2004-06-04;23.3697;23.3697;22.0216;22.0216;732.41348164588
2004-06-07;23.3697;23.3697;23.3697;23.3697;23.730628271295
2004-06-09;22.4713;22.4713;20.314;20.314;501.57918846146
2004-06-11;22.4713;22.4713;22.4713;22.4713;11.865314135647
2004-06-14;22.0216;22.0216;21.5721;21.5721;22.651963349872
2004-06-16;21.5721;21.5721;19.7745;21.5721;266.43023559136
2004-06-17;21.5721;21.5721;21.5721;21.5721;10.786649214225
2004-06-18;21.5721;21.5721;21.5721;21.5721;5.3933246071125
2004-06-21;19.3248;20.6728;18.9651;20.6728;912.55052352344
2004-06-23;20.6728;20.6728;19.3248;19.3248;473.53390050448
2004-06-24;19.5946;20.224;19.3248;20.224;473.53390050448
2004-06-25;19.2349;20.224;19.2349;20.224;445.48861254749
2004-06-29;18.9651;20.224;18.9651;20.224;120.81047119932
2004-06-30;19.7745;20.4938;19.7745;20.4938;278.295549727
2004-07-01;20.1342;20.4938;20.1342;20.4938;44.225261778322
2004-07-02;20.4938;20.4938;20.4938;20.4938;33.438612564097
2004-07-05;20.314;20.4039;20.314;20.4039;22.651963349872
2004-07-06;19.8644;20.4039;19.8644;20.314;69.03455497104
2004-07-07;20.4039;20.4938;18.8752;20.4938;122.96780104216
2004-07-08;18.0668;20.4039;14.8303;20.4039;208.18232983454
2004-07-09;17.9768;20.4039;17.9768;20.4039;101.39450261371
2004-07-12;20.4039;20.4039;20.4039;20.4039;59.326570678237
2004-07-15;18.0668;20.0443;18.0668;20.0443;93.843848163757
2004-07-16;17.9768;19.3248;17.9768;19.3248;553.35510468974
2004-07-19;18.8752;19.6845;18.8752;19.6845;187.68769632751
2004-07-20;19.6845;21.5721;19.6845;21.5721;1937.2821988748
2004-07-23;18.4265;21.4821;18.4265;21.4821;646.12028793208
2004-07-26;21.5721;21.5721;19.7745;21.4821;2898.3726438623
2004-07-27;20.0443;21.1224;20.0443;21.1224;215.7329842845
2004-07-28;21.1224;21.4821;20.6728;21.4821;1085.136910951
2004-07-29;18.4265;18.4265;18.4265;18.4265;35.595942406942
2004-07-30;21.0325;21.0325;21.0325;21.0325;57.169240835392
2004-08-03;20.5829;20.6728;18.8752;20.6728;695.73887431751
2004-08-04;18.6953;20.4938;18.6953;20.4938;427.15130888331
2004-08-05;20.0443;20.6728;19.3248;20.6728;373.21806281218
2004-08-06;20.6728;20.6728;20.6728;20.6728;44.225261778322
2004-08-10;19.3248;20.5829;19.3248;20.5829;201.71034030601
2004-08-11;19.3248;19.3248;18.8752;18.8752;44.225261778322
2004-08-12;18.7853;18.7853;17.9768;17.9768;1238.307329793
2004-08-13;17.3474;17.9768;17.3474;17.9768;114.33848167078
2004-08-16;17.0776;17.9768;17.0776;17.9768;1113.182198908
2004-08-17;17.0776;17.9768;17.0776;17.9768;2621.1557590567
2004-08-18;17.9768;17.9768;16.7179;17.9768;270.74489527705
2004-08-19;17.8869;17.9768;17.8869;17.9768;1279.2965968071
2004-08-20;17.9768;19.6845;17.9768;19.5946;2620.0770941353
2004-08-23;17.9768;19.4147;17.9768;19.4147;914.70785336628
2004-08-24;17.9768;19.3248;17.0776;17.8415;3980.273560049
2004-08-25;17.1675;17.1675;17.0776;17.0776;788.50405755985
2004-08-26;16.1792;17.8415;16.1792;17.8415;1387.1630889493
2004-08-27;16.1792;16.1792;16.1792;16.1792;445.48861254749
2004-08-30;16.3591;17.8415;16.3591;17.8415;153.17041884199
2004-08-31;17.8415;17.9768;17.8415;17.9768;283.68887433412
2004-09-01;17.8869;17.9768;17.8869;17.9768;1112.1035339866
2004-09-02;17.9768;18.0668;17.9768;18.0668;1112.1035339866
2004-09-03;17.9768;18.2467;16.2692;17.8415;879.11191095934
2004-09-06;17.8869;18.0668;17.1675;17.1675;1534.9401831842
2004-09-07;17.3029;17.797;17.3029;17.797;112.18115182794
2004-09-08;17.707;17.707;17.707;17.707;222.20497381303
2004-09-09;17.4373;17.9768;17.2575;17.9768;223.28363873446
2004-09-10;17.3029;17.3029;17.0776;17.2575;623.4683245822
2004-09-13;17.0776;17.0776;15.5498;16.1792;1827.2583768897
2004-09-14;16.1792;16.6289;16.1792;16.1792;834.88664918101
2004-09-15;15.9094;15.9094;15.28;15.28;1408.7363873778
2004-09-16;14.8303;14.8303;13.4824;13.4824;4116.1853401483
2004-09-17;12.853;14.1564;12.584;14.1564;2436.7040574934
2004-09-20;14.696;14.696;13.9765;14.3816;334.38612564098
2004-09-21;14.3816;15.1455;14.3816;15.1455;111.10248690652
2004-09-23;14.3816;14.3816;14.3816;14.3816;335.4647905624
2004-09-24;14.3816;15.5053;14.3816;15.5053;525.30981673276
2004-09-28;15.3254;15.3254;15.3254;15.3254;177.97971203471
2004-09-29;14.6514;15.3254;13.9321;15.1901;1017.1810209014
2004-09-30;15.1455;15.2355;15.1455;15.2355;311.7341622911
2004-10-01;15.1901;15.2355;15.1901;15.2355;340.85811516951
2004-10-05;15.1901;15.9994;15.1901;15.9994;1373.1404449708
2004-10-07;14.8758;15.8196;14.8758;15.8196;146.69842931346
2004-10-12;15.3254;15.7297;15.3254;15.7297;156.40641360626
2004-10-14;15.1001;15.1901;14.4716;14.4716;916.86518320912
2004-10-15;14.8303;15.5952;14.8303;15.0102;697.89620416036
2004-10-18;14.9203;14.9203;14.5615;14.5615;361.35274867654
2004-10-19;14.8758;15.28;14.5161;15.28;501.57918846146
2004-10-20;14.5615;15.28;14.5615;15.28;190.92369109178
2004-10-21;14.4716;15.28;14.4716;15.28;5.3933246071125
2004-10-22;14.4716;14.4716;13.9765;14.3816;392.63403139779
2004-10-25;15.2355;15.2355;15.2355;15.2355;1.0786649214225
2004-10-26;15.1455;15.2355;15.1455;15.2355;333.30746071955
2004-10-29;14.022;14.022;14.022;14.022;197.39568062032
2004-11-02;14.3816;14.3816;14.3816;14.3816;1712.9198952189
2004-11-03;15.0102;15.7297;15.0102;15.7297;788.50405755985
2004-11-05;14.4716;14.4716;13.1227;14.1119;2203.7124344662
2004-11-08;13.8421;13.8421;13.8421;13.8421;236.22761779153
2004-11-09;14.3816;14.7404;13.8421;14.7404;1278.2179318857
2004-11-12;13.8421;13.8421;13.4824;13.8421;76.585209420997
2004-11-15;13.8421;14.2018;13.8421;14.2018;779.87473818847
2004-11-17;13.8421;13.8421;13.8421;13.8421;759.38010468144
2004-11-19;14.0664;15.7297;14.0664;15.28;2831.4954187341
2004-11-22;14.7404;17.2575;14.3816;16.449;5481.7751306691
2004-11-23;16.539;17.4373;16.539;16.6289;5673.7774866823
2004-11-24;15.8196;16.1792;15.7297;15.954;1142.3061517864
2004-11-25;16.4936;17.3928;16.4936;17.3928;667.69358636053
2004-11-26;17.1675;17.1675;16.1338;17.0776;2049.4633507027
2004-11-30;16.1792;16.539;16.1792;16.539;528.54581149702
2004-12-01;16.2692;16.9877;15.28;16.9877;1225.363350736
2004-12-02;15.3699;16.8977;15.3699;16.8977;317.12748689821
2004-12-03;15.7297;16.8078;15.7297;16.8078;1146.6208114721
2004-12-07;15.1901;16.8078;15.1901;16.8078;338.70078532666
2004-12-14;15.3699;15.3699;15.3699;15.3699;859.69594237373
2004-12-15;16.5835;16.5835;16.5835;16.5835;1.0786649214225
2004-12-16;16.539;17.4827;15.6397;17.4827;2042.9913611742
2004-12-20;16.449;16.449;16.449;16.449;167.19306282049
2004-12-21;16.1792;16.1792;15.8196;15.8196;317.12748689821
