Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2011-05-10;30.0266;31.6358;29.5286;31.4915;1228696.0969963
2011-05-11;31.4146;31.4146;30.9617;30.9617;73189.415443172
2011-05-12;30.729;31.3322;30.0727;30.9564;101360.23522397
2011-05-13;30.6529;30.7139;30.5035;30.6008;16481.495308167
2011-05-16;30.6149;30.8794;30.5636;30.7971;52725.184146894
2011-05-17;30.729;30.791;30.5035;30.5096;92001.992672281
2011-05-18;30.5769;30.6759;30.5096;30.5769;10445.779315965
2011-05-19;30.5769;30.6237;29.7852;30.6149;31111.238828503
2011-05-20;30.6387;30.6387;30.3734;30.5769;28728.154110098
2011-05-23;30.5857;30.5857;30.3655;30.4274;52198.373198708
2011-05-24;30.1992;30.5769;29.8984;30.5769;54934.172543366
2011-05-25;30.5035;30.9564;30.5035;30.9564;12200.308482456
2011-05-26;30.7671;31.2579;30.729;30.729;44161.679999877
2011-05-27;30.5096;30.8041;30.5096;30.7671;13169.143209056
2011-05-30;30.5477;30.6529;30.277;30.2832;19932.898365703
2011-05-31;30.2301;31.4703;30.1938;31.3022;80059.437185934
2011-06-01;31.3022;31.3022;30.5769;31.2199;2022.4566229721
2011-06-02;31.1828;31.1828;30.5769;31.0997;8019.7357648764
2011-06-03;30.6149;31.0677;30.5769;30.6149;7690.7615461593
2011-06-06;30.5096;30.9564;30.3512;30.9564;50643.941752881
2011-06-07;30.5769;30.9564;30.5769;30.9564;71826.037753231
2011-06-08;30.5769;30.9564;30.5769;30.9564;156387.10840628
2011-06-09;30.8041;30.8041;30.5769;30.5769;50077.563458801
2011-06-10;30.5035;30.5769;30.277;30.5769;75260.483376813
2011-06-13;30.5035;30.6529;30.5035;30.6149;28970.080167849
2011-06-14;30.2301;30.4345;30.2301;30.4345;76572.988764891
2011-06-15;30.2079;30.5769;30.2079;30.5636;15582.751308579
2011-06-16;28.8414;30.2381;28.8414;30.1992;22215.368975978
2011-06-17;30.0868;30.1992;29.7472;30.1992;55987.794439739
2011-06-20;29.0678;30.1992;29.0678;29.9736;128327.07719399
2011-06-21;29.8232;30.1992;29.8232;29.9736;149532.91360188
2011-06-22;29.8302;30.5698;29.8302;30.1992;4061.8706798986
2011-06-24;30.1938;30.3512;30.0567;30.1992;15516.052068358
2011-06-27;30.1399;30.277;30.1248;30.1992;70010.461824503
2011-06-28;29.5967;30.1992;29.5967;30.1992;3476.2739606702
2011-06-29;30.1248;30.3512;30.1248;30.3512;11031.376035194
2011-06-30;30.5769;30.5769;30.1992;30.5769;15418.829447018
2011-07-01;30.9564;32.4283;30.9564;32.3212;46428.323671794
2011-07-04;32.277;32.8432;32.277;32.8432;31158.719643575
2011-07-05;32.9563;32.9926;32.4805;32.6909;16491.66976854
2011-07-06;32.5866;32.6909;31.8612;32.6909;11490.357247562
2011-07-07;32.6909;33.0696;32.1938;32.8432;19026.240896937
2011-07-08;32.6909;33.0324;31.748;31.748;6801.0615113471
2011-07-11;31.726;32.3894;31.6878;31.7851;5976.9302211589
2011-07-12;32.2531;32.2531;29.8834;31.6967;56538.34579546
2011-07-13;30.9564;32.0877;30.9564;31.71;8510.3708539595
2011-07-14;31.0386;31.702;31.0386;31.6967;22465.208502906
2011-07-15;31.6967;31.6967;31.3322;31.5587;825.26178578514
2011-07-18;31.0447;31.0447;30.5769;30.8794;2939.2885521114
2011-07-19;30.729;30.8794;30.215;30.5769;3285.220204783
2011-07-20;30.5769;30.8413;30.2991;30.3062;2594.4873950369
2011-07-21;30.5035;30.5035;29.8302;30.1992;5344.983182455
2011-07-22;30.2079;30.8413;30.2079;30.8413;67550.503405505
2011-07-25;30.9333;30.9333;30.4274;30.9174;3427.6626500007
2011-07-26;30.9245;31.327;30.8041;30.9564;5193.4967724615
2011-07-27;30.9564;31.1067;30.5769;30.5769;3384.703817316
2011-07-28;30.5769;30.5769;29.9736;30.277;8854.0415154372
2011-07-29;30.7352;30.7352;30.1337;30.729;30808.266008515
2011-08-01;30.2079;30.3893;29.74;29.8232;65160.635713519
2011-08-02;30.0868;30.0868;29.7472;29.7472;27859.933491629
2011-08-03;30.0505;30.0505;28.3114;29.1438;43998.888633914
2011-08-04;27.9355;29.3703;27.9355;28.0859;44990.333272454
2011-08-05;24.1602;28.3114;24.1602;27.7852;35973.500391053
2011-08-08;25.7462;27.5578;25.671;26.3494;32449.745615311
2011-08-09;25.671;25.7082;23.1863;25.2933;187390.95015307
2011-08-10;25.9718;26.4247;23.4888;24.1602;89523.946323733
2011-08-11;24.537;25.671;23.9337;25.671;16444.188953466
2011-08-12;26.7653;27.104;26.0478;26.9767;4354.6690395128
2011-08-16;27.7852;27.7852;25.8975;26.7272;11252.953172199
2011-08-17;27.6861;27.6861;26.4247;26.4247;2582.0519434702
2011-08-18;26.4105;27.0528;25.066;25.066;13222.276502113
2011-08-19;25.066;26.1159;25.066;26.101;4836.2601638203
2011-08-22;26.4247;26.8784;26.0478;26.8042;1237.8926786777
2011-08-23;26.9528;26.9528;26.4247;26.4247;2159.246590205
