Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2015-12-16;7.33485;7.34168;6.32205;7.01162;45792.257506992
2015-12-17;7.01162;7.19085;6.68234;7.19085;16263.381553119
2015-12-18;7.19085;7.33485;7.01719;7.01719;789.57555993493
2015-12-21;6.84976;7.19085;6.84976;7.19085;1641.6505045613
2015-12-22;7.25115;7.25115;7.19085;7.19085;10.416564115237
2015-12-23;7.19085;7.19085;7.07133;7.19085;45.832882107041
2015-12-28;7.18519;7.18519;7.01162;7.16129;88.540794979511
2015-12-29;7.15581;7.16129;7.01162;7.16129;2087.4794486934
2015-12-30;7.19085;7.25115;7.01162;7.25115;2746.8479571879
2016-01-04;7.25115;7.25115;7.01162;7.25115;7813.464742839
2016-01-05;7.22099;7.22099;7.19085;7.19085;5219.7402781451
2016-01-07;7.22099;7.22099;7.07133;7.19085;5988.4827098495
2016-01-08;7.22099;7.22099;7.19085;7.19085;9.3749077037129
2016-01-11;7.25115;7.25115;6.88538;6.89152;1626.0256583884
2016-01-12;6.89152;6.94586;6.62196;6.71181;1566.6512429316
2016-01-13;6.77843;6.77843;6.77843;6.77843;84.374169333416
2016-01-14;6.76614;6.76614;6.29257;6.35229;25100.794548486
2016-01-15;6.35229;6.35229;6.23257;6.23257;2010.3968742407
2016-01-18;6.23257;6.23257;5.94495;5.94495;344.78827221433
2016-01-19;5.99286;5.99286;5.93891;5.96877;347.9132414489
2016-01-20;5.98681;5.98681;5.63314;5.63314;3999.9606202508
2016-01-21;5.783;5.783;5.39353;5.62719;2499.9753876568
2016-01-22;5.62719;5.62719;5.62719;5.62719;165.62336943226
2016-01-25;5.42338;5.47138;5.39948;5.47138;13641.532365314
2016-01-26;5.47138;5.62719;5.47138;5.62719;417.70422102099
2016-01-27;5.66328;6.11238;5.62133;6.11238;5827.0259660633
2016-01-28;6.05257;6.47258;5.99286;6.46605;1948.9391459608
2016-01-29;6.46605;6.47258;6.17257;6.43581;2453.1008491382
2016-02-01;6.47258;6.47258;6.47258;6.47258;469.78704159717
2016-02-02;6.58624;6.58624;6.00467;6.00467;2304.1439822903
