Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2005-06-01;2.97583;2.97583;2.7862;2.84317;474574.119211
2005-06-02;2.97583;3.16538;2.95704;3.12746;231425.19757715
2005-06-03;3.20332;3.20332;2.93799;3.05177;133803.03707342
2005-06-06;3.07057;3.07057;2.99488;3.05177;64253.269159666
2005-06-07;3.03264;3.03264;3.01376;3.03264;11435.406584202
2005-06-08;3.07057;3.08954;3.03264;3.07057;43866.969519725
2005-06-09;3.03264;3.16538;3.01376;3.16538;71390.016472799
2005-06-10;3.16538;3.44975;3.16538;3.29813;162449.69162508
2005-06-13;3.31702;3.31702;3.24114;3.29813;46871.166393682
2005-06-14;3.2602;3.27908;3.18443;3.18443;43124.22574283
2005-06-15;3.18443;3.2602;3.1465;3.24114;48379.197288942
2005-06-16;3.24114;3.27908;3.1465;3.22228;123499.54352939
2005-06-17;3.18443;3.24114;3.18443;3.24114;9419.5572600101
2005-06-20;3.16538;3.22228;3.16538;3.22228;179.16024011355
2005-06-21;3.16538;3.18443;3.12746;3.18443;7563.88430943
2005-06-22;3.07057;3.18443;3.01376;3.16538;58928.294605827
2005-06-23;3.05177;3.16538;3.03264;3.16538;58815.577898471
2005-06-27;3.08954;3.1465;3.08954;3.1465;11519.647491805
2005-06-28;3.12746;3.12746;3.12746;3.12746;920.71752535179
2005-06-29;3.05177;3.07057;3.03264;3.07057;10938.266580178
2005-06-30;3.08954;3.10849;3.08954;3.10849;4193.0615136511
2005-07-01;3.07057;3.08954;3.07057;3.08954;13192.600727303
2005-07-04;3.10849;3.10849;3.10849;3.10849;791.38993480624
2005-07-06;3.07057;3.08954;3.07057;3.08954;6542.3149932858
2005-07-07;3.08954;3.10849;3.03264;3.10849;32317.65973651
2005-07-08;3.03264;3.10849;3.03264;3.10849;25114.468890621
2005-07-11;3.10849;3.10849;3.10849;3.10849;2352.8129546039
2005-07-12;3.05177;3.05177;3.05177;3.05177;1295.6488887682
2005-07-13;3.07057;3.07057;3.05177;3.07057;18495.031939669
2005-07-14;3.07057;3.07057;3.07057;3.07057;262.21465606024
2005-07-15;3.07057;3.07057;3.07057;3.07057;1360.9059298692
2005-07-18;3.08954;3.10849;3.07057;3.07057;10961.996413306
2005-07-19;3.07057;3.08954;3.07057;3.08954;15267.774634313
2005-07-20;3.10849;3.22228;3.10849;3.22228;112326.35160126
2005-07-21;3.18443;3.22228;3.16538;3.22228;4672.4041428291
2005-07-22;3.20332;3.20332;3.18443;3.20332;14152.472477315
2005-07-25;3.24114;3.24114;3.24114;3.24114;10288.069152481
2005-07-26;3.24114;3.24114;3.18443;3.18443;12054.755228833
2005-07-27;3.18443;3.18443;3.16538;3.18443;9259.3808863987
2005-07-28;3.20332;3.20332;3.12746;3.12746;4289.1673378179
