Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2015-12-15;5.53872;6.90387;5.53872;6.90387;1969.7335113758
2015-12-17;6.74317;6.74317;6.74317;6.74317;180.31802235515
2015-12-18;6.83769;6.83769;6.83769;6.83769;8.2588407185565
2015-12-21;6.09114;6.4504;6.09114;6.4504;236.75343393196
2015-12-22;6.09114;6.52261;6.08025;6.52261;2194.0986842299
2015-12-23;6.63318;6.63318;6.63318;6.63318;542.33054051854
2015-12-28;6.63318;6.63318;6.63318;6.63318;2461.1345341299
2015-12-29;6.63318;6.63318;6.63318;6.63318;5427.4348255448
2015-12-30;6.63318;6.90896;6.08025;6.90896;13551.381145698
2016-01-13;6.74317;6.74317;6.74317;6.74317;1.3764734530928
2016-01-20;5.52767;5.55492;5.52767;5.55492;944.26078882163
2016-01-21;5.52767;6.05263;5.52767;6.05263;200.96512415154
2016-01-27;6.08025;6.08025;5.52767;6.08025;561.60116886185
2016-01-29;6.66065;6.66065;6.66065;6.66065;180.31802235515
2016-02-03;6.63318;6.63318;6.63318;6.63318;154.16502674639
2016-02-12;6.08025;6.52261;6.08025;6.52261;287.68295169639
2016-02-16;6.52261;6.52261;6.52261;6.52261;451.48329261442
2016-02-24;6.08025;6.08025;5.52767;5.52767;275.29469061855
2016-02-25;6.08025;6.08025;6.08025;6.08025;904.34305868194
2016-02-29;6.08025;6.08025;6.08025;6.08025;180.31802235515
2016-03-04;5.96961;5.96961;5.96961;5.96961;228.4945932134
2016-03-09;5.96961;5.96961;5.96961;5.96961;180.31802235515
2016-03-10;5.96961;5.99707;5.96961;5.96961;770.82513373194
2016-03-11;5.96961;5.96961;5.96961;5.96961;722.6485628737
2016-03-16;5.96961;6.35639;5.96961;6.35639;382.65961995978
2016-03-17;6.63318;6.68818;6.63318;6.63318;181461.87179467
2016-03-18;6.52261;6.66065;6.52261;6.66065;1313.1556742504
2016-03-21;6.69901;7.13054;6.69901;7.1022;7463.239062669
2016-03-22;6.95908;6.95908;6.95908;6.95908;94.976668263401
2016-03-23;6.85345;6.85345;6.85345;6.85345;30.282415968041
2016-03-29;6.84844;6.84844;6.8427;6.8427;578.11885029896
2016-03-30;6.88136;6.88136;6.88136;6.88136;8.2588407185565
2016-03-31;6.88136;6.88136;6.88136;6.88136;88.094300997937
2016-04-01;6.96417;6.96417;6.96417;6.96417;578.11885029896
2016-04-05;6.95908;6.96417;6.95908;6.95908;1187.896590019
2016-04-06;6.93657;6.95908;6.93657;6.95908;824.50759840256
2016-04-07;6.90896;6.95908;6.90896;6.95908;36192.992975621
2016-04-11;6.96417;6.96417;6.96417;6.96417;183.07096926133
2016-04-12;6.96417;6.96417;6.96417;6.96417;306.95358003968
2016-04-13;6.96998;7.1022;6.96998;7.1022;2170.6986355273
2016-04-14;7.04699;7.04699;7.04699;7.04699;39.91773013969
2016-04-15;7.04699;7.1022;7.00921;7.1022;14772.313098591
2016-04-18;7.0855;7.28819;7.0855;7.25913;7040.6617125695
2016-04-19;7.28819;7.28819;7.0855;7.28819;5015.86926307
2016-04-22;7.20101;7.20101;7.20101;7.20101;430.83619081804
2016-04-25;7.14289;7.14289;7.14289;7.14289;344.11836327319
2016-04-26;7.14289;7.14289;7.13709;7.14289;6820.4259600746
2016-04-27;7.28819;7.40515;7.28819;7.31798;29289.97860836
2016-04-28;7.31798;7.34631;7.31798;7.31798;10707.586991609
2016-04-29;7.34631;7.46254;7.34631;7.46254;24058.003013155
2016-05-02;7.49161;7.49161;7.46254;7.46254;1672.4152455077
2016-05-04;7.46254;7.46254;7.4393;7.46254;3284.2656590793
2016-05-05;7.46254;7.46254;7.46254;7.46254;765.31923991957
2016-05-06;7.49161;7.49161;7.34631;7.46254;2426.7226978025
2016-05-09;7.46254;7.46254;7.46254;7.46254;1841.7214802382
2016-05-10;7.46254;7.46254;7.46254;7.46254;392.29493413144
2016-05-11;7.46254;7.46254;7.29474;7.37537;13076.497804381
2016-05-12;7.45745;7.45745;7.45745;7.45745;706.13088143658
2016-05-13;7.45092;7.45092;7.42768;7.42768;1249.8378954082
2016-05-16;7.46254;7.46254;7.29981;7.43349;1008.955041117
2016-05-18;7.29981;7.34631;7.28819;7.34631;1394.3676079829
2016-05-19;7.0855;7.31798;7.0855;7.31217;587.75416447061
2016-05-20;7.09058;7.34631;7.09058;7.34631;1220.9319528932
2016-05-25;7.03319;7.34631;7.03319;7.34631;89.470774451029
2016-05-27;7.31798;7.31798;7.31798;7.31798;688.23672654638
