Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2007-04-18;7.28186;7.28186;5.74559;5.8567;1998916.4430318
2007-04-19;5.86904;6.35648;5.8011;6.18987;466195.0835721
2007-04-20;6.2948;6.38091;6.1036;6.35648;182496.92361835
2007-04-23;6.54178;6.54178;6.10994;6.17737;74672.733926785
2007-04-24;6.14052;6.14052;6.01724;6.04775;33697.056461208
2007-04-25;6.04775;6.23322;5.92464;6.22687;47281.448638144
2007-04-26;6.23322;6.23322;6.06675;6.12835;29901.521898441
2007-04-27;6.10994;6.20837;6.03567;6.17161;71873.719508031
2007-04-30;6.3259;6.41775;6.23955;6.35648;63739.416717294
2007-05-02;6.35648;6.41242;6.30131;6.30697;21189.663489796
2007-05-04;6.30131;6.48018;6.23322;6.48018;73615.854486638
2007-05-07;6.48018;6.48018;6.2948;6.43042;40768.562233746
2007-05-08;6.36291;6.36291;6.17161;6.17161;43174.649469825
2007-05-09;6.17161;6.25805;6.12835;6.17161;14718.200131764
2007-05-10;6.23322;6.23322;6.04775;6.15894;27650.475207333
2007-05-11;6.15894;6.15894;5.77643;6.15894;93548.624398118
2007-05-14;6.16536;6.17161;6.04775;6.10994;8916.6066092561
2007-05-15;6.1341;6.17161;6.04775;6.15894;28667.115116725
2007-05-16;6.16536;6.16536;6.04775;6.14677;4248.8210415755
2007-05-17;6.08517;6.08517;5.93698;5.9864;26713.130843844
2007-05-18;6.07892;6.07892;5.88137;5.92464;8477.5223177729
2007-05-21;5.94315;6.01724;5.93698;5.93698;10909.646897282
2007-05-22;5.9924;5.9924;5.90605;5.94922;37046.405638829
2007-05-23;5.94315;5.94315;5.89989;5.92464;12960.679450221
2007-05-24;5.86278;5.95539;5.85053;5.92464;17428.450879733
2007-05-25;5.89989;6.09725;5.89989;6.09725;4210.9485420405
2007-05-28;6.07892;6.3259;6.07892;6.26371;34971.70277368
2007-05-29;6.26371;6.26371;6.14052;6.17161;51236.757808324
2007-05-30;6.10994;6.17161;5.94315;6.17161;20755.313260755
2007-05-31;6.054;6.2948;6.01724;6.26371;72492.698172306
2007-06-01;6.17161;6.30697;6.17161;6.24537;39588.597170111
2007-06-04;6.17161;6.35007;6.17161;6.3259;32695.802254752
2007-06-05;6.38766;6.41775;6.2948;6.3259;20313.86193805
2007-06-06;6.35648;6.54178;6.2948;6.40575;79980.801439728
2007-06-08;6.3259;6.3259;6.18987;6.22053;37394.359228305
2007-06-11;6.23322;6.35648;6.23322;6.3259;41957.995422265
2007-06-12;6.3259;6.3259;6.28272;6.2948;85531.489652817
2007-06-13;6.36291;6.42434;6.27005;6.35648;53294.891454925
2007-06-14;6.38766;6.38766;6.3259;6.35648;30977.337588355
2007-06-15;6.39966;6.39966;6.17161;6.2948;30499.197281726
2007-06-18;6.3444;6.35007;6.27005;6.2948;63005.637038804
2007-06-19;6.2948;6.75776;6.27005;6.72699;126708.36477217
2007-06-20;6.69691;6.7885;6.37491;6.48018;106665.52790892
2007-06-21;6.41242;6.48018;6.3259;6.38091;73689.232454487
2007-06-22;6.38766;6.46743;6.38766;6.41775;83456.786787669
2007-06-25;6.48609;6.48609;6.38766;6.4741;63223.403911131
2007-06-26;6.41775;6.52902;6.41775;6.52902;16052.02222476
2007-06-27;6.56654;6.56654;6.40575;6.40575;27342.761148612
2007-06-28;6.40575;6.6343;6.40575;6.41775;54358.871988735
2007-06-29;6.41775;6.41775;6.35648;6.36882;23377.983853549
2007-07-02;6.33173;6.33173;6.30697;6.30697;17105.351118075
2007-07-03;6.2948;6.60346;6.2948;6.58538;161870.61355914
2007-07-04;6.57263;6.57263;6.48018;6.54178;18566.992897002
2007-07-05;6.57263;6.57263;6.48018;6.49218;26781.774749251
2007-07-06;6.54178;6.54178;6.51094;6.53578;13238.80561868
2007-07-09;6.57263;6.57263;6.48018;6.51094;39659.608106739
2007-07-10;6.48018;6.51094;6.41775;6.43042;18990.691485548
2007-07-11;6.41775;6.41775;6.17737;6.38766;9968.7519869609
2007-07-12;6.44935;6.49218;6.38091;6.43659;21471.340205086
2007-07-13;6.36882;6.44935;6.36882;6.44935;16760.948075429
2007-07-16;6.38091;6.38091;6.23322;6.3259;16163.272692143
2007-07-17;6.25805;6.38766;6.23955;6.38766;8508.293723645
2007-07-18;6.3259;6.36882;6.2948;6.36882;10687.145962514
2007-07-19;6.30697;6.4741;6.30697;6.4741;12346.434848388
2007-07-20;6.48018;6.48018;6.21478;6.21478;18530.303913076
2007-07-23;6.28272;6.28272;6.19646;6.20211;77043.31569455
2007-07-24;6.27005;6.28272;6.27005;6.27005;8507.1102080345
2007-07-25;6.20211;6.20211;5.86278;6.17161;18549.240162845
2007-07-26;6.10994;6.10994;5.8011;5.83195;158082.18009003
2007-07-27;5.5543;5.70859;5.49262;5.70859;62037.521269442
2007-07-30;5.77027;5.92464;5.71475;5.77027;19853.474365579
2007-07-31;5.77643;5.86278;5.67775;5.77027;31847.221562048
2007-08-01;5.70859;5.70859;5.5543;5.5543;20820.40661933
2007-08-02;5.57281;5.69016;5.5543;5.69016;8895.3033282676
2007-08-03;5.74559;5.74559;5.63449;5.67775;5153.026967972
2007-08-06;5.73325;5.8011;5.6284;5.72708;20876.031853022
2007-08-07;5.76419;6.04775;5.76419;5.92464;39988.625446448
2007-08-08;5.9864;6.09725;5.93081;5.93081;12661.250000772
2007-08-09;5.9924;5.9924;5.89371;5.89371;13264.842962111
2007-08-10;5.5543;5.61589;5.5543;5.58515;35481.798001792
2007-08-13;5.57889;5.67149;5.57889;5.60989;21950.664027325
2007-08-14;5.57889;5.67775;5.5543;5.61589;25349.720860586
2007-08-16;5.39994;5.5543;5.2458;5.5543;50184.612430619
2007-08-17;5.2458;5.5543;5.20255;5.5543;13199.749603535
2007-08-20;5.5543;5.72101;5.25807;5.57281;30965.50243225
2007-08-21;5.5543;5.5543;5.30742;5.46803;11602.003529405
2007-08-22;5.39994;5.57889;5.39994;5.57889;33573.970837719
