Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2005-03-04;7.04334;7.2664;6.40066;7.12714;68789.6
2005-03-07;7.04334;7.21087;7.04334;7.04334;11134.6
2005-03-08;7.04334;7.04334;6.70796;6.70796;2209.86
2005-03-09;6.5955;6.5955;6.20461;6.37177;18585.2
2005-03-10;6.31602;6.31602;5.75729;5.86938;36520
2005-03-11;5.75729;5.84088;5.58946;5.81304;20580.5
2005-03-14;5.67334;5.70148;5.6176;5.6176;18906.4
2005-03-15;5.6176;5.86938;5.6176;5.78514;7343.99
2005-03-16;5.67334;5.72968;5.6176;5.6176;4511.68
2005-03-17;5.50558;5.56185;5.47797;5.56185;13640.3
2005-03-18;5.39401;5.42193;5.28214;5.31006;22922.3
2005-03-21;5.31006;5.56185;5.28214;5.56185;21378.8
2005-03-22;5.33805;5.50558;5.33805;5.50558;2660.36
2005-03-23;5.50558;5.53379;5.36604;5.50558;5276.74
2005-03-24;5.53379;5.56185;5.42193;5.56185;2950.92
2005-03-29;5.47797;5.53379;5.44991;5.53379;621.107
2005-03-30;5.47797;5.47797;5.36604;5.36604;2071.24
2005-03-31;5.39401;5.53379;5.36604;5.53379;7583.9
2005-04-04;5.42193;5.50558;5.39401;5.50558;599.781
2005-04-05;5.50558;5.50558;5.50558;5.50558;1787.34
2005-04-06;5.44991;5.44991;5.44991;5.44991;605.112
2005-04-07;5.44991;5.44991;5.42193;5.42193;337.21
2005-04-11;5.42193;5.44991;5.42193;5.44991;633.102
2005-04-12;5.42193;5.42193;5.31006;5.31006;1419.48
2005-04-13;5.33805;5.33805;5.31006;5.31006;2064.58
2005-04-14;5.31006;5.31006;5.31006;5.31006;358.536
2005-04-15;5.28214;5.28214;5.28214;5.28214;358.536
2005-04-18;5.08655;5.08655;4.4717;4.5276;13904.2
2005-04-19;4.5276;4.5276;4.35984;4.4717;5811.21
2005-04-20;4.30401;4.44379;4.02446;4.4158;3557.37
2005-04-21;4.08044;4.38782;4.08044;4.38782;11351.8
2005-04-22;4.13641;4.16432;3.99656;3.99656;16792.5
2005-04-25;3.80096;3.91276;3.68917;3.80096;12579.4
2005-04-26;3.82894;4.19223;3.80096;4.13641;5615.28
2005-04-27;4.10842;4.35984;4.08044;4.16432;12877.9
2005-04-28;4.35984;4.4717;4.24805;4.24805;15886.2
2005-04-29;4.30401;6.70796;4.27604;4.77917;25446.7
2005-05-02;4.94678;5.95303;4.94678;5.75729;52914
2005-05-04;6.00878;6.31602;5.70148;5.70148;41496.8
2005-05-05;5.84088;5.86938;5.28214;5.33805;20349.9
2005-05-06;5.25424;5.28214;4.75117;5.28214;29623.8
2005-05-09;5.08655;5.19842;4.89096;5.14245;11207.9
2005-05-10;5.25424;5.25424;4.91878;4.94678;1056.94
2005-05-11;5.05864;5.28214;4.91878;5.14245;8894.09
2005-05-12;5.22632;5.25424;5.03066;5.19842;1981.94
2005-05-13;5.19842;5.22632;4.97476;5.11454;8570.21
2005-05-16;5.00267;5.03066;4.83507;5.03066;4154.48
2005-05-17;5.03066;5.03066;4.75117;5.00267;4918.2
2005-05-18;4.86304;5.17043;4.86304;4.94678;9381.91
2005-05-19;4.89096;5.03066;4.89096;4.94678;6369.67
2005-05-20;4.94678;5.11454;4.94678;5.03066;15887.5
2005-05-23;5.03066;5.03066;5.00267;5.00267;2584.39
2005-05-24;4.97476;4.97476;4.97476;4.97476;3485.39
2005-05-25;5.03066;5.05864;5.03066;5.05864;518.477
2005-05-27;5.03066;5.08655;5.03066;5.05864;3562.7
2005-05-30;5.03066;5.39401;5.03066;5.39401;6473.64
2005-05-31;5.19842;5.33805;5.19842;5.33805;1627.4
2005-06-01;5.17043;5.17043;5.14245;5.14245;1423.48
2005-06-02;5.14245;5.31006;5.03066;5.31006;7232.03
2005-06-03;5.39401;5.58946;5.31006;5.36604;10948
2005-06-06;5.58946;5.75729;5.50558;5.75729;14786.6
2005-06-07;5.81304;5.81304;5.70148;5.70148;7142.73
2005-06-08;5.70148;5.92522;5.70148;5.92522;12680.7
2005-06-09;5.92522;5.92522;5.75729;5.86938;2099.23
2005-06-10;5.86938;5.86938;5.70148;5.70148;1929.96
2005-06-13;5.67334;5.67334;5.64573;5.64573;6020.47
2005-06-14;5.47797;5.53379;5.39401;5.47797;1083.6
2005-06-15;5.56185;5.56185;5.56185;5.56185;358.536
2005-06-16;5.56185;5.56185;5.56185;5.56185;357.203
2005-06-20;5.58946;5.58946;5.42193;5.42193;3578.69
2005-06-21;5.33805;5.33805;5.33805;5.33805;1014.29
2005-06-22;5.31006;5.53379;5.28214;5.53379;9263.29
2005-06-23;5.33805;5.53379;5.31006;5.44991;6912.14
2005-06-24;5.33805;5.50558;5.33805;5.50558;2181.87
2005-06-27;5.53379;5.53379;5.31006;5.31006;6984.12
2005-06-28;5.50558;5.50558;5.31006;5.47797;137.283
2005-06-29;5.36604;5.53379;5.36604;5.53379;4355.74
2005-06-30;5.33805;5.53379;5.33805;5.53379;1166.24
2005-07-01;5.47797;5.53379;5.47797;5.53379;4005.2
2005-07-05;5.36604;5.47797;5.36604;5.39401;474.493
2005-07-06;5.42193;5.50558;5.42193;5.42193;861.019
2005-07-07;5.42193;5.42193;5.25424;5.42193;5406.03
2005-07-08;5.28214;5.31006;5.22632;5.31006;1643.4
2005-07-11;5.22632;5.36604;5.19842;5.36604;371.864
2005-07-12;5.42193;5.42193;5.19842;5.42193;430.509
2005-07-13;5.42193;5.81304;5.42193;5.81304;16659.2
2005-07-14;5.6176;5.6176;5.44991;5.53379;23718
2005-07-15;5.6176;5.6176;5.53379;5.53379;5054.15
2005-07-18;5.42193;5.50558;5.42193;5.50558;611.777
2005-07-19;5.47797;5.53379;5.44991;5.53379;1959.28
2005-07-20;5.42193;5.47797;5.42193;5.42193;677.086
2005-07-21;5.42193;5.58946;5.42193;5.56185;6237.72
2005-07-22;5.47797;5.47797;5.47797;5.47797;2323.15
2005-07-25;5.47797;5.58946;5.47797;5.47797;6268.38
2005-07-26;5.53379;5.75729;5.47797;5.75729;9920.38
2005-07-27;5.78514;6.37177;5.78514;6.31602;56534
2005-07-28;6.26036;6.51178;6.09304;6.20461;31756.4
2005-07-29;6.31602;6.53991;6.31602;6.37177;6175.08
2005-08-01;6.48431;6.53991;6.28819;6.37177;3449.41
2005-08-02;6.28819;6.70796;6.26036;6.65169;20844.4
2005-08-03;6.70796;6.70796;6.5955;6.65169;17249.7
2005-08-04;6.65169;7.23863;6.65169;7.21087;42845.7
2005-08-05;7.2664;7.2664;6.98714;7.12714;10012.3
2005-08-08;7.09871;7.48998;7.09871;7.2664;21664.1
2005-08-09;7.2664;7.43446;6.93178;7.2664;11663.7
