Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2008-06-19;3.31129;15.0278;3.31129;4.07527;11650.244062342
2008-06-20;4.07527;4.48281;3.76994;3.89718;51743.219978177
2008-06-23;3.82071;3.82071;3.56625;3.81562;8894.429133953
2008-06-24;3.94531;3.94531;3.62954;3.82071;5019.5200481366
2008-06-25;3.82071;3.82071;3.69315;3.69315;7420.529879925
2008-06-26;3.60411;3.74434;3.56625;3.74434;1630.6453412247
2008-06-27;3.59151;4.02959;3.59151;3.94812;603.89771578888
2008-06-30;4.0244;4.42438;3.89718;4.0728;679.23304451909
2008-07-01;4.32743;4.32743;3.94812;4.0728;204.1344391399
2008-07-02;4.07527;4.07527;4.05;4.05;10.935773525352
2008-07-03;4.07527;4.07527;4.07527;4.07527;2.4301718945227
2008-07-04;3.87158;3.87158;3.87158;3.87158;816.53775655962
2008-07-07;3.98366;3.98366;3.85117;3.85117;104.49739146447
2008-07-08;3.85117;3.85117;3.83577;3.83577;7.290515683568
2008-07-09;3.84623;4.01165;3.84623;4.01165;71.690070888419
2008-07-10;4.0244;4.0244;3.82071;3.87158;9765.6457581394
2008-07-11;3.87676;3.87676;3.70608;3.82071;403.40853449076
2008-07-14;3.86409;3.86409;3.73142;3.86409;4015.8590556987
2008-07-15;3.86409;3.87158;3.86409;3.87158;1812.9082333139
2008-07-16;3.9175;3.9175;3.74434;3.87158;177.40254830016
2008-07-17;3.91487;3.91487;3.90474;3.90474;7.290515683568
2008-07-18;3.9175;3.9175;3.74162;3.9175;204.1344391399
2008-07-21;3.8919;3.8919;3.8919;3.8919;7.290515683568
2008-07-22;3.9175;3.9175;3.9175;3.9175;7.290515683568
2008-07-23;4.07527;4.07527;3.94531;3.94531;7.290515683568
2008-07-24;3.9175;3.9175;3.9175;3.9175;7.290515683568
2008-07-25;3.73142;3.73142;3.73142;3.73142;7.290515683568
2008-07-28;3.73142;3.73142;3.73142;3.73142;2.4301718945227
2008-07-29;3.73142;3.73142;3.73142;3.73142;38.882750312363
2008-07-30;3.71875;3.71875;3.69315;3.69315;362.09561228388
2008-07-31;3.66781;3.66781;3.51498;3.51498;2884.6140387984
2008-08-01;3.48938;3.82071;3.48938;3.82071;4466.6559421327
2008-08-04;4.07527;4.07527;4.0626;4.0626;803.17181113974
2008-08-05;3.85891;3.85891;3.85891;3.85891;2.4301718945227
2008-08-06;3.88417;3.88417;3.88417;3.88417;2.4301718945227
2008-08-07;3.88417;3.88417;3.88417;3.88417;2.4301718945227
2008-08-08;3.87158;3.87158;3.87158;3.87158;2.4301718945227
2008-08-11;3.87158;3.87158;3.87158;3.87158;2.4301718945227
2008-08-12;3.88178;3.88178;3.88178;3.88178;2.4301718945227
2008-08-13;3.88178;3.88178;3.88178;3.88178;2.4301718945227
2008-08-14;3.88178;3.88178;3.88178;3.88178;7.290515683568
2008-08-18;3.88178;3.88178;3.88178;3.88178;2.4301718945227
