Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2001-02-01;7.09755;7.94037;6.96446;7.94037;583036.11353844
2001-02-02;7.6742;8.29524;7.6742;7.85168;288264.12099932
2001-02-05;7.54111;7.89598;7.54111;7.85168;74352.542495724
2001-02-06;7.54111;7.89598;7.54111;7.85168;129623.18609438
2001-02-07;7.76289;7.85168;7.54111;7.80728;94565.718317536
2001-02-08;7.85168;8.33963;7.85168;8.33963;161273.60467139
2001-02-09;8.64974;9.5821;8.64974;9.53757;232874.51157022
2001-02-12;9.71466;9.71466;8.78319;8.91664;154113.62413505
2001-02-13;8.69423;9.04919;8.47272;8.87216;146678.25973193
2001-02-14;8.60572;8.73871;8.60572;8.64974;25164.577746556
2001-02-15;8.60572;8.73871;8.07346;8.33963;208585.65452003
2001-02-16;8.38394;8.42833;7.98477;8.02906;76189.903654894
2001-02-19;7.98477;8.11776;7.76289;7.76289;60545.896950732
2001-02-20;7.80728;7.80728;7.36372;7.6742;62393.171929107
2001-02-21;7.45242;7.80728;7.45242;7.71859;86740.410359053
2001-02-22;7.40803;7.80728;7.40803;7.76289;39487.843425631
2001-02-23;7.89598;8.42833;7.62981;7.62981;31713.206098637
2001-02-26;8.07346;8.16216;7.89598;7.98477;27196.910683409
2001-02-27;7.98477;8.07346;7.89598;8.02906;9865.3516436051
2001-02-28;7.62981;7.94037;7.62981;7.94037;9191.2119377223
2001-03-01;7.62981;7.80728;7.62981;7.71859;4851.162197235
2001-03-02;7.85168;7.85168;7.6742;7.80728;26046.907655726
2001-03-05;7.80728;7.80728;7.49681;7.76289;21476.637002609
2001-03-06;7.71859;7.71859;7.54111;7.62981;171689.72404856
2001-03-07;7.45242;7.54111;7.05315;7.14185;40420.843966289
2001-03-08;7.09755;7.09755;6.74268;6.92007;17505.60164361
2001-03-09;6.83137;6.87576;5.98855;6.74268;22170.6043469
2001-03-12;6.6539;6.6539;6.21034;6.38781;39997.854346912
2001-03-13;6.21034;6.6539;6.12164;6.34342;77649.43814884
2001-03-14;6.29903;6.34342;6.16594;6.34342;14075.420198971
2001-03-15;6.38781;6.60959;6.25473;6.38781;22213.564230118
2001-03-16;6.38781;6.38781;6.25473;6.29903;17161.922577866
2001-03-19;6.60959;6.60959;6.16594;6.29903;18938.699286345
2001-03-20;6.29903;6.47651;6.29903;6.38781;13201.902573538
2001-03-21;6.34342;6.38781;6.25473;6.38781;4495.3662413524
2001-03-22;6.34342;6.43212;6.25473;6.43212;2497.1809039809
2001-03-23;6.5652;6.96446;6.5652;6.87576;57866.962694675
2001-03-26;7.00886;7.54111;6.83137;6.92007;73399.714316657
2001-03-27;6.78698;6.78698;6.60959;6.74268;14820.05817475
2001-03-28;6.78698;6.87576;6.74268;6.83137;29249.07125867
2001-03-29;6.78698;6.83137;6.78698;6.78698;33183.755947254
2001-03-30;6.83137;6.96446;6.83137;6.83137;13370.437500009
2001-04-02;6.74268;6.83137;6.6539;6.6539;30063.105968878
2001-04-03;6.6539;6.6539;6.5209;6.6539;15203.392517311
2001-04-04;6.60959;6.6539;6.47651;6.47651;23340.435012991
2001-04-05;6.5652;6.60959;6.47651;6.5209;14392.662413504
2001-04-06;6.6539;6.6539;6.47651;6.5652;18288.793360739
2001-04-09;6.5652;6.60959;6.47651;6.60959;2200.8678633232
2001-04-10;6.60959;6.69829;6.47651;6.47651;34594.822880646
2001-04-11;6.6539;6.6539;6.25473;6.29903;31953.340830471
2001-04-12;6.38781;6.38781;6.21034;6.25473;24532.296388424
2001-04-17;6.38781;6.38781;5.4119;6.21034;11162.960423883
2001-04-18;6.21034;6.29903;6.12164;6.21034;7533.4010596935
2001-04-19;6.43212;6.43212;6.16594;6.21034;21141.770220602
2001-04-20;6.21034;6.25473;6.03295;6.03295;14408.083910044
2001-04-23;5.94416;6.12164;5.85546;5.94416;8050.0211937769
2001-04-24;5.85546;5.94416;5.5006;5.76677;74940.76243517
2001-04-25;5.76677;5.76677;5.67799;5.72238;74711.643058007
2001-04-26;5.72238;5.81107;5.58929;5.67799;24579.662413511
2001-04-27;5.72238;5.72238;5.45621;5.45621;16493.290549319
2001-04-30;5.72238;5.72238;5.23442;5.45621;26605.386137561
2001-05-02;5.32311;5.32311;4.96825;5.14573;12402.187824403
2001-05-04;4.96825;4.96825;4.74647;4.83516;17380.026600357
2001-05-07;4.70208;4.70208;4.52469;4.65777;28025.26535469
2001-05-08;4.4803;4.52469;4.3472;4.43599;15096.543577
2001-05-09;4.25851;4.29401;3.78834;3.82375;58673.286656613
2001-05-10;3.81495;4.365;3.81495;4.21412;106281.64954592
2001-05-11;4.00123;4.61338;4.00123;4.61338;146782.90560131
2001-05-14;4.79086;4.79086;4.56908;4.61338;36307.710532031
2001-05-15;4.65777;4.65777;4.41819;4.43599;22779.753460223
2001-05-16;4.42709;4.42709;4.2763;4.3472;20273.760272505
2001-05-17;4.4803;4.52469;4.3916;4.3916;29191.791414379
2001-05-18;4.3295;4.3472;4.25851;4.29401;5469.1235942942
2001-05-21;4.3561;4.52469;4.25851;4.52469;19591.909818352
2001-05-22;4.61338;4.74647;4.52469;4.61338;49051.374351243
2001-05-23;4.61338;4.70208;4.43599;4.61338;20028.117863335
2001-05-24;4.4803;4.52469;4.43599;4.4803;12529.96593859
2001-05-25;4.43599;4.43599;4.3472;4.3472;8337.5219506975
2001-05-28;4.3827;4.3916;4.3561;4.3561;19578.691392746
2001-05-29;4.41819;4.41819;4.3472;4.3472;8670.1856617704
2001-05-30;4.23191;4.3827;4.23191;4.3827;6699.5387110771
2001-05-31;4.25851;4.3739;4.25851;4.3561;8937.8587802827
2001-06-01;4.21412;4.3561;4.20531;4.30291;5769.8427768204
2001-06-04;4.24962;4.3472;4.16982;4.21412;19608.432850359
2001-06-05;4.15202;4.24962;4.08113;4.08113;3942.3954368538
2001-06-06;4.08113;4.08113;3.90364;3.90364;25780.336072681
2001-06-07;3.81495;3.90364;3.77945;3.81495;11620.097642741
2001-06-08;3.90364;3.97463;3.72617;3.72617;8500.5491998326
2001-06-11;3.54878;3.63747;3.51327;3.54878;7949.7814662682
2001-06-12;3.50439;3.53988;3.30039;3.44228;29361.427876317
2001-06-13;3.46008;3.46008;3.2028;3.2028;20798.091154858
2001-06-15;3.01643;3.41569;2.92773;3.01643;41624.822231861
2001-06-18;2.98982;3.05193;2.92773;3.01643;67720.197448141
2001-06-19;2.97212;3.41569;2.92773;3.1939;55243.105211974
2001-06-20;3.2294;3.327;3.07852;3.09632;41163.278871134
2001-06-21;3.06082;3.1939;2.97212;3.15841;55196.840722355
2001-06-22;3.2294;3.2294;3.06082;3.06082;39636.550713694
2001-06-25;3.10521;3.14951;3.08742;3.14062;47784.608564045
2001-06-26;3.14951;3.1939;3.05193;3.10521;50851.283304532
2001-06-27;3.14062;3.14951;3.06082;3.10521;12199.505298451
2001-06-28;3.10521;3.10521;2.97212;2.97212;77893.979022542
2001-06-29;3.03422;3.14951;2.92773;3.00762;82547.966371161
2001-07-02;2.92773;2.92773;2.75025;2.81243;14017.038819213
2001-07-03;2.71485;2.75025;2.48417;2.49297;91937.454692967
2001-07-04;2.48417;2.48417;2.07601;2.07601;213152.62056675
2001-07-05;2.11151;2.36879;2.04052;2.21799;555758.79076594
2001-07-06;2.2978;2.47527;2.2978;2.31558;163276.19615063
2001-07-09;2.39538;2.39538;2.2002;2.23569;222615.91176485
