Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
1998-04-02;1.45034;1.45034;1.45034;1.45034;0
1998-04-07;1.75154;1.75154;1.75154;1.75154;1103465.6715443
1998-04-08;1.69584;1.69584;1.69584;1.69584;554905.57046293
1998-04-09;1.61787;1.61787;1.61787;1.61787;376225.62857482
1998-04-14;1.56156;1.56156;1.56156;1.56156;288618.06240327
1998-04-15;1.58977;1.58977;1.58977;1.58977;217147.91827456
1998-04-16;1.64014;1.64014;1.64014;1.64014;136828.47875917
1998-04-17;1.61787;1.61787;1.61787;1.61787;141137.44190242
1998-04-20;1.6735;1.6735;1.6735;1.6735;155012.71556464
1998-04-21;1.56156;1.56156;1.56156;1.56156;127385.87053139
1998-04-22;1.56759;1.56759;1.56759;1.56759;163431.34371532
1998-04-23;1.58977;1.58977;1.58977;1.58977;114499.06980714
1998-04-24;1.65647;1.65647;1.65647;1.65647;207357.11100491
1998-04-27;1.61787;1.61787;1.61787;1.61787;213000.45534482
1998-04-28;1.56156;1.56156;1.56156;1.56156;214102.32204972
1998-04-29;1.56156;1.56156;1.56156;1.56156;114227.61200147
1998-04-30;1.56156;1.56156;1.56156;1.56156;77592.262151205
1998-05-04;1.56156;1.56156;1.56156;1.56156;78821.267322045
1998-05-05;1.56156;1.56156;1.56156;1.56156;149045.22540614
1998-05-06;1.50595;1.50595;1.50595;1.50595;67034.042519512
1998-05-07;1.50595;1.50595;1.50595;1.50595;71757.637416572
1998-05-08;1.44509;1.44509;1.44509;1.44509;266926.63656415
1998-05-11;1.45609;1.45609;1.45609;1.45609;161901.10055759
1998-05-12;1.45034;1.45034;1.45034;1.45034;115408.51072573
1998-05-13;1.31091;1.31091;1.31091;1.31091;206094.88947809
1998-05-14;1.31091;1.31091;1.31091;1.31091;243451.83602699
1998-05-15;1.31091;1.31091;1.31091;1.31091;218616.3102867
1998-05-18;1.30558;1.30558;1.30558;1.30558;66014.644008749
1998-05-19;1.28271;1.28271;1.28271;1.28271;135553.65792493
1998-05-20;1.15437;1.15437;1.15437;1.15437;281872.85135846
1998-05-21;1.25511;1.25511;1.25511;1.25511;466977.29464754
1998-05-22;1.30558;1.30558;1.30558;1.30558;477522.9149718
1998-05-25;1.22701;1.22701;1.22701;1.22701;72520.468212266
1998-05-26;1.22176;1.22176;1.22176;1.22176;159414.45542628
1998-05-27;1.1713;1.1713;1.1713;1.1713;212953.49428983
1998-05-28;1.11586;1.11586;1.11586;1.11586;287692.58600249
1998-05-29;1.14913;1.14913;1.14913;1.14913;179077.39276815
1998-06-01;1.10993;1.10993;1.10993;1.10993;151724.29632375
1998-06-02;1.03178;1.03178;1.03178;1.03178;205602.37109649
1998-06-03;1.04305;1.04305;1.04305;1.04305;292781.56081521
1998-06-04;1.08766;1.08766;1.08766;1.08766;299049.14356902
1998-06-05;1.07649;1.07649;1.07649;1.07649;267422.59112051
1998-06-08;1.08766;1.08766;1.08766;1.08766;148199.92641631
1998-06-09;1.08766;1.08766;1.08766;1.08766;233896.97942386
1998-06-10;1.05414;1.05414;1.05414;1.05414;186876.36407127
1998-06-15;0.953998;0.953998;0.953998;0.953998;210068.2528869
1998-06-16;0.948057;0.948057;0.948057;0.948057;379831.3212848
1998-06-17;1.03772;1.03772;1.03772;1.03772;134706.06815193
1998-06-18;1.06008;1.06008;1.06008;1.06008;357327.81281182
1998-06-19;1.09343;1.09343;1.09343;1.09343;329863.61338367
1998-06-22;1.14328;1.14328;1.14328;1.14328;303913.62163105
1998-06-23;1.19365;1.19365;1.19365;1.19365;247005.98611564
1998-06-24;1.1713;1.1713;1.1713;1.1713;247658.85931915
1998-06-25;1.22701;1.22701;1.22701;1.22701;213592.62279434
1998-06-26;1.25511;1.25511;1.25511;1.25511;225505.84067123
1998-06-29;1.28271;1.28271;1.28271;1.28271;161901.10055759
1998-06-30;1.28271;1.28271;1.28271;1.28271;128231.16952122
1998-07-01;1.31091;1.31091;1.31091;1.31091;153830.67144879
1998-07-02;1.28271;1.28271;1.28271;1.28271;75343.858469602
1998-07-03;1.22701;1.22701;1.22701;1.22701;114387.96682339
1998-07-06;1.2662;1.2662;1.2662;1.2662;191790.09397146
1998-07-07;1.29388;1.29388;1.29388;1.29388;267913.96411053
1998-07-08;1.28271;1.28271;1.28271;1.28271;135168.80635233
1998-07-09;1.28271;1.28271;1.28271;1.28271;72761.000445143
1998-07-10;1.19951;1.19951;1.19951;1.19951;78022.929387212
1998-07-13;1.30558;1.30558;1.30558;1.30558;125427.25092083
1998-07-14;1.32793;1.32793;1.32793;1.32793;241282.46436476
1998-07-15;1.31091;1.31091;1.31091;1.31091;195125.47426735
1998-07-16;1.28271;1.28271;1.28271;1.28271;108137.56494335
1998-07-17;1.31676;1.31676;1.31676;1.31676;87448.356741215
1998-07-20;1.36119;1.36119;1.36119;1.36119;220082.41151566
1998-07-21;1.33902;1.33902;1.33902;1.33902;212763.3592867
1998-07-22;1.25511;1.25511;1.25511;1.25511;130576.93148756
1998-07-23;1.22701;1.22701;1.22701;1.22701;89110.319931233
1998-07-24;1.26035;1.26035;1.26035;1.26035;146573.47036543
1998-07-27;1.22701;1.22701;1.22701;1.22701;130896.49573981
1998-07-28;1.1713;1.1713;1.1713;1.1713;142125.91484039
1998-07-29;1.11586;1.11586;1.11586;1.11586;192874.77980258
1998-07-30;1.1713;1.1713;1.1713;1.1713;185776.78814955
1998-07-31;1.14328;1.14328;1.14328;1.14328;87656.818009708
1998-08-03;1.08234;1.08234;1.08234;1.08234;216671.43537515
1998-08-04;1.04305;1.04305;1.04305;1.04305;182380.70209964
1998-08-05;1.04305;1.04305;1.04305;1.04305;277468.82071365
1998-08-06;1.06541;1.06541;1.06541;1.06541;131534.47885272
1998-08-07;1.04881;1.04881;1.04881;1.04881;126207.2625903
1998-08-10;1.04881;1.04881;1.04881;1.04881;67019.152428905
1998-08-11;1.00385;1.00385;1.00385;1.00385;71274.282167648
1998-08-12;1.00385;1.00385;1.00385;1.00385;269350.28515828
1998-08-13;1.03178;1.03178;1.03178;1.03178;166032.52800514
1998-08-14;1.01546;1.01546;1.01546;1.01546;141676.92133901
1998-08-17;1.02079;1.02079;1.02079;1.02079;150864.10724331
1998-08-18;1.05414;1.05414;1.05414;1.05414;98662.885751186
1998-08-19;1.08766;1.08766;1.08766;1.08766;297534.93589348
1998-08-20;1.06008;1.06008;1.06008;1.06008;233942.79508727
1998-08-21;1.06008;1.06008;1.06008;1.06008;89011.816254913
1998-08-24;1.03178;1.03178;1.03178;1.03178;192030.62620433
1998-08-25;1.04881;1.04881;1.04881;1.04881;98883.946327116
1998-08-26;1.03178;1.03178;1.03178;1.03178;71914.556063734
1998-08-27;0.931558;0.931558;0.931558;0.931558;209765.86950843
