Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2013-11-21;16.0739;16.9434;14.4881;14.6631;431700.69744788
2013-11-22;14.6801;14.9649;14.2411;14.6536;67503.336214061
2013-11-25;14.5903;14.7625;14.2052;14.6536;32371.924476471
2013-11-26;14.5448;14.7445;14.4786;14.6991;14382.942220055
2013-11-27;14.7445;14.7445;14.3783;14.6167;12367.491355653
2013-11-28;14.4341;14.5619;14.3594;14.5448;6856.9717924696
2013-11-29;14.3329;14.6536;13.8853;14.6536;22368.65104618
2013-12-02;14.6536;14.6536;14.2326;14.3783;10562.35759771
2013-12-03;14.2875;14.2875;13.9204;13.9204;22347.513648547
2013-12-04;13.9204;14.0481;13.3536;13.7377;13605.085987124
2013-12-05;13.7283;14.1862;13.5636;14.0859;8817.4654230231
2013-12-06;14.1503;14.6082;13.8295;14.5524;5494.6665149583
2013-12-09;14.5354;14.5619;14.2875;14.4247;7417.1128297706
2013-12-10;14.2411;14.2875;13.9204;14.1957;9311.023657777
2013-12-11;14.1039;14.1957;13.8853;14.1408;5892.0495904775
2013-12-12;13.9383;14.0945;13.8759;14.0859;5278.0081892098
2013-12-13;14.0036;14.0945;13.6734;14.0945;8378.8644221176
2013-12-16;14.0131;14.4341;13.7377;14.4247;5401.6619653687
2013-12-17;14.4247;14.4247;13.857;14.3783;6049.5232028508
2013-12-18;13.9658;14.3783;13.9658;14.3149;6473.3280254125
2013-12-19;14.3149;14.3149;13.8759;14.1408;2882.0841673959
2013-12-20;14.279;14.279;13.7008;13.9847;20358.484531187
2013-12-23;13.7472;14.1777;13.7377;14.1408;2656.9708825938
2013-12-27;14.1228;14.5165;13.8759;14.507;11546.303457572
2013-12-30;14.067;14.4881;14.067;14.4701;6062.2056414312
2014-01-02;13.9204;14.4606;13.7567;14.1408;18296.53139199
2014-01-03;14.0945;14.0945;13.61;13.8115;10186.111919825
2014-01-07;13.7746;13.8021;13.5542;13.8021;1741.7215650416
2014-01-08;13.8115;13.821;13.5182;13.821;1834.7261146312
2014-01-09;13.5267;13.7832;13.4728;13.7103;2751.0323020651
2014-01-10;13.7103;13.7103;13.188;13.5353;6561.0482255936
2014-01-13;13.6829;13.6829;13.4264;13.5267;1411.9781619512
2014-01-14;13.4633;13.6365;13.2703;13.5636;2129.5928116255
2014-01-15;13.2798;13.7103;13.188;13.4823;4440.9672429034
2014-01-16;13.1606;13.5353;13.1606;13.435;4592.0996359865
2014-01-17;13.6923;13.6923;13.1057;13.4179;3891.3949044194
2014-01-20;13.17;13.6734;13.17;13.5542;2626.3216560245
2014-01-21;13.5542;13.645;13.2334;13.5447;1064.2679708719
