Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2012-05-25;7.89737;7.89737;7.28845;7.28845;978.61729111401
2012-05-28;7.24472;7.24472;7.24472;7.24472;2.2679427372283
2012-05-31;7.24472;7.24472;5.87413;5.87413;136.0765642337
2012-06-01;6.34549;6.34549;6.34549;6.34549;30.617226952582
2012-06-13;6.30924;6.41789;6.05544;6.30924;2461.8518412613
2012-06-14;6.30924;6.30924;5.80156;5.96108;2798.6413377397
2012-06-15;5.96841;5.96841;5.87413;5.87413;26.081341478125
2012-06-18;5.88145;5.88145;5.86681;5.86681;1404.9905257129
2012-06-19;5.80156;5.80156;5.7654;5.7654;154.22010613153
2012-06-20;5.80156;5.80156;5.58392;5.58392;48.760768850408
2012-06-21;5.80156;5.80156;5.6348;5.71451;2115.990573834
2012-06-22;5.72184;5.72184;5.40992;5.69282;799.44981487298
2012-06-25;5.72184;5.72184;5.69282;5.69282;502.34931629607
2012-06-26;5.58392;5.58392;5.31566;5.58392;502.34931629607
2012-06-27;5.58392;5.58392;5.31566;5.58392;1367.5694705487
2012-06-28;5.58392;5.58392;5.58392;5.58392;5.6698568430707
2012-06-29;5.43903;5.43903;5.15612;5.40269;1469.626893724
2012-07-02;5.40269;5.40269;5.14157;5.40269;476.26797481794
2012-07-03;5.40269;5.40269;4.895;5.36654;1733.842222611
2012-07-04;5.40269;5.40269;5.40269;5.40269;5.6698568430707
2012-07-05;5.40269;5.40269;5.11265;5.1489;7259.6847018678
2012-07-06;5.11265;5.11265;4.85886;5.11265;413.89954954416
2012-07-09;5.11265;5.11265;5.11265;5.11265;5.6698568430707
2012-07-10;5.11265;5.11265;5.01838;5.11265;7.9377995802991
2012-07-11;5.11265;5.11265;5.11265;5.11265;1.1339713686141
2012-07-12;5.11265;5.11265;4.82252;5.04008;1551.2728322641
2012-07-13;5.04008;5.04008;5.04008;5.04008;14.741627791984
2012-07-16;4.93134;4.93134;4.93134;4.93134;5.6698568430707
2012-07-17;4.9675;4.9675;4.85153;4.85153;27.21531284674
2012-07-19;4.85153;4.85153;4.85153;4.85153;5.6698568430707
2012-07-20;4.85886;4.85886;4.85886;4.85886;5.6698568430707
2012-07-24;4.55425;4.85886;4.55425;4.85886;3.4019141058425
2012-07-26;4.85886;4.85886;4.85886;4.85886;14.741627791984
2012-08-01;4.85153;4.85153;4.85153;4.85153;5.6698568430707
2012-08-06;4.61951;4.82252;4.61951;4.82252;1552.4068036328
2012-08-07;4.82252;4.82252;4.82252;4.82252;1.1339713686141
2012-08-08;4.82252;4.82252;4.82252;4.82252;5.6698568430707
2012-08-09;4.82252;4.82252;4.82252;4.82252;14.741627791984
2012-08-10;4.82252;4.82252;4.29314;4.29314;1730.4403085052
2012-08-13;4.82252;4.82252;4.82252;4.82252;27.21531284674
2012-08-14;4.82252;4.82252;4.82252;4.82252;5.6698568430707
2012-08-16;4.82252;4.82252;4.82252;4.82252;5.6698568430707
2012-08-17;4.74995;4.74995;4.74995;4.74995;14.741627791984
2012-08-20;4.74995;4.74995;4.74995;4.74995;3.4019141058425
2012-08-21;4.74995;4.74995;4.74995;4.74995;5.6698568430707
2012-08-22;4.74995;4.74995;4.74995;4.74995;5.6698568430707
2012-08-23;4.74995;4.74995;4.74995;4.74995;5.6698568430707
2012-08-24;4.74995;4.74995;4.74995;4.74995;5.6698568430707
2012-08-27;4.74995;4.74995;4.74995;4.74995;14.741627791984
2012-08-28;4.74995;4.74995;4.74995;4.74995;5.6698568430707
2012-08-29;4.74995;4.74995;4.74995;4.74995;5.6698568430707
2012-08-30;4.74995;4.74995;4.74995;4.74995;98.655509069431
2012-08-31;4.74995;4.74995;4.74995;4.74995;88.449766751904
2012-09-03;4.74995;4.74995;4.74995;4.74995;14.741627791984
2012-09-04;4.27859;4.74995;4.27859;4.74995;103.19139454388
2012-09-05;4.74995;4.74995;4.74995;4.74995;14.741627791984
2012-09-06;4.74995;4.74995;4.35116;4.35116;430.90912007338
2012-09-07;4.34394;4.34394;4.33671;4.33671;153.08613476291
2012-09-10;4.35116;4.35116;4.09737;4.35116;60.10048253655
2012-09-11;4.35116;4.35116;3.93062;4.03935;1996.9235801295
2012-09-12;4.32947;4.32947;4.32947;4.32947;5.6698568430707
2012-09-13;4.32947;4.32947;3.89436;4.01757;3566.3399542915
2012-09-14;4.32947;4.32947;4.32947;4.32947;3.4019141058425
2012-09-17;3.95239;4.32947;3.48095;3.48095;5415.8472565011
2012-09-18;3.50996;3.80733;3.50996;3.80733;704.19621990939
2012-09-19;3.80733;3.80733;3.80733;3.80733;5.6698568430707
2012-09-20;4.06104;4.06104;3.59701;3.76376;2103.5168887792
2012-09-21;3.771;3.771;3.771;3.771;19.277513266441
2012-09-24;3.771;3.771;3.771;3.771;5.6698568430707
2012-09-25;3.62593;3.62593;3.26349;3.62593;329.98566826672
2012-09-26;3.62593;3.62593;3.62593;3.62593;5.6698568430707
2012-09-27;3.80733;3.80733;3.80733;3.80733;1.1339713686141
2012-09-28;3.80733;3.80733;3.80733;3.80733;14.741627791984
2012-10-01;3.80733;3.80733;3.80733;3.80733;4.5358854744566
2012-10-02;3.80733;3.80733;3.80733;3.80733;5.6698568430707
2012-10-03;3.80733;3.80733;3.80733;3.80733;5.6698568430707
2012-10-04;3.771;3.771;3.771;3.771;5.6698568430707
2012-10-05;3.80733;3.80733;3.50265;3.80733;2091.0432037245
2012-10-08;4.16986;4.16986;3.86526;3.86526;610.07659631441
2012-10-09;3.84357;3.84357;3.84357;3.84357;14.741627791984
