Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2008-12-29;0.984965;1.92336;0.969535;1.92336;240746.6640267
2008-12-30;1.48134;1.79157;1.46581;1.51229;301834.00728194
2008-12-31;1.47358;1.92336;1.47358;1.92336;248219.62113501
2009-01-05;1.86912;2.02428;1.70628;1.78373;190447.04222817
2009-01-06;1.72171;1.76829;1.62866;1.62866;88109.927992933
2009-01-07;1.55111;1.77605;1.48134;1.59768;126700.17873991
2009-01-08;1.68298;1.68298;1.62866;1.62866;36775.292565788
2009-01-09;1.62866;1.64416;1.55111;1.61321;45058.802515794
2009-01-12;1.62866;1.63641;1.48134;1.48909;30127.625623563
2009-01-13;1.47358;1.47358;1.33393;1.42699;34691.661624484
2009-01-14;1.45037;1.45037;1.24863;1.31841;52920.598260052
2009-01-15;1.17886;1.34946;1.17886;1.17886;70416.069596915
2009-01-16;1.28745;1.28745;1.20982;1.27968;26901.285221521
2009-01-19;1.27968;1.30288;1.24863;1.24863;23656.806574071
2009-01-20;1.27968;1.27968;1.17886;1.23319;27223.239077522
2009-01-21;1.23319;1.27968;1.20215;1.27968;55830.653007783
2009-01-22;1.27968;1.27968;1.26416;1.27192;38604.988071373
2009-01-23;1.30288;1.30288;1.20215;1.27968;114337.83085366
2009-01-26;1.31074;1.31074;1.24863;1.31074;131925.1270579
2009-01-27;1.31074;1.34178;1.31074;1.31074;74694.42823265
2009-01-28;1.31074;1.33393;1.27968;1.31841;145317.95401142
2009-01-29;1.31074;1.31074;1.29529;1.31074;81625.505259384
2009-01-30;1.33393;1.34178;1.30288;1.33393;77274.593642014
2009-02-02;1.33393;1.33393;1.27968;1.32626;36770.758004436
2009-02-03;1.32626;1.32626;1.27192;1.31841;39219.421134588
2009-02-04;1.32626;1.32626;1.27968;1.32626;44625.751906665
2009-02-05;1.32626;1.32626;1.31074;1.31841;60395.822649042
2009-02-06;1.32626;1.34178;1.31841;1.34178;63786.540900098
2009-02-09;1.27968;1.33393;1.27968;1.33393;21661.599579134
2009-02-10;1.33393;1.33393;1.31074;1.31841;20864.650421496
