Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2013-12-05;15.8949;16.2412;15.584;16.069;5335865.6152879
2013-12-06;16.069;16.069;15.41;15.826;715381.14631801
2013-12-09;15.9312;15.9312;15.7368;15.7925;366534.22403902
2013-12-10;15.7497;15.7497;15.41;15.4519;204267.22401928
2013-12-11;15.3904;15.4519;14.9334;15.2379;161870.55864517
2013-12-12;15.0991;15.168;14.8218;14.9334;199769.92430675
2013-12-13;14.8916;15.2248;14.8916;14.9744;51561.014764439
2013-12-16;15.2248;15.2248;15.0424;15.168;46543.721487436
2013-12-17;15.168;15.168;14.6906;14.8916;91119.202871345
2013-12-18;14.7519;15.168;14.7519;14.9605;24151.767209214
2013-12-19;15.168;15.2248;14.6226;14.656;78826.297159254
2013-12-20;14.6906;14.7519;14.5658;14.6906;70693.339962912
2013-12-23;14.7798;15.168;14.7798;15.0302;22922.691511378
2013-12-27;15.0302;15.155;14.8916;15.155;28037.752173436
2013-12-30;15.1066;15.1959;14.9809;15.0787;25693.483665852
2014-01-02;15.168;15.2312;15.0991;15.0991;98754.728207462
2014-01-03;15.0991;15.168;14.9744;15.1196;15114.193109396
2014-01-07;15.168;15.168;14.927;15.0302;91747.707489557
2014-01-08;15.0852;15.0852;14.7194;14.8218;30187.560277779
2014-01-09;14.7399;14.7519;14.1302;14.2335;60686.686947493
2014-01-10;14.2335;14.7519;14.1637;14.7519;137738.13003959
2014-01-13;14.8916;14.9605;14.683;14.9605;154526.18673048
2014-01-14;14.9465;14.9465;14.7519;14.8004;81221.060909669
2014-01-15;14.8916;14.8916;14.7798;14.7798;104356.47706106
2014-01-16;14.7798;14.8916;14.683;14.7594;6965.1204100237
2014-01-17;14.7873;14.8916;14.6906;14.8292;102577.32552643
2014-01-20;15.0302;15.2043;14.8637;15.0787;18620.926568955
2014-01-21;15.168;15.2379;14.9744;15.0302;58298.369398291
2014-01-22;15.0302;15.0917;14.9744;15.0032;195378.98691422
2014-01-23;14.9605;15.0302;14.9129;15.0154;22518.729568733
2014-01-24;14.9949;14.9949;14.8218;14.8366;8615.3479204042
2014-01-27;14.7873;14.8766;14.7873;14.8218;29786.821435741
2014-01-28;14.8218;14.94;14.7873;14.8916;21298.248805848
2014-01-29;14.94;15.2165;14.8981;14.9055;127990.39943954
2014-01-30;14.8916;14.9605;14.8004;14.9605;11014.409138294
2014-01-31;14.9605;15.0228;14.683;14.9605;74050.736427717
2014-02-03;14.9605;14.9605;14.6226;14.8366;18344.814283689
2014-02-04;14.683;14.8366;14.6272;14.8218;21183.291550893
2014-02-05;14.7873;14.9605;14.7594;14.9055;55797.24332787
2014-02-06;14.7669;14.9129;14.7669;14.8366;205486.63041529
2014-02-07;14.8916;14.8916;14.683;14.8096;160075.29160751
2014-02-10;14.697;14.7873;14.3852;14.6766;130206.81828974
2014-02-11;14.5444;14.683;14.4764;14.6346;16844.998134931
2014-02-12;14.5723;14.6346;14.4895;14.5797;61963.034787554
2014-02-13;14.5444;14.6477;14.5444;14.5518;42465.424853709
2014-02-14;14.5797;14.724;14.5174;14.724;13389.834285073
2014-02-17;14.6346;14.8096;14.6142;14.7045;92798.438287182
2014-02-18;14.8004;14.8096;14.6142;14.7399;34684.859990314
2014-02-19;14.683;15.168;14.683;14.8981;28494.35809265
2014-02-20;14.8152;14.8916;14.5518;14.71;101837.08675387
2014-02-21;14.7519;14.7594;14.4969;14.697;152467.69980998
2014-02-24;14.7194;14.7798;14.6142;14.6906;17331.686326469
2014-02-25;14.6906;14.7194;14.3852;14.4066;255594.02680634
2014-02-26;14.4066;14.4066;13.782;13.782;209738.97448176
2014-02-27;13.782;13.9766;13.715;13.782;134767.50564754
2014-02-28;13.715;13.782;13.325;13.4917;60248.345265049
2014-03-03;13.2916;13.299;12.814;12.8895;51918.778931729
2014-03-04;12.828;13.2627;12.828;13.1594;45206.134735858
2014-03-05;13.1594;13.1938;13.0906;13.1455;13858.258239842
2014-03-06;13.1538;13.1938;12.9592;12.9592;12046.875699151
2014-03-07;12.9658;13.083;12.9528;12.9592;126450.83171664
2014-03-10;12.9444;12.9871;12.6335;12.6613;11534.402702763
2014-03-11;12.6474;12.9183;12.6409;12.869;161571.88465566
2014-03-12;12.8829;13.0207;12.6335;12.6819;10680.281042117
2014-03-13;12.667;12.814;12.667;12.7442;14525.440065328
2014-03-14;12.667;12.667;12.1281;12.5161;32935.79072801
2014-03-17;12.5442;12.626;12.3626;12.6056;21283.207669685
2014-03-18;12.6056;12.6213;12.397;12.5357;12127.453214306
2014-03-19;12.4679;12.626;12.4679;12.5357;9027.9047979993
2014-03-20;12.4325;12.5917;12.4325;12.5917;1854.3572154405
2014-03-21;12.5711;12.7257;12.5357;12.7257;6431.1600762613
2014-03-24;12.7442;13.3604;12.7442;13.3604;176594.75658121
2014-03-25;13.3604;14.0185;13.3604;13.9915;30904.162979227
2014-03-26;13.9356;14.1991;13.8445;14.025;35165.101980639
2014-03-27;13.8519;14.0185;13.8445;13.8519;8454.1928900936
2014-03-28;13.8519;14.0185;13.8519;13.9915;56027.15783778
2014-03-31;13.997;14.1106;13.5066;13.5066;39220.836910123
2014-04-01;13.7421;13.9477;13.715;13.782;35353.116182669
2014-04-02;13.8872;13.9217;13.5196;13.9217;48565.679934399
2014-04-03;13.6732;14.213;13.6582;14.1991;72832.404398568
2014-04-04;14.1991;14.1991;14.1302;14.1991;49160.879179681
2014-04-07;14.1777;14.1777;14.0669;14.1302;38204.485852297
2014-04-08;14.1302;14.2335;14.1302;14.1637;34587.092605259
2014-04-09;14.1302;14.1562;14.1302;14.1302;20002.562362151
2014-04-10;14.1302;14.1637;14.1302;14.1302;7203.6298548834
2014-04-11;14.0529;14.1432;14.0119;14.1302;6344.1363598936
2014-04-14;14.1228;14.1228;13.6854;14.025;71444.32240416
2014-04-15;14.0603;14.0603;13.8519;13.9012;4229.7823622186
2014-04-16;13.8519;13.8519;13.7904;13.8519;36894.832639307
2014-04-17;13.8519;13.8519;13.7355;13.8445;1217.2576622793
2014-04-22;13.8184;13.8519;13.769;13.769;28958.484579945
2014-04-23;13.7765;13.7904;13.7765;13.782;42899.46906868
2014-04-24;13.782;13.782;13.6508;13.7616;34870.725458606
2014-04-25;13.5196;13.7616;13.5196;13.541;9868.0596893518
2014-04-28;13.528;13.7207;13.5066;13.6098;42456.82991876
2014-04-29;13.5066;13.7001;13.4563;13.5066;36470.457726156
2014-04-30;13.3744;13.5066;13.2357;13.5001;24038.958687997
2014-05-02;13.5066;13.5066;13.4367;13.4367;363.1360016332
2014-05-05;13.4367;13.4367;13.0906;13.2571;5410.5115509609
2014-05-06;13.2292;13.2292;13.0207;13.0412;3398.222405816
2014-05-07;13.0207;13.0412;12.5161;12.814;41609.154459326
2014-05-08;12.814;13.0207;12.814;12.8829;40155.536085924
2014-05-09;12.8829;12.8829;12.7861;12.8419;71900.928323373
2014-05-12;12.814;12.814;12.6056;12.6763;241996.8397156
2014-05-13;12.6763;12.869;12.397;12.7508;21401.388025247
2014-05-14;12.6474;12.7442;12.6056;12.6959;3020.0452680205
2014-05-15;12.7442;12.814;12.7442;12.7442;17385.404669906
2014-05-16;12.7648;12.814;12.4734;12.5711;1623.368338662
2014-05-19;12.7787;12.7861;12.4679;12.6885;18703.652817847
2014-05-20;12.7861;13.5066;12.6959;13.5001;49013.690918663
2014-05-21;13.5001;14.185;13.2571;14.185;53902.060171418
2014-05-22;14.185;14.4066;13.9217;13.984;253305.62537592
2014-05-23;14.4001;14.4001;13.7904;14.0948;9932.5217014761
2014-05-26;14.1302;14.1302;13.9477;13.9701;89621.535456325
2014-05-27;13.9477;13.9636;13.8938;13.957;130475.41000693
2014-05-28;13.8519;13.8519;13.541;13.8184;5846.7044996683
2014-05-29;13.6453;13.7421;13.513;13.6648;1713.615155636
2014-05-30;13.513;13.9217;13.513;13.8519;74222.635126715
2014-06-02;13.6797;13.8519;13.6797;13.782;676.85112730448
2014-06-03;13.756;13.782;13.541;13.769;1363.3715564276
2014-06-04;13.7765;13.7765;13.541;13.541;2471.0437980958
2014-06-05;13.541;13.8519;13.541;13.8519;27280.323530976
2014-06-06;13.9217;13.9217;13.7616;13.8519;5450.2631251042
2014-06-09;13.5755;13.9431;13.5755;13.8519;5121.5068632706
2014-06-10;13.8519;14.2335;13.6732;14.2335;48272.377779234
2014-06-11;14.268;14.3442;13.9217;14.0743;11653.657425194
2014-06-12;14.0743;14.0948;13.9077;14.0603;2209.9726489926
2014-06-13;14.0529;14.0529;13.9077;13.9217;1015.2766909567
2014-06-16;13.8398;13.8398;13.5066;13.6797;3654.9960874442
2014-06-17;13.6453;13.7067;13.4712;13.6854;2742.8586158863
2014-06-18;13.5066;13.7067;13.5066;13.6797;12191.915226431
2014-06-20;13.5196;13.6797;13.5196;13.6453;755.2799087223
2014-06-23;13.6797;13.6797;13.541;13.5615;2551.621313251
2014-06-24;13.5484;13.6098;13.4163;13.4163;2151.9568380808
2014-06-25;13.4023;13.4098;13.3744;13.4023;3377.80943531
2014-06-26;13.299;13.4712;13.0281;13.057;5416.9577521733
2014-06-27;13.0365;13.299;13.0281;13.1045;1957.4964348393
2014-06-30;13.1045;13.3604;13.0207;13.3604;6171.1632940269
2014-07-01;13.3604;13.3604;12.8755;12.8755;2921.2035160967
2014-07-02;12.8755;12.9183;12.6409;12.9043;3297.2319201547
2014-07-03;12.8829;12.9043;12.5917;12.7787;3595.9059096637
2014-07-04;12.7722;12.814;12.7722;12.814;1315.0250473345
2014-07-07;12.814;12.814;12.6763;12.7024;11034.822108801
2014-07-08;12.7024;12.8829;12.6959;12.7787;2589.2241536568
2014-07-09;12.7442;12.9732;12.7442;12.7442;3009.3015993331
2014-07-10;12.7508;12.9797;12.7508;12.814;44978.368959686
2014-07-11;12.828;12.9528;12.612;12.7787;91218.044623269
2014-07-14;12.7861;13.083;12.7787;12.9183;3383.1812696537
2014-07-15;13.0207;13.0207;12.9183;12.9183;1567.5012614876
2014-07-16;12.9528;13.0207;12.8829;12.9239;1497.6674150197
2014-07-17;12.9313;12.9871;12.6763;12.6763;2692.3633730556
2014-07-18;12.6056;12.7377;12.5497;12.5497;6103.4781812965
2014-07-21;12.5357;12.7098;12.4679;12.4734;26064.140235567
2014-07-22;12.6056;12.6763;12.4818;12.6;5412.6602846984
2014-07-23;12.6409;12.6409;12.4882;12.4882;85189.772122784
2014-07-24;12.5357;12.6;12.2872;12.3701;14213.873673394
2014-07-25;12.3701;12.4325;12.1207;12.2602;5314.8928996433
2014-07-28;12.2528;12.6056;12.2528;12.3626;6840.4938532502
2014-07-29;12.6613;12.6613;12.2659;12.2659;49354.265216053
2014-07-30;12.4679;12.4679;12.1896;12.1896;3607.7239452197
2014-07-31;12.3003;12.4325;11.9056;12.4325;41626.344329226
2014-08-01;12.4185;12.4185;12.1281;12.3087;21019.987786845
2014-08-04;12.3087;12.4325;12.1486;12.1486;2049.8919855507
2014-08-05;12.4119;12.5357;12.3291;12.3291;5252.5796212566
2014-08-06;12.3291;12.4679;12.2528;12.2938;1609.4015693684
2014-08-07;12.2938;12.2938;12.1001;12.1001;4671.3471452696
2014-08-08;12.1625;12.1625;11.7744;11.8302;9711.2021265162
