Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
1994-12-16;3.38401;3.38401;3.38401;3.38401;122149.65226589
1994-12-19;3.63697;3.63697;3.63697;3.63697;336308.37502137
1994-12-20;3.44725;3.44725;3.44725;3.44725;111491.3283413
1994-12-21;3.38401;3.38401;3.38401;3.38401;68440.94469274
1994-12-22;3.47888;3.47888;3.47888;3.47888;59112.254647576
1994-12-23;3.54211;3.54211;3.54211;3.54211;70321.825385316
1994-12-27;3.47888;3.47888;3.47888;3.47888;62719.932586158
1994-12-28;3.38401;3.38401;3.38401;3.38401;64774.821308907
1994-12-29;3.54211;3.54211;3.54211;3.54211;68041.124715011
1995-01-02;3.79521;3.79521;3.79521;3.79521;92622.747664721
1995-01-03;4.17472;4.17472;4.17472;4.17472;224087.80692003
1995-01-04;4.07971;4.07971;4.07971;4.07971;152826.869494
1995-01-05;4.11148;4.11148;4.11148;4.11148;134498.90918598
1995-01-06;3.82682;3.82682;3.82682;3.82682;89110.707727456
1995-01-09;3.92177;3.92177;3.92177;3.92177;70382.927441713
1995-01-10;3.92177;3.92177;3.92177;3.92177;55839.309713603
1995-01-11;3.79521;3.79521;3.79521;3.79521;22392.575364002
1995-01-12;3.88999;3.88999;3.88999;3.88999;73646.574236667
1995-01-13;3.98485;3.98485;3.98485;3.98485;57965.92693734
1995-01-16;3.95331;3.95331;3.95331;3.95331;29978.528496272
1995-01-17;3.82682;3.82682;3.82682;3.82682;40377.832833962
1995-01-18;3.7002;3.7002;3.7002;3.7002;30541.730059585
1995-01-19;3.7002;3.7002;3.7002;3.7002;63916.735908199
1995-01-20;3.63697;3.63697;3.63697;3.63697;39867.763493604
1995-01-23;3.54211;3.54211;3.54211;3.54211;50674.857642466
1995-01-24;3.41563;3.41563;3.41563;3.41563;53284.978095086
1995-01-25;3.35239;3.35239;3.35239;3.35239;87100.981394217
1995-01-26;3.22592;3.22592;3.22592;3.22592;48360.949332814
1995-01-27;3.22592;3.22592;3.22592;3.22592;57192.853093359
1995-01-30;3.22592;3.22592;3.22592;3.22592;67731.629516304
1995-01-31;3.06782;3.06782;3.06782;3.06782;48244.058442316
1995-02-01;3.16259;3.16259;3.16259;3.16259;85845.732626927
1995-02-02;2.90964;2.90964;2.90964;2.90964;128198.75584921
1995-02-03;2.84641;2.84641;2.84641;2.84641;62009.289104147
1995-02-06;3.13106;3.13106;3.13106;3.13106;46789.563838948
