Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2007-04-12;14.6349;14.7345;12.295;12.566;3120558.2555699
2007-04-13;13.0592;13.4769;12.566;12.591;734413.48687586
2007-04-16;12.7873;12.7873;12.3439;12.4425;198617.34604271
2007-04-17;12.4425;12.4425;12.0498;12.1225;155244.45512375
2007-04-18;12.0231;12.0231;11.3592;11.6073;267684.27227738
2007-04-19;11.3343;11.6791;11.2109;11.5805;85493.374843706
2007-04-20;11.5566;11.8027;11.3104;11.3343;87736.004798343
2007-04-23;11.5307;11.5307;10.6696;10.7683;162151.26027256
2007-04-24;10.7185;10.7931;10.275;10.6207;103258.874956
2007-04-25;10.7185;11.0144;10.571;10.9647;45079.9002723
2007-04-26;10.9647;11.8027;10.9647;11.6285;154528.79398419
2007-04-27;11.8276;12.0498;11.3592;11.6285;62436.933413437
2007-04-30;11.6543;11.8027;11.4081;11.5307;30783.556281497
2007-05-02;11.5805;11.7281;11.481;11.7281;21431.575572518
2007-05-04;11.7281;11.7281;11.5307;11.6543;18195.346897387
2007-05-07;11.704;11.704;11.3592;11.481;27416.798216129
2007-05-08;11.3833;11.481;11.0385;11.0881;44208.954168492
2007-05-09;11.0881;11.2847;11.0385;11.2847;29713.440332245
2007-05-10;11.3343;11.3343;11.0385;11.0385;27195.123303403
2007-05-11;10.8162;10.9647;10.5941;10.9399;34764.702683658
2007-05-14;11.1122;11.4579;10.9158;11.3343;60397.9743177
2007-05-15;11.3592;11.3592;11.1122;11.2109;32693.111240362
2007-05-16;11.1859;11.1859;10.9647;11.0881;43446.032387636
2007-05-17;11.0881;11.1122;10.7931;10.8411;40150.165284209
2007-05-18;10.7425;10.8411;10.5941;10.8411;30973.724100029
2007-05-21;11.0144;11.0144;10.6696;10.7185;39057.544267674
2007-05-22;10.8411;10.8411;10.6207;10.7931;27367.28706811
2007-05-23;10.8411;11.5307;10.8411;11.2109;93747.108269329
2007-05-24;11.3104;11.4579;10.8411;11.3343;58702.217498011
2007-05-25;11.0881;11.6073;11.0633;11.5566;82461.942280839
2007-05-28;12.1954;12.566;12.0737;12.2221;144956.26361585
2007-05-29;12.271;12.9358;12.0231;12.7384;292664.89696026
2007-05-30;12.6887;13.1828;12.3198;12.566;142012.60081538
2007-05-31;12.6887;13.0592;12.6407;12.7624;74509.776756793
2007-06-01;12.8121;12.8121;12.1225;12.3198;42613.344898208
2007-06-04;12.2462;12.295;11.9511;12;50177.298011642
2007-06-05;12;12.1954;11.6285;11.7529;34450.756995076
2007-06-06;11.704;12.0737;11.704;12;42409.674039306
2007-06-08;12;12;11.7281;11.9022;17106.101640943
2007-06-11;12.0737;12.2462;11.9253;12.0737;35763.927670972
2007-06-12;12.0737;12.0737;11.8764;11.975;24365.111092709
2007-06-13;11.9511;12;11.8027;11.9511;19877.600676706
2007-06-14;12.0498;12.1954;11.9511;12.1724;43851.12359871
2007-06-15;12.0737;12.1724;11.8516;12.1724;40465.236226155
2007-06-18;12.1225;12.1724;11.9511;12.0737;20666.403284935
2007-06-19;12.0737;12.1724;11.9022;12.1466;35336.331392618
2007-06-20;12.1724;13.0592;12.1724;12.8121;232345.69037804
2007-06-21;12.566;12.9358;12.566;12.6887;50342.710256163
2007-06-22;12.7873;12.8629;12.591;12.7873;56997.45865141
2007-06-25;12.7624;12.8629;12.3439;12.7873;52724.87162795
2007-06-26;12.6887;12.9099;12.6887;12.8121;39338.857608697
2007-06-27;12.7384;13.4769;12.7384;13.1828;210756.57933456
2007-06-28;13.4031;13.4769;13.0592;13.2556;63257.243115862
2007-06-29;13.3054;13.3054;12.7384;12.9358;24748.822489864
2007-07-02;12.6158;12.8869;12.3198;12.7873;31674.756945857
2007-07-03;12.8121;12.8629;12.4425;12.566;44303.475451075
2007-07-04;12.4425;12.7624;12.4425;12.7144;32258.763441822
2007-07-05;12.6887;12.7873;12.566;12.6887;21017.482334532
2007-07-06;12.6887;12.7873;12.591;12.591;16490.588050786
2007-07-09;12.6887;12.8869;12.6887;12.8362;28623.069822437
2007-07-10;12.8362;12.9358;12.6158;12.7384;19595.162082318
2007-07-11;12.6407;12.7384;12.566;12.6407;31476.712353778
2007-07-12;12.7624;12.7624;12.4923;12.6407;17800.382966589
