Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
1998-03-12;3.78707;3.78707;3.78707;3.78707;85340.852895273
1998-03-13;3.8184;3.8184;3.8184;3.8184;198429.93719639
1998-03-16;3.8184;3.8184;3.8184;3.8184;116117.80496236
1998-03-17;3.8184;3.8184;3.8184;3.8184;50490.710745406
1998-03-18;3.75574;3.75574;3.75574;3.75574;18807.669422085
1998-03-19;3.8184;3.8184;3.8184;3.8184;33430.241323375
1998-03-20;3.8184;3.8184;3.8184;3.8184;41644.006612893
1998-03-23;3.78707;3.78707;3.78707;3.78707;48843.385125518
1998-03-24;3.78707;3.78707;3.78707;3.78707;66755.795043443
1998-03-25;3.88098;3.88098;3.88098;3.88098;60811.464464741
1998-03-26;4.13128;4.13128;4.13128;4.13128;258156.01984291
1998-03-27;4.31911;4.31911;4.31911;4.31911;361163.80827593
1998-03-30;4.22519;4.22519;4.22519;4.22519;131123.02810334
1998-03-31;3.97489;3.97489;3.97489;3.97489;75328.145456938
1998-04-01;3.69308;3.69308;3.69308;3.69308;66394.803307894
1998-04-02;3.63058;3.63058;3.63058;3.63058;56337.573555508
1998-04-06;3.72449;3.72449;3.72449;3.72449;34804.416530031
1998-04-07;3.75574;3.75574;3.75574;3.75574;43725.725621224
1998-04-08;3.69308;3.69308;3.69308;3.69308;43592.158679071
1998-04-09;3.59926;3.59926;3.59926;3.59926;93333.20992032
1998-04-14;3.63058;3.63058;3.63058;3.63058;46073.375208075
1998-04-15;3.56792;3.56792;3.56792;3.56792;24937.309091701
1998-04-16;3.53668;3.53668;3.53668;3.53668;20603.001653547
1998-04-17;3.44277;3.44277;3.44277;3.44277;37368.661158212
1998-04-20;3.50534;3.50534;3.50534;3.50534;16091.808264974
1998-04-21;3.38011;3.38011;3.38011;3.38011;23089.031405692
1998-04-22;3.50534;3.50534;3.50534;3.50534;16198.902479853
1998-04-23;3.56792;3.56792;3.56792;3.56792;30401.520662122
1998-04-24;3.56792;3.56792;3.56792;3.56792;26777.163637214
1998-04-27;3.66183;3.66183;3.66183;3.66183;53974.280993449
