Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2021-07-19;28.6116;29.5653;25.3737;26.7804;277874.24051645
2021-07-20;27.181;28.1347;25.7504;26.2464;55316.071727102
2021-07-21;26.7804;26.7804;25.7504;25.7504;31789.230848098
2021-07-22;25.7695;26.1224;25.3785;25.5597;12142.98708529
2021-07-23;25.5597;26.1892;25.512;25.655;14565.083637144
2021-07-26;26.6088;26.6088;25.7409;26.0365;14257.865329917
2021-07-27;26.3178;26.3178;25.6646;25.6646;1963.8904076287
2021-07-28;25.6646;25.7266;24.9874;25.2735;25668.980816422
2021-07-29;25.655;26.2273;25.2926;25.6264;58307.518247638
2021-07-30;25.7504;27.0713;25.1305;26.7804;30653.676490671
2021-08-02;27.0808;27.6579;26.4657;26.4657;16367.500941316
2021-08-03;26.8949;27.1333;25.7552;26.4085;5030.8308466645
2021-08-04;26.7041;26.7041;25.6025;26.3226;10734.815799948
2021-08-05;26.3178;26.3178;25.7456;26.1844;529.50595614122
2021-08-06;26.3226;26.3226;25.5597;25.841;3911.0043889243
2021-08-09;26.2178;26.2178;25.7504;26.2082;27692.637242863
2021-08-10;25.9411;26.3417;25.4643;25.655;13723.116740547
2021-08-11;26.4943;26.4943;25.5597;26.1033;3386.7410660122
2021-08-12;25.779;26.1748;25.512;25.5693;9542.641003646
2021-08-13;25.7504;25.7504;25.512;25.7504;865.03448280497
2021-08-16;25.7504;25.7504;25.1782;25.5502;125107.05379981
2021-08-17;25.7409;25.7409;25.1878;25.4643;1235.1643887809
2021-08-18;25.2831;25.5502;25.1782;25.5502;4766.6021319168
2021-08-19;25.7409;25.7409;25.2735;25.2735;266.32576803935
2021-08-20;25.3689;25.8935;25.2735;25.8935;9682.0950475407
2021-08-23;26.1319;26.1319;25.7552;26.0938;1861.134796338
2021-08-24;26.1319;26.2178;25.2974;26.2178;781.15235113903
2021-08-25;26.418;26.418;25.3928;25.4643;2004.7829468159
2021-08-26;25.4643;25.4643;25.2021;25.2831;12744.841379993
2021-08-27;25.2259;26.0938;25.2259;25.388;6515.5445771516
2021-08-30;25.655;25.7552;25.3689;25.7027;3081.6198120773
2021-08-31;25.7504;25.7504;25.1973;25.2735;12652.571035161
2021-09-01;25.3689;25.3689;25.1305;25.2449;10037.545580475
2021-09-02;25.6455;25.655;24.873;25.0924;82502.270600031
2021-09-03;25.2259;25.2544;25.0065;25.0494;17910.932163969
2021-09-06;25.1782;25.1782;24.6059;24.7872;28364.742822836
2021-09-07;24.749;24.749;23.7476;23.7858;41804.757369011
2021-09-08;23.8429;23.8477;22.7938;22.8892;27209.266459138
2021-09-09;22.8845;23.8429;22.7938;23.6475;5383.1357996614
2021-09-10;23.8382;23.8429;23.4615;23.533;4054.6525394022
2021-09-13;23.8429;24.8825;23.5568;24.5106;15203.636364451
2021-09-14;24.792;25.1591;24.6059;24.749;10845.959624406
2021-09-15;25.0733;25.0733;24.625;24.9683;4479.305830961
2021-09-16;24.7967;25.2735;24.0337;24.6155;13303.706082217
2021-09-17;24.7967;25.1782;24.0337;24.9827;5244.7302824127
2021-09-20;24.9779;24.9779;23.2707;23.8334;14657.353981977
2021-09-21;23.8239;24.3151;23.3375;23.3661;6478.8461445477
2021-09-22;24.4152;24.9397;23.3661;23.3661;24478.903073412
2021-09-23;23.7286;24.3198;23.4996;23.9813;2859.3321631626
2021-09-24;24.0051;24.6393;23.7953;23.8429;2394.8348590625
2021-09-27;23.8429;24.3914;23.7858;24.2244;4273.7946083794
2021-09-28;23.862;24.1291;23.8049;24.091;1102.0015047612
2021-09-29;23.8429;23.8763;23.4615;23.5282;10256.687649452
2021-09-30;23.5282;23.6522;22.8892;23.3661;14048.160000753
2021-10-01;23.1658;23.6999;22.9846;23.6856;1860.0862696921
2021-10-04;23.3661;23.9383;23.3661;23.8429;2589.8608151858
2021-10-05;23.8429;23.9383;23.3805;23.9097;3083.716865369
2021-10-06;23.6809;23.8429;22.8892;23.3471;10904.677116572
2021-10-07;23.3661;23.719;22.8892;23.4615;11785.439499064
2021-10-08;23.2707;23.4615;22.8892;22.9846;16856.11435827
2021-10-11;23.1753;23.3566;22.8034;22.8892;9620.231975437
2021-10-12;23.1133;23.1133;22.5316;22.6985;12653.619561806
2021-10-13;22.6985;23.2707;22.4029;22.4124;304414.54697556
2021-10-14;22.77;23.0991;22.3171;22.4124;10302.822821869
2021-10-15;22.4124;23.3661;22.3171;23.2707;47216.20338811
2021-10-18;23.3661;23.6045;23.2707;23.5568;12218.481003789
2021-10-19;23.5282;23.5282;22.4076;22.6985;31998.936177263
2021-10-20;22.5555;22.5936;21.9165;22.1358;120485.14834501
2021-10-21;22.1453;22.3171;21.8402;21.9356;21231.616051294
2021-10-22;21.9356;21.9356;21.411;21.4157;17579.597743889
2021-10-25;21.6638;21.6638;20.8006;20.8006;20151.633606095
2021-10-26;20.8006;21.1583;20.3142;20.5002;12937.770282825
2021-10-27;20.5002;20.5002;19.5989;20.257;21744.345581102
2021-10-28;20.1235;20.1235;19.0744;19.1698;46955.120253299
2021-10-29;19.2651;20.4859;19.0744;19.0887;45220.857181106
2021-11-02;19.0935;19.9899;19.0935;19.1889;14232.700690418
2021-11-03;19.1889;19.7229;19.0839;19.413;11941.669969292
2021-11-04;19.4082;19.9804;19.4082;19.8374;7667.8753609124
2021-11-05;20.0281;20.3142;19.3605;19.4654;11509.676991212
2021-11-08;19.637;19.637;17.825;18.1207;163893.10295549
2021-11-09;18.1207;18.2504;17.5484;17.9661;11032.597367362
2021-11-10;18.0158;18.0215;17.2242;17.5484;23451.346960504
2021-11-12;17.2337;17.7411;16.5947;16.6901;39166.664328117
2021-11-15;16.6901;17.0239;16.6329;16.6329;28450.722007794
2021-11-16;16.8808;17.31;16.7474;17.0486;35731.691036397
2021-11-17;16.7397;17.9299;16.7397;17.8155;15262.353856617
2021-11-18;17.8155;18.1207;17.6458;18.1207;6924.469969023
2021-11-19;18.3591;18.3591;17.1651;17.3577;12682.97830789
2021-11-22;17.3577;17.8365;16.6997;17.1669;14739.139060351
2021-11-23;17.1536;17.455;16.7854;16.8351;9761.7830726233
2021-11-24;16.8808;17.0716;16.4059;16.6901;16237.483637234
2021-11-25;16.7092;17.0144;16.4516;16.8866;30068.598622301
2021-11-26;16.7854;16.8751;16.4059;16.4059;9814.2094049145
2021-11-29;16.404;16.404;15.6391;16.0225;27783.85906105
2021-11-30;16.0797;16.0797;15.8337;15.9252;5626.3939814927
2021-12-01;15.8317;16.2132;15.7363;15.7554;101418.73981735
2021-12-02;15.8126;16.1198;15.8126;15.99;5691.4026335338
2021-12-03;15.9271;15.9939;15.7363;15.9939;20091.867587283
2021-12-06;16.404;18.0253;16.404;17.1669;91255.371039372
2021-12-07;17.7392;17.9299;17.4626;17.5484;10348.957994285
2021-12-08;17.9108;19.2555;17.5007;19.0744;198850.98132727
2021-12-09;19.2651;20.3619;19.0744;19.5989;50623.914987038
2021-12-10;19.6943;19.6943;17.9299;18.0539;15308.489029033
2021-12-13;18.0825;18.1207;17.1669;17.1669;15871.547837841
2021-12-14;17.1669;18.6929;16.4325;17.4721;87887.503452984
2021-12-15;17.6438;18.3667;16.7854;17.1192;27058.278622139
2021-12-16;17.1192;17.7297;16.9781;17.6438;15588.445643468
2021-12-17;17.6438;18.1684;17.1669;17.6438;225919.74521587
2021-12-20;17.6438;18.0158;17.2146;17.6438;15414.390220262
2021-12-21;17.825;17.9204;17.0716;17.1669;13292.172289113
2021-12-22;17.1669;17.3748;16.7378;16.7854;11838.914358001
2021-12-23;16.7854;16.7854;16.2609;16.3086;21743.297054456
2021-12-27;16.2132;16.3105;15.8031;15.8031;56908.783702108
2021-12-28;15.784;15.7936;14.8876;14.9848;101136.68614962
2021-12-29;15.021;16.0797;15.021;15.2614;29354.551976494
2021-12-30;15.6105;15.8794;15.3548;15.641;12204.850157394
2022-01-03;15.9462;15.9462;15.2614;15.4312;24668.686396306
2022-01-04;15.5838;16.9571;15.5818;16.8617;224645.78534119
2022-01-05;17.3577;17.5389;17.0907;17.4436;12280.344075893
2022-01-07;17.1631;17.1631;16.5279;17.0716;17716.954734492
2022-01-10;17.0716;17.3386;16.9762;17.1288;12343.255674642
2022-01-11;16.6997;17.0716;16.5089;16.8808;12827.674985013
2022-01-12;16.8808;16.919;16.5947;16.7854;12162.909091561
2022-01-13;16.9743;16.9743;16.5089;16.7359;11320.942194964
2022-01-14;16.6882;16.6901;16.5089;16.671;3399.3233857621
2022-01-17;16.9381;17.6438;16.6997;16.9285;37311.820691654
2022-01-18;17.146;17.909;16.6901;17.7869;86510.787967017
2022-01-19;17.6438;17.7297;17.0716;17.5866;68629.214549131
2022-01-20;17.5866;18.5022;17.3577;18.4068;59375.966899733
2022-01-21;18.4621;18.4907;17.3577;18.1493;20845.758245631
2022-01-24;17.7583;18.5975;16.8808;17.0048;29066.207148893
2022-01-25;17.0048;17.4321;17.0048;17.2146;11544.278370524
2022-01-26;17.2623;17.7392;17.1669;17.5408;14216.97279073
2022-01-27;17.4531;17.4531;17.1669;17.1669;37008.796491011
2022-01-28;17.1669;17.434;17.0335;17.1669;23450.298433858
2022-01-31;17.5484;17.5484;17.0716;17.31;24234.596364935
2022-02-01;17.5293;18.0024;17.043;17.7392;25641.719123631
2022-02-02;17.8345;17.9299;17.3577;17.6915;31937.073105159
2022-02-03;17.6915;18.0024;17.1669;17.6629;28575.496678647
2022-02-04;17.6629;18.3686;17.2623;18.0253;40586.369406563
2022-02-07;18.3114;18.3782;18.0444;18.3476;7796.8441383488
2022-02-08;18.2255;18.3782;18.0253;18.3;8231.9826963658
2022-02-09;18.3019;19.0744;17.8345;19.0706;125489.76602553
2022-02-10;19.0744;19.7801;19.0744;19.1698;47951.220566832
2022-02-11;19.1698;19.5417;18.6452;19.2651;24035.376302228
2022-02-14;18.7883;18.9599;17.4531;18.9599;22167.950346015
2022-02-15;18.9313;19.3605;18.3209;19.0744;23272.048904068
2022-02-16;19.2651;19.2651;18.6547;19.0267;12639.988715411
2022-02-17;18.216;19.0648;17.6686;18.5269;18761.287273732
2022-02-18;18.3114;18.8817;17.8536;18.7406;9365.4400005018
2022-02-21;19.5513;19.5513;17.6171;18.3114;24618.357117306
2022-02-22;17.6438;18.5956;17.0812;18.0367;16055.04000086
2022-02-23;18.3114;18.3114;17.9013;18.3038;5136.7320378928
2022-02-24;16.6806;17.5293;15.3072;17.1669;48517.424955577
2022-02-25;16.9762;17.4531;15.9844;16.5947;36161.586961185
2022-02-28;16.6901;17.5293;16.404;16.9667;9596.1158625831
2022-03-01;17.0144;17.4035;16.8808;17.3959;9544.7380569377
2022-03-02;17.1669;17.1669;16.404;17.1669;13771.348966255
2022-03-03;17.1669;17.6438;16.814;17.5961;13450.499812633
2022-03-04;17.4531;17.4531;16.8293;16.9228;8844.3222575271
2022-03-07;16.6997;17.1478;16.3086;16.8808;16797.396866104
2022-03-08;17.146;17.1536;16.7854;17.1536;4771.8447651459
2022-03-09;17.1555;17.7392;17.1555;17.5484;6682.2603138376
2022-03-10;17.6056;17.6247;17.1478;17.1574;8611.5493421542
2022-03-11;17.6247;17.6438;17.2414;17.6438;7364.8511602692
2022-03-14;17.8822;18.0253;17.6438;17.9967;6941.2463953562
2022-03-15;18.0253;18.0253;17.4054;17.4721;2909.6614421622
2022-03-16;17.8345;17.8345;17.5484;17.7392;3710.7357995718
2022-03-17;18.0825;18.3591;17.7583;18.2142;7223.3000630829
2022-03-18;18.2142;18.6929;18.1188;18.5784;10201.115737224
2022-03-21;18.5766;18.5975;18.3114;18.5975;3286.082508013
2022-03-22;18.5975;18.5975;18.3133;18.5022;3664.6006271556
2022-03-23;18.5975;18.5975;18.3877;18.5975;4459.3838246903
2022-03-24;18.5975;18.7883;17.5484;18.1112;11762.371912856
2022-03-25;18.4068;18.5002;18.1321;18.4086;1224.6791223227
2022-03-28;18.6929;18.6929;18.0253;18.5022;11246.49680311
2022-03-29;18.5766;18.5766;18.0367;18.0748;6298.499561466
2022-03-30;18.1207;18.3496;17.8155;18.073;16692.544201521
2022-03-31;18.073;18.319;17.6438;18.1207;16451.383072982
2022-04-01;18.2923;18.6948;18.0253;18.5784;58292.838874596
2022-04-04;18.8836;18.979;18.216;18.5022;11206.652790569
2022-04-05;18.4927;18.4927;18.1112;18.3591;12551.912477162
2022-04-06;18.3591;18.3591;17.7774;18.2523;7441.3936054144
2022-04-07;18.2523;18.2523;17.6438;17.8345;63340.446147594
2022-04-08;17.8345;17.8345;16.8808;16.8999;153944.68213991
2022-04-11;16.795;17.0621;16.2132;16.6615;24903.556364971
2022-04-12;16.6615;16.6901;15.7554;16.4421;18691.035988462
2022-04-13;16.4802;16.4802;15.4884;16.1178;22920.792477717
2022-04-14;16.0987;16.0987;15.2595;15.5456;40091.464829734
2022-04-19;15.7363;15.9271;15.1641;15.6792;22469.926020013
2022-04-20;15.5456;15.6601;15.5456;15.6219;15083.055800181
2022-04-21;15.5838;16.0034;15.5838;15.5838;12021.357994374
2022-04-22;15.8317;15.9271;15.2595;15.3548;9093.8715992333
2022-04-25;15.2786;15.4502;15.2595;15.4312;6652.9015677546
2022-04-26;15.641;15.8317;15.641;15.7363;6649.7559878171
2022-04-27;15.7363;15.7363;15.2786;15.4502;1963.8904076287
2022-04-28;15.4693;15.7554;15.1641;15.1641;11082.926646362
2022-04-29;15.393;15.393;15.0687;15.0687;7250.5617558743
2022-05-02;15.2405;15.2405;14.4011;14.4965;10478.975298367
2022-05-04;14.3057;14.4965;13.1614;13.2757;32559.897932779
2022-05-05;13.3521;13.3521;12.0359;12.2076;43564.185080704
2022-05-06;12.1695;12.1695;11.1585;11.4447;52766.054924457
2022-05-09;11.3684;11.9215;11.1585;11.4065;17670.819562075
2022-05-10;11.5972;11.788;11.4447;11.7117;65400.801006639
2022-05-11;11.5018;11.5018;11.1585;11.3493;29545.383826034
2022-05-12;11.025;11.0632;10.3383;10.7961;31778.74558164
2022-05-13;10.8724;11.6163;10.8724;11.4447;21272.508590481
2022-05-16;11.8261;12.5509;11.7308;12.2648;23633.790596877
2022-05-17;12.5318;12.5318;11.8642;12.2839;22671.243136011
2022-05-18;12.3411;12.4938;12.2457;12.3602;7077.5548593134
2022-05-19;12.303;12.303;11.6545;12.2839;8263.4384957405
2022-05-20;12.3984;12.3984;12.1885;12.3793;8074.7036994922
2022-05-23;12.5128;12.7035;12.4556;12.4747;10329.035988014
2022-05-24;12.5891;12.7035;12.4556;12.7035;3682.4255801346
2022-05-25;12.5509;12.7035;12.4365;12.4365;1290.7363010096
2022-05-26;12.6463;13.066;12.6463;13.0278;2251.1867085846
2022-05-27;12.818;12.818;11.6354;11.7689;29236.068465516
2022-05-30;12.0169;12.0169;11.5591;11.5591;9404.2354863973
2022-05-31;11.8261;11.8261;11.2539;11.4447;6777.6762386076
2022-06-01;11.4447;11.5591;11.273;11.4447;3670.8917870305
2022-06-02;11.5591;11.5781;11.273;11.273;7787.4073985363
2022-06-03;11.54;11.5591;11.1203;11.4065;67077.395113312
2022-06-06;11.4447;11.4447;11.0632;11.1966;9417.866332793
2022-06-07;11.3684;11.3684;11.1203;11.1585;4611.4201883348
2022-06-08;11.2539;11.2539;11.0632;11.0632;9772.2683390815
2022-06-09;11.292;11.292;10.758;10.777;5229.0023827253
2022-06-10;10.9678;10.9678;10.1285;10.3193;13980.005768774
2022-06-13;10.3956;10.3956;9.44182;10.0332;13156.912351802
2022-06-14;10.0141;10.1666;9.55626;9.93777;7829.3484643693
2022-06-15;10.1666;10.9678;10.1666;10.5863;12346.40125458
2022-06-17;11.0441;11.0441;10.6817;10.777;18433.098433589
2022-06-20;10.777;10.7961;10.4909;10.4909;7634.322508246
2022-06-21;10.7389;10.7389;10.4909;10.6244;11686.877994357
