Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2007-09-12;6.04475;6.59445;5.81022;5.81022;647482.16324906
2007-09-13;5.78834;6.00821;5.78834;6.00821;95230.846872009
2007-09-14;6.00821;6.00821;5.82504;5.83971;33418.749905472
2007-09-17;5.90558;5.97151;5.78088;5.82504;23453.868938765
2007-09-18;5.71511;5.89828;5.64162;5.86175;16997.580791474
2007-09-19;6.00084;6.15469;5.83233;6.15469;83317.145471933
2007-09-20;6.18394;6.18394;5.90558;6.08137;87282.810077006
2007-09-21;6.00821;6.04475;5.92753;5.92753;13978.281528508
2007-09-24;6.10341;6.10341;5.97151;6.00821;10091.381252033
2007-09-25;6.01551;6.01551;5.86175;5.97151;24191.389470193
2007-09-26;5.95693;6.08137;5.95693;6.08137;98771.661462215
2007-09-27;6.08137;6.59445;6.04475;6.44772;202640.32970393
2007-09-28;6.37457;6.37457;6.11808;6.30116;87295.937465106
2007-10-01;6.36727;6.43306;6.11069;6.28658;37693.504830351
2007-10-02;6.28658;6.59445;6.21334;6.30854;49438.936982965
2007-10-03;6.41102;6.41102;5.98618;6.18394;37759.141770851
2007-10-04;6.18394;6.19139;5.9421;6.13273;29690.571685114
2007-10-05;6.11808;6.30116;6.08137;6.30116;16357.918971336
2007-10-08;6.22801;6.35998;6.22801;6.30116;17570.412272195
2007-10-09;6.33058;6.33058;6.27191;6.30116;10012.616923434
2007-10-10;6.23529;6.24988;6.16206;6.20589;8047.0889052101
2007-10-11;6.29387;6.30116;6.21334;6.30116;3747.272603049
2007-10-12;6.31575;6.37457;6.22801;6.36727;6680.6471439072
2007-10-15;6.42593;6.44034;6.34516;6.42593;18669.532675828
2007-10-16;6.35253;6.42593;6.30854;6.36727;10664.212732754
2007-10-17;6.37457;6.43306;6.22801;6.43306;10913.633106651
2007-10-18;6.43306;6.44772;6.33058;6.42593;7180.6812906197
2007-10-19;6.38178;6.48442;6.30116;6.48442;7354.9175326723
2007-10-22;6.46992;6.46992;6.24251;6.41839;14327.947411531
2007-10-23;6.41839;6.44772;6.22801;6.44772;24031.474015158
2007-10-24;6.41839;6.41839;6.26462;6.33058;11089.062747622
2007-10-25;6.30116;6.44772;6.30116;6.42593;11174.98746973
2007-10-26;6.23529;6.51366;6.23529;6.51366;32616.785832462
2007-10-29;6.51366;6.66759;6.37457;6.66039;27670.147316654
2007-10-30;6.72633;7.21703;6.72633;6.99732;56740.151564321
2007-10-31;7.20966;7.25323;7.0559;7.10726;19374.831436466
2007-11-02;7.09989;7.75231;6.82144;7.47319;34466.554155624
2007-11-05;7.6846;7.69249;6.59445;6.67488;87237.460918115
2007-11-06;6.88747;6.88747;6.67488;6.7922;5013.4688552258
2007-11-07;6.96071;6.96071;6.5357;6.66759;18138.470157243
2007-11-08;6.57952;7.01937;6.26462;6.57952;44224.977109487
2007-11-09;6.94587;6.94587;6.27912;6.51366;25385.981787279
2007-11-12;6.80685;6.88001;6.30116;6.57232;13216.893018716
2007-11-13;6.66759;6.66759;6.31575;6.59445;361.59987220505
2007-11-14;7.01937;7.01937;6.66759;6.66759;45901.702589514
2007-11-15;6.79948;6.79948;6.22801;6.44772;43818.028078392
2007-11-16;6.32328;6.81398;6.32328;6.81398;12710.891877413
2007-11-19;6.90214;6.90214;6.44772;6.44772;14730.122846954
2007-11-20;6.44772;6.58698;6.30116;6.58698;5286.7572074863
2007-11-21;6.52832;6.52832;6.15469;6.30116;18824.67453519
2007-11-22;6.43306;6.52112;6.22801;6.52112;9288.2237801052
2007-11-23;6.44772;6.66039;6.44772;6.66039;4000.2731737007
2007-11-26;6.77745;6.85077;6.52112;6.65293;11651.153638079
2007-11-27;6.77745;6.77745;6.44772;6.59445;6649.6187720348
2007-11-28;6.44772;6.65293;6.44772;6.59445;1732.8152291806
2007-11-29;6.59445;6.63106;6.59445;6.59445;14637.037731336
2007-11-30;6.72633;7.1438;6.72633;7.1438;14298.112438577
2007-12-03;7.10726;7.10726;6.96071;7.10726;2522.8453130081
2007-12-04;7.09989;7.09989;7.09261;7.09261;575.21827855721
2007-12-05;7.17304;7.62025;7.08522;7.32739;2700.6617518153
2007-12-06;7.3051;7.32739;7.24636;7.32739;17466.586566314
2007-12-07;7.3196;7.32739;7.18779;7.32739;7687.8758308414
2007-12-10;7.32739;7.53235;7.10726;7.28968;18502.456827284
2007-12-11;7.28273;7.28273;7.2751;7.2751;3762.7867889852
