Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
1998-11-18;6.39985;6.55203;6.25219;6.25219;13892001.949612
1998-11-19;6.21412;6.21412;5.90991;6.10007;9204174.9598727
1998-11-20;6.21412;6.36194;6.21412;6.36194;6982513.5731671
1998-11-23;6.43799;6.5901;6.43799;6.47606;6786729.4489451
1998-11-24;6.47606;6.47606;6.21412;6.25219;4238045.5094255
1998-11-25;6.25219;6.32387;6.17605;6.28588;2265965.1748802
1998-11-26;6.28588;6.28588;6.17605;6.21412;1300470.0189529
1998-11-27;6.17605;6.17605;6.10007;6.10007;1878783.5990308
1998-11-30;6.02395;6.10007;6.02395;6.02395;2639790.4253345
1998-12-01;5.90991;5.90991;5.83385;5.87192;2759282.4978712
1998-12-02;5.87192;5.98595;5.87192;5.94798;1596193.2368541
1998-12-03;5.90991;6.17605;5.90991;6.10007;1453281.2959112
1998-12-04;6.06194;6.32387;6.06194;6.32387;2165071.7052044
1998-12-07;6.36194;6.36194;6.17605;6.25219;1425304.3747198
1998-12-08;6.25219;6.32387;6.25219;6.28588;2003125.3338111
1998-12-09;6.28588;6.28588;6.25219;6.28588;1811871.1003152
1998-12-10;6.36194;6.36194;6.28588;6.28588;2659311.3035763
1998-12-11;6.25219;6.32387;6.17605;6.28588;2109253.6731184
1998-12-14;6.25219;6.36194;6.25219;6.32387;1365439.1957818
1998-12-15;6.32387;6.36194;6.28588;6.28588;933643.9373527
1998-12-16;6.36194;6.47606;6.36194;6.43799;2472410.4074202
1998-12-17;6.36194;6.39985;6.32387;6.32387;693117.72808836
1998-12-18;6.36194;6.39985;6.36194;6.39985;1508764.740811
1998-12-21;6.36194;6.47606;6.36194;6.43799;1061605.6338688
1998-12-22;6.47606;6.55203;6.47606;6.51389;2716262.7343232
1998-12-23;6.5901;6.74197;6.5901;6.70382;1962469.9040708
1998-12-28;6.70382;6.78027;6.62801;6.70382;878061.72132789
1998-12-29;6.66632;6.66632;6.55203;6.5901;1996033.5670271
1998-12-30;6.5901;6.66632;6.5901;6.5901;819331.17568975
1998-12-31;6.5901;6.62801;6.5901;6.62801;411501.49613313
1999-01-04;6.70382;7.04627;6.70382;7.04627;1978053.5183373
1999-01-05;7.00836;7.08499;7.00836;7.04627;2200123.108233
1999-01-06;7.16007;7.65016;7.16007;7.65016;2525204.8084385
1999-01-07;7.84115;7.84115;7.4608;7.65016;3186803.4358604
1999-01-08;8.03069;8.59681;7.91729;8.52553;3576665.4131179
1999-01-11;8.33524;8.33524;7.95455;8.14488;2773626.5345174
1999-01-12;8.18215;8.41136;8.14488;8.22102;3667457.0659714
1999-01-13;7.95455;7.95455;7.23597;7.42208;2956861.7872923
1999-01-14;7.31258;7.68807;7.31258;7.38807;4275150.1172177
1999-01-15;7.16007;7.53654;7.12216;7.4979;4355186.8291843
1999-01-18;7.84115;8.63407;7.84115;8.52553;2763525.9523344
1999-01-19;8.52553;8.8633;8.33524;8.71101;4244786.6387153
1999-01-20;8.93861;9.31851;8.93861;9.1282;3991476.9765817
1999-01-21;9.80931;9.92346;9.39546;9.54776;7501684.2381595
1999-01-22;9.09093;9.28123;8.90143;8.90143;3497759.630534
1999-01-25;8.71101;9.35738;8.71101;9.24404;2229765.557522
1999-01-26;9.58496;10.037;9.54776;9.696;3150317.3822395
1999-01-27;9.84651;9.84651;9.58496;9.73321;2812141.1001207
1999-01-28;9.58496;9.99881;9.58496;9.96;2439607.2821273
1999-01-29;10.1511;10.3795;10.1511;10.3415;3467159.1013313
1999-02-01;10.4176;10.4176;10.1511;10.2654;2712110.6431508
1999-02-02;10.0758;10.2272;9.96;9.99881;1406009.4354266
1999-02-03;9.99881;10.1123;9.88551;10.037;1166010.4170427
1999-02-04;10.2272;10.2272;10.037;10.037;1282308.4783206
1999-02-05;9.84651;9.88551;9.696;9.77135;953610.52029664
1999-02-08;9.73321;10.0758;9.62302;9.96;561490.38819107
1999-02-09;9.84651;9.84651;9.58496;9.58496;562632.42932533
1999-02-10;9.35738;9.50886;9.28123;9.39546;1245542.161632
1999-02-11;9.47081;9.54776;9.43354;9.47081;915844.14596619
1999-02-12;9.84651;9.84651;9.43354;9.47081;782840.18351247
1999-02-15;9.39546;9.50886;9.39546;9.43354;592653.91280695
1999-02-16;9.43354;9.73321;9.43354;9.73321;1707740.4070135
1999-02-17;9.54776;9.58496;9.39546;9.43354;746429.44287435
1999-02-18;9.39546;9.39546;9.24404;9.24404;608721.50558659
1999-02-19;9.09093;9.09093;8.52553;8.59681;2738697.3607561
1999-02-22;8.67216;8.67216;8.33524;8.48668;1395966.8812797
1999-02-23;8.71101;8.71101;8.22102;8.22102;1538154.0890918
1999-02-24;8.29635;8.29635;7.99262;8.14488;1828932.5775414
1999-02-25;8.03069;8.22102;7.76502;7.87842;1718663.2588132
1999-02-26;7.87842;7.99262;7.80229;7.91729;2118249.2533392
1999-03-01;8.33524;8.33524;7.95455;8.03069;1053037.2387642
1999-03-02;8.22102;8.41136;8.18215;8.3733;978672.45865794
1999-03-03;8.29635;8.3733;8.22102;8.22102;412436.11790462
1999-03-04;8.22102;8.22102;8.06876;8.14488;374538.87183338
