Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2007-10-22;21.8945;22.6908;21.8945;22.213;32763.183672918
2007-10-23;22.2922;22.5315;22.2922;22.3713;4739.4285713488
2007-10-24;22.4523;22.4523;22.213;22.2922;3960.4897958517
2007-10-25;22.2922;22.3713;21.9021;21.9021;7026.3673468205
2007-10-26;21.9736;22.2922;21.5044;21.5044;6161.4693876514
2007-10-29;21.8945;21.8945;19.9034;20.6997;6800.3265304977
2007-10-30;20.6921;20.6921;20.3821;20.3821;189.95918367027
2007-10-31;19.8243;21.4884;19.1081;21.4884;11354.040816135
2007-11-02;21.4884;21.4884;20.3181;21.4884;1281.9591836519
2007-11-05;21.887;22.213;21.887;22.213;729.06122447752
2007-11-06;22.213;22.2922;22.213;22.2922;70.040816325351
2007-11-07;22.213;22.213;21.0182;22.213;2524.653061182
2007-11-08;22.213;22.213;20.7797;22.213;479.67346937968
2007-11-09;22.1338;22.1338;21.4959;21.4959;251.5102040774
2007-11-12;22.1169;22.1169;20.6997;21.4884;155.99999999737
2007-11-13;21.4884;21.4884;21.4884;21.4884;501.95918366502
2007-11-14;21.4733;21.4733;19.9034;21.0106;1777.5510203782
2007-11-15;20.9635;20.9635;19.9034;20.613;1708.5714285427
2007-11-16;20.939;20.939;20.0637;20.302;497.71428570591
2007-11-19;20.2936;20.2936;19.4257;19.7451;615.51020407127
2007-11-20;20.2936;20.2936;19.1081;19.1081;902.04081631134
2007-11-21;19.1081;19.1081;17.2046;19.1081;2036.4897958841
2007-11-22;18.7104;18.7104;15.5405;16.6402;247142.20407747
2007-11-23;16.7193;16.7193;15.7403;16.48;42222.938774799
2007-11-26;17.0294;17.0294;15.7874;16.7193;49661.061223654
2007-11-27;16.7193;16.7193;15.7639;15.9231;12907.67346917
2007-11-28;15.8439;16.7193;15.5254;16.7193;137554.85714054
2007-11-29;16.7193;17.2216;16.4008;17.0378;155177.5510178
2007-11-30;16.9578;16.9578;16.5601;16.7193;13991.183673234
2007-12-03;16.7193;17.0294;16.3368;16.9983;63586.448978521
2007-12-04;16.7193;16.9898;16.7193;16.8786;146989.14285467
2007-12-05;16.9578;17.4365;16.7193;17.4365;111062.44897772
2007-12-06;17.4365;17.9142;17.4365;17.8972;14200.24489772
2007-12-07;17.9142;18.3514;17.9058;18.3119;29718.530611745
2007-12-10;18.3514;18.9488;18.3514;18.9488;14145.061224252
2007-12-11;18.9488;18.9488;18.2318;18.7104;67822.857141715
2007-12-12;18.8688;18.8688;17.6909;18.8612;836.2448979451
2007-12-13;18.6294;18.7736;17.6909;18.7104;46888.081631864
2007-12-14;18.5107;18.5107;17.9142;17.9142;1015.5918367176
2007-12-17;18.0179;18.8132;17.6909;18.5503;63886.775509128
2007-12-18;18.7972;18.8132;18.0009;18.5503;119418.53061023
2007-12-19;18.7104;18.7104;18.0329;18.686;1049.5510203905
2007-12-20;18.3119;18.6699;18.0574;18.3119;4168.4897958482
2007-12-21;18.2959;18.3119;17.6033;17.9142;20758.612244548
2007-12-27;17.9142;18.2959;16.855;18.2959;30516.571428058
2007-12-28;18.2959;18.2959;18.2798;18.2798;2324.0816326139
2008-01-02;18.2798;18.7104;18.2798;18.2798;8813.4693876067
2008-01-03;17.9142;18.4711;17.9142;17.9934;2576.6530611811
2008-01-04;17.9934;18.2723;17.5156;17.9858;21237.224489438
2008-01-07;17.9142;17.9142;16.8786;17.0775;10429.714285539
2008-01-08;17.5081;17.5081;16.9578;17.118;5989.5510203073
2008-01-09;16.9578;17.1575;16.7985;17.1575;134735.1836712
2008-01-10;17.0378;17.0378;16.8466;16.855;4349.9591836002
2008-01-11;16.9578;16.9578;16.0823;16.6638;45654.938774741
2008-01-14;16.48;16.9578;16.48;16.9578;3554.0408162667
