Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2013-07-18;16.0378;17.2703;16.0378;17.2275;12425.080574757
2013-07-19;17.2184;17.2275;17.2184;17.2275;2042.4789985901
2013-07-22;17.2275;17.2275;16.7965;17.2275;2382.8921650218
2013-07-23;16.7965;17.2275;16.7965;17.2275;3276.476726905
2013-07-24;17.3131;17.3131;17.2275;17.2703;2585.0124825906
2013-07-25;17.2275;17.2275;17.2275;17.2275;404.24063513763
2013-07-26;17.2275;17.2275;17.2275;17.2275;531.89557254951
2013-07-29;17.2275;17.2275;17.2275;17.2275;106.3791145099
2013-07-30;17.2275;17.2448;17.2275;17.2364;585.08512980447
2013-07-31;17.3049;17.8223;17.3049;17.8223;7521.0033958501
2013-08-01;17.6493;17.8306;17.6493;17.8306;1361.6526657268
2013-08-02;17.9599;18.0893;17.9163;17.9163;755.29171302031
2013-08-05;18.2608;18.2608;18.2608;18.2608;159.56867176485
2013-08-06;18.1749;18.1749;17.9163;17.9163;670.18842141239
2013-08-08;17.9163;17.9163;17.8471;17.8471;85.103291607922
2013-08-09;17.9163;18.0893;17.9163;18.0893;2542.4608367867
2013-08-12;17.9163;18.0893;17.9163;18.0893;329.7752549807
2013-08-14;18.0893;18.1321;18.0893;18.0893;2244.5993161589
2013-08-16;18.0893;18.0893;18.0893;18.0893;308.49943207872
2013-08-19;18.0893;18.0893;17.9163;17.9554;1446.7559573347
2013-08-20;17.8471;17.8471;17.4433;17.4433;1616.9625405505
2013-08-22;17.262;17.3131;16.7965;17.3131;3053.0805864342
2013-08-23;17.3131;17.3131;17.2275;17.2275;2946.7014719243
2013-08-26;17.5734;17.5734;17.2275;17.2275;3755.1827421996
2013-08-27;17.3131;17.3131;17.2275;17.2275;627.63677560843
2013-08-28;17.0598;17.2275;17.0552;17.2275;1542.4971603936
2013-08-29;17.3131;17.3131;17.3131;17.3131;106.3791145099
2013-08-30;17.7479;17.7479;17.7479;17.7479;74.465380156932
2013-09-02;17.7433;17.7433;17.7433;17.7433;106.3791145099
2013-09-03;17.7433;18.2524;17.4049;17.5335;7872.0544737328
2013-09-04;17.5756;17.5756;17.5756;17.5756;808.48127027526
2013-09-05;17.5756;17.614;17.5734;17.5734;1446.7559573347
2013-09-06;17.614;17.614;17.614;17.614;53.189557254951
2013-09-09;17.6584;17.8306;17.6584;17.6584;457.43019239258
2013-09-10;17.6584;17.6584;17.6584;17.6584;351.05107788268
2013-09-11;17.5756;17.5756;17.5756;17.5756;159.56867176485
2013-09-12;17.6584;17.6584;17.5756;17.5756;1106.342790903
2013-09-13;17.5734;17.8306;17.5734;17.8306;1680.7900092565
2013-09-16;17.8306;18.0028;17.8306;18.0028;648.91259851041
2013-09-17;18.0028;18.1749;17.9674;18.0893;4818.9738872986
2013-09-18;17.6584;18.606;17.6584;18.5194;6552.95345381
2013-09-19;18.4329;18.7782;18.4329;18.7782;1063.791145099
2013-09-20;18.606;18.7346;18.606;18.7346;106.3791145099
2013-09-23;18.7346;19.0352;18.7346;18.9503;2872.2360917674
2013-09-24;18.9503;18.9503;18.9503;18.9503;287.22360917674
2013-09-26;18.9669;18.9669;18.8638;18.8638;1191.4460825109
2013-09-27;18.8638;18.8638;18.8638;18.8638;127.65493741188
2013-09-30;18.9503;18.9503;18.9503;18.9503;106.3791145099
2013-10-02;18.9503;19.1225;18.9503;19.1225;5478.52439726
2013-10-03;19.1225;19.1225;19.1225;19.1225;63.827468705942
2013-10-04;19.1225;19.1225;19.1225;19.1225;106.3791145099
2013-10-11;18.6924;19.1225;18.6743;19.1225;1925.4619726292
2013-10-14;19.1052;19.3813;19.1052;19.3813;2914.7877375713
2013-10-15;19.4767;19.8986;19.4767;19.8986;1829.7207695703
2013-10-16;19.8986;20.6732;19.8986;20.501;1351.0147542758
2013-10-17;20.6732;21.0184;20.2416;20.2416;1585.0488061976
2013-10-21;20.501;20.501;20.501;20.501;42.551645803961
2013-10-22;20.2378;20.2378;20.2378;20.2378;127.65493741188
2013-10-25;20.501;20.501;20.501;20.501;457.43019239258
