Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2018-07-30;12.3021;14.7626;12.2933;14.4989;9631.0437160726
2018-07-31;15.7291;15.7291;11.5112;11.6958;2141.7492938259
2018-08-01;13.1368;13.4444;10.5095;13.4444;1454.3866086661
2018-08-02;13.6114;15.7291;11.8627;11.9506;557.62866842439
2018-08-03;11.8627;12.3021;11.4233;11.9506;411.96240401965
2018-08-06;12.0385;13.9717;11.4233;12.3021;1346.2749280532
2018-08-07;11.3355;13.1808;11.3355;13.1808;162.73652976467
2018-08-08;13.1368;13.752;13.1368;13.752;100.14555677826
2018-08-09;12.5657;14.3671;11.0718;12.1264;1358.7931226504
2018-08-10;12.6536;12.6536;12.6536;12.6536;1.138017690662
2018-08-13;12.6536;12.7415;12.6536;12.7415;112.66375137554
2018-08-14;12.3021;12.3021;11.8627;11.8627;512.10796079791
2018-08-16;11.4233;11.4233;9.66592;9.68348;448.37897012083
2018-08-17;10.8962;10.984;10.8962;10.984;237.84569734836
2018-08-20;11.4233;11.4233;11.4233;11.4233;113.8017690662
2018-08-22;10.5535;10.5535;9.49018;9.49018;165.01256514599
2018-08-23;9.57802;9.57802;9.57802;9.57802;2.276035381324
2018-08-27;10.1053;10.3689;10.1053;10.3689;183.22084819658
2018-08-29;10.5447;10.5447;10.5447;10.5447;17.07026535993
2018-08-31;10.5447;10.5447;10.5447;10.5447;94.455468324947
2018-09-03;10.3689;10.3689;9.49018;9.49018;319.78297107603
2018-09-04;9.70991;10.1053;8.78721;10.1053;796.61238346341
2018-09-05;10.0174;10.0174;8.78721;9.22657;480.24346545937
2018-09-06;8.61147;8.87508;8.34785;8.34785;627.04774755477
2018-09-07;8.25998;8.40057;8.25998;8.40057;137.7001405701
2018-09-10;8.40057;8.40057;7.82062;7.90849;204.84318431916
2018-09-11;7.46913;7.46913;7.02977;7.46913;358.47557255853
2018-09-12;7.45156;7.45156;7.45156;7.45156;133.14806980746
2018-09-13;7.38126;7.38126;7.2143;7.2143;125.18194597282
2018-09-14;7.73274;7.73274;7.73274;7.73274;4.552070762648
2018-09-17;7.73274;7.73274;7.73274;7.73274;40.968636863832
2018-09-18;7.73274;8.78721;7.73274;8.78721;142.25221133275
2018-09-19;8.34785;8.34785;7.73274;7.74153;375.54583791846
2018-09-21;8.76963;8.76963;8.76963;8.76963;5.6900884533101
2018-09-24;8.18089;8.18089;8.18089;8.18089;199.15309586585
2018-09-27;8.18089;8.18089;8.18089;8.18089;213.94732584446
2018-09-28;8.1721;8.48844;8.1721;8.48844;112.66375137554
2018-10-16;8.48844;8.48844;8.48844;8.48844;116.07780444753
2018-10-18;8.43572;8.43572;8.43572;8.43572;34.14053071986
2018-10-23;8.78721;9.06841;8.78721;9.06841;10.242159215958
2018-10-25;9.1387;9.62202;9.1387;9.62202;71.695114511707
2018-10-26;8.96295;9.66592;8.96295;9.66592;23.898371503902
2018-10-29;9.62202;9.62202;8.96295;8.96295;116.07780444753
2018-10-30;8.96295;8.96295;8.78721;8.78721;17.07026535993
2018-10-31;8.52359;9.06841;8.52359;9.06841;15.932247669268
2018-11-05;8.43572;8.43572;8.43572;8.43572;45.52070762648
2018-11-08;8.34785;8.34785;7.02977;7.90849;307.26477647874
2018-11-09;7.46913;7.90849;6.32679;7.90849;510.96994310724
2018-11-13;7.90849;8.01394;7.90849;8.01394;34.14053071986
2018-11-14;7.46913;7.46913;6.41466;7.46913;444.96491704885
2018-11-15;7.46913;7.557;6.15983;7.02977;737.43546354898
2018-11-16;7.02977;8.43572;5.62382;6.15983;1952.838357176
2018-11-19;7.02977;7.02977;6.15105;6.15105;2.276035381324
2018-11-20;7.02977;7.02977;7.02977;7.02977;1.138017690662
2018-11-21;7.557;8.43572;7.557;7.83819;238.98371503902
2018-11-23;8.78721;8.78721;8.78721;8.78721;1.138017690662
2018-11-26;8.11938;8.11938;8.11938;8.11938;1.138017690662
2018-12-04;8.11938;8.78721;7.90849;7.90849;188.91093664989
2018-12-05;7.95242;8.54117;7.95242;8.54117;11.38017690662
2018-12-07;8.54117;9.66592;7.90849;7.90849;45.52070762648
2018-12-11;8.54117;8.54117;8.54117;8.54117;120.62987521017
2018-12-12;8.96295;10.5447;8.78721;8.78721;118.35383982885
2018-12-13;9.9735;9.9735;9.9735;9.9735;5.6900884533101
2018-12-17;10.3689;10.5447;8.78721;8.78721;28.45044226655
2018-12-18;9.66592;9.66592;9.66592;9.66592;4.552070762648
2018-12-20;9.66592;11.4233;8.78721;11.4233;229.87957351373
2019-01-02;10.5447;11.1597;9.1387;9.1387;205.98120200982
2019-01-03;10.8522;10.8522;10.8522;10.8522;134.28608749812
2019-01-04;11.4233;11.4233;11.4233;11.4233;557.62866842439
2019-01-07;11.5112;11.5112;9.22657;9.22657;500.72778389129
2019-01-08;9.40232;9.40232;7.95242;7.95242;125.18194597282
2019-01-09;8.78721;8.78721;8.78721;8.78721;11.38017690662
2019-01-10;9.44625;9.44625;9.22657;9.44625;330.02513029198
2019-01-11;9.8856;10.1053;9.22657;9.22657;119.49185751951
2019-01-14;10.1053;10.1053;8.08423;8.08423;298.16063495345
2019-01-15;9.40232;9.66592;8.12817;9.66592;124.04392828216
2019-01-16;9.66592;10.5447;9.66592;10.5447;106.97366292223
2019-01-17;9.76259;9.76259;9.75381;9.75381;187.77291895923
2019-01-18;9.8856;10.1053;9.66592;10.1053;485.93355391268
2019-01-21;9.66592;9.66592;9.66592;9.66592;62.590972986411
2019-01-22;9.8856;9.8856;9.22657;9.22657;438.13681090487
2019-01-23;8.78721;8.96295;8.78721;8.96295;284.5044226655
2019-01-24;9.22657;9.22657;9.22657;9.22657;113.8017690662
2019-01-25;8.96295;8.96295;8.12817;8.12817;186.63490126857
2019-01-28;9.06841;9.06841;9.06841;9.06841;1.138017690662
2019-01-29;8.12817;8.12817;7.46913;7.46913;536.00633230181
2019-01-30;8.43572;9.66592;8.43572;9.66592;245.81182118299
2019-01-31;9.18263;10.5447;8.96295;8.96295;153.63238823937
2019-02-01;8.78721;9.1387;8.78721;9.1387;233.29362658571
2019-02-04;8.87508;8.87508;8.78721;8.78721;233.29362658571
2019-02-06;8.52359;8.68176;8.52359;8.68176;274.26226344954
2019-02-07;8.87508;9.66592;8.796;8.796;261.74406885226
2019-02-08;8.78721;8.78721;8.78721;8.78721;119.49185751951
2019-02-15;8.5851;9.66592;8.5851;9.66592;23.898371503902
2019-02-26;9.1387;10.5447;9.1387;10.5447;125.18194597282
2019-02-27;9.79771;9.79771;8.78721;8.78721;183.22084819658
2019-03-01;9.22657;10.5447;9.1387;10.5447;228.74155582306
2019-03-07;9.44625;9.66592;8.796;8.796;119.49185751951
2019-03-08;9.40232;9.40232;8.796;8.796;109.24969830355
2019-03-11;8.78721;9.44625;8.62904;8.62904;166.15058283665
2019-03-12;9.22657;9.22657;8.63783;8.63783;117.21582213819
2019-03-14;8.83115;9.22657;8.63783;8.63783;4.552070762648
2019-03-15;8.78721;8.78721;8.78721;8.78721;2.276035381324
2019-03-18;8.78721;9.22657;8.78721;9.1387;205.98120200982
2019-03-19;8.63783;8.63783;8.63783;8.63783;2.276035381324
2019-03-20;9.1387;9.79771;8.63783;8.63783;14.794229978606
2019-03-22;9.1387;9.1387;7.31974;7.31974;161.59851207401
2019-03-25;8.61147;8.76963;8.61147;8.61147;485.93355391268
2019-03-26;7.38126;7.38126;7.38126;7.38126;2.276035381324
2019-03-27;8.1721;8.48844;7.46913;7.46913;370.99376715582
2019-03-29;8.25998;9.06841;8.25998;9.06841;165.01256514599
2019-04-01;8.96295;10.5447;8.96295;9.66592;143.39022902341
2019-04-02;9.31444;11.0718;9.31444;11.0718;30.726477647874
2019-04-03;9.57802;11.4233;9.57802;11.4233;6.8281061439721
2019-04-04;10.5447;12.6536;10.5447;12.6536;29.588459957212
2019-04-08;11.3355;11.3355;10.1053;10.1053;17.07026535993
2019-04-09;10.1053;10.1053;10.1053;10.1053;5.6900884533101
2019-04-10;10.1053;10.1053;10.1053;10.1053;5.6900884533101
2019-04-11;10.1053;10.1053;10.1053;10.1053;5.6900884533101
2019-04-12;10.1053;10.1053;10.1053;10.1053;7.9661238346341
2019-04-15;10.1053;10.1053;10.1053;10.1053;5.6900884533101
2019-04-16;10.1053;10.1053;10.1053;10.1053;17.07026535993
2019-04-17;10.1053;10.1053;10.1053;10.1053;11.38017690662
2019-04-18;10.0174;10.0174;8.87508;8.87508;187.77291895923
2019-04-23;9.57802;9.57802;9.57802;9.57802;20.484318431916
2019-04-24;10.1053;10.1053;10.1053;10.1053;1.138017690662
2019-04-25;10.1053;10.1053;10.1053;10.1053;1.138017690662
2019-04-26;9.49018;9.49018;8.87508;8.87508;227.6035381324
2019-04-29;8.87508;8.87508;8.87508;8.87508;1.138017690662
2019-05-07;9.05083;9.05083;9.05083;9.05083;1.138017690662
2019-05-08;9.05083;9.05083;9.05083;9.05083;2.276035381324
2019-05-09;9.05083;9.05083;9.05083;9.05083;1.138017690662
2019-05-10;9.05083;9.57802;9.05083;9.57802;121.76789290084
2019-05-13;10.0174;10.0174;10.0174;10.0174;1.138017690662
