Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2007-07-20;35.5041;38.3671;33.3312;33.3312;1208311.2496705
2007-07-23;33.9746;33.9746;31.1569;33.6927;154720.60065603
2007-07-24;33.6927;33.6927;32.6051;33.3312;113089.72890186
2007-07-25;31.301;33.3312;31.301;33.3312;17178.45836648
2007-07-26;33.3312;33.3312;32.2437;32.6135;14624.226947557
2007-07-27;31.2297;31.6566;31.1569;31.5199;9534.8433359971
2007-07-30;30.9095;31.1569;29.7077;29.7798;12870.130580968
2007-07-31;29.7077;30.8239;29.7077;30.7368;3238.698661902
2007-08-01;30.2502;31.4689;29.3463;31.1643;9372.6699125734
2007-08-02;31.5199;33.3312;31.5199;32.6051;5961.0657624624
2007-08-03;32.6051;34.0551;31.447;32.6428;10283.702967689
2007-08-06;31.301;32.6428;30.7954;32.5992;9518.1490129975
2007-08-07;31.9182;32.6051;31.8814;31.8814;1187.6818362498
2007-08-08;30.9388;32.5992;30.142;32.4533;982.58015368454
2007-08-09;32.5766;32.5766;31.0117;31.8814;3598.819058034
2007-08-10;29.7077;31.1492;29.7077;31.1492;3777.6868044571
2007-08-13;32.5766;32.5766;29.7077;31.8738;8150.4069786818
2007-08-14;30.7954;31.5199;30.4314;30.7954;4210.5467508011
2007-08-16;28.9831;28.9831;28.2577;28.9831;7916.6864566889
2007-08-17;28.9831;31.1569;27.5341;31.1569;6489.3218402321
2007-08-20;31.1569;32.5766;31.1569;31.8084;4243.9353968
2007-08-21;31.8738;31.8738;31.0705;31.0705;35.773549284631
2007-08-22;31.8084;31.8084;30.4314;31.1492;314.80723370476
2007-08-23;29.9032;30.4314;29.9032;30.0692;3527.2719594646
2007-08-24;30.0692;30.0692;29.7077;30.0692;1392.783518815
2007-08-27;30.0692;30.4314;28.9831;30.4314;4431.150304723
2007-08-28;31.0117;31.0117;30.4314;30.4314;3200.5402093317
2007-08-29;29.7077;30.4314;29.7077;30.4314;7225.0645038526
2007-08-30;30.4314;31.0117;30.4314;30.7954;3981.5960353795
2007-08-31;30.7223;30.7871;30.4314;30.7871;971.84808889915
2007-09-03;31.1569;31.1569;29.7077;30.9757;1015.9687996835
2007-09-04;31.5199;31.5199;30.4314;30.4314;1159.0629968221
2007-09-05;30.7954;30.8306;30.7223;30.7954;7866.6034876904
2007-09-06;30.7954;30.9388;30.142;30.7954;8447.3274377442
2007-09-07;30.6209;31.1569;30.6209;30.7954;16700.285257709
2007-09-10;29.8671;30.7871;29.0628;29.7077;6074.3486685304
2007-09-11;29.7077;30.4314;29.7077;29.7077;1684.9341713061
2007-09-12;29.7077;30.6134;29.7077;30.6134;312.42233041911
2007-09-13;29.3463;30.7871;29.3463;30.7871;2970.3970422672
2007-09-14;29.426;30.4314;29.426;30.4314;112.09045442518
2007-09-17;30.0692;30.0692;29.3463;29.3463;108.51309949671
2007-09-18;29.3463;29.7077;29.3378;29.3378;1638.4285572361
2007-09-19;30.0692;30.0692;29.2657;29.5627;4444.267272794
2007-09-20;28.3324;29.7077;28.3324;29.7077;7530.3321244148
2007-09-21;28.6208;29.701;28.6208;29.701;445.97691441507
2007-09-24;28.729;29.4176;28.729;29.3815;2276.3901861453
2007-09-25;28.2577;29.3463;28.2577;29.3463;1876.9188858003
2007-09-26;29.3463;29.3463;28.911;28.911;28993.269243551
2007-09-27;28.911;28.9831;28.4465;28.9831;1709.9756558054
2007-09-28;28.911;28.911;28.1279;28.2577;884.79911897321
