Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2014-06-25;13.7406;13.7406;12.6566;12.6566;221442.74916477
2014-06-26;12.6945;13.4734;12.6945;13.1229;37124.633597452
2014-06-27;13.1526;13.359;13.149;13.1845;5399.3345217553
2014-06-30;13.1913;13.3554;13.1913;13.2826;4717.8520403365
2014-07-01;13.3249;13.3249;13.1645;13.1689;861.95412669579
2014-07-02;13.2261;13.2261;12.9239;12.9774;87538.175582571
2014-07-03;12.9774;12.9774;12.866;12.9774;12891.601407393
2014-07-04;12.9774;13.359;12.9774;13.359;488.88960623527
2014-07-07;13.3554;13.3554;12.9774;12.9774;74068.795549628
2014-07-08;12.9774;12.9774;12.9736;12.9774;3086.8732162293
2014-07-09;12.9499;12.9499;12.9239;12.9239;259.9330413317
2014-07-10;12.9239;12.9239;12.8282;12.8282;199.3268917984
2014-07-11;12.8252;12.8252;12.7866;12.8252;247.81181142504
2014-07-14;12.8972;12.9002;12.8972;12.9002;15433.019277823
2014-07-15;12.8282;12.9774;12.8282;12.9774;286.86910779095
2014-07-16;12.9774;12.9774;12.8631;12.8631;39.057296365903
2014-07-17;12.8326;12.9002;12.7479;12.9002;1193.2677441445
2014-07-18;12.7139;12.7139;12.7101;12.7101;13942.107999304
2014-07-21;12.8141;12.8593;12.7286;12.7286;10466.008622739
2014-07-22;12.7286;12.8593;12.7286;12.8593;29.629673105168
2014-07-23;12.8631;12.8631;12.7101;12.7101;6985.8688362048
2014-07-25;12.82;12.82;12.5571;12.5951;10735.369287331
2014-07-28;12.6715;12.82;12.6715;12.82;1322.5608631488
2014-07-29;12.8593;12.8631;12.8059;12.8593;3517.8502795772
2014-07-30;12.82;12.8252;12.82;12.8252;1938.0499817425
2014-07-31;12.8252;12.8252;12.82;12.8252;790.57355057879
2014-08-01;12.817;12.817;12.7101;12.8015;4203.3731709649
2014-08-04;12.8252;12.8252;12.7672;12.8141;9853.2131107912
2014-08-05;12.8059;12.8059;12.7286;12.7479;10110.452545477
2014-08-06;12.7479;12.7479;12.5951;12.6418;21144.812170506
2014-08-07;12.5921;12.627;12.4807;12.5951;15546.150756952
2014-08-08;12.5921;12.6187;12.4049;12.6187;8976.4441475429
2014-08-11;12.5007;12.7101;12.4427;12.699;4245.1240739768
2014-08-12;12.7065;12.7065;12.6217;12.7065;17131.338268079
2014-08-13;12.7065;12.7065;12.627;12.6678;21270.064879542
2014-08-14;12.7479;12.7479;12.6217;12.7019;5404.7217350472
2014-08-18;12.7479;12.7479;12.6834;12.7101;10541.429608825
2014-08-19;12.6291;12.7101;12.6291;12.7101;14020.222592037
2014-08-20;12.7101;12.7101;12.627;12.627;1749.4975165279
2014-08-21;12.7019;12.7019;12.6217;12.6715;3090.9136261981
2014-08-22;12.6715;12.6715;12.6217;12.6217;1614.8171842316
2014-08-25;12.6871;12.7101;12.6834;12.7101;6340.7500445059
2014-08-26;12.7065;12.7065;12.6381;12.6715;2883.505914462
2014-08-27;12.6655;12.6715;12.6217;12.6655;2044.4474442566
2014-08-28;12.6217;12.6217;11.4509;12.1562;20268.043207257
2014-08-29;12.1495;12.3091;11.8325;12.3091;13241.770271364
2014-09-01;12.3091;12.3091;11.9089;12.0226;8026.9478048545
2014-09-02;12.1562;12.1562;11.9089;12.1257;1832.9993225515
2014-09-03;12.1303;12.5415;11.9312;12.5163;4810.7814696209
2014-09-04;12.5163;12.5163;12.4807;12.4807;67.340166148109
2014-09-05;12.4695;12.4695;12.4695;12.4695;2.6936066459243
2014-09-08;12.2149;12.4049;12.2149;12.4049;3253.8768282766
2014-09-09;12.4621;12.4621;12.2253;12.4391;1028.9577387431
2014-09-10;12.4391;12.4391;12.2943;12.4309;483.50239294342
2014-09-11;12.4309;12.4309;12.2149;12.3247;5468.0214912264
2014-09-12;12.2861;12.2861;12.1377;12.2149;6552.1981662109
2014-09-15;12.2861;12.2861;12.2149;12.2149;513.13206604858
2014-09-16;12.2861;12.2861;12.0998;12.249;1909.7671119604
2014-09-17;12.2149;12.2795;12.1377;12.2795;3703.7091381459
2014-09-18;12.2149;12.2149;12.1756;12.2149;2712.4618924458
2014-09-19;12.1377;12.367;12.1377;12.367;33257.961257227
2014-09-22;12.2179;12.4161;12.2149;12.4161;22074.10646335
2014-09-23;12.4049;12.4049;12.4049;12.4049;2.6936066459243
2014-09-24;12.4049;12.4049;12.2179;12.2179;14825.610979167
2014-09-25;12.2179;12.4049;12.2179;12.4013;2348.824995246
2014-09-26;12.4049;12.4049;12.2208;12.4013;74.074182762919
2014-09-29;12.4049;12.4049;12.2602;12.4049;1053.2001985564
2014-09-30;12.4049;12.4049;12.367;12.4013;1551.5174280524
2014-10-01;12.2333;12.2372;12.2333;12.2372;298.99033769761
2014-10-02;12.2372;12.7479;12.2372;12.7443;24956.265574489
2014-10-03;12.7479;12.7479;12.5995;12.7139;1427.6115223399
2014-10-06;12.7139;12.9656;12.7139;12.9656;18379.824948465
2014-10-07;12.9388;12.9388;12.9165;12.9203;957.57716262611
2014-10-08;12.9203;12.9388;12.9002;12.9388;4105.0565283887
2014-10-09;12.9388;12.9388;12.8429;12.9388;5595.9678069079
2014-10-10;12.9002;12.9002;12.7902;12.8972;6443.107097051
2014-10-13;12.9351;12.9388;12.9083;12.9388;16756.926944295
2014-10-14;12.9588;12.9588;12.7479;12.9277;2200.6766297202
2014-10-15;12.9277;12.9277;12.7985;12.8252;804.04158380842
2014-10-16;12.9002;12.9388;12.8631;12.9351;8826.948978694
2014-10-17;12.9351;12.9388;12.9322;12.9388;6553.5449695339
2014-10-20;12.9588;12.9588;12.817;12.9543;327.27320747981
2014-10-21;12.9388;12.9736;12.8631;12.9656;9569.0376096462
2014-10-22;12.9736;12.9774;12.8252;12.9774;3888.2211933917
2014-10-23;12.9774;12.9774;12.9002;12.9774;9175.7710393413
2014-10-24;13.0144;13.0925;12.9588;12.9774;8231.6619099448
2014-10-27;12.9774;13.0769;12.9774;13.0724;993.94085234608
2014-10-28;13.0695;13.0695;12.9774;13.0539;269.36066459243
2014-10-29;13.0539;13.0539;12.9002;12.9736;456.56632648417
2014-10-30;12.9774;12.9774;12.6566;12.9692;3924.5848831118
2014-10-31;12.9774;13.0539;12.9736;13.042;37175.812123725
2014-11-03;13.042;13.042;12.8059;12.8824;1789.9016162168
2014-11-04;12.9975;12.9975;12.9774;12.9975;6712.4677616434
2014-11-05;12.7985;13.0115;12.7985;12.9774;112219.69327918
2014-11-06;13.0086;13.0086;12.9811;12.9811;308.41796095833
2014-11-07;12.9975;12.9975;12.9975;12.9975;32.323279751092
2014-11-10;12.9975;12.9975;12.9774;12.9774;2647.8153329437
2014-11-12;12.9774;12.9774;12.8549;12.9774;8443.1100316499
2014-11-13;12.9774;13.1296;12.866;13.1259;5932.6686376483
2014-11-14;13.1147;13.1147;12.8779;12.9432;2657.2429562044
2014-11-17;12.9432;13.0539;12.9432;13.0539;145.45475887992
2014-11-18;13.0539;13.0539;12.9588;12.9588;96.969839253276
2014-11-19;12.9432;13.1147;12.9432;13.0539;3924.5848831118
2014-11-20;13.1147;13.1147;13.0539;13.1073;689.56330135663
2014-11-21;13.0925;13.0925;12.9543;13.0925;874.07535660245
2014-11-24;12.9811;13.0873;12.9811;13.0873;1279.4631568141
2014-11-25;13.0494;13.0494;12.9203;12.9388;1507.0729183947
2014-11-26;13.0144;13.0144;12.866;12.9774;2137.376873541
2014-11-27;13.0115;13.0115;12.9774;12.9774;6315.1607813696
2014-11-28;12.9774;13.0115;12.866;13.0115;2030.979411027
2014-12-01;13.0144;13.0144;12.8779;13.0144;96.969839253276
2014-12-02;13.0144;13.0346;12.9002;13.0346;3109.7688727197
2014-12-03;13.0494;13.1259;12.8861;13.1259;3439.7356868454
2014-12-04;13.1296;13.1296;13.1259;13.1259;55.218936241449
2014-12-05;13.1037;13.1037;12.9083;13.085;1674.0765304419
2014-12-08;13.0539;13.085;13.0465;13.085;2092.9323638832
2014-12-09;13.0494;13.2826;12.9774;13.2826;33090.95764518
2014-12-10;13.2826;13.7035;13.2826;13.3554;17718.544516891
2014-12-11;13.3554;13.3554;13.1111;13.2759;10611.463381619
2014-12-12;13.3516;13.3516;13.336;13.336;4511.7911319232
2014-12-15;13.333;13.333;13.2447;13.333;1951.5180149721
2014-12-16;13.333;13.333;12.912;13.3211;3521.8906895461
2014-12-17;13.3056;13.7406;13.2826;13.7406;14942.782868265
2014-12-18;13.7406;14.0466;13.3969;14.0466;4328.6258800004
2014-12-19;14.0845;14.2181;13.855;14.1981;29469.403509736
2014-12-22;14.1981;14.2292;13.9508;14.2292;21909.796457949
2014-12-23;14.2292;14.2292;13.878;14.1981;14035.03742859
2014-12-29;14.2292;14.5426;14.123;14.5426;16948.173016155
2014-12-30;14.5039;14.5426;14.4661;14.5426;8292.2680594781
2015-01-02;14.5426;14.7149;14.4282;14.5039;4522.565558507
2015-01-05;14.501;14.6755;14.501;14.5039;527044.54437479
2015-01-07;14.5619;14.5768;14.5619;14.5768;46476.835872101
2015-01-08;14.6947;14.8091;14.6228;14.6947;1539.3961981457
2015-01-09;14.7326;14.7713;14.6265;14.7639;14973.759344694
2015-01-12;14.6563;14.7713;14.5039;14.5084;23136.734285167
2015-01-13;14.5039;14.7326;14.4958;14.7326;16712.482434637
2015-01-14;14.5039;14.6911;14.5039;14.6911;1010.1024922216
2015-01-15;14.5953;14.5953;14.3168;14.5953;953.53675265722
2015-01-16;14.5039;14.6153;14.5039;14.6153;21508.449067706
2015-01-19;14.6109;14.6109;14.3132;14.501;23556.936921931
2015-01-20;14.501;14.501;13.5915;14.123;2476.7713109275
2015-01-21;14.1186;14.2901;13.9122;14.2901;129142.2770322
2015-01-22;14.3851;14.3851;14.3851;14.3851;4.0404099688865
2015-01-23;14.2901;14.4958;14.1609;14.4958;1046.4661819416
2015-01-26;14.4958;14.4958;14.2753;14.3895;1034.3449520349
2015-01-27;14.3895;14.4394;14.1491;14.1491;2017.5113777974
2015-01-28;14.1981;14.3895;14.123;14.2901;1688.8913669946
2015-01-29;14.2901;14.2901;14.2107;14.2367;552.18936241449
2015-01-30;14.0845;14.2671;14.0072;14.123;2082.1579372996
2015-02-02;14.4201;14.5039;14.3895;14.3895;9924.5936869083
2015-02-03;14.4854;14.599;14.3895;14.501;12014.832444146
2015-02-04;14.5039;14.8091;14.501;14.5039;20094.305578595
2015-02-05;14.6563;14.6563;14.5039;14.5039;6603.3766924835
2015-02-06;14.5039;14.6072;14.3324;14.6072;4506.4039186314
2015-02-09;14.599;14.599;14.5039;14.5039;11171.733563971
2015-02-10;14.5039;14.5039;14.4661;14.4661;1399.3286525577
2015-02-11;14.6153;14.6153;14.5039;14.5039;387.8793570131
2015-02-12;14.5039;14.5039;14.4282;14.5039;5690.2440395151
2015-02-13;14.5039;14.5039;14.4282;14.5039;15823.592241482
2015-02-16;14.5039;14.5382;14.4282;14.5039;3253.8768282766
2015-02-17;14.5039;14.5039;14.501;14.501;129.29311900437
2015-02-18;14.5039;14.5039;14.5039;14.5039;391.91976698199
