Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2015-07-08;8.50323;8.50323;8.50323;8.50323;635.60987859324
2015-07-09;8.50323;8.50323;8.46227;8.46227;15801.261581828
2015-07-10;8.70873;8.75943;8.58857;8.58857;5980.0296077647
2015-07-13;8.58857;8.80163;8.58857;8.80163;16720.777206193
2015-07-14;8.92887;9.01401;8.80163;8.97154;12816.013852035
2015-07-15;9.01401;9.01401;9.01401;9.01401;24458.268128268
2015-07-16;9.07349;9.16694;9.07349;9.16694;30894.877498822
2015-07-17;9.20093;9.26888;9.18393;9.18393;8526.7065213283
2015-07-20;9.22641;9.35575;9.22641;9.35575;3553.0592213362
2015-07-21;9.35575;9.35575;9.11596;9.26039;2749.0127249158
2015-07-22;9.01401;9.01401;9.01401;9.01401;3291.3998213153
2015-07-23;9.09897;9.10843;9.09897;9.10843;175.8520664108
2015-07-24;8.92047;8.92047;8.92047;8.92047;69.917086645256
2015-07-28;9.09897;9.09897;8.98099;8.98099;114.40977814678
2015-07-29;8.98099;9.18393;8.77595;9.09897;667.3903725229
2015-07-30;9.09897;9.09897;9.09897;9.09897;17666.776575499
2015-07-31;9.16694;9.16694;8.77595;8.77595;5909.0531713218
2015-08-03;8.92887;8.92887;8.92887;8.92887;24926.500738832
2015-08-04;9.09897;9.09897;9.09897;9.09897;23577.948446416
2015-08-05;8.88602;8.92887;8.88602;8.92887;16036.437236907
2015-08-06;8.93812;8.93812;8.93812;8.93812;10.593497976554
2015-08-07;9.00552;9.09897;9.00552;9.09897;2646.2557945432
2015-08-10;9.14145;9.14145;9.09897;9.09897;440.68951582465
2015-08-11;9.03101;9.03101;9.03101;9.03101;56.145539275736
2015-08-12;9.01401;9.01401;8.92887;8.92887;8112.500750445
2015-08-13;9.03101;9.14145;9.03101;9.14145;167.37726802955
2015-08-18;9.08954;9.08954;9.08954;9.08954;587.93913769875
2015-08-19;9.01308;9.27928;9.00459;9.00459;405.73097250202
2015-08-20;9.00459;9.03951;9.00459;9.03007;2185.4386325631
2015-08-24;8.58498;8.99703;8.5593;8.91113;25523.974024709
2015-08-25;8.91113;8.91113;8.86658;8.91113;22193.378260881
2015-08-28;8.91113;8.99703;8.91113;8.99703;12185.70072243
2015-08-31;9.03951;9.12541;8.99703;9.12541;9093.4586630739
2015-09-01;9.12541;9.12541;8.99703;9.08954;4731.056196329
2015-09-02;9.11596;9.11596;9.10843;9.10843;7521.3835633533
2015-09-03;9.08198;9.12541;9.08198;9.12541;21043.983730424
2015-09-04;8.99703;8.99703;8.99703;8.99703;9323.3375691652
2015-09-07;8.73922;9.09897;8.65342;9.048;1902.5922365891
2015-09-08;8.91113;8.98003;8.69713;8.98003;82574.198027643
2015-09-10;8.91113;8.91113;8.91113;8.91113;338.99193524973
2015-09-11;8.91113;9.08954;8.91113;9.06594;13758.835171948
2015-09-14;9.06594;9.06594;8.8255;8.99703;7599.7754483798
2015-09-15;9.048;9.048;8.99703;9.03007;2155.7768382287
2015-09-16;9.03007;9.03007;8.96229;8.96229;1490.5051653011
2015-09-17;8.98854;8.98854;8.92793;8.92793;7136.8395868044
2015-09-18;8.91113;8.91113;8.91113;8.91113;808.28389561107
2015-09-21;8.91113;8.91113;8.86658;8.86658;652.55947535573
2015-09-22;8.86658;8.91113;8.86658;8.91113;3644.1633039346
2015-09-23;8.91113;8.91113;8.91113;8.91113;720.35786240567
2015-09-24;8.97059;9.08198;8.85816;9.08198;47851.889709892
2015-09-25;8.86658;8.93719;8.86658;8.93719;929.04977254378
2015-09-28;8.99703;8.99703;8.95303;8.95303;1894.1174382079
2015-09-29;8.99703;8.99703;8.99703;8.99703;10.593497976554
2015-09-30;8.98854;8.99703;8.98854;8.99703;22.246345750763
2015-10-01;8.98854;9.06594;8.91953;8.99703;34726.545716942
2015-10-02;9.07349;9.07349;8.99703;8.99703;69873.653303552
2015-10-05;8.99703;9.07349;8.96229;8.99703;3646.2820035299
2015-10-06;8.99703;9.24435;8.88516;9.2113;45469.412014965
2015-10-07;9.2113;9.2113;9.12541;9.19432;3808.3625225712
2015-10-08;9.19432;9.2113;8.99703;9.16694;1412.1132802746
2015-10-09;9.2113;9.2113;9.08954;9.2113;2612.3566010182
2015-10-12;9.2113;9.38217;9.20188;9.37273;2541.3801645753
2015-10-13;9.33875;9.81068;9.33875;9.81068;22170.072565332
2015-10-15;9.67382;9.68235;9.51055;9.68235;840.06438954073
2015-10-16;9.51055;9.81068;9.25284;9.79282;8416.5341423721
2015-10-19;9.86271;10.2393;9.86271;10.1969;33753.003252896
2015-10-20;10.1969;10.1969;9.81068;9.81068;9808.5197764913
2015-10-21;9.81068;9.81068;9.56153;9.76724;8715.270785311
2015-10-22;9.68235;9.85314;9.68235;9.85314;29763.491914926
2015-10-23;9.85314;9.95517;9.85314;9.95517;2263.8305175896
2015-10-26;9.51055;9.95517;9.51055;9.95517;99.578880979607
2015-10-27;9.93912;10.1969;9.76724;10.1525;4565.7976278948
2015-10-28;9.68235;10.1099;9.68235;10.1099;5873.0352782015
2015-10-29;10.0939;10.1099;9.93912;10.0939;6796.788301757
2015-10-30;10.0939;10.1099;9.88721;10.1099;1975.6873726273
2015-11-02;10.0684;10.161;10.0684;10.161;7455.7038758987
2015-11-03;10.1099;10.1099;9.68235;10.1099;1134.5636332889
2015-11-04;10.0939;10.0939;9.69088;10.0939;263.77809961619
2015-11-05;10.0684;10.0939;9.7069;10.0939;1198.1246211483
2015-11-06;9.72577;10.0684;9.71638;10.0684;1278.6352057701
2015-11-09;10.059;10.059;10.059;10.059;116.52847774209
2015-11-10;9.71638;10.059;9.69932;10.059;5542.518141333
2015-11-13;9.85314;10.024;9.68235;10.024;9350.8806639042
2015-11-16;9.81068;9.9731;8.84326;9.9731;9149.6042023497
