Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
1999-08-10;4.34243;4.34243;4.34243;4.34243;56206.243889504
1999-08-11;4.55719;4.55719;4.55719;4.55719;66408.934260253
1999-08-12;4.9925;4.9925;4.9925;4.9925;39731.920159473
1999-08-13;5.42799;5.42799;5.42799;5.42799;69863.078583639
1999-08-16;5.31758;5.31758;5.31758;5.31758;24014.637444017
1999-08-17;4.80107;4.80107;4.80107;4.80107;0
1999-08-18;4.39477;4.39477;4.39477;4.39477;44128.314308338
1999-08-19;4.55719;4.55719;4.55719;4.55719;23816.695527361
1999-08-20;4.44696;4.44696;4.44696;4.44696;5710.2191512259
1999-08-23;4.34243;4.34243;4.34243;4.34243;15616.575424527
1999-08-24;4.42354;4.42354;4.42354;4.42354;25786.854253367
1999-08-25;4.34243;4.34243;4.34243;4.34243;6686.0380736835
1999-08-26;4.34243;4.34243;4.34243;4.34243;9728.0927928041
1999-08-27;4.2842;4.2842;4.2842;4.2842;7440.7639781229
1999-08-30;4.34243;4.34243;4.34243;4.34243;3250.4146313891
1999-08-31;4.2842;4.2842;4.2842;4.2842;16666.477871346
1999-09-01;4.34243;4.34243;4.34243;4.34243;7353.947348011
1999-09-02;4.2842;4.2842;4.2842;4.2842;3410.157230795
1999-09-03;4.23211;4.23211;4.23211;4.23211;2690.1579784003
1999-09-06;4.23211;4.23211;4.23211;4.23211;6496.1990425055
1999-09-07;4.17985;4.17985;4.17985;4.17985;8208.222988312
1999-09-08;4.06952;4.06952;4.06952;4.06952;6182.5016190346
1999-09-09;3.85476;3.85476;3.85476;3.85476;18719.980562259
1999-09-10;3.87792;3.87792;3.87792;3.87792;17918.952455093
1999-09-13;3.90694;3.90694;3.90694;3.90694;14306.223087371
1999-09-14;3.58186;3.58186;3.58186;3.58186;2117.1682196619
1999-09-15;3.58186;3.58186;3.58186;3.58186;9662.1121539191
1999-09-16;3.30896;3.30896;3.30896;3.30896;12981.980089398
1999-09-17;3.25678;3.25678;3.25678;3.25678;21524.736492407
1999-09-20;3.25678;3.25678;3.25678;3.25678;12205.260638663
1999-09-21;2.98396;2.98396;2.98396;2.98396;10119.346405842
1999-09-22;2.68782;2.68782;2.68782;2.68782;18460.688226992
1999-09-23;2.76928;2.76928;2.76928;2.76928;26699.007647076
1999-09-24;2.82138;2.82138;2.82138;2.82138;27087.946149977
1999-09-27;2.87364;2.87364;2.87364;2.87364;16841.268686638
