Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2016-10-19;37.0345;37.1051;33.6822;35.8169;78591.046835787
2016-10-20;35.6732;35.8169;34.4268;35.8169;9211.2364085922
2016-10-21;35.1723;35.8169;35.1575;35.7804;1703.6859735171
2016-10-24;35.8169;37.9664;35.7734;37.5642;12731.929871627
2016-10-25;37.6075;37.6075;36.5328;37.3926;10661.236715607
2016-10-26;37.2496;37.2496;36.1749;36.1749;2057.8157110206
2016-10-27;36.5328;36.5328;35.4581;36.5259;374.73364950375
2016-10-28;35.8954;36.39;35.8954;36.39;278.15281200278
2016-10-31;35.8169;37.2426;35.8169;37.2358;2068.1176670207
2016-11-02;37.2426;37.2496;36.4334;37.1774;730.15113150731
2016-11-03;37.1774;37.1774;36.4257;36.8909;659.3251840066
2016-11-04;36.8194;36.8194;35.9947;36.5328;173.84550750174
2016-11-07;36.5328;36.5328;36.1749;36.5112;594.93795900596
2016-11-08;36.5112;36.5112;36.0103;36.2471;65.674969500658
2016-11-09;36.4614;36.5328;36.0312;36.5328;900.13340550901
2016-11-10;36.5328;36.5328;35.6732;36.3185;1399.778271514
2016-11-14;36.5328;36.5328;36.4614;36.4614;166.11904050166
2016-11-15;36.4536;36.4536;35.6732;36.1749;1811.8565115181
2016-11-16;36.1749;36.1749;35.1071;36.1749;508.65907750509
2016-11-17;36.4614;36.4614;34.9573;34.9573;1170.5597505117
2016-11-18;35.1001;35.1001;33.6883;33.6883;2278.0200205228
2016-11-21;33.6023;33.6023;32.3425;32.9444;2051.3769885205
2016-11-22;32.3425;32.9444;32.3425;32.3923;1610.9683695161
2016-11-23;32.3923;32.3923;32.1632;32.3425;887.25596050888
2016-11-24;32.3783;32.3783;29.4492;31.8767;9555.0641900957
2016-11-25;32.3923;33.6682;31.8767;33.6604;1131.9274155113
2016-11-28;33.6604;33.6604;33.5812;33.5812;312.92191350313
2016-11-29;33.5968;34.8859;32.9505;34.7414;7669.8062420768
2016-11-30;34.7414;36.1749;34.0254;35.8169;4270.1607620428
2016-12-01;35.8169;35.8169;34.2405;35.8169;476.46546500477
2016-12-02;35.8169;35.8169;34.6707;35.7734;470.02674250471
2016-12-05;35.7804;35.7804;34.7414;34.7778;150.66610650151
2016-12-06;35.788;35.788;34.5993;35.5653;1099.733803011
2016-12-07;35.5653;35.5653;34.677;35.5226;257.54890000258
2016-12-08;34.6707;35.4581;34.6707;35.4581;803.55256800805
2016-12-09;35.5226;35.5226;34.6567;35.4503;750.75504350752
2016-12-12;35.4503;35.4945;34.6567;34.6567;1039.2098115104
2016-12-13;34.6567;35.8021;34.6567;35.4503;1186.0126845119
2016-12-14;35.6017;35.6017;35.1001;35.1001;124.91121650125
2016-12-15;35.1001;35.1001;34.6707;35.1001;376.02139400376
2016-12-16;35.1001;35.1001;33.8903;34.3841;990.27552050991
2016-12-19;33.1735;34.9502;32.9941;34.6707;6285.4809045629
2016-12-20;33.5968;34.7414;33.5968;34.3764;431.39440750432
2016-12-21;34.3764;34.3764;33.0298;33.0298;2062.9666890207
2016-12-22;34.0184;34.0184;32.9663;32.9663;75.976925500761
2016-12-23;33.3032;33.3032;32.9505;33.1307;1287.7445000129
2016-12-27;33.1664;33.8608;32.7006;33.8537;2226.5102405223
2016-12-28;33.6682;33.6682;32.7006;33.238;909.1476170091
2016-12-29;33.8111;35.1001;33.5968;34.7414;3479.4856390348
2016-12-30;34.3841;35.5653;34.3841;35.5653;2548.4463655255
2017-01-02;35.66;35.66;34.1333;35.4449;3317.2298320332
2017-01-03;35.66;35.66;33.6604;33.6604;1359.8581920136
2017-01-04;34.3694;34.3694;33.6682;33.6682;108.17053800108
2017-01-05;33.6682;34.2692;32.9505;32.9505;3438.2778150344
2017-01-09;32.9505;33.3086;32.9505;32.9731;955.50641900957
2017-01-10;32.9731;33.0088;32.522;32.9505;3062.2564210307
2017-01-11;32.9505;32.9505;32.529;32.5709;1263.2773545126
2017-01-12;32.8792;32.8792;31.8767;32.4498;1527.2649770153
2017-01-13;32.8792;32.8792;31.8914;32.2354;887.25596050888
2017-01-16;31.8914;32.192;31.5187;31.8837;1254.2631430126
2017-01-17;31.9125;31.9125;31.3036;31.3393;2505.9507970251
2017-01-18;31.3393;31.4472;31.2321;31.4472;396.62530600397
2017-01-19;31.5187;31.5187;30.8019;31.3393;2674.6453265268
2017-01-20;31.5117;31.5117;30.8019;31.4395;566.60758000567
2017-01-23;31.5039;31.5039;30.8019;31.4325;549.86690150551
2017-01-24;31.5544;31.5544;30.8019;31.1607;777.79767800779
2017-01-25;30.8166;31.1607;30.659;30.8733;1974.1123185198
2017-01-26;31.5909;31.8697;30.8951;31.8697;468.73899800469
2017-01-27;31.8697;31.8697;31.0178;31.2748;697.95751900699
2017-01-30;30.8951;32.0988;30.8951;32.0917;3416.3861585342
2017-01-31;32.0917;35.0287;32.0917;33.7039;4505.8180055451
2017-02-01;33.6604;34.3764;33.6604;34.3554;1323.8013460133
2017-02-02;34.3841;34.5993;34.0976;34.3841;2110.6132355211
2017-02-03;34.3841;34.3841;34.0254;34.0254;230.50626550231
2017-02-06;34.0254;34.3764;34.0254;34.3764;459.7247865046
2017-02-07;34.3764;34.3764;33.954;34.277;1037.9220670104
2017-02-08;34.3764;34.3764;34.2048;34.3406;131.34993900132
2017-02-09;34.3477;35.0287;33.954;34.8781;1068.8279350107
2017-02-10;34.3912;34.8859;34.3841;34.3841;404.35177300405
2017-02-13;34.3912;35.1723;34.3841;35.1001;1936.7677280194
2017-02-14;35.351;35.351;34.5263;34.8136;677.35360700678
2017-02-15;35.1001;35.2648;34.4121;35.2648;227.93077650228
2017-02-16;35.2648;35.2648;34.4625;35.1654;267.85085600268
2017-02-17;35.1001;35.1001;34.4121;34.4696;141.65189500142
2017-02-20;35.2361;35.351;35.1001;35.351;1755.1957535176
2017-02-21;35.351;36.1749;34.7414;35.924;12166.610036122
2017-02-22;35.924;36.3683;35.4581;35.8875;1914.8760715192
2017-02-23;36.1749;36.2044;35.6732;35.8169;833.17069150834
2017-02-24;35.8169;35.8169;35.3153;35.8169;1097.158314011
2017-02-27;36.64;38.6816;36.64;37.2915;9952.9772405996
2017-02-28;37.6573;41.0097;37.2124;40.1143;29901.427290299
2017-03-01;41.1891;42.2631;40.5453;41.0028;27989.12670778
2017-03-02;41.5478;44.9142;41.5478;44.2697;41437.042521415
2017-03-03;45.4873;47.994;44.4126;46.2748;21354.667043714
2017-03-06;46.4184;46.5542;44.8419;46.1668;23789.791893238
2017-03-07;44.2697;45.0214;40.9748;42.2708;17266.078256173
2017-03-08;42.2282;43.6958;40.1935;40.8302;8320.1172145833
2017-03-09;41.5478;42.6218;40.4731;42.2351;6069.1398285608
2017-03-10;42.9015;44.4126;41.7117;44.2697;6430.9960330644
2017-03-13;44.9142;45.2008;44.4203;45.1076;10833.794478608
2017-03-14;44.9142;45.1651;44.2697;45.0439;2126.0661695213
2017-03-15;44.9142;45.2861;44.0545;45.2722;4871.5374435488
2017-03-16;45.2861;45.2861;44.8062;45.1285;5353.1538865536
2017-03-17;44.7713;45.8453;44.7713;45.1285;5878.5536425589
2017-03-20;45.759;46.5612;45.5588;45.9889;14561.814806146
2017-03-21;46.19;46.9208;46.0596;46.2748;6729.7527570674
2017-03-22;46.489;46.8416;45.1285;46.2032;4064.1216420407
2017-03-23;46.6328;46.7406;45.4873;46.2032;3977.8427605398
2017-03-24;46.5612;46.8486;44.9856;45.8453;4092.452021041
2017-03-27;45.8453;45.8453;44.0615;45.8375;2553.5973435256
2017-03-28;45.8453;45.8453;43.3385;45.6953;2865.2315125287
2017-03-29;45.6302;45.6302;43.3533;44.3341;2554.8850880256
2017-03-30;44.3341;44.3341;43.0233;44.1905;849.91137000851
2017-03-31;45.186;45.186;43.0521;43.8185;2176.2882050218
2017-04-03;45.1285;45.1285;41.6192;42.2631;3241.2529065325
2017-04-04;42.9084;42.9729;42.2631;42.9441;575.62179150576
2017-04-05;42.6218;42.9797;41.9128;42.9797;884.68047150886
2017-04-06;42.9867;43.6888;42.6218;43.6174;1491.2081310149
2017-04-07;43.6112;43.6112;42.7499;42.9797;233.08175450233
2017-04-10;42.9867;43.6888;41.6263;42.9729;3564.4767760357
2017-04-11;41.905;42.9511;40.7596;41.5478;4822.6031525483
2017-04-12;41.1891;41.905;41.1891;41.905;829.3074580083
2017-04-13;41.905;41.905;40.4017;41.1891;6393.651442564
2017-04-18;40.8302;41.4764;40.8302;41.4764;1569.7605455157
2017-04-19;41.5409;41.5409;40.9018;41.332;280.72830100281
2017-04-20;41.5409;43.9901;41.5409;43.5746;15170.917954652
2017-04-21;43.5746;43.6827;42.7289;43.6748;2478.9081625248
2017-04-24;43.6748;43.6748;43.0155;43.6748;1898.135393019
2017-04-25;43.3385;43.3385;42.3702;43.0521;1001.86522101
2017-04-26;42.9797;42.9797;40.4017;41.1168;4028.0647960403
2017-04-27;41.5478;42.9658;41.5478;42.6932;233.08175450233
2017-04-28;42.6932;42.6932;41.905;42.6932;1140.9416270114
2017-05-02;42.7655;42.7655;41.905;42.5076;712.12270850713
2017-05-04;42.5566;42.5566;40.8302;41.8989;4168.4289465417
2017-05-05;41.8989;41.8989;40.8302;40.8302;1631.5722815163
2017-05-08;40.8302;41.1891;40.6159;40.6159;238.23273250239
2017-05-09;40.6237;40.6237;38.2514;39.7486;4088.5887875409
2017-05-10;38.6816;41.1168;38.6816;40.4731;1858.2153135186
2017-05-11;40.4653;40.4731;39.9714;40.4731;2966.9633280297
2017-05-12;40.4731;40.4731;38.3663;40.4653;851.19911450852
2017-05-15;40.1082;40.1143;38.4385;40.0428;965.80837500967
2017-05-16;40.0428;40.0428;38.3593;38.3593;1580.0625015158
2017-05-17;39.3991;39.3991;35.8169;37.2496;3921.1820025393
2017-05-18;37.8227;37.9664;36.8909;36.8909;538.27720100539
2017-05-19;36.8909;39.3991;36.8559;39.3991;634.85803850636
2017-05-22;39.3991;39.3991;38.6816;39.3991;346.40327050347
2017-05-23;39.3991;39.3991;38.725;39.3991;743.02857650744
2017-05-24;39.3991;39.3991;39.3837;39.3837;25.754890000258
2017-05-25;39.3991;40.5577;38.6816;40.5577;1577.4870125158
2017-05-26;40.6874;40.6874;39.2547;39.2547;257.54890000258
2017-05-29;40.6874;40.9748;38.503;40.9748;520.24877800521
2017-05-30;40.9671;41.8337;39.1476;41.8337;4100.1784880411
2017-05-31;41.8337;42.4424;40.8242;40.8242;2593.517423026
2017-06-01;40.8242;42.4774;40.8242;42.0487;1961.2348735196
2017-06-02;42.2561;42.2561;41.3677;41.4399;261.41213350262
2017-06-05;42.0277;42.8369;42.02;42.2631;858.9255815086
2017-06-06;42.8867;42.8867;41.5478;42.8369;1269.7160770127
2017-06-07;42.8867;42.8867;41.5478;42.6932;7310.5255265732
2017-06-08;42.8726;42.8726;42.7655;42.7655;15.452934000155
2017-06-09;42.8867;42.8867;42.8796;42.8796;2.5754890000258
2017-06-12;42.1706;42.2497;39.4053;41.4764;1428.1086505143
2017-06-13;41.5478;42.9797;41.5478;42.2561;6814.7438940682
2017-06-14;42.2631;43.4092;41.8553;43.2664;16074.914593661
2017-06-16;42.9797;43.6112;42.9797;43.3385;800.97707900802
2017-06-19;43.0521;43.2664;42.9797;43.2664;2149.2455705215
2017-06-20;43.6958;43.6958;41.1891;41.1891;8878.9983275889
2017-06-21;41.5478;41.5478;41.1891;41.4764;1739.7428195174
2017-06-22;42.2631;43.5529;41.9128;42.6218;8378.0657170839
2017-06-23;42.9797;42.9797;42.2631;42.9588;526.68750050527
2017-06-26;42.9797;42.9797;41.2606;42.9658;1110.0357590111
