Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2021-11-23;72.9;73.9;58.01;61.99;26615
2021-11-24;61.99;62.4;59;62.4;5136
2021-11-25;62.5;63.89;60.1;61;716
2021-11-26;60;61;59;61;884
2021-11-29;61;61;59;60.46;476
2021-11-30;60.4;60.48;59;59;171
2021-12-01;58.5;59.5;58.5;59.5;107
2021-12-02;59.9;59.95;55.8;55.8;10057
2021-12-03;55.7;55.8;55;55;3430
2021-12-06;57.99;59;56;56;1273
2021-12-07;56;56;54;55.5;15094
2021-12-08;56.49;56.49;56.49;56.49;19
2021-12-09;56.49;58.95;54;55;33443
2021-12-10;57;58.09;56.99;57;4689
2021-12-13;59.94;60;58;58;2555
2021-12-14;59.9;64.9;59.9;64.5;6635
2021-12-15;64.7;69.8;64.7;68.21;9213
2021-12-16;68.3;69.4;65.2;69;3684
2021-12-17;69.35;70.4;65.6;70.4;2167
2021-12-20;70.5;71;69;70.49;2846
2021-12-21;70.59;70.59;67.8;69.31;1749
2021-12-22;69;69;66.66;67.9;1499
2021-12-23;66.68;66.68;64.1;65;4864
2021-12-27;67;68.97;64.41;68.97;4689
2021-12-28;68;68;64.55;67.5;6936
2021-12-29;67;70;65.3;70;4690
2021-12-30;69;69.3;68;68.8;7188
2022-01-03;68.8;72.4;68.8;71.5;9789
2022-01-04;72;72.9;70.5;72.4;5772
2022-01-05;72.4;72.5;71.6;72.4;2414
2022-01-07;72.4;72.5;71.4;72;1319
2022-01-10;72;72;68.9;69.9;2421
2022-01-11;70.46;70.46;68;69.2;1951
2022-01-12;69.3;70.4;68;68;2840
2022-01-13;69;69.98;65.6;69;1796
2022-01-14;70;70;66.13;68;1600
2022-01-17;68.7;69.5;68;69.5;803
2022-01-18;69.5;69.5;68;68;2586
2022-01-19;68;68;65;66.02;4848
2022-01-20;66.05;66.97;62.5;65.88;2177
2022-01-21;65.88;66;64;64.1;1205
2022-01-24;64;64.96;57.6;61;9439
2022-01-25;59;59.9;58;59.1;6251
2022-01-26;59.1;59.41;58.6;59;1717
2022-01-27;59.05;59.8;58.14;59.8;1993
2022-01-28;59.8;59.8;57.8;59;3099
2022-01-31;59;59;56.05;58;3630
2022-02-01;56.5;58.7;56.5;58;323
2022-02-02;58.9;58.9;57;58.2;536
2022-02-03;58.2;61;57.3;61;1225
2022-02-04;60.64;63;60.64;62.01;801
2022-02-07;64.95;64.95;61.01;63.5;90
2022-02-08;62;63.8;57.4;62;697
2022-02-09;63;63;60;62;376
2022-02-10;62.99;62.99;62;62;586
2022-02-11;62;62;61;61;248
2022-02-14;60;61;58;61;733
2022-02-15;58.26;60.49;58.26;59.5;177
2022-02-16;59.99;60.38;59.95;59.95;61
2022-02-17;57.5;60.4;57.5;58;139
2022-02-18;57.5;60.4;57.5;58;94
2022-02-21;57.5;60.5;56.3;57.2;1334
2022-02-22;56.4;57.31;56.35;57.31;849
2022-02-23;57.81;59.4;57.81;59;44
2022-02-24;50.1;54;46;50.2;5739
2022-02-25;51.6;57;47.3;57;2749
2022-02-28;55;55;49.5;51.97;9127
2022-03-01;51.98;52.4;49.5;51.33;10122
2022-03-02;49.6;51.9;47;51.9;2044
2022-03-03;51.9;51.9;48;51;671
2022-03-04;50.95;50.95;48.15;49.5;402
2022-03-07;49;49;44.12;47.99;2092
2022-03-08;48;48.98;46.3;47;1787
2022-03-09;48.98;49;48.98;49;126
2022-03-10;47.21;49;47.2;47.2;185
2022-03-11;47.01;48.895;47;47.4;7008
2022-03-14;48.8;48.8;48.5;48.5;170
2022-03-15;47;48.2;46.005;48.2;756
2022-03-16;48.2;48.4;46.51;46.51;412
2022-03-17;47;47;46;46.8;1458
2022-03-18;46.9;48.35;45.5;48.35;20707
2022-03-21;47.95;47.95;47;47.9;747
2022-03-22;47.26;47.85;47.26;47.69;1475
2022-03-23;47.69;48.7;47;47;8980
2022-03-24;47.95;47.95;47;47.9;1772
2022-03-25;48.3;48.595;47.3;47.795;706
2022-03-28;48.6;48.6;48.21;48.59;505
2022-03-29;48.59;48.6;47.795;48.6;1111
2022-03-30;48.4;48.6;48.2;48.4;534
2022-03-31;48.4;48.9;48.4;48.6;1677
2022-04-01;49;49.8;47.9;49.6;1182
2022-04-04;50.55;50.55;49;49;1439
2022-04-05;49.9;50.1;49.48;49.85;604
2022-04-06;50;51.6;50;51.6;1616
2022-04-07;51.5;51.5;50;50;767
2022-04-08;50;50;49.48;50;564
2022-04-11;49.4;50.6;48.3;50.6;399
2022-04-12;50.5;50.5;50.5;50.5;33
2022-04-13;50.2;50.4;48.5;48.5;365
2022-04-14;48.5;48.5;47;48;491
2022-04-19;48.4;49.7;48;49.6;880
2022-04-20;49.1;49.1;48.2;48.2;177
2022-04-21;48.9;48.9;48.2;48.2;150
2022-04-22;48.5;48.6;47;48.4;2365
2022-04-25;48;48;46.6;47.7;64
2022-04-26;47.5;47.5;46.3;47;4938
2022-04-27;46;49.4;46;49.4;254
2022-04-28;49;49.7;47;49.5;437
2022-04-29;49;49;47;47;170
2022-05-02;46.9;47.9;46.9;47.9;31
2022-05-04;47.5;47.5;44.6;45.6;143
2022-05-05;46;46.2;46;46;80
2022-05-06;45.6;47.5;44.2;47.4;750
2022-05-09;45;46;42.3;45;2223
2022-05-10;44.5;45.4;44;45.4;1652
2022-05-11;44;45;44;44.1;373
2022-05-12;45;45.4;44;44;426
2022-05-13;45;45.3;43.5;45.3;5198
2022-05-16;45.1;45.1;43.6;44;1113
