Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2018-12-11;12.4923;12.4923;9.45078;9.83745;39624.407929985
2018-12-12;9.7945;9.7945;6.44374;7.04515;22286.734542942
2018-12-13;7.25993;7.47041;7.08811;7.08811;3503.3946236451
2018-12-14;7.44894;7.66806;7.2814;7.65084;784.48212029327
2018-12-17;7.66374;8.74202;7.66374;8.29526;8885.3702620692
2018-12-18;8.364;8.75492;7.90434;8.75492;2248.6850806382
2018-12-19;8.59163;9.45078;8.59163;9.32194;4781.3770497164
2018-12-20;9.45078;9.45078;8.80644;9.02124;2404.6564180033
2018-12-21;9.44653;9.44653;8.76349;8.9783;328.22536626242
2018-12-27;9.30047;9.30047;8.59163;9.01692;968.38091733571
2018-12-28;9.01692;9.01692;8.55301;8.72054;2602.5244959597
2019-01-02;8.89233;8.89233;8.15345;8.37258;2432.5922042935
2019-01-03;8.36825;8.37258;7.99456;8.37258;53.540259744458
2019-01-04;8.59163;9.01692;8.20504;8.80211;914.84079636813
2019-01-07;8.80211;8.80211;8.44132;8.79786;328.22536626242
2019-01-08;8.79786;8.79786;8.16209;8.50574;602.91061155727
2019-01-09;8.50574;8.79786;7.90434;8.52289;712.31814179887
2019-01-10;8.52289;8.52289;7.08811;7.77543;1417.6474798343
2019-01-11;8.11908;8.11908;7.75396;7.83128;83.802224126084
2019-01-14;7.83985;7.83985;6.95924;7.66806;772.84290322341
2019-01-15;7.66806;7.66806;6.87332;6.87332;3019.202083324
2019-01-16;6.95924;7.74963;6.95924;7.74538;1473.5190524148
2019-01-17;7.74106;7.74963;7.74106;7.74538;51.212416330486
2019-01-18;7.74963;7.75396;7.74963;7.75396;9.3113597781969
2019-01-21;7.75396;7.75396;7.30287;7.30287;193.21072580585
2019-01-22;7.74963;7.74963;6.91628;7.30287;609.89386424542
2019-01-23;7.33725;7.73248;7.30287;7.73248;370.12627016014
2019-01-24;7.72816;7.75396;7.65949;7.75396;274.68524529485
2019-01-25;7.75396;7.75396;7.51768;7.75396;165.27632728443
2019-01-28;7.75396;7.75396;7.43611;7.51768;521.43609206828
2019-01-29;7.68954;7.68954;7.51768;7.51768;439.96157257928
2019-01-30;7.56927;7.74538;7.56063;7.74538;48.884572916515
2019-01-31;7.74538;11.0833;7.73248;8.80211;14039.08568544
2019-02-01;9.23172;9.23172;8.59163;8.80644;775.17019152986
2019-02-04;8.91813;8.91813;7.99024;8.32963;519.10741599301
2019-02-05;8.32531;8.63033;7.99024;8.16209;751.89175739014
2019-02-06;8.58738;8.67327;8.16209;8.59163;798.44862566957
2019-02-07;8.60021;8.60021;8.16209;8.41985;1061.4946538946
2019-02-08;8.41985;8.72054;7.95154;8.63033;6564.5073252485
2019-02-11;8.79786;8.89233;8.59163;8.74627;8799.2314515856
2019-02-12;8.74202;8.74202;7.78833;8.24799;5337.7335685318
2019-02-13;8.44557;8.59163;8.41985;8.59163;803.10459005127
2019-02-14;8.67327;8.76349;8.63458;8.73344;344.51915994517
2019-02-15;8.80211;8.80644;8.75917;8.80644;58.1959465724
2019-02-18;8.80211;9.32194;8.72054;9.02124;2693.3123319809
2019-02-19;9.23605;9.23605;8.9783;9.01692;267.70060483788
2019-02-20;8.81076;8.81076;8.59596;8.77207;528.41934475643
2019-02-21;8.84938;8.84938;8.84938;8.84938;174.58686827903
2019-02-22;8.93535;9.01692;8.59163;8.59163;805.43187835772
2019-02-25;8.59596;8.72054;8.37683;8.37683;260.71735214973
2019-02-26;8.33388;9.279;8.33388;9.02124;7167.423487881
2019-02-27;8.99977;9.88039;8.89233;9.88039;41440.164650409
2019-02-28;10.1811;10.1811;9.51095;9.7945;2998.2467741843
2019-03-01;10.1338;10.1338;9.83745;10.0523;8093.8979502437
2019-03-04;9.88039;10.31;9.88039;10.2671;1215.133151878
