Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2004-11-30;8.09514;8.09514;7.45365;7.65532;181712.24964215
2004-12-01;7.72304;8.39821;7.72304;8.26338;35763.09934706
2004-12-02;8.46574;8.46574;8.02733;8.09514;31616.900873143
2004-12-03;8.02733;8.22918;7.96031;8.02733;21288.454853432
2004-12-06;8.29681;8.29681;7.96031;8.06041;1838.828193134
2004-12-07;7.96031;8.09514;7.96031;7.96031;6221.007718495
2004-12-08;7.96031;8.09514;7.96031;8.09514;2324.4703569748
2004-12-09;8.16234;8.16234;7.78996;7.89242;5153.9629641407
2004-12-10;7.89242;7.89242;7.89242;7.89242;3230.7743951282
2004-12-13;7.68953;7.68953;7.68953;7.68953;90.060401275629
2004-12-14;7.68953;7.68953;7.68953;7.68953;340.86151875206
2004-12-15;7.65532;7.65532;7.65532;7.65532;704.52313909289
2004-12-16;7.65532;7.75733;7.5212;7.75733;1296.1857753214
2004-12-17;7.89242;7.89242;7.82348;7.89242;2177.4097017272
2004-12-20;7.89242;7.92549;7.89242;7.92549;1072.7447797515
2004-12-21;7.89242;8.16234;7.89242;8.16234;16283.832554698
2004-12-22;8.12821;8.12821;7.96031;7.96031;763.80340322369
2004-12-23;8.09514;8.09514;8.09514;8.09514;2286.8501893533
2004-12-27;8.09514;8.16234;8.02733;8.02733;23218.48345292
2004-12-28;8.09514;8.12821;8.06041;8.12821;15265.808018759
2004-12-29;8.09514;8.16234;8.09514;8.09514;19578.447234274
2004-12-30;8.12821;8.16234;8.02733;8.06041;20373.030774643
2004-12-31;8.06041;8.12821;8.06041;8.12821;7931.0153376525
2005-01-03;8.09514;8.12821;8.09514;8.09514;7957.2354544796
2005-01-04;8.09514;8.12821;8.09514;8.12821;11835.532734729
2005-01-05;8.12821;8.70084;8.09514;8.49908;104482.6055356
2005-01-06;8.5333;8.56575;8.26338;8.5333;18297.081524985
2005-01-07;8.49908;8.56575;8.43155;8.5333;10411.66639051
2005-01-10;8.49908;8.49908;8.43155;8.49908;13808.881527237
2005-01-11;8.43155;8.5333;8.43155;8.5333;7623.2139662042
2005-01-12;8.49908;8.5333;8.46574;8.5333;5246.3033755752
2005-01-13;8.49908;8.5333;8.46574;8.49908;16714.754474725
2005-01-14;8.364;8.5333;8.33032;8.5333;3724.396594525
2005-01-17;8.49908;8.56575;8.49908;8.5333;4083.4981945481
2005-01-18;8.49908;8.5333;8.46574;8.5333;7057.7714468027
2005-01-19;8.46574;8.49908;8.46574;8.49908;10958.868828641
2005-01-20;8.49908;8.49908;8.43155;8.43155;12524.095802709
2005-01-21;8.49908;8.56575;8.364;8.49908;20688.812181647
2005-01-24;8.49908;8.49908;8.46574;8.49908;38960.813594884
2005-01-25;8.49908;8.5333;8.46574;8.49908;80781.89993408
2005-01-26;8.56575;8.56575;8.49908;8.56575;24853.250736835
2005-01-27;8.56575;8.56575;8.5333;8.56575;9114.3406101095
2005-01-28;8.49908;8.49908;8.49908;8.49908;2737.1521957314
2005-01-31;8.56575;8.97101;8.56575;8.76751;8433.7575776848
2005-02-01;8.90435;8.97101;8.76751;8.76751;12105.713938556
2005-02-02;8.83505;8.87014;8.83505;8.87014;3819.0170161184
2005-02-03;9.00346;9.00346;8.90435;8.90435;1081.864820387
2005-02-04;9.03944;9.03944;8.90435;8.90435;41670.60566871
2005-02-07;8.90435;8.93768;8.83505;8.83505;27225.601307147
2005-02-08;8.97101;9.00346;8.80259;8.90435;10745.687878786
2005-02-09;8.76751;8.90435;8.76751;8.90435;83365.151444087
2005-02-10;8.80259;8.83505;8.76751;8.76751;4111.9983215341
2005-02-11;8.80259;8.87014;8.76751;8.83505;6426.2086327939
2005-02-14;8.90435;8.97101;8.90435;8.97101;3958.0976358099
2005-02-15;9.00346;9.03944;8.90435;8.93768;4300.0991596414
2005-02-16;8.97101;9.10698;8.97101;9.03944;793.44353528908
2005-02-17;9.07364;9.37625;9.07364;9.3403;26676.118858857
2005-02-18;9.37625;9.71229;9.37625;9.44386;9588.5827231559
2005-02-21;9.71229;9.71229;9.44386;9.64474;197659.78069842
2005-02-22;9.78073;10.2535;9.64474;9.7473;14588.645001572
2005-02-23;9.78073;10.6569;9.78073;10.4211;32869.766455446
2005-02-24;10.4553;10.4553;9.98242;10.3877;6567.5692626443
2005-02-25;10.3534;10.4553;10.185;10.2535;8184.0964652878
2005-02-28;10.1185;10.1185;9.64474;9.71229;4032.1979659734
2005-03-01;9.8824;9.8824;9.81403;9.8824;3158.9540751236
2005-03-02;10.0842;10.0842;9.44386;9.84812;15140.407460021
2005-03-03;9.78073;9.8824;9.78073;9.8824;6217.5877032567
2005-03-04;9.84812;9.84812;9.61231;9.84812;33015.687105614
2005-03-07;9.91483;9.91483;9.61231;9.61231;67.260299686862
2005-03-08;9.51045;9.78073;9.51045;9.78073;24764.330340639
2005-03-09;9.54467;9.78073;9.54467;9.78073;15841.510583875
2005-03-10;10.0166;10.0166;9.57805;9.6789;15705.849979422
2005-03-11;9.78073;9.78073;9.44386;9.64474;153290.78300668
2005-03-15;9.51045;9.51045;9.10698;9.40964;47175.690197317
2005-03-16;9.1728;9.30874;9.1728;9.20702;33777.210498678
2005-03-17;9.20702;9.40964;9.20702;9.40964;4224.8588243985
2005-03-21;9.1728;9.1728;9.1728;9.1728;1483.1466083493
2005-03-22;9.1728;9.3403;9.10698;9.3403;44477.298174287
2005-03-23;9.40964;9.40964;9.37625;9.37625;4928.2419584119
2005-03-24;9.10698;9.3403;9.10698;9.3403;744.42331687323
2005-03-29;9.10698;9.30874;9.10698;9.30874;2223.0099049048
2005-03-30;9.30874;9.30874;9.30874;9.30874;14824.626053017
2005-03-31;9.30874;9.57805;9.30874;9.57805;38434.131248185
2005-04-01;9.57805;9.57805;9.40964;9.40964;3307.1547354506
2005-04-04;9.10698;9.37625;9.10698;9.37625;9043.6602951843
2005-04-05;9.40964;9.47715;9.30874;9.40964;1569.7869943866
2005-04-06;9.40964;9.44386;9.30874;9.40964;115962.45668555
2005-04-07;9.37625;9.44386;9.37625;9.44386;150183.12916012
2005-04-11;9.44386;9.57805;9.44386;9.47715;5849.3660625981
2005-04-12;9.47715;9.47715;9.30874;9.30874;8800.839213264
2005-04-13;9.37625;9.71229;9.37625;9.57805;90144.761651508
2005-04-14;9.7473;9.7473;9.51045;9.54467;20692.232196885
2005-04-15;9.64474;9.6789;9.54467;9.6789;25866.715252456
2005-04-18;9.61231;9.61231;9.44386;9.61231;10815.228188632
2005-04-19;9.54467;9.61231;9.54467;9.61231;7902.5152106666
2005-04-20;9.64474;9.64474;9.44386;9.44386;75691.777254387
2005-04-21;9.37625;9.44386;9.37625;9.44386;8950.1798786704
