Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
1994-11-23;4.46932;4.46932;4.46932;4.46932;13682.084500457
1994-11-24;4.1117;4.1117;4.1117;4.1117;48872.931508035
1994-11-25;4.5139;4.5139;4.5139;4.5139;27094.031793594
1994-11-28;4.96087;4.96087;4.96087;4.96087;0
1994-11-29;5.45254;5.45254;5.45254;5.45254;0
1994-11-30;5.98887;5.98887;5.98887;5.98887;0
1994-12-01;6.56979;6.56979;6.56979;6.56979;0
1994-12-02;7.7765;7.7765;7.7765;7.7765;71644.767984516
1994-12-05;8.49156;8.49156;8.49156;8.49156;77735.892659213
1994-12-06;8.13403;8.13403;8.13403;8.13403;56202.09813288
1994-12-07;7.32962;7.32962;7.32962;7.32962;36605.156093005
1994-12-08;6.61457;6.61457;6.61457;6.61457;100484.78311808
1994-12-09;7.24026;7.24026;7.24026;7.24026;37691.962927086
1994-12-12;7.59779;7.59779;7.59779;7.59779;53713.498222978
1994-12-13;6.92732;6.92732;6.92732;6.92732;32393.51886074
1994-12-14;6.97209;6.97209;6.97209;6.97209;20316.612592194
1994-12-15;6.79328;6.79328;6.79328;6.79328;38045.540198442
1994-12-16;7.24026;7.24026;7.24026;7.24026;41752.365043283
1994-12-19;7.15081;7.15081;7.15081;7.15081;35101.148938739
1994-12-20;6.88264;6.88264;6.88264;6.88264;25114.416274318
1994-12-21;6.97209;6.97209;6.97209;6.97209;17298.168275658
1994-12-22;7.15081;7.15081;7.15081;7.15081;24366.584700387
1994-12-23;7.46366;7.46366;7.46366;7.46366;26702.906493421
1994-12-27;7.41898;7.41898;7.41898;7.41898;20380.235641022
1994-12-28;6.97209;6.97209;6.97209;6.97209;11338.461701819
1994-12-29;7.24026;7.24026;7.24026;7.24026;13763.438562893
1995-01-02;7.59779;7.59779;7.59779;7.59779;18491.361191386
1995-01-03;8.35752;8.35752;8.35752;8.35752;46485.502675778
1995-01-04;7.95532;7.95532;7.95532;7.95532;31174.250925
1995-01-05;8.13403;8.13403;8.13403;8.13403;30857.17868166
1995-01-06;7.82128;7.82128;7.82128;7.82128;11379.138733037
1995-01-09;7.86586;7.86586;7.86586;7.86586;17416.02736611
1995-01-10;7.82128;7.82128;7.82128;7.82128;15853.612167018
1995-01-11;7.7765;7.7765;7.7765;7.7765;8037.364168358
1995-01-12;7.68715;7.68715;7.68715;7.68715;9171.1060384599
1995-01-13;7.95532;7.95532;7.95532;7.95532;9490.2642834012
1995-01-16;7.95532;7.95532;7.95532;7.95532;18226.438988069
1995-01-17;7.59779;7.59779;7.59779;7.59779;3289.6245246563
1995-01-18;7.46366;7.46366;7.46366;7.46366;11120.474534523
1995-01-19;7.3743;7.3743;7.3743;7.3743;16069.513332714
1995-01-20;7.24026;7.24026;7.24026;7.24026;17264.792250043
1995-01-23;6.88264;6.88264;6.88264;6.88264;10025.323694038
1995-01-24;6.61457;6.61457;6.61457;6.61457;21090.519186136
1995-01-25;6.74861;6.74861;6.74861;6.74861;22745.761456469
1995-01-26;6.61457;6.61457;6.61457;6.61457;10432.094006218
1995-01-27;6.52512;6.52512;6.52512;6.52512;7661.8838801918
1995-01-30;6.56979;6.56979;6.56979;6.56979;9437.0712425777
1995-01-31;5.98887;5.98887;5.98887;5.98887;8349.2214076961
1995-02-01;6.3464;6.3464;6.3464;6.3464;9926.2386179942
1995-02-02;5.72061;5.72061;5.72061;5.72061;20539.814763493
1995-02-03;5.89942;5.89942;5.89942;5.89942;13135.552081015
1995-02-06;6.48044;6.48044;6.48044;6.48044;9335.9001649329
1995-02-07;7.10613;7.10613;7.10613;7.10613;33491.798703626
1995-02-08;6.61457;6.61457;6.61457;6.61457;13757.18055809
1995-02-09;7.06145;7.06145;7.06145;7.06145;24216.39258512
1995-02-10;6.70383;6.70383;6.70383;6.70383;12007.025214915
1995-02-13;6.61457;6.61457;6.61457;6.61457;13379.614268323
1995-02-14;6.97209;6.97209;6.97209;6.97209;19434.233915003
1995-02-15;7.06145;7.06145;7.06145;7.06145;19826.402215977
1995-02-16;7.24026;7.24026;7.24026;7.24026;20925.725059664
1995-02-17;7.24026;7.24026;7.24026;7.24026;20855.844006033
1995-02-20;7.24026;7.24026;7.24026;7.24026;26933.409670323
1995-02-21;6.70383;6.70383;6.70383;6.70383;24016.136431432
1995-02-22;6.79328;6.79328;6.79328;6.79328;16338.607539233
1995-02-23;7.06145;7.06145;7.06145;7.06145;18905.432509169
1995-02-24;7.73183;7.73183;7.73183;7.73183;59365.51956068
1995-02-27;7.46366;7.46366;7.46366;7.46366;14604.097208065
1995-02-28;7.24026;7.24026;7.24026;7.24026;11118.388532922
1995-03-01;7.3743;7.3743;7.3743;7.3743;16137.308384744
1995-03-02;7.59779;7.59779;7.59779;7.59779;23098.295727025
1995-03-03;7.73183;7.73183;7.73183;7.73183;25349.091454422
1995-03-06;7.68715;7.68715;7.68715;7.68715;30960.435760906
1995-03-07;7.82128;7.82128;7.82128;7.82128;14000.199744598
1995-03-08;7.73183;7.73183;7.73183;7.73183;10799.230287981
1995-03-09;7.86586;7.86586;7.86586;7.86586;19132.80668367
1995-03-10;7.68715;7.68715;7.68715;7.68715;46311.321542101
1995-03-13;7.64247;7.64247;7.64247;7.64247;23684.462176885
1995-03-14;7.55311;7.55311;7.55311;7.55311;10790.886281577
1995-03-15;7.50834;7.50834;7.50834;7.50834;16981.096032317
1995-03-16;7.32962;7.32962;7.32962;7.32962;16235.350459987
1995-03-17;7.41898;7.41898;7.41898;7.41898;24262.284620341
1995-03-20;7.3743;7.3743;7.3743;7.3743;5965.9645786411
1995-03-21;6.97209;6.97209;6.97209;6.97209;26104.224033956
1995-03-22;6.97209;6.97209;6.97209;6.97209;18430.867144959
1995-03-23;6.88264;6.88264;6.88264;6.88264;9953.3566388062
1995-03-24;6.97209;6.97209;6.97209;6.97209;6455.1319540576
1995-03-27;7.19558;7.19558;7.19558;7.19558;5628.0323192915
1995-03-28;6.97209;6.97209;6.97209;6.97209;15705.506053353
1995-03-29;6.92732;6.92732;6.92732;6.92732;3392.881603902
1995-03-30;7.01677;7.01677;7.01677;7.01677;19239.192765317
1995-03-31;7.15081;7.15081;7.15081;7.15081;15453.099859641
1995-04-03;7.19558;7.19558;7.19558;7.19558;13132.423078614
1995-04-04;7.41898;7.41898;7.41898;7.41898;51355.273413134
1995-04-05;7.41898;7.41898;7.41898;7.41898;15029.641534653
1995-04-06;7.68715;7.68715;7.68715;7.68715;75450.677905401
1995-04-07;7.86586;7.86586;7.86586;7.86586;47292.785295336
1995-04-10;8.58101;8.58101;8.58101;8.58101;83265.882903261
1995-04-11;8.84918;8.84918;8.84918;8.84918;62492.435960465
1995-04-12;8.75982;8.75982;8.75982;8.75982;102742.87985108
1995-04-13;8.49156;8.49156;8.49156;8.49156;56053.992019214
1995-04-14;8.58101;8.58101;8.58101;8.58101;45565.575969771
1995-04-18;9.29626;9.29626;9.29626;9.29626;72664.822767368
1995-04-19;10.1898;10.1898;10.1898;10.1898;70509.983113614
1995-04-20;10.1898;10.1898;10.1898;10.1898;72914.099958678
1995-04-21;9.83219;9.83219;9.83219;9.83219;75923.15726801
1995-04-24;10.8159;10.8159;10.8159;10.8159;69067.513006575
1995-04-25;11.1735;11.1735;11.1735;11.1735;49717.762156409
1995-04-26;10.4583;10.4583;10.4583;10.4583;39443.161271061
1995-04-27;10.4583;10.4583;10.4583;10.4583;33992.439087848
1995-04-28;10.4583;10.4583;10.4583;10.4583;46232.053481266
1995-05-04;10.6366;10.6366;10.6366;10.6366;39813.426555225
1995-05-05;10.1898;10.1898;10.1898;10.1898;17762.303631863
1995-05-09;10.3691;10.3691;10.3691;10.3691;18903.346507568
1995-05-10;10.4583;10.4583;10.4583;10.4583;36288.083849664
1995-05-11;10.9943;10.9943;10.9943;10.9943;53255.620871576
1995-05-12;11.7986;11.7986;11.7986;11.7986;92550.676028971
1995-05-15;12.0671;12.0671;12.0671;12.0671;78188.555006613
1995-05-16;11.5311;11.5311;11.5311;11.5311;23545.743070423
1995-05-17;11.0834;11.0834;11.0834;11.0834;18404.792124948
1995-05-18;10.7268;10.7268;10.7268;10.7268;29319.795501779
1995-05-19;9.65388;9.65388;9.65388;9.65388;29366.7305378
1995-05-22;9.02799;9.02799;9.02799;9.02799;35887.571542287
1995-05-23;8.53633;8.53633;8.53633;8.53633;40005.33870251
1995-05-24;9.38542;9.38542;9.38542;9.38542;59987.148037755
1995-05-25;10.279;10.279;10.279;10.279;90959.056807466
1995-05-26;10.1898;10.1898;10.1898;10.1898;35720.691414213
1995-05-29;10.4583;10.4583;10.4583;10.4583;18646.768310655
1995-05-30;9.47459;9.47459;9.47459;9.47459;26913.592655114
1995-05-31;9.47459;9.47459;9.47459;9.47459;19895.240268807
1995-06-01;8.84918;8.84918;8.84918;8.84918;11977.821192502
1995-06-02;9.20709;9.20709;9.20709;9.20709;15640.840003724
1995-06-05;9.38542;9.38542;9.38542;9.38542;16781.882879429
1995-06-06;9.65388;9.65388;9.65388;9.65388;15589.732964501
1995-06-07;9.83219;9.83219;9.83219;9.83219;32393.51886074
1995-06-08;9.83219;9.83219;9.83219;9.83219;31426.657118712
1995-06-09;9.74305;9.74305;9.74305;9.74305;13189.788122639
1995-06-12;9.56471;9.56471;9.56471;9.56471;14847.116394573
1995-06-13;9.38542;9.38542;9.38542;9.38542;7032.9543975134
1995-06-14;9.38542;9.38542;9.38542;9.38542;26796.776565463
1995-06-16;9.11696;9.11696;9.11696;9.11696;23142.101760645
1995-06-19;9.11696;9.11696;9.11696;9.11696;9981.5176604187
1995-06-20;9.47459;9.47459;9.47459;9.47459;16253.081473595
1995-06-21;9.83219;9.83219;9.83219;9.83219;25629.658669746
1995-06-22;9.83219;9.83219;9.83219;9.83219;30511.945416707
1995-06-23;10.1007;10.1007;10.1007;10.1007;19454.050930212
1995-06-26;11.0834;11.0834;11.0834;11.0834;45291.26675925
1995-06-27;11.1735;11.1735;11.1735;11.1735;44884.49644707
1995-06-28;10.8159;10.8159;10.8159;10.8159;35781.18546064
1995-06-29;11.2627;11.2627;11.2627;11.2627;57225.281918133
1995-06-30;11.7095;11.7095;11.7095;11.7095;54228.740618406
1995-07-03;12.0671;12.0671;12.0671;12.0671;50841.074018507
1995-07-04;11.2627;11.2627;11.2627;11.2627;28457.233839798
1995-07-05;11.1735;11.1735;11.1735;11.1735;40185.77784099
1995-07-06;11.3518;11.3518;11.3518;11.3518;24268.542625143
1995-07-07;10.9943;10.9943;10.9943;10.9943;18280.675029693
1995-07-10;10.8159;10.8159;10.8159;10.8159;8459.779492545
1995-07-11;10.3691;10.3691;10.3691;10.3691;10753.33825276
1995-07-12;10.0115;10.0115;10.0115;10.0115;29018.368270446
1995-07-13;10.3691;10.3691;10.3691;10.3691;42677.506753293
1995-07-14;10.3691;10.3691;10.3691;10.3691;25027.847207879
1995-07-17;11.2627;11.2627;11.2627;11.2627;29478.33162345
