Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2021-12-22;112.228;112.228;96.9236;101.94;10379.791995287
2021-12-23;104.15;124.981;102.025;121.393;9781.1161736891
2021-12-27;127.531;127.531;107.211;118.179;3033.3692414555
2021-12-28;110.102;115.544;106.276;115.544;1099.7286703222
2021-12-29;113.928;113.928;104.576;107.977;1063.2670780441
2021-12-30;107.977;109.677;107.977;108.826;270.5214910953
2022-01-03;110.528;112.738;102.025;112.738;769.2219790275
2022-01-04;111.377;111.377;106.361;110.528;199.95066733131
2022-01-05;110.357;117.754;110.357;117.754;246.99788317397
2022-01-07;113.928;116.479;109.677;113.911;117.61803960665
2022-01-10;110.528;112.228;110.442;110.528;355.20647961209
2022-01-11;110.528;110.613;109.677;109.677;221.1219144605
2022-01-12;108.572;109.66;106.276;109.66;286.98801664023
2022-01-13;109.677;113.928;109.677;110.528;127.02748277518
2022-01-14;111.377;111.802;107.977;110.357;175.25087901391
2022-01-17;108.147;109.507;106.446;109.507;119.97040039878
2022-01-18;108.826;108.826;103.726;107.977;357.55884040422
2022-01-19;104.576;106.192;102.45;106.192;288.1641970363
2022-01-20;102.875;108.826;102.025;108.826;908.01126576335
2022-01-21;105.851;107.892;104.576;107.892;190.54122416277
2022-01-24;105.001;105.001;95.2233;101.6;651.60393942085
2022-01-25;101.6;101.6;96.2438;101.43;675.12754734218
2022-01-26;101.175;101.175;96.4138;101.158;136.43692594372
2022-01-27;102.79;104.661;99.4745;104.661;152.90345148865
2022-01-28;104.661;110.528;102.025;105.936;1733.689903802
2022-01-31;105.936;108.232;102.875;107.875;515.16701347713
2022-02-01;107.875;112.228;90.2242;112.228;1106.7857526986
2022-02-02;103.896;114.778;103.896;114.744;275.22621267956
2022-02-03;112.228;131.783;112.228;127.515;3192.1535949245
2022-02-04;126.511;127.531;125.831;125.831;537.5144410024
2022-02-07;125.831;129.232;125.831;127.531;336.38759327502
2022-02-08;127.956;127.956;122.431;125.831;74.09936495219
2022-02-09;125.831;125.831;125.831;125.831;1.1761803960665
2022-02-10;125.406;125.831;125.321;125.831;371.67300515702
2022-02-11;125.831;125.831;124.981;124.981;101.15151406172
2022-02-14;116.479;116.479;109.677;113.928;285.81183624416
2022-02-15;110.528;116.394;109.677;116.394;98.799153269587
2022-02-16;116.394;116.394;116.394;116.394;95.270612081387
2022-02-17;112.228;112.228;110.528;110.528;321.09724812616
2022-02-18;112.228;114.693;108.826;108.826;171.72233782571
2022-02-21;110.528;114.693;103.981;112.092;346.97321683962
2022-02-22;107.977;119.029;102.025;119.029;1811.3178099424
2022-02-23;118.859;118.859;110.528;112.228;41.166313862328
2022-02-24;105.443;105.443;90.2924;98.6247;1339.6694711198
2022-02-25;100.325;106.276;100.325;106.276;47.04721584266
2022-02-28;97.7742;104.576;97.7742;104.576;18.818886337064
2022-03-01;105.426;107.977;105.426;107.977;78.804086536456
2022-03-02;107.977;108.826;107.977;108.826;29.404509901663
2022-03-03;108.826;117.329;108.826;109.677;215.24101248017
2022-03-04;109.677;115.612;102.893;110.442;161.13671426111
2022-03-07;109.592;109.592;109.592;109.592;11.761803960665
2022-03-08;110.102;114.319;110.102;114.319;29.404509901663
2022-03-09;113.928;115.629;113.928;113.928;181.13178099424
2022-03-10;108.826;114.778;107.126;114.778;271.69767149136
2022-03-11;113.078;113.078;113.078;113.078;464.59125644627
2022-03-14;110.528;113.078;110.528;113.078;104.68005524992
2022-03-15;110.528;112.653;108.997;112.653;179.95560059818
2022-03-16;112.653;112.653;112.653;112.653;1.1761803960665
2022-03-17;112.653;112.908;112.636;112.908;36.461592278062
2022-03-18;112.228;112.908;110.528;110.528;78.804086536456
2022-03-21;112.738;112.908;108.826;112.908;69.394643367924
2022-03-22;112.908;112.908;112.908;112.908;1.1761803960665
2022-03-23;112.908;112.908;110.528;110.528;246.99788317397
2022-03-25;111.717;111.717;111.717;111.717;1.1761803960665
2022-03-28;111.887;111.887;108.826;111.377;65.866102179725
2022-03-29;111.377;111.377;106.276;106.276;74.09936495219
2022-03-30;110.528;110.528;110.528;110.528;2.352360792133
2022-04-04;109.677;109.677;109.677;109.677;11.761803960665
2022-04-05;109.252;109.252;109.252;109.252;5.8809019803326
2022-04-06;108.826;108.826;108.826;108.826;243.46934198577
2022-04-07;109.252;110.528;107.126;107.126;5683.3036737934
2022-04-08;110.102;110.102;107.126;107.126;9.4094431685321
2022-04-11;106.786;106.786;106.701;106.701;28.228329505596
2022-04-12;107.126;107.126;104.576;105.426;234.05989881724
2022-04-13;104.576;104.576;104.576;104.576;382.25862872162
2022-04-14;106.701;107.977;103.726;103.726;225.82663604477
2022-04-19;105.426;105.426;103.726;103.726;2084.1916618299
2022-04-20;105.426;109.677;105.426;106.701;1293.7984356732
2022-04-21;109.677;114.778;108.402;108.826;326.97815010649
2022-04-22;112.653;113.928;110.528;110.528;98.799153269587
2022-04-25;108.826;113.503;107.977;107.977;138.78928673585
2022-04-26;107.552;107.552;107.552;107.552;62.337560991525
2022-04-27;107.126;109.677;106.276;109.677;286.98801664023
2022-04-29;109.677;109.677;102.875;107.126;241.11698119363
2022-05-02;107.977;107.977;104.576;104.576;63.513741387592
2022-05-04;104.576;109.677;102.875;109.677;56.456659011193
2022-05-05;104.576;104.576;104.576;104.576;5.8809019803326
2022-05-06;104.576;104.576;102.025;102.025;898.60182259481
2022-05-10;101.175;102.025;97.7742;98.6247;321.09724812616
2022-05-12;98.199;101.175;79.0695;95.2233;312.86398535369
2022-05-13;96.0739;97.7742;94.3736;96.0739;237.58844000544
2022-05-16;98.6247;101.175;93.523;93.523;169.36997703358
2022-05-19;93.9478;93.9478;92.6733;92.6733;178.77942020211
2022-05-23;92.6733;93.523;91.8227;93.523;110.56095723025
2022-05-24;91.8227;91.8227;87.9967;90.1224;85.861168912855
2022-05-25;87.5716;90.1224;87.1465;87.5716;275.22621267956
2022-05-26;89.6976;91.8227;87.5716;87.5716;101.15151406172
2022-05-27;89.2718;89.2718;89.2718;89.2718;23.52360792133
2022-05-30;88.4218;88.4218;88.4218;88.4218;39.990133466261
2022-05-31;87.1465;91.8227;85.8712;91.8227;272.87385188743
2022-06-01;92.2476;92.2476;92.2476;92.2476;4.704721584266
2022-06-02;86.7214;87.5716;86.7214;86.7214;321.09724812616
2022-06-06;84.1708;84.5108;80.7699;84.5108;83.508808120722
2022-06-07;81.28;85.0209;80.94;84.1708;122.32276119092
2022-06-08;85.8712;90.1224;85.8712;90.1224;394.02043268228
2022-06-09;91.3979;93.0981;84.1708;84.1708;112.91331802239
2022-06-10;88.4218;89.2718;88.4218;89.2718;61.161380595459
2022-06-13;86.7214;86.7214;81.28;82.4703;492.81958595187
2022-06-14;80.7699;85.8712;80.7699;85.8712;178.77942020211
2022-06-15;85.8712;85.8712;83.3206;83.3206;1434.9400832011
2022-06-17;84.1708;93.0981;84.1708;93.0981;102.32769445779
2022-06-20;89.2718;89.2718;87.1465;87.1465;118.79422000272
2022-06-21;87.1465;87.1465;83.3206;83.3206;176.42705940998
2022-06-22;83.3206;86.7214;83.3206;83.3206;88.213529704988
2022-06-23;83.3206;83.3206;83.3206;83.3206;1.1761803960665
2022-06-24;83.3206;84.1708;83.3206;83.3206;39.990133466261
2022-06-27;82.8105;82.8105;81.6202;81.6202;55.280478615126
2022-06-28;81.6202;81.6202;81.6202;81.6202;36.461592278062
2022-06-29;81.6202;81.6202;81.6202;81.6202;15.290345148865
2022-06-30;81.6202;81.6202;81.6202;81.6202;12.937984356732
2022-07-01;81.6202;81.6202;81.6202;81.6202;1.1761803960665
2022-07-04;80.7699;80.7699;80.7699;80.7699;17.642705940998
2022-07-05;80.7699;80.7699;80.7699;80.7699;1.1761803960665
2022-07-06;82.4703;85.0209;82.4703;85.0209;7.0570823763991
2022-07-07;85.0209;87.5716;76.5189;87.5716;268.16913030316
2022-07-08;87.5716;87.5716;87.5716;87.5716;10.585623564599
