Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
1997-12-16;11.6052;11.6052;11.6052;11.6052;47606.452339814
1997-12-17;12.1279;12.1279;12.1279;12.1279;43280.061387063
1997-12-18;11.6052;11.6052;11.6052;11.6052;32062.594924771
1997-12-19;11.1424;11.1424;11.1424;11.1424;11471.281398187
1997-12-22;10.039;10.039;10.039;10.039;0
1997-12-23;9.92193;9.92193;9.92193;9.92193;27109.742562062
1997-12-29;9.97917;9.97917;9.97917;9.97917;9859.5565552551
1997-12-30;10.1569;10.1569;10.1569;10.1569;14489.371726826
1997-12-31;9.86296;9.86296;9.86296;9.86296;20792.058066793
1998-01-05;10.097;10.097;10.097;10.097;10000.308474251
1998-01-06;10.097;10.097;10.097;10.097;8387.4299270659
1998-01-07;9.86296;9.86296;9.86296;9.86296;7676.7481065607
1998-01-08;9.74598;9.74598;9.74598;9.74598;8430.1169844663
1998-01-09;9.74598;9.74598;9.74598;9.74598;5157.0580156787
1998-01-12;8.81855;8.81855;8.81855;8.81855;1724.7878598299
1998-01-13;8.99455;8.99455;8.99455;8.99455;9868.7861892877
1998-01-14;8.99455;8.99455;8.99455;8.99455;8510.876282251
1998-01-15;9.05348;9.05348;9.05348;9.05348;10862.125552039
1998-01-16;8.7024;8.7024;8.7024;8.7024;5813.5157362428
1998-01-19;8.81855;8.81855;8.81855;8.81855;4020.6593254229
1998-01-20;8.7024;8.7024;8.7024;8.7024;15002.770119885
1998-01-21;8.52991;8.52991;8.52991;8.52991;2772.3513225226
1998-01-22;8.41377;8.41377;8.41377;8.41377;12085.052061351
1998-01-23;8.12045;8.12045;8.12045;8.12045;4845.5578670807
1998-01-26;8.58885;8.58885;8.58885;8.58885;11633.95369801
1998-01-27;8.41377;8.41377;8.41377;8.41377;4762.4911607879
1998-01-28;8.41377;8.41377;8.41377;8.41377;1391.3673304046
1998-01-29;9.2233;9.2233;9.2233;9.2233;8154.3816677444
1998-01-30;9.16436;9.16436;9.16436;9.16436;7627.1388236358
1998-02-02;9.57437;9.57437;9.57437;9.57437;4100.2649189535
1998-02-03;9.97917;9.97917;9.97917;9.97917;8928.5172222232
1998-02-04;10.1569;10.1569;10.1569;10.1569;14746.647775483
1998-02-05;9.68701;9.68701;9.68701;9.68701;4820.1763734912
1998-02-06;9.86296;9.86296;9.86296;9.86296;7006.4459349479
1998-02-09;10.039;10.039;10.039;10.039;7652.5203172253
1998-02-10;11.0245;11.0245;11.0245;11.0245;30246.66442887
1998-02-11;10.7315;10.7315;10.7315;10.7315;7632.9073449062
1998-02-12;10.7315;10.7315;10.7315;10.7315;6893.3829180493
1998-02-13;10.208;10.208;10.208;10.208;3808.3777426746
1998-02-16;10.097;10.097;10.097;10.097;4903.243079784
1998-02-17;10.039;10.039;10.039;10.039;1843.6193979988
1998-02-18;10.7315;10.7315;10.7315;10.7315;11669.718529887
1998-02-19;11.4292;11.4292;11.4292;11.4292;25603.004806252
1998-02-20;10.7315;10.7315;10.7315;10.7315;20589.006118077
1998-02-23;10.9083;10.9083;10.9083;10.9083;24148.183741873
1998-02-24;11.0245;11.0245;11.0245;11.0245;11805.855631866
1998-02-25;10.6787;10.6787;10.6787;10.6787;17612.449142584
1998-02-26;10.7315;10.7315;10.7315;10.7315;11729.711151097
1998-02-27;10.7315;10.7315;10.7315;10.7315;9268.8599771729
1998-03-02;10.5617;10.5617;10.5617;10.5617;7440.238734477
1998-03-03;10.7315;10.7315;10.7315;10.7315;8643.5522714687
1998-03-04;10.4437;10.4437;10.4437;10.4437;8739.3097245562
1998-03-05;10.3848;10.3848;10.3848;10.3848;3552.2553982718
1998-03-06;10.208;10.208;10.208;10.208;6604.9568545326
1998-03-09;10.3848;10.3848;10.3848;10.3848;12283.489193049
1998-03-10;10.4437;10.4437;10.4437;10.4437;7565.9924981703
1998-03-11;10.7897;10.7897;10.7897;10.7897;16172.626233508
1998-03-12;10.3268;10.3268;10.3268;10.3268;5928.8861616494
1998-03-13;10.8477;10.8477;10.8477;10.8477;5602.3878577485
1998-03-16;10.8477;10.8477;10.8477;10.8477;8039.0112423377
1998-03-17;11.0245;11.0245;11.0245;11.0245;5016.3060966826
1998-03-18;11.4292;11.4292;11.4292;11.4292;20231.357799316
1998-03-19;11.6052;11.6052;11.6052;11.6052;37895.723633333
1998-03-20;11.5463;11.5463;11.5463;11.5463;14971.620105025
1998-03-23;11.6052;11.6052;11.6052;11.6052;22545.688532974
1998-03-24;11.6052;11.6052;11.6052;11.6052;35982.881980091
1998-03-25;11.3695;11.3695;11.3695;11.3695;26039.105014288
1998-03-26;10.2686;10.2686;10.2686;10.2686;13834.067710515
1998-03-27;10.6197;10.6197;10.6197;10.6197;13273.367443039
1998-03-30;10.6197;10.6197;10.6197;10.6197;12666.5190054
1998-03-31;10.5617;10.5617;10.5617;10.5617;10384.491990856
1998-04-01;10.5018;10.5018;10.5018;10.5018;5714.297170393
1998-04-02;10.4437;10.4437;10.4437;10.4437;12262.722516477
1998-04-06;10.5617;10.5617;10.5617;10.5617;12778.428318044
1998-04-07;10.8477;10.8477;10.8477;10.8477;3226.9107986249
1998-04-08;10.7897;10.7897;10.7897;10.7897;3548.7942855096
1998-04-09;10.4437;10.4437;10.4437;10.4437;25575.315904153
1998-04-14;10.4437;10.4437;10.4437;10.4437;7225.6497432206
1998-04-15;10.5617;10.5617;10.5617;10.5617;7705.5907129124
