Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
1997-01-16;2.43043;2.43043;2.43043;2.43043;3281707.7132795
1997-01-17;2.65146;2.65146;2.65146;2.65146;2727443.0478175
1997-01-20;2.51902;2.51902;2.51902;2.51902;1550711.9338303
1997-01-21;2.43043;2.43043;2.43043;2.43043;988903.2031462
1997-01-22;2.4525;2.4525;2.4525;2.4525;755933.6947019
1997-01-23;2.51902;2.51902;2.51902;2.51902;777919.73307506
1997-01-24;2.51902;2.51902;2.51902;2.51902;660409.71082337
1997-01-27;2.51902;2.51902;2.51902;2.51902;1247192.0632318
1997-01-28;2.47456;2.47456;2.47456;2.47456;785760.64915685
1997-01-29;2.38615;2.38615;2.38615;2.38615;379879.68752933
1997-01-30;2.36417;2.36417;2.36417;2.36417;430794.97474552
1997-01-31;2.34203;2.34203;2.34203;2.34203;439769.64652045
1997-02-03;2.43043;2.43043;2.43043;2.43043;623552.51733326
1997-02-04;2.47456;2.47456;2.47456;2.47456;714418.68471011
1997-02-05;2.43043;2.43043;2.43043;2.43043;363705.48827716
1997-02-06;2.49654;2.49654;2.49654;2.49654;263330.55601231
1997-02-07;2.54099;2.54099;2.54099;2.54099;458868.24400109
1997-02-10;2.56305;2.56305;2.56305;2.56305;505058.95307647
1997-02-11;2.56305;2.56305;2.56305;2.56305;322468.25439104
1997-02-12;2.62949;2.62949;2.62949;2.62949;1222366.2708512
1997-02-13;2.67344;2.67344;2.67344;2.67344;709934.92533903
1997-02-14;2.80606;2.80606;2.80606;2.80606;772942.41444325
1997-02-17;2.82786;2.82786;2.82786;2.82786;701687.47856181
1997-02-18;3.02692;3.02692;3.02692;3.02692;830178.59827881
1997-02-19;3.04923;3.04923;3.04923;3.04923;1164764.0901726
1997-02-20;2.8724;2.8724;2.8724;2.8724;420043.9665008
1997-02-21;2.89455;2.89455;2.89455;2.89455;820179.85064647
1997-02-24;2.80606;2.80606;2.80606;2.80606;354047.70187324
1997-02-25;2.76184;2.76184;2.76184;2.76184;462180.09817096
1997-02-26;2.80606;2.80606;2.80606;2.80606;856373.00426163
1997-02-27;2.69551;2.69551;2.69551;2.69551;733779.56005878
1997-02-28;2.73996;2.73996;2.73996;2.73996;852999.15714114
1997-03-03;2.73996;2.73996;2.73996;2.73996;273008.60934239
1997-03-04;2.73996;2.73996;2.73996;2.73996;236690.27765385
1997-03-05;2.76184;2.76184;2.76184;2.76184;266300.25678161
1997-03-06;2.85043;2.85043;2.85043;2.85043;262243.29503214
1997-03-07;2.91636;2.91636;2.91636;2.91636;399793.73074511
1997-03-10;2.82786;2.82786;2.82786;2.82786;194300.21332056
1997-03-11;2.76184;2.76184;2.76184;2.76184;702244.2229453
1997-03-12;2.71739;2.71739;2.71739;2.71739;405858.31035709
1997-03-13;2.69551;2.69551;2.69551;2.69551;318667.60964895
1997-03-14;2.62949;2.62949;2.62949;2.62949;512856.95096167
1997-03-17;2.60692;2.60692;2.60692;2.60692;124835.91997445
1997-03-18;2.67344;2.67344;2.67344;2.67344;296978.42213551
1997-03-19;2.71739;2.71739;2.71739;2.71739;422228.02583816
1997-03-20;2.73996;2.73996;2.73996;2.73996;651303.90011443
1997-03-21;2.73996;2.73996;2.73996;2.73996;160949.19805708
1997-03-24;2.78391;2.78391;2.78391;2.78391;326507.33355861
1997-03-25;2.85043;2.85043;2.85043;2.85043;282066.73316623
1997-03-26;2.91636;2.91636;2.91636;2.91636;782430.91240507
1997-03-27;2.91636;2.91636;2.91636;2.91636;707841.47108335
1997-04-01;2.76184;2.76184;2.76184;2.76184;1174018.9223974
1997-04-02;2.80606;2.80606;2.80606;2.80606;510682.42900133
1997-04-03;2.80606;2.80606;2.80606;2.80606;333367.09197956
1997-04-04;2.82786;2.82786;2.82786;2.82786;198890.07601098
1997-04-07;2.91636;2.91636;2.91636;2.91636;352958.05654882
1997-04-08;2.98296;2.98296;2.98296;2.98296;336913.80405852
1997-04-09;3.07121;3.07121;3.07121;3.07121;784222.74711253
1997-04-10;3.13738;3.13738;3.13738;3.13738;830756.80176059
1997-04-11;3.07121;3.07121;3.07121;3.07121;146353.43470155
1997-04-14;2.93893;2.93893;2.93893;2.93893;333644.86808524
