Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2000-01-03;18.3605;18.4241;17.9593;18.1607;20880901.920925
2000-01-04;18.1703;18.2645;17.7946;17.9672;20947269.530265
2000-01-05;17.7134;17.934;17.4769;17.6183;22163318.302812
2000-01-07;17.4404;18.1232;17.4256;18.0753;22806274.729933
2000-01-10;18.1537;18.1537;17.6759;17.8294;16040229.179325
2000-01-11;17.8965;17.9279;17.014;17.3236;36316134.734718
2000-01-12;17.048;17.0934;16.7995;17.0934;28647890.375177
2000-01-13;17.1892;17.204;16.7262;16.9426;26223632.083931
2000-01-14;16.905;17.3959;16.7819;17.273;37393555.087078
2000-01-17;17.3838;17.4152;16.518;16.6548;75166332.359112
2000-01-18;16.6836;16.6836;15.7975;15.9048;47792256.516327
2000-01-19;15.6955;15.8629;15.4837;15.849;49157160.517998
2000-01-20;15.9738;16.4149;15.9153;16.1419;27962296.250943
2000-01-21;16.2266;16.3801;15.5289;15.6205;43383636.062921
2000-01-24;15.7714;16.0747;15.6048;15.7714;23534399.902568
2000-01-25;15.7817;15.9807;15.6894;15.9503;37687139.50153
2000-01-26;16.0896;16.3339;15.8918;16.2885;53822135.810623
2000-01-27;16.3958;16.4106;16.046;16.2589;119109280.14817
2000-01-28;16.2736;16.2736;15.6249;15.6991;31142471.452259
2000-01-31;15.9466;16.1307;15.7015;15.9013;117422106.66828
2000-02-01;17.8538;17.8538;15.8446;16.1054;27520506.820496
2000-02-02;16.2414;16.2563;15.8725;16.1037;25228879.392733
2000-02-03;16.1933;16.5467;16.0094;16.3617;26901732.129184
2000-02-04;16.3504;16.4882;16.1237;16.3061;32844260.392989
2000-02-07;16.516;16.8362;16.4097;16.8362;29460355.185585
2000-02-08;16.8213;17.1692;16.5928;17.0628;28915094.714203
2000-02-09;17.3053;17.3053;16.6172;16.8623;25780090.403647
2000-02-10;16.6696;16.8055;16.2423;16.4708;21595917.329073
2000-02-11;16.4368;16.4506;15.4183;15.5394;41090668.072292
2000-02-14;16.067;16.8535;15.4932;16.2187;63264546.891302
2000-02-15;16.4654;17.0254;16.3146;16.5101;50408318.505868
2000-02-16;16.8527;17.3359;16.5815;17.2913;79590040.738635
2000-02-17;17.1196;17.5111;17.0891;17.2407;39695233.869436
2000-02-18;17.2581;17.3192;16.8065;16.8065;43301805.536826
2000-02-21;16.6758;17.1876;16.585;17.0662;21097225.649336
2000-02-22;17.2853;17.5294;16.8876;17.0707;27414570.244778
2000-02-23;17.1745;17.4186;16.871;17.4186;22211036.148343
2000-02-24;17.1604;17.3122;16.7819;16.8587;26171181.558377
2000-02-25;16.8047;17.1212;16.6845;16.8659;23491745.004048
2000-02-28;16.8615;16.952;16.6059;16.7262;22542156.323047
2000-02-29;16.7026;17.0758;16.6286;16.7628;17724900.428093
2000-03-01;16.729;16.7594;16.462;16.625;21612535.033516
2000-03-02;16.6993;16.9207;16.6548;16.8631;33384618.463812
