Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
1994-10-26;11.8345;11.8345;11.8345;11.8345;36114.0192669
1994-10-27;10.6936;10.6936;10.6936;10.6936;166669.65042814
1994-10-28;10.7776;10.7776;10.7776;10.7776;127909.47242228
1994-11-02;11.8345;11.8345;11.8345;11.8345;100360.80644254
1994-11-03;11.8345;11.8345;11.8345;11.8345;104040.94359623
1994-11-04;11.2847;11.2847;11.2847;11.2847;63734.960485327
1994-11-07;10.9891;10.9891;10.9891;10.9891;76863.978844037
1994-11-08;10.8623;10.8623;10.8623;10.8623;54330.329426441
1994-11-09;10.8623;10.8623;10.8623;10.8623;73244.316890068
1994-11-10;10.5667;10.5667;10.5667;10.5667;64180.411956434
1994-11-14;9.50984;9.50984;9.50984;9.50984;73865.293940851
1994-11-15;8.58034;8.58034;8.58034;8.58034;153080.43054961
1994-11-16;8.15728;8.15728;8.15728;8.15728;174468.00118227
1994-11-17;8.96066;8.96066;8.96066;8.96066;174031.39974039
1994-11-18;8.53825;8.53825;8.53825;8.53825;97459.471860853
1994-11-21;8.02981;8.02981;8.02981;8.02981;125337.06392687
1994-11-22;7.22777;7.22777;7.22777;7.22777;218760.92246007
1994-11-23;7.60809;7.60809;7.60809;7.60809;96360.593231796
1994-11-24;7.56538;7.56538;7.56538;7.56538;45256.099458708
1994-11-25;7.65015;7.65015;7.65015;7.65015;57042.863384611
1994-11-28;8.41089;8.41089;8.41089;8.41089;74933.197467613
1994-11-29;9.21487;9.21487;9.21487;9.21487;150525.72211266
1994-11-30;10.1016;10.1016;10.1016;10.1016;204512.37540411
1994-12-01;11.0739;11.0739;11.0739;11.0739;164896.69457294
1994-12-02;11.0739;11.0739;11.0739;11.0739;216201.78900851
1994-12-05;10.5667;10.5667;10.5667;10.5667;169814.36081358
1994-12-06;11.0739;11.0739;11.0739;11.0739;184722.23504698
1994-12-07;9.9756;9.9756;9.9756;9.9756;152450.6034696
1994-12-08;9.00266;9.00266;9.00266;9.00266;0
1994-12-09;8.36813;8.36813;8.36813;8.36813;174942.9527508
1994-12-12;9.17211;9.17211;9.17211;9.17211;422571.19554548
1994-12-13;9.08743;9.08743;9.08743;9.08743;125562.73967217
1994-12-14;8.79121;8.79121;8.79121;8.79121;128946.40084674
1994-12-15;9.17211;9.17211;9.17211;9.17211;105805.0494222
1994-12-16;9.67929;9.67929;9.67929;9.67929;94425.386840758
1994-12-19;10.1016;10.1016;10.1016;10.1016;164221.14234192
1994-12-20;9.72071;9.72071;9.72071;9.72071;89136.01937257
1994-12-21;9.80606;9.80606;9.80606;9.80606;61498.85310056
1994-12-22;9.89016;9.89016;9.89016;9.89016;63919.336094229
1994-12-23;10.1437;10.1437;10.1437;10.1437;83343.675243298
1994-12-27;10.1437;10.1437;10.1437;10.1437;81921.770547444
1994-12-28;9.72071;9.72071;9.72071;9.72071;59628.546923856
1994-12-29;9.93351;9.93351;9.93351;9.93351;77830.107034685
1995-01-02;10.4819;10.4819;10.4819;10.4819;56905.687931588
1995-01-03;10.8623;10.8623;10.8623;10.8623;158478.94837827
1995-01-04;10.5667;10.5667;10.5667;10.5667;156767.94272765
1995-01-05;10.9043;10.9043;10.9043;10.9043;122148.1033953
1995-01-06;9.93351;9.93351;9.93351;9.93351;65190.790293219
1995-01-09;10.3132;10.3132;10.3132;10.3132;39369.355017678
1995-01-10;10.1437;10.1437;10.1437;10.1437;78961.435770909
1995-01-11;9.93351;9.93351;9.93351;9.93351;54569.280215578
1995-01-12;9.9756;9.9756;9.9756;9.9756;77846.332088268
1995-01-13;10.44;10.44;10.44;10.44;70255.957020981
1995-01-16;10.3552;10.3552;10.3552;10.3552;62044.604902911
1995-01-17;10.5667;10.5667;10.5667;10.5667;222917.48618716
1995-01-18;10.5667;10.5667;10.5667;10.5667;166467.57476078
1995-01-19;10.7776;10.7776;10.7776;10.7776;91763.00304821
1995-01-20;10.4819;10.4819;10.4819;10.4819;51946.721554553
1995-01-23;9.9756;9.9756;9.9756;9.9756;43609.994022429
1995-01-24;9.67929;9.67929;9.67929;9.67929;80275.665111164
1995-01-25;9.67929;9.67929;9.67929;9.67929;101406.58489623
1995-01-26;9.46842;9.46842;9.46842;9.46842;58250.892374138
1995-01-27;9.17211;9.17211;9.17211;9.17211;37997.600487445
1995-01-30;8.28469;8.28469;8.28469;8.28469;69950.631012639
1995-01-31;8.24197;8.24197;8.24197;8.24197;167069.37674824
1995-02-01;8.62234;8.62234;8.62234;8.62234;61467.877998265
1995-02-02;7.86166;7.86166;7.86166;7.86166;101826.96128453
1995-02-03;7.69219;7.69219;7.69219;7.69219;50762.292642965
1995-02-06;8.45356;8.45356;8.45356;8.45356;24547.031066809
1995-02-07;9.29897;9.29897;9.29897;9.29897;276600.28847514
1995-02-08;9.29897;9.29897;9.29897;9.29897;206426.93172695
1995-02-09;9.29897;9.29897;9.29897;9.29897;105501.19841873
1995-02-10;8.87597;8.87597;8.87597;8.87597;50133.940567826
1995-02-13;8.66435;8.66435;8.66435;8.66435;86268.609902923
1995-02-14;9.04542;9.04542;9.04542;9.04542;54230.029095198
1995-02-15;9.04542;9.04542;9.04542;9.04542;51190.044055618
1995-02-16;9.21487;9.21487;9.21487;9.21487;54750.705814738
1995-02-17;9.29897;9.29897;9.29897;9.29897;82862.823655281
1995-02-20;8.87597;8.87597;8.87597;8.87597;24278.580180247
1995-02-21;7.98848;7.98848;7.98848;7.98848;87124.112728229
1995-02-22;8.28469;8.28469;8.28469;8.28469;35426.666996912
1995-02-23;8.62234;8.62234;8.62234;8.62234;69468.304419751
1995-02-24;9.46842;9.46842;9.46842;9.46842;351297.48516336
1995-02-27;8.74912;8.74912;8.74912;8.74912;62693.607046247
1995-02-28;8.53825;8.53825;8.53825;8.53825;51182.669031262
1995-03-01;8.41089;8.41089;8.41089;8.41089;43933.020089226
1995-03-02;8.62234;8.62234;8.62234;8.62234;25805.210221958
1995-03-03;8.87597;8.87597;8.87597;8.87597;120156.84681915
1995-03-06;8.87597;8.87597;8.87597;8.87597;37347.123339238
1995-03-07;8.87597;8.87597;8.87597;8.87597;49740.114267211
1995-03-08;8.87597;8.87597;8.87597;8.87597;26758.063368764
1995-03-09;8.83388;8.83388;8.83388;8.83388;34640.489400553
1995-03-10;8.79121;8.79121;8.79121;8.79121;70692.558462861
1995-03-13;8.62234;8.62234;8.62234;8.62234;37460.698714322
1995-03-14;8.32674;8.32674;8.32674;8.32674;45998.026908931
1995-03-15;8.32674;8.32674;8.32674;8.32674;54345.079475153
1995-03-16;8.24197;8.24197;8.24197;8.24197;28452.843965794
1995-03-17;8.11522;8.11522;8.11522;8.11522;27971.992377777
1995-03-20;8.02981;8.02981;8.02981;8.02981;25026.407649955
1995-03-21;7.98848;7.98848;7.98848;7.98848;41247.036218738
1995-03-22;7.86166;7.86166;7.86166;7.86166;38925.378551441
1995-03-23;7.77689;7.77689;7.77689;7.77689;31439.72883001
1995-03-24;7.8196;7.8196;7.8196;7.8196;30371.825303248
1995-03-27;7.90371;7.90371;7.90371;7.90371;48645.660652767
1995-03-28;7.65015;7.65015;7.65015;7.65015;36602.245879273
1995-03-29;7.60809;7.60809;7.60809;7.60809;34370.56350912
1995-03-30;7.73491;7.73491;7.73491;7.73491;51197.419079974
1995-03-31;7.94643;7.94643;7.94643;7.94643;44992.07358676
1995-04-03;7.98848;7.98848;7.98848;7.98848;41308.986423329
1995-04-04;8.07251;8.07251;8.07251;8.07251;74324.0204558
1995-04-05;8.02981;8.02981;8.02981;8.02981;89034.244036456
1995-04-06;8.32674;8.32674;8.32674;8.32674;127661.67160391
1995-04-07;8.4949;8.4949;8.4949;8.4949;108173.90724538
1995-04-10;9.29897;9.29897;9.29897;9.29897;268265.03594789
1995-04-11;9.72071;9.72071;9.72071;9.72071;176979.93447795
1995-04-12;9.72071;9.72071;9.72071;9.72071;189995.37746158
1995-04-13;9.08743;9.08743;9.08743;9.08743;70098.131499761
1995-04-14;9.21487;9.21487;9.21487;9.21487;48946.561646496
1995-04-18;9.38231;9.38231;9.38231;9.38231;92931.206906214
1995-04-19;10.1437;10.1437;10.1437;10.1437;445388.04589835
1995-04-20;10.9043;10.9043;10.9043;10.9043;440266.82898548
1995-04-21;10.3979;10.3979;10.3979;10.3979;119689.27027498
1995-04-24;11.4114;11.4114;11.4114;11.4114;283913.36262664
1995-04-25;11.4114;11.4114;11.4114;11.4114;278654.97026075
1995-04-26;10.6095;10.6095;10.6095;10.6095;166132.74865502
1995-04-27;10.7776;10.7776;10.7776;10.7776;184543.75945756
1995-04-28;10.6936;10.6936;10.6936;10.6936;179642.3182705
1995-05-04;10.6936;10.6936;10.6936;10.6936;103989.31842573
1995-05-05;10.524;10.524;10.524;10.524;127846.04721281
1995-05-09;10.524;10.524;10.524;10.524;98247.124462083
1995-05-10;10.947;10.947;10.947;10.947;146293.93313714
1995-05-11;11.4962;11.4962;11.4962;11.4962;188667.87307748
1995-05-12;12.4691;12.4691;12.4691;12.4691;362870.37338294
1995-05-15;12.6372;12.6372;12.6372;12.6372;231409.08923077
1995-05-16;12.2149;12.2149;12.2149;12.2149;148999.09207095
1995-05-17;11.6657;11.6657;11.6657;11.6657;209332.69132325
1995-05-18;11.1152;11.1152;11.1152;11.1152;116544.55988954
1995-05-19;10.1016;10.1016;10.1016;10.1016;165615.02194522
1995-05-22;9.72071;9.72071;9.72071;9.72071;115982.58303361
1995-05-23;9.46842;9.46842;9.46842;9.46842;140685.96461677
1995-05-24;10.1858;10.1858;10.1858;10.1858;138421.83213945
1995-05-25;10.6095;10.6095;10.6095;10.6095;200821.91321632
1995-05-26;10.2711;10.2711;10.2711;10.2711;107878.90627114
1995-05-29;10.6936;10.6936;10.6936;10.6936;137325.90352013
1995-05-30;9.63653;9.63653;9.63653;9.63653;157521.67021685
1995-05-31;10.0168;10.0168;10.0168;10.0168;110659.29045338
1995-06-01;9.59528;9.59528;9.59528;9.59528;76552.75281621
1995-06-02;9.59528;9.59528;9.59528;9.59528;57635.81534284
1995-06-05;9.80606;9.80606;9.80606;9.80606;47678.057457248
1995-06-06;10.1437;10.1437;10.1437;10.1437;57228.713998384
1995-06-07;10.3552;10.3552;10.3552;10.3552;122255.7787509
1995-06-08;10.2285;10.2285;10.2285;10.2285;101381.50981342
1995-06-09;10.1437;10.1437;10.1437;10.1437;53085.425315133
1995-06-12;10.3552;10.3552;10.3552;10.3552;73391.81737719
1995-06-13;10.2711;10.2711;10.2711;10.2711;45663.200803164
1995-06-14;10.2711;10.2711;10.2711;10.2711;49558.688668051
1995-06-16;9.72071;9.72071;9.72071;9.72071;31268.628264949
1995-06-19;9.67929;9.67929;9.67929;9.67929;26551.562686794
1995-06-20;10.0589;10.0589;10.0589;10.0589;45231.024375898
1995-06-21;10.2285;10.2285;10.2285;10.2285;76254.801832224
1995-06-22;10.2285;10.2285;10.2285;10.2285;71418.260859501
1995-06-23;10.3132;10.3132;10.3132;10.3132;81305.218511274
1995-06-26;10.7776;10.7776;10.7776;10.7776;148311.73980096
1995-06-27;11.2007;11.2007;11.2007;11.2007;218513.12164171
1995-06-28;10.9891;10.9891;10.9891;10.9891;177490.2861634
1995-06-29;12.0888;12.0888;12.0888;12.0888;341323.50222418
1995-06-30;12.2568;12.2568;12.2568;12.2568;396131.7332289
1995-07-03;12.2568;12.2568;12.2568;12.2568;198450.1053834
1995-07-04;11.9193;11.9193;11.9193;11.9193;99543.653743884
1995-07-05;11.6237;11.6237;11.6237;11.6237;140668.26455831
1995-07-06;11.581;11.581;11.581;11.581;97484.546943664
1995-07-07;11.4542;11.4542;11.4542;11.4542;107427.55478054
1995-07-10;11.3274;11.3274;11.3274;11.3274;63432.584486727
1995-07-11;11.2007;11.2007;11.2007;11.2007;91510.777215231
1995-07-12;10.9891;10.9891;10.9891;10.9891;101416.90993033
1995-07-13;11.1586;11.1586;11.1586;11.1586;67929.87433907
1995-07-14;11.0318;11.0318;11.0318;11.0318;50265.216001364
1995-07-17;11.4962;11.4962;11.4962;11.4962;114817.32918535
1995-07-18;12.2568;12.2568;12.2568;12.2568;137675.47967461
1995-07-19;11.8345;11.8345;11.8345;11.8345;119903.14598131
1995-07-20;11.4962;11.4962;11.4962;11.4962;74675.07161515
1995-07-21;11.4114;11.4114;11.4114;11.4114;74266.495265822
1995-07-24;11.2007;11.2007;11.2007;11.2007;109594.33693636
1995-07-25;11.1586;11.1586;11.1586;11.1586;71876.987374449
1995-07-26;11.4114;11.4114;11.4114;11.4114;76760.728503052
1995-07-27;11.7491;11.7491;11.7491;11.7491;135570.64772338
1995-07-28;11.4114;11.4114;11.4114;11.4114;101911.03656219
1995-07-31;11.4114;11.4114;11.4114;11.4114;186865.41712486
1995-08-01;11.4114;11.4114;11.4114;11.4114;140249.36317489
1995-08-02;11.6657;11.6657;11.6657;11.6657;70674.858404407
1995-08-03;11.581;11.581;11.581;11.581;110439.51472757
1995-08-04;11.7491;11.7491;11.7491;11.7491;145149.32935707
1995-08-07;12.2149;12.2149;12.2149;12.2149;152269.17787044
1995-08-08;12.3423;12.3423;12.3423;12.3423;213905.20642402
1995-08-09;12.68;12.68;12.68;12.68;296924.38059565
1995-08-10;13.9484;13.9484;13.9484;13.9484;388551.68319571
1995-08-11;13.863;13.863;13.863;13.863;275148.88368186
1995-08-16;13.6521;13.6521;13.6521;13.6521;199821.85991363
1995-08-17;13.3986;13.3986;13.3986;13.3986;122699.75521713
1995-08-18;13.3566;13.3566;13.3566;13.3566;105943.6998801
1995-08-21;14.2013;14.2013;14.2013;14.2013;195153.46949623
1995-08-22;13.9057;13.9057;13.9057;13.9057;200813.06318709
1995-08-23;13.9057;13.9057;13.9057;13.9057;177553.71137286
1995-08-24;13.9057;13.9057;13.9057;13.9057;88883.793539592
1995-08-25;13.821;13.821;13.821;13.821;97676.297576922
1995-08-28;13.821;13.821;13.821;13.821;91236.426309185
1995-08-29;14.0325;14.0325;14.0325;14.0325;90221.622957787
1995-08-30;13.9484;13.9484;13.9484;13.9484;98114.374023674
1995-08-31;13.779;13.779;13.779;13.779;116046.00824307
1995-09-01;13.779;13.779;13.779;13.779;63937.036152683
1995-09-04;14.7511;14.7511;14.7511;14.7511;232388.49246526
1995-09-05;15.5539;15.5539;15.5539;15.5539;264205.8225423
1995-09-06;15.6386;15.6386;15.6386;15.6386;330048.56498859
1995-09-07;15.5539;15.5539;15.5539;15.5539;207370.93484453
1995-09-08;16.2304;16.2304;16.2304;16.2304;219837.67601606
1995-09-11;16.3993;16.3993;16.3993;16.3993;164488.11822361
1995-09-12;15.6813;15.6813;15.6813;15.6813;136437.95058766
1995-09-13;15.3003;15.3003;15.3003;15.3003;155419.78827536
1995-09-14;15.1308;15.1308;15.1308;15.1308;270430.34309884
1995-09-15;14.5823;14.5823;14.5823;14.5823;175423.80433882
1995-09-18;13.6942;13.6942;13.6942;13.6942;186284.2652056
1995-09-19;13.6102;13.6102;13.6102;13.6102;205626.00408188
1995-09-20;13.6102;13.6102;13.6102;13.6102;108635.58377007
1995-09-21;13.6102;13.6102;13.6102;13.6102;127114.44479669
1995-09-22;13.5247;13.5247;13.5247;13.5247;114116.70187152
1995-09-25;13.5247;13.5247;13.5247;13.5247;69204.278547803
1995-09-26;13.7362;13.7362;13.7362;13.7362;46990.705187261
