Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2007-12-05;31.0834;32.6363;30.3059;30.3831;5886.4531991119
2007-12-06;31.5891;31.5891;30.345;31.3167;1417.5264403681
2007-12-07;31.3541;31.3541;31.0834;31.3469;922.8570386816
2007-12-10;31.5493;31.5493;30.6938;31.3939;261.41982048123
2007-12-11;31.5101;32.6363;31.5101;32.6363;348.1841574513
2007-12-12;32.6363;34.2693;32.6363;34.2693;558.89754723574
2007-12-13;35.4346;35.4346;35.4346;35.4346;30.423858418075
2007-12-14;37.5325;37.687;34.1913;35.4346;1761.2033595352
2007-12-17;35.2793;35.2793;33.9586;34.9677;412.41230300057
2007-12-18;34.9677;34.9677;34.9677;34.9677;11.268095710398
2007-12-19;35.668;35.668;34.1913;34.1913;172.40186436909
2007-12-20;33.9586;33.9586;32.8706;32.948;1480.6277763463
2007-12-21;32.6754;34.2693;32.6754;34.2693;166.76781651389
2007-12-27;34.1913;35.3573;34.1913;35.3573;246.77129605772
2007-12-28;35.668;35.668;35.668;35.668;1.1268095710398
2008-01-02;35.7461;35.7461;35.668;35.668;277.19515447579
2008-01-03;34.9677;34.9677;34.1913;34.9677;605.09673964837
2008-01-07;32.9088;34.58;32.9088;34.58;786.51308058578
2008-01-09;33.7245;33.8026;33.4147;33.8026;1479.5009667753
2008-01-10;33.8026;33.8026;33.8026;33.8026;913.84256211328
2008-01-11;33.8026;33.8026;33.8026;33.8026;112.68095710398
2008-01-15;33.025;33.8026;33.025;33.025;144.23162509309
2008-01-16;31.0834;31.0834;29.9172;29.9172;450.72382841592
2008-01-17;31.0834;31.0834;29.5285;29.5285;297.47772675451
2008-01-18;30.2279;30.6938;30.2279;30.6938;10193.119379626
2008-01-21;30.6938;30.6938;30.6938;30.6938;387.62249243769
2008-01-22;30.3059;30.3059;30.3059;30.3059;1443.443060502
2008-01-23;30.3059;31.86;30.3059;31.86;6658.3177552742
2008-01-24;32.6363;33.025;31.4712;32.2495;8742.9154616978
2008-01-25;31.86;32.2495;31.86;32.2495;2740.4008767688
2008-01-28;32.2495;32.6363;32.2495;32.6363;965.67580238111
2008-01-29;33.0171;33.4147;33.0171;33.4147;887.92594197937
2008-01-30;33.4076;33.5691;33.4076;33.5309;714.39726803924
2008-01-31;33.8026;33.8026;32.1705;33.4147;1939.2392717595
2008-02-01;33.8026;34.1913;33.8026;34.1913;1383.7221532369
2008-02-04;34.9527;34.9677;34.1913;34.1913;4947.8208264358
2008-02-05;34.58;34.9607;34.1913;34.9607;9990.2936568389
2008-02-06;34.1913;34.9607;34.1913;34.1913;1712.7505479805
2008-02-07;34.5027;34.5027;34.5027;34.5027;191.55762707677
2008-02-08;34.4868;34.5027;33.025;34.1913;11841.641782057
2008-02-11;34.1824;34.1824;34.1824;34.1824;11.268095710398
2008-02-12;33.5691;33.5691;33.5691;33.5691;59.72090726511
2008-02-13;32.6363;34.9677;32.6363;34.9677;20975.560164906
2008-02-14;34.9677;35.7062;34.9677;34.9677;4741.6146749355
2008-02-15;34.2;34.9607;34.1913;34.9607;1544.8559218956
2008-02-18;34.2693;35.7461;33.8026;35.7372;3837.9133989616
2008-02-19;34.9677;35.7062;34.8896;34.9677;3602.4101986143
2008-02-20;35.1629;35.2011;35.1629;35.2011;1500.910348625
2008-02-21;35.7212;35.7461;35.7212;35.7461;2951.1142665532
2008-02-22;35.4346;35.9786;35.4346;35.9786;34815.035316417
2008-02-26;35.6289;35.8774;34.2;35.8224;1923.4639377649
2008-02-27;35.1087;35.7461;35.1087;35.7461;673.8321234818
2008-02-28;35.66;35.66;34.9677;34.9677;270.43429704955
2008-02-29;34.2;34.2;33.4147;33.4147;1040.0452340697
2008-03-03;32.7154;33.4519;32.7154;33.4519;741.44069774419
2008-03-04;33.4147;33.4147;32.948;32.948;13190.432838592
2008-03-07;33.3366;33.4147;32.6363;32.6363;1200.0521931574
2008-03-10;33.4147;33.4147;33.4147;33.4147;11.268095710398
2008-03-11;32.6363;33.3757;32.6363;33.3757;1380.3417245238
2008-03-12;33.025;33.025;33.025;33.025;13527.348900333
2008-03-13;33.025;33.3206;33.025;33.3206;27.043429704955
2008-03-14;33.025;33.3837;33.025;33.3837;386.49568286665
2008-03-17;32.3258;32.3258;32.3258;32.3258;64.228145549269
2008-03-18;32.6363;32.6363;32.6363;32.6363;359.4522531617
2008-03-19;31.8749;32.6363;31.1605;31.1605;1330.762103398
2008-03-20;31.86;31.86;31.0834;31.0834;263.67343962331
2008-03-25;32.2495;32.2495;32.2415;32.2495;166.76781651389
2008-03-26;32.5592;32.5592;32.2495;32.2495;65.354955120309
2008-03-27;31.86;32.2415;30.3059;32.2415;3365.7801886959
2008-03-28;32.5991;32.5991;32.5991;32.5991;491.28897297335
2008-03-31;32.5911;32.5911;32.5911;32.5911;70.989002975508
2008-04-01;32.5991;32.5991;32.5911;32.5911;4.5072382841592
2008-04-02;32.2495;32.5911;31.4712;31.86;7958.6560002541
2008-04-03;31.86;32.1705;31.0834;31.0834;2106.0070882734
