Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2007-03-15;8.61408;8.6529;8.12062;8.33304;433281.94398965
2007-03-16;8.53554;8.71989;8.45701;8.53554;163624.5217516
2007-03-19;8.70907;8.7314;8.56943;8.62482;24873.976210375
2007-03-20;8.62482;8.62482;8.34461;8.51239;28740.760974632
2007-03-21;8.62482;8.62482;8.48429;8.51239;16640.725171336
2007-03-22;8.42975;8.56282;8.42975;8.51239;23820.168472682
2007-03-23;8.51239;8.5248;8.40081;8.49091;30352.32458727
2007-03-26;8.49091;8.49091;8.39586;8.44131;53632.885423888
2007-03-27;8.40081;8.40081;8.30577;8.34461;37465.224346051
2007-03-28;8.31733;8.40081;8.1884;8.37354;15011.013319817
2007-03-29;8.40081;8.40081;8.176;8.36115;12531.963888665
2007-03-30;8.40081;8.42975;8.29006;8.40081;14790.81468806
2007-04-02;8.39586;8.39586;8.23303;8.31733;14565.776525935
2007-04-03;8.2942;8.2942;8.176;8.23303;28618.562832833
2007-04-04;8.23303;8.23303;8.06442;8.23303;47245.915220348
2007-04-05;8.23882;8.29006;8.12062;8.26774;32851.942022487
2007-04-10;8.39586;8.51239;8.31733;8.40081;44441.407371929
2007-04-11;8.50662;8.56943;8.42975;8.56282;48110.981273679
2007-04-12;8.56282;8.71491;8.5248;8.67523;74044.814634707
2007-04-13;8.68099;8.90583;8.67523;8.90583;57790.042010242
2007-04-16;8.90583;9.26287;8.87689;9.23978;179626.42891432
2007-04-17;9.33559;9.35222;9.12819;9.27941;43504.958245667
2007-04-18;9.29595;9.29595;8.84958;8.96123;55058.127117347
2007-04-19;8.6529;8.96123;8.51239;8.73724;27291.321629332
2007-04-20;8.96123;8.96123;8.68099;8.73724;8350.6096504698
2007-04-23;8.68099;8.73724;8.40081;8.40081;25604.745295985
2007-04-24;8.40081;8.51239;8.40081;8.51239;10530.818081381
2007-04-25;8.6529;8.68099;8.42975;8.6529;13641.426225594
2007-04-26;8.6529;8.6529;8.59751;8.59751;5759.041138255
2007-04-27;8.6529;8.6529;8.55207;8.56943;4771.7769431256
2007-04-30;8.51239;8.5248;8.39586;8.50165;4839.5303682815
2007-05-02;8.51239;8.51239;8.4066;8.42396;9806.0984087304
2007-05-04;8.45701;8.45701;8.35618;8.40081;15655.880741391
2007-05-07;8.77606;8.82072;8.61983;8.69756;37652.756147822
2007-05-08;8.72565;8.90583;8.63057;8.63057;31986.875969157
2007-05-09;8.62482;8.62482;8.40081;8.51239;9771.0118135604
2007-05-10;8.51239;8.5405;8.29998;8.5405;6559.9834142056
2007-05-11;8.2942;8.45124;8.2942;8.3504;7744.4584718425
2007-05-14;8.45124;8.45701;8.4066;8.44131;7768.6561236839
2007-05-15;8.45701;8.48016;8.4066;8.4066;6042.1536647995
2007-05-16;8.4066;8.4066;8.2942;8.2942;11245.858693294
2007-05-17;8.40081;8.40081;8.12062;8.27766;6195.8087539924
2007-05-18;8.27766;8.27766;8.15946;8.176;6321.6365435677
2007-05-21;8.33304;8.33304;8.176;8.32312;8096.534306135
2007-05-22;8.34461;8.34461;8.29006;8.32809;4321.7006188754
2007-05-23;8.38842;8.38842;8.23303;8.23303;9220.5152341684
2007-05-24;8.37354;8.37354;8.26774;8.3661;8407.4741322971
2007-05-25;8.27766;8.37354;8.20576;8.37354;12896.138548878
2007-05-28;8.3661;8.61408;8.23882;8.48429;45827.932822442
2007-05-29;8.60747;8.79255;8.51239;8.76447;56321.244543468
2007-05-30;8.68099;8.805;8.54711;8.73724;37651.54626523
2007-05-31;8.60249;8.82072;8.60249;8.75871;28636.711071714
2007-06-01;8.68099;8.73724;8.61983;8.73724;32873.719909144
2007-06-04;8.7314;8.73724;8.63057;8.73724;28111.622026755
2007-06-05;8.63057;8.75458;8.45701;8.73724;21120.920409773
2007-06-06;8.4628;8.4628;8.45701;8.45701;6353.0934909616
2007-06-08;8.59751;8.68099;8.40081;8.45701;12425.494220563
2007-06-11;8.68099;8.7314;8.4628;8.7314;17229.937993674
2007-06-12;8.68099;8.68099;8.51239;8.62482;14628.690420723
2007-06-13;8.51239;8.68099;8.48429;8.68099;8719.6238410512
2007-06-14;8.40081;8.66947;8.40081;8.66947;2314.5053986306
2007-06-15;8.6529;8.79255;8.64714;8.76447;39117.923966819
2007-06-18;8.78679;9.23978;8.73724;9.03398;108785.38338342
2007-06-19;9.07279;9.23978;8.96123;9.01654;104342.69450533
2007-06-20;9.01654;9.01654;8.90583;8.90583;25763.239915547
2007-06-21;8.90583;9.23978;8.90583;9.18522;166399.99241781
2007-06-22;9.23978;9.29595;9.02899;9.06704;82533.350900673
2007-06-25;9.01654;9.06704;8.76447;8.90583;49692.297821515
2007-06-26;8.73724;8.85456;8.52811;8.85456;117757.87268621
2007-06-27;8.85456;8.85456;8.5405;8.82072;117218.26505015
2007-06-28;8.87689;8.87689;8.5405;8.68099;63805.578258016
2007-06-29;8.5248;8.66449;8.51239;8.62482;16525.786325089
2007-07-02;8.66449;8.66449;8.40081;8.61983;30536.226741264
2007-07-03;8.31733;8.61983;8.31733;8.59175;29979.680748912
2007-07-04;8.40081;8.54711;8.35618;8.54711;12730.384633765
2007-07-05;8.37354;8.5405;8.37354;8.5405;2031.3928720862
2007-07-06;8.51239;8.96123;8.51239;8.68099;61308.380587982
2007-07-09;8.82072;8.87689;8.68099;8.87689;12231.913005832
2007-07-10;8.89922;9.18522;8.89922;9.1348;76527.493713636
2007-07-11;9.12819;9.12819;8.95461;8.96123;24351.306930601
2007-07-12;8.94465;9.07279;8.62482;8.84958;18724.142994881
2007-07-13;8.86616;8.95461;8.68682;8.93228;2636.3341681214
2007-07-16;8.95461;9.09512;8.70907;8.70907;42887.918123711
2007-07-17;8.69172;8.95461;8.62482;8.95461;9798.839113178
2007-07-18;8.76447;8.95461;8.76447;8.95461;1079.2152721268
2007-07-19;8.78267;9.07279;8.77606;9.02238;39543.802639228
2007-07-20;9.10088;9.68852;9.10088;9.68852;301875.3857823
2007-07-23;9.91747;10.5283;9.91747;10.2993;256620.9373085
2007-07-24;10.2993;11.0622;9.78359;10.5283;205798.60914599
2007-07-25;10.3621;10.635;10.0976;10.5242;92183.374455026
2007-07-26;10.6407;10.9218;10.1927;10.1927;52679.497941336
2007-07-27;9.79607;10.1531;9.6621;9.91331;46023.933802357
2007-07-30;10.0695;10.0695;9.57691;9.90758;39461.530622967
2007-07-31;10.0819;10.3621;10.0754;10.3208;38053.227285798
2007-08-01;9.80179;10.635;9.80179;10.5283;31156.896510996
2007-08-02;10.5845;10.5845;10.3621;10.5242;29320.294736234
2007-08-03;10.3621;10.5167;10.1927;10.4845;6810.4291107642
2007-08-06;9.80595;10.0819;9.71827;9.90758;23873.403306733
2007-08-07;10.0488;10.0488;9.3257;9.3257;38326.660751605
2007-08-08;9.23978;9.57691;9.23978;9.57691;13337.745694984
2007-08-09;9.57691;9.57691;9.25299;9.51575;5357.3601176876
2007-08-10;8.96612;9.43066;8.96123;9.43066;7483.1238319553
2007-08-13;9.51575;9.54883;9.51575;9.54883;1087.6844502713
2007-08-14;9.1348;9.54883;9.07279;9.51002;9336.6639630071
2007-08-16;8.96612;9.2364;8.82072;9.2364;26543.614187432
2007-08-17;8.90583;9.2364;8.73724;9.07279;15370.348449662
2007-08-20;9.07279;9.18522;8.93228;9.15704;13923.328869546
2007-08-21;9.22403;9.22403;8.83145;9.16125;14407.281906374
2007-08-22;9.23978;9.49265;8.8141;9.49265;9820.6169998353
2007-08-23;9.49265;9.65554;9.48859;9.65554;6303.4883046867
2007-08-24;9.23978;9.80179;9.23978;9.80179;69942.102764997
2007-08-27;9.63318;9.79015;9.29595;9.52074;4714.9124612983
2007-08-28;9.51002;9.51002;9.26287;9.48859;4862.5181375309
2007-08-29;9.49265;9.52074;9.21244;9.52074;26145.562814641
2007-08-30;9.52074;9.52074;9.27941;9.52074;4425.7505217934
2007-08-31;9.52074;9.74636;8.96612;9.68852;19181.478614684
2007-09-04;9.46447;9.68436;9.29595;9.68436;6363.9824342902
2007-09-05;9.52074;9.57202;9.24634;9.52074;2800.8782006429
2007-09-06;9.18522;9.45958;9.12321;9.45958;2431.8640100615
2007-09-07;9.43639;9.95221;9.23978;9.66626;9982.7412671727
2007-09-10;8.99507;9.6621;8.99507;9.57202;1617.6130255981
2007-09-11;9.23978;9.57691;9.23978;9.57691;2944.8542290993
2007-09-12;9.62819;9.62819;9.30343;9.62163;13591.821039319
2007-09-14;9.6778;9.6778;9.23978;9.57202;1333.2906164616
2007-09-17;9.62163;9.6621;9.54883;9.62163;2160.8503094377
2007-09-18;9.32986;9.6621;9.32986;9.62819;1548.6497178501
2007-09-19;9.62819;10.2886;9.62163;10.1374;68740.689351071
2007-09-20;10.239;10.2771;10.0257;10.2771;10339.656631833
2007-09-21;10.2993;10.6407;10.2771;10.4738;20737.387628086
2007-09-24;10.4621;10.5011;10.4621;10.5011;17856.657176367
