Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2021-07-09;51.8987;55.2811;50.4477;50.4477;1204886.698448
2021-07-12;50.4573;53.2343;49.9672;53.1575;149127.60571833
2021-07-13;53.2343;57.7121;53.2343;57.7121;227669.9347025
2021-07-14;59.5764;61.6904;58.0581;58.2311;160883.14615989
2021-07-15;58.4233;60.3451;58.2407;59.3842;45860.760993143
2021-07-16;59.5764;59.7205;59.0383;59.288;39354.419027791
2021-07-19;59.4706;59.4706;56.8281;58.1542;64972.880345941
2021-07-20;58.1446;62.4591;57.7602;62.4591;101262.49177809
2021-07-21;62.7473;63.9004;60.1529;62.4591;18751.002804176
2021-07-22;63.3239;63.3239;60.5276;60.5276;8904.0725936582
2021-07-23;60.5373;62.0747;59.6917;62.0747;70448.947431941
2021-07-26;62.9395;62.9395;61.0273;61.7383;3816.1797803816
2021-07-27;61.7383;62.8338;60.3451;61.4982;6973.6080469967
2021-07-28;61.4982;61.5077;59.6148;60.422;125215.86238214
2021-07-29;60.1529;61.0177;60.0568;61.0177;34140.60372926
2021-07-30;60.5373;60.5373;59.3937;59.5764;22254.978075664
2021-08-02;59.5764;59.5764;58.7115;59.5764;27491.688371513
2021-08-03;59.6724;60.0568;56.7897;59.5764;155662.04608948
2021-08-04;59.5764;60.5373;58.6155;60.5373;2074.0786207528
2021-08-05;59.1055;61.0177;59.0959;60.518;99528.71607203
2021-08-06;60.5276;60.5276;59.1055;59.7685;65704.479578448
2021-08-09;58.6155;59.5475;57.9428;59.0478;54029.071627507
2021-08-10;59.0478;59.1439;59.0478;59.1439;4503.0296999485
2021-08-11;59.0959;59.5571;58.6155;59.5571;2133.3974774427
2021-08-12;59.5571;59.5571;58.625;59.3842;1927.3425015726
2021-08-13;59.3937;60.5373;59.3842;60.5373;8486.7592334365
2021-08-16;60.5373;60.9216;56.3093;58.6827;62121.412498042
2021-08-17;59.5764;65.3417;59.5764;63.9004;136956.83327994
2021-08-18;64.3809;65.14;64.352;64.6211;36049.213960299
2021-08-19;65.0439;65.2457;64.3809;64.8613;30963.402510416
2021-08-20;64.9094;66.3027;64.9094;66.2835;10413.061053312
2021-08-23;66.3027;72.0585;65.3417;72.049;15719.497022816
2021-08-24;71.1168;76.3923;67.8882;70.1463;75309.971635422
2021-08-25;70.7325;72.0681;70.1559;70.6268;22549.490995721
2021-08-26;72.0585;72.0585;68.0323;68.0323;3366.6052875741
2021-08-27;70.915;70.915;64.9286;66.5429;8983.1644025781
2021-08-30;67.2636;67.2636;65.8222;65.8222;3187.6080358082
2021-08-31;65.8319;67.7441;65.8222;67.2636;10329.806517607
2021-09-01;66.7832;67.2636;66.3123;66.4084;2614.1924211395
2021-09-02;66.4084;66.8697;65.8222;66.4948;20566.992364244
2021-09-03;66.687;66.687;64.8517;65.3322;1506.9070962619
2021-09-06;65.3322;65.3417;60.8832;65.14;26387.525091724
2021-09-07;64.3809;65.14;64.1887;65.0439;5801.8004569477
2021-09-08;65.0439;65.14;62.4591;62.9395;58382.243163187
2021-09-09;62.4591;63.42;61.4982;63.42;8419.1149231761
2021-09-10;62.2285;63.42;62.2285;63.0356;5897.5431730086
2021-09-13;64.3809;64.3809;61.0273;61.6904;63601.261870199
2021-09-14;63.3239;63.3239;61.4982;63.3239;7643.8070594226
2021-09-15;63.4104;64.3809;62.4591;63.42;2221.8554216293
2021-09-16;63.42;63.9004;63.3816;63.4488;6554.2133233824
2021-09-17;63.42;66.9753;63.42;66.687;4749.6712619748
2021-09-20;66.7735;67.0522;64.3809;65.3417;7670.8647835267
2021-09-21;65.3129;68.2245;65.3129;68.2245;1558.9411810776
2021-09-22;68.2149;68.2245;67.2732;68.0323;28345.04736249
2021-09-23;68.0131;68.0131;67.2732;67.2828;620.24629100284
2021-09-24;67.2732;67.2732;63.3719;63.9004;7575.1220674659
2021-09-27;64.0542;67.2636;64.0542;67.2636;14695.466233643
2021-09-28;66.7832;66.7832;63.4776;65.8222;8659.5123950246
2021-09-29;64.3905;64.3905;63.9004;64.1887;24997.17434545
2021-09-30;64.3713;64.3809;63.4488;64.1887;3380.1341496262
2021-10-01;64.3809;64.3809;62.4591;62.4686;3117.8823621552
2021-10-04;62.6513;62.7473;62.4591;62.7473;1129.1396405001
2021-10-05;62.6032;64.1791;62.4591;63.42;15895.372229493
2021-10-06;63.42;64.1887;63.42;64.1887;53135.126050374
2021-10-07;64.1887;65.7261;63.42;65.7261;1748.3452498067
2021-10-08;64.3905;65.7261;64.2079;64.2175;10404.735599742
2021-10-11;64.2944;65.7261;64.2848;65.7261;1242.5739453983
2021-10-12;65.3417;66.687;64.8517;66.687;5327.2496034288
2021-10-13;66.687;67.1579;66.0241;66.3988;1222.8009931684
2021-10-14;65.3514;67.4557;65.3514;67.4557;1778.5250189998
2021-10-15;67.2636;67.2732;66.2738;67.2636;1300.8521203919
2021-10-18;67.2636;67.6479;66.3027;67.4557;2761.969222016
2021-10-19;67.2732;69.1854;67.2732;68.2245;45725.472372622
2021-10-20;68.2245;68.801;67.5423;68.6088;39001.62793274
2021-10-21;68.2245;70.2521;67.9459;70.2521;20749.111661098
2021-10-22;70.1463;72.049;70.1463;71.8568;69187.64121601
2021-10-25;71.1168;73.0194;71.1072;71.7703;6520.9115091003
2021-10-26;72.0585;72.0681;71.1072;72.0681;14162.63720513
2021-10-27;71.9721;72.049;69.714;71.6838;213048.3568693
2021-10-28;71.5877;72.0393;71.5877;71.5877;6039.0758837072
2021-10-29;71.5877;71.6262;71.1072;71.4916;10161.216082805
2021-11-02;72.0681;73.0194;72.0681;72.7408;1620.3414011601
2021-11-03;72.7312;74.7971;72.1354;74.749;3250.048937587
2021-11-04;74.7587;76.373;74.2783;75.5274;9573.2309243878
2021-11-05;75.6812;77.5261;75.4505;77.2571;5007.7603226605
