Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2008-06-23;3.65375;3.6682;3.36969;3.51412;47754.215395044
2008-06-24;3.60573;3.60573;3.39377;3.55756;7207.1384755246
2008-06-25;3.41297;3.59584;3.41297;3.59584;167.35587171699
2008-06-27;3.51412;3.51412;3.51412;3.51412;285.34778127285
2008-07-01;3.36969;3.36969;3.36969;3.36969;209.49583941551
2008-07-02;3.23015;3.36969;3.23015;3.36969;5867.0875027116
2008-07-03;3.29751;3.29751;3.29751;3.29751;2482.6460969815
2008-07-07;3.32159;3.32159;3.32159;3.32159;1100.45515647
2008-07-08;3.32159;3.5334;3.27359;3.5334;7269.7464275338
2008-07-09;3.23489;3.46121;3.23489;3.46121;12560.118372314
2008-07-11;3.32159;3.44195;3.32159;3.44195;2769.1978773315
2008-07-15;3.27359;3.27359;3.27359;3.27359;3115.9496115365
2008-07-16;3.27359;3.27359;3.27359;3.27359;350.36373143629
2008-07-22;3.22525;3.46121;3.22525;3.46121;934.30328383011
2008-07-24;3.80299;3.80299;3.80299;3.80299;20.467984310711
2008-07-25;3.44195;3.62002;3.44195;3.62002;2358.6341920402
2008-07-29;3.62002;3.62002;3.62002;3.62002;102.33992155356
2008-07-30;3.2686;3.27359;3.2686;3.27359;3220.6975312442
2008-07-31;3.32624;3.54303;3.32624;3.54303;2287.5982464913
2008-08-05;3.41778;3.50449;3.41778;3.41778;2013.0864569123
2008-08-11;3.4515;3.4515;3.4515;3.4515;176.9878643338
2008-08-12;3.55756;3.55756;3.55756;3.55756;1.2039990771007
2008-08-18;3.55756;3.55756;3.41778;3.41778;785.00739826963
2008-08-20;3.41778;3.41778;3.41778;3.41778;394.91169728902
2008-08-22;3.55267;3.55267;3.55267;3.55267;1.2039990771007
2008-08-25;3.55267;3.55267;3.55267;3.55267;707.95145733519
2008-08-29;3.62002;3.62002;3.62002;3.62002;6.0199953855033
2008-09-02;3.62002;3.62002;3.62002;3.62002;209.49583941551
2008-09-05;3.62492;3.62492;3.54793;3.60573;726.0114434917
2008-09-08;3.5334;3.5334;3.5334;3.5334;1648.2747365508
2008-09-09;3.5334;3.5334;3.5334;3.5334;417.78767975393
2008-09-12;3.5863;3.5863;3.34569;3.39377;10940.739613614
2008-09-15;3.32159;3.46595;3.32159;3.46595;2316.4942243416
2008-09-16;3.39377;3.46595;3.39377;3.46595;729.623440723
2008-09-17;3.39377;3.39377;3.36969;3.36969;2357.4301929631
2008-09-18;3.30232;3.30232;3.30232;3.30232;2411.6101514326
2008-09-19;3.23489;3.23489;3.16744;3.23489;1998.6384679871
2008-09-22;3.30232;3.30232;3.23489;3.30232;2562.1100360702
2008-09-23;3.36969;3.36969;3.30232;3.30232;2469.4021071335
2008-09-25;3.17725;3.23015;3.15316;3.23015;2420.0381449724
2008-09-30;3.46121;3.46121;3.46121;3.46121;6.0199953855033
2008-10-02;3.23015;3.36487;3.23015;3.29751;5706.9556254571
2008-10-03;3.18189;3.18189;3.18189;3.18189;1756.6346534899
2008-10-06;3.14353;3.14353;3.14353;3.14353;242.00381449724
2008-10-08;3.09519;3.09519;3.01827;3.01827;5220.5399983085
2008-10-10;2.87383;2.87383;2.87383;2.87383;1909.5425362816
2008-10-13;2.82093;2.82093;2.82093;2.82093;2699.3659308597
2008-10-14;2.84012;2.84012;2.77766;2.77766;2621.1059908482
2008-10-16;2.69577;2.83522;2.65249;2.65249;2975.0817195158
2008-10-17;2.59951;2.59951;2.53697;2.53697;4342.824671102
