Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2020-03-05;60;72;50;72;556
2020-03-06;72;85;58.02;76;2186
2020-03-09;77;78;65;73;145
2020-03-10;60;64;57.5;57.5;218
2020-03-11;60;65;52.01;63;178
2020-03-12;59;59;49.4;55.9;46
2020-03-13;55;55;54;55;59
2020-03-16;54.5;62;54.5;61.98;100
2020-03-17;60;60;55;60;31
2020-03-18;60;60;50;58;105
2020-03-19;57.5;59;57;57.5;74
2020-03-20;55;55;48;54.9;17
2020-03-23;45;48.9;36;48.9;61
2020-03-24;49;51;49;51;110
2020-03-25;50;53;50;53;32
2020-03-27;54.9;55;54.9;55;24
2020-03-30;60;60;60;60;3
2020-03-31;55;59;55;59;11
2020-04-01;50;56;47.2;54;209
2020-04-02;50;50;50;50;16
2020-04-03;53.9;53.9;48;48;38
2020-04-06;53;53.9;53;53.9;170
2020-04-07;51.99;52;47;52;89
2020-04-08;52;55;52;55;40
2020-04-09;55;55;53;53;20
2020-04-14;53;53;50;50;44
2020-04-15;50;50;49.995;50;6
2020-04-16;50.5;53;50;50;67
2020-04-17;49;50.5;49;50.5;31
2020-04-20;50;52;50;50;75
2020-04-21;50;50;50;50;5
2020-04-22;51;59;51;59;279
2020-04-23;68;73;57;72;515
2020-04-24;68;68;62.8;66;228
2020-04-27;67;69;67;69;25
2020-04-28;68;69;68;69;6
2020-04-29;68;68;65;67.5;10
2020-04-30;65;66;65;66;81
2020-05-04;65;65.01;65;65;29
2020-05-05;65;65;65;65;1
2020-05-06;64.01;64.01;61;61;56
2020-05-07;61;71.9;61;68.5;98
2020-05-08;70.8;71;68.5;71;264
2020-05-11;70.99;70.99;70;70;77
2020-05-12;70.9;75.6;70;70;113
2020-05-13;72.95;74.5;70;74.5;179
2020-05-14;75;75.6;75;75.6;93
2020-05-15;74;74;71;71;7
2020-05-18;71.1;76;71;76;174
2020-05-19;76;109;76;100.98;544
2020-05-20;109.44;131;89;125;897
2020-05-21;125;125;121;121;119
2020-05-22;120;120;110;110;98
2020-05-25;108;113;108;113;137
2020-05-26;108;110;108;108;25
2020-05-27;105;105;92.5;100;409
2020-05-28;99.9;101;97;98.5;187
2020-05-29;99;104;99;104;107
2020-06-01;105;125;105;119;65
2020-06-02;119;119;96;108;144
2020-06-03;103;119;103;104;52
2020-06-04;116;116;101;114;37
2020-06-05;113;114;112;112;38
2020-06-08;112;112;109;109;21
2020-06-09;109;110;109;110;18
2020-06-10;110;112;110;110;26
2020-06-12;108;110;107;110;37
2020-06-15;125;125;114;115;65
2020-06-16;116;119;116;119;18
2020-06-17;119;119;116;117;21
2020-06-18;114.5;119;114.5;118;226
2020-06-22;121;140;121;130;226
2020-06-23;135;151;135;151;338
2020-06-24;160;190;160;190;158
2020-06-25;190;215;171;213;628
2020-06-26;215;215;193;213;128
2020-06-29;194;200;177;180;166
2020-06-30;176;180;175;178;24
2020-07-01;185;188;178;188;14
2020-07-02;195;198;195;195;15
2020-07-03;195;199;195;196;29
2020-07-06;198;198;189.98;189.98;13
2020-07-07;185;190;179;190;30
2020-07-08;190;192;190;192;18
2020-07-09;192;194;192;192;22
2020-07-10;190;195;190;195;10
2020-07-13;198;198;184;184;21
2020-07-14;184;184;178;178;107
2020-07-15;190;195;182;182;59
2020-07-16;188;188;176;178;28
2020-07-17;176;177;176;177;72
2020-07-20;177;182;177;182;108
2020-07-21;183;185;183;185;23
2020-07-22;180;180;153;170;84
2020-07-23;171;172;167;167;42
2020-07-24;167;170;166;166;72
2020-07-27;165;165;157;157;154
2020-07-28;156;156;151;152;131
2020-07-29;150;155;150;155;34
2020-07-30;160;160;150;150;48
2020-07-31;154;163.2;154;163.2;20
2020-08-03;160;160;150;150;69
2020-08-04;149;151;149;151;23
2020-08-05;152;153;149;149;39
2020-08-06;152;153;152;153;84
2020-08-07;154;155;154;155;22
2020-08-10;158;176;158;160;31
2020-08-11;163;163;153;153;122
2020-08-13;153;153;151;151;2
2020-08-14;157;174.5;155;155;78
2020-08-17;155;155;155;155;1
2020-08-18;155;155;154;155;47
2020-08-19;155.02;180;155.02;166;95
2020-08-20;167;167;160;160;33
2020-08-24;163;163;161;161;6
2020-08-28;160.02;166;160;160;49
2020-08-31;160.7;161;159;159;27
2020-09-01;158;158;158;158;1
2020-09-03;157;157;148.5;149;40
2020-09-04;155;155;155;155;2
2020-09-07;164;170;147;147;33
2020-09-08;150;150;107;118.98;122
2020-09-09;120;139;120;139;64
2020-09-10;144;170;144;160;125
2020-09-14;159;159;159;159;1
2020-09-15;160;160;157;157;9
2020-09-16;157;157;157;157;7
2020-09-17;157;157;157;157;1
2020-09-18;157;157;155;155;2
2020-09-21;154;154;138;140;18
2020-09-22;140;140;140;140;38
2020-09-23;138;138;135;135;12
2020-09-24;135;135;135;135;19
2020-09-25;132.74;132.74;128.5;129;80
2020-09-28;129;145;129;142;83
2020-09-29;144;144;144;144;1
2020-09-30;144;144;137;137;15
2020-10-05;137;141;137;141;2
2020-10-06;142;145;140;140;44
2020-10-07;138;139;137;139;68
2020-10-08;139;139;138;138;46
2020-10-09;140;148;140;148;46
2020-10-12;148;148;148;148;1
2020-10-13;146;146;146;146;8
2020-10-14;148;148;143;143;3
2020-10-15;143;143;141;141;23
2020-10-16;141;150;141;150;79
2020-10-19;150;150.5;150;150.5;16
2020-10-20;151.5;153;151.5;153;101
2020-10-21;155;157;155;157;12
2020-10-22;158;164;158;164;8
2020-10-23;164;176;164;170;59
2020-10-26;164;165;164;165;3
2020-10-27;163;163;162;163;23
2020-10-28;163;163;155;155;185
2020-10-29;155;158;155;158;24
2020-10-30;158;158;155;155;76
2020-11-02;159.98;160;159.98;160;7
2020-11-03;161;161;161;161;1
2020-11-04;161;163;161;163;48
2020-11-05;163;172;163;172;32
2020-11-06;168;168;168;168;1
2020-11-09;168;181;168;180;127
2020-11-10;178;178;170;173;9
2020-11-12;177;181;174;181;137
2020-11-13;184;202;184;200;300
2020-11-16;200;200.05;190;190;39
2020-11-17;188;188;181;181;15
2020-11-18;178;178;178;178;1
2020-11-19;175;175;157;157;188
2020-11-23;159;159;159;159;1
2020-11-24;158;158;152;156;32
2020-11-25;157;177;157;177;36
2020-11-26;174;177;172;172;11
2020-11-27;172;173;172;173;6
2020-11-30;173;175;172;175;45
2020-12-01;172;172;170;172;10
2020-12-02;172;172;172;172;2
2020-12-04;171;171;171;171;9
2020-12-07;173;173;162;166;25
2020-12-09;166;166;160;160;23
2020-12-10;158;159;157;159;40
2020-12-11;164;165;164;165;19
2020-12-14;165;165;159;159;3
2020-12-15;158;158;158;158;2
2020-12-16;159;164;159;164;8
2020-12-17;162;162;162;162;5
2020-12-18;162;164;162;162;32
2020-12-23;162;162;162;162;8
2020-12-28;159;159.02;159;159;7
2020-12-29;159;159;159;159;1
2020-12-30;163;167;163;167;4
2021-01-04;167;170;167;170;2
2021-01-05;170;180;170;175;72
2021-01-07;178;180;178;180;11
2021-01-08;180;184;180;184;34
2021-01-11;184;185;184;185;10
2021-01-12;185;186;185;186;42
2021-01-13;187;187;185;185;51
2021-01-14;185;185;185;185;5
2021-01-15;189;189;187;187;3
2021-01-18;187;187;172;180;13
2021-01-19;183;189;180;189;12
2021-01-20;185;185;185;185;7
2021-01-21;195;195;185;185;110
2021-01-25;195;195;192;192;17
2021-01-26;190;190;190;190;2
2021-01-27;188;188;188;188;6
2021-01-28;188;188;188;188;1
2021-01-29;188;188;188;188;16
2021-02-01;186;186;184;184;2
2021-02-02;181.5;181.5;181.5;181.5;10
2021-02-03;181.5;181.5;175;175;106
2021-02-04;175;177;175;177;2
2021-02-05;180;180;177;177;11
2021-02-08;177;177;177;177;1
2021-02-09;177;177;177;177;1
2021-02-10;177;180;177;180;12
2021-02-11;180;182;179;180.1;41
2021-02-12;180;191;180;190;148
2021-02-15;186.1;204.8;186.1;197;178
2021-02-16;192;196.8;189;196.7;70
2021-02-17;189;191.8;185;185;86
2021-02-18;188;198;188;195;191
2021-02-19;195;200;195;200;188
2021-02-22;200;236;200;236;420
2021-02-23;233;233;215;230;51
2021-02-24;216;220;206;206;60
