Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2000-04-26;0.804048;0.804048;0.804048;0.804048;1263185.7260367
2000-04-27;0.765131;0.765131;0.765131;0.765131;411404.12742571
2000-04-28;0.752159;0.752159;0.752159;0.752159;353204.90092774
2000-05-04;0.726292;0.726292;0.726292;0.726292;250521.25708673
2000-05-05;0.713321;0.713321;0.713321;0.713321;105325.59008049
2000-05-08;0.693862;0.693862;0.693862;0.693862;81238.551792234
2000-05-09;0.654867;0.654867;0.654867;0.654867;103859.56893191
2000-05-10;0.641973;0.641973;0.641973;0.641973;163698.35618439
2000-05-11;0.635409;0.635409;0.635409;0.635409;116079.86536119
2000-05-12;0.641973;0.641973;0.641973;0.641973;173691.12931371
2000-05-15;0.641973;0.641973;0.641973;0.641973;133866.37989696
2000-05-16;0.661508;0.661508;0.661508;0.661508;75729.316839913
2000-05-17;0.687299;0.687299;0.687299;0.687299;107966.24124828
2000-05-18;0.700192;0.700192;0.700192;0.700192;30419.938832881
2000-05-19;0.719806;0.719806;0.719806;0.719806;102954.31382339
2000-05-22;0.706756;0.706756;0.706756;0.706756;112419.9927765
2000-05-23;0.674403;0.674403;0.674403;0.674403;98864.477438942
2000-05-24;0.641973;0.641973;0.641973;0.641973;120392.45407562
2000-05-25;0.648458;0.648458;0.648458;0.648458;43958.618238516
2000-05-26;0.661508;0.661508;0.661508;0.661508;8749.5043107389
2000-05-29;0.661508;0.661508;0.661508;0.661508;112645.33524986
2000-05-30;0.661508;0.661508;0.661508;0.661508;51867.621025028
2000-05-31;0.674403;0.674403;0.674403;0.674403;47538.196378669
2000-06-01;0.667995;0.667995;0.667995;0.667995;41760.881587343
2000-06-02;0.674403;0.674403;0.674403;0.674403;61396.75849075
2000-06-05;0.667995;0.667995;0.667995;0.667995;91959.155209093
2000-06-06;0.661508;0.661508;0.661508;0.661508;36926.378983437
2000-06-07;0.654867;0.654867;0.654867;0.654867;39774.24162099
2000-06-08;0.661508;0.661508;0.661508;0.661508;63639.822650934
2000-06-09;0.654867;0.654867;0.654867;0.654867;18694.359787673
