Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2011-09-29;3.89472;4.58204;3.51284;3.89472;59574.28537974
2011-09-30;4.04749;4.04749;2.90205;2.97839;16409.554744296
2011-10-03;2.97839;2.97839;2.44374;2.59661;6864.0004226876
2011-10-04;2.21454;2.67294;2.21454;2.29088;4067.8589477725
2011-10-05;2.21454;3.4365;2.21454;3.4365;18083.351836488
2011-10-06;3.4365;3.89472;2.97839;3.51284;10864.334548892
2011-10-07;3.4365;3.51284;3.13106;3.4365;1246.1398889303
2011-10-10;3.05453;3.2074;2.44374;2.52008;2363.3687548678
2011-10-11;2.82552;2.97839;2.3674;2.97839;3763.9972507181
2011-10-12;2.44374;2.90205;2.44374;2.52008;2373.5997884387
2011-10-13;2.97839;2.97839;2.44374;2.52008;1142.8064498647
2011-10-14;2.44374;2.67294;2.29088;2.67294;4341.0275441144
2011-10-17;2.67294;2.67294;2.29088;2.29088;1611.3877874099
2011-10-18;2.59661;2.59661;2.1383;2.3674;4113.8985988414
2011-10-19;2.21454;2.82552;2.21454;2.67294;2667.2304519223
2011-10-20;2.3674;2.44374;2.29088;2.29088;4870.9950830848
2011-10-21;2.29088;2.29088;1.83286;1.98543;3207.4290244635
2011-10-24;1.9091;2.29088;1.9091;2.29088;164.71964049079
2011-10-25;2.21454;2.21454;1.83286;2.1383;3872.4462065692
2011-10-26;1.9091;2.1383;1.83286;1.9091;4154.8227331248
2011-10-27;1.98543;1.98543;1.75642;1.83286;669.10959553401
2011-10-28;1.98543;2.1383;1.9091;2.1383;2137.2629129519
2011-10-31;2.1383;2.21454;1.98543;1.98543;1441.5526301337
2011-11-02;1.98543;1.98543;1.83286;1.98543;535.08305575579
2011-11-04;1.83286;2.06196;1.83286;1.83286;1230.793338574
2011-11-07;1.75642;1.83286;1.75642;1.83286;273.16859634187
2011-11-08;2.06196;2.06196;1.83286;1.98543;103.33343906565
2011-11-09;2.06196;2.06196;1.9091;1.9091;422.54168647637
2011-11-10;1.83286;1.98543;1.83286;1.98543;844.06026959566
2011-11-14;2.06196;2.06196;1.83286;2.06196;118.67998942193
2011-11-15;1.98543;2.21454;1.98543;2.21454;602.60787732345
2011-11-16;2.21454;2.21454;2.21454;2.21454;66.501718210567
2011-11-17;1.83286;2.21454;1.83286;2.06196;417.42616969094
2011-11-21;2.06196;2.06196;2.06196;2.06196;71.617234995995
2011-11-22;1.68008;2.06196;1.68008;2.06196;5.1155167854282
2011-11-23;1.9091;2.06196;1.9091;2.06196;144.25757334908
2011-11-24;2.06196;2.06196;1.75642;2.06196;128.91102299279
2011-11-25;1.75642;1.98543;1.68008;1.98543;1137.6909330792
2011-11-28;1.83286;1.98543;1.60365;1.98543;2584.3590799983
2011-11-29;1.52741;1.9091;1.52741;1.9091;540.19857254122
2011-11-30;1.52741;1.52741;1.52741;1.52741;1307.5260903555
2011-12-01;1.68008;1.68008;1.68008;1.68008;556.56822625459
2011-12-02;1.75642;2.06196;1.75642;1.9091;3959.4099919215
2011-12-05;2.1383;2.1383;1.75642;1.9091;1812.9391487558
2011-12-13;1.75642;2.21454;1.75642;2.21454;643.53201160687
2011-12-15;1.98543;1.98543;1.83286;1.83286;833.8292360248
2011-12-16;1.98543;1.98543;1.98543;1.98543;66.501718210567
2011-12-21;1.83286;1.98543;1.75642;1.98543;2059.5070578134
2011-12-22;1.9091;1.9091;1.9091;1.9091;262.93756277101
2011-12-23;1.68008;1.98543;1.60365;1.98543;1210.3312714323
2011-12-27;1.9091;1.9091;1.9091;1.9091;144.25757334908
2011-12-30;1.9091;1.98543;1.9091;1.98543;587.26132696716
2012-01-03;2.06196;2.06196;2.06196;2.06196;66.501718210567
2012-01-10;1.75642;1.98543;1.68008;1.98543;658.87856196316
2012-01-16;1.98543;2.06196;1.98543;2.06196;169.83515727622
2012-01-19;1.98543;1.98543;1.98543;1.98543;262.93756277101
2012-01-23;1.98543;2.06196;1.98543;2.06196;417.42616969094
2012-01-25;1.75642;1.75642;1.75642;1.75642;303.86169705444
2012-01-26;1.75642;1.98543;1.75642;1.98543;174.95067406165
2012-01-30;1.75642;1.83286;1.75642;1.75642;1390.3974622794
2012-01-31;1.75642;1.75642;1.75642;1.75642;813.36716888309
2012-02-01;1.9091;1.9091;1.9091;1.9091;262.93756277101
2012-02-02;1.75642;1.75642;1.75642;1.75642;195.41274120336
2012-02-06;1.75642;1.9091;1.75642;1.9091;762.21200102881
2012-02-17;1.9091;1.9091;1.9091;1.9091;385.70996562129
2012-02-29;1.60365;1.60365;1.60365;1.60365;0
2012-03-01;1.83286;1.83286;1.83286;1.83286;0
2012-03-05;1.60365;1.60365;1.60365;1.60365;658.87856196316
