Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2011-08-09;5.08137;7.26034;5.08137;7.26034;31810.029095477
2011-08-10;8.62742;8.62742;7.14567;7.17217;11202.274384501
2011-08-11;7.9396;7.9396;7.9396;7.9396;3375.306132938
2011-08-12;8.5572;8.5572;7.85143;8.46895;6516.2010721899
2011-08-16;8.5572;9.70441;8.5572;9.70441;26185.235727718
2011-08-18;9.61513;9.70441;9.61513;9.61513;361.29431687389
2011-09-02;9.51941;10.3219;9.51941;10.3219;1430.1233376258
2011-09-05;10.3219;10.3219;10.3219;10.3219;918.28972205448
2011-09-06;10.3219;10.3219;10.3219;10.3219;1246.250337074
2011-09-07;9.96863;11.4686;9.96863;11.4686;18136.759650928
2011-09-08;11.0269;11.0269;10.7618;10.7618;862.37512539542
2011-09-09;10.8511;11.292;9.65983;9.65983;4832.3114881883
2011-09-12;10.2764;10.2764;8.99765;10.2764;9388.2758351964
2011-09-13;9.72207;10.1992;9.72207;10.1992;226.88422875116
2011-09-15;9.72207;10.5414;9.72207;10.5414;1963.4625672968
2011-09-19;10.1806;10.1899;10.1806;10.1899;3401.1128698575
2011-09-20;10.1443;10.1899;10.1443;10.1899;451.61789609236
2011-09-21;10.0569;10.1899;9.2627;9.54449;275215.94587868
2011-09-22;9.43944;9.43944;9.43944;9.43944;30606.789986603
2011-09-23;9.79281;9.88023;9.79281;9.88023;10203.338609573
2011-09-26;9.88023;11.0269;9.70441;11.0269;11651.741719183
2011-09-27;11.0269;11.0622;10.7618;10.7618;1986.0434621014
2011-09-28;10.2336;10.5861;9.88023;10.5861;1384.9615480166
2011-09-29;9.79281;10.5861;9.35104;10.5861;62065.202291551
2011-09-30;10.5861;10.5861;10.5861;10.5861;3.2258421149455
2011-10-03;10.5861;10.5861;10.5861;10.5861;3.2258421149455
2011-10-04;9.99555;10.5861;9.70441;10.5861;1274.2076354034
2011-10-05;10.5601;10.5861;10.5601;10.5861;469.89766807706
2011-10-06;10.7618;10.7618;10.5861;10.5861;1251.6267405988
2011-10-07;10.7618;10.7618;10.7618;10.7618;5.3764035249091
2011-10-10;10.6753;11.9094;10.6475;11.9094;1958.0861637719
