Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2016-11-03;136.1;204.1;107.1;122;2787
2016-11-04;133.4;158.2;129;155.2;856
2016-11-07;169;174.9;142;142;1203
2016-11-08;140.1;147.45;130;139.4;416
2016-11-09;138;150;138;150;71
2016-11-10;149.95;152.95;140;150;162
2016-11-14;152;156.95;150;155;277
2016-11-15;155;155.95;150;155.85;80
2016-11-16;155;155.9;155;155.9;52
2016-11-17;155.9;156.5;153;156.5;86
2016-11-18;156;157;156;157;113
2016-11-21;163;165.9;160;165;672
2016-11-22;165.9;169.4;165;169.4;226
2016-11-23;169.5;169.65;165;166;308
2016-11-24;166;170;166;170;147
2016-11-25;170;170;169;169;33
2016-11-28;170;170;169;170;30
2016-11-29;169;169.9;166;166;146
2016-11-30;169.9;169.9;158;168.3;6
2016-12-01;168;168;167.4;167.4;11
2016-12-02;168.8;168.8;168;168.6;40
2016-12-05;168.6;169.9;165;169.9;53
2016-12-06;169.95;169.95;169;169;5
2016-12-07;168.9;168.95;168.9;168.95;7
2016-12-08;160;167;160;167;35
2016-12-09;168.4;168.4;150.2;162;307
2016-12-12;150;161.95;150;161.95;33
2016-12-13;161.95;172;158;172;863
2016-12-14;172;172;165;172;2134
2016-12-15;171;171;161.65;171;263
2016-12-16;171;171;160.25;171;87
2016-12-19;169.9;170.5;166.5;170.5;60
2016-12-20;170.5;170.5;170.5;170.5;2
2016-12-21;170;170;170;170;2
2016-12-22;168;168;160;168;20
2016-12-27;167.9;167.9;167.9;167.9;2
2016-12-28;170.4;170.4;170.4;170.4;1
2016-12-29;167;169;167;169;14
2016-12-30;170.4;170.4;170.4;170.4;1
2017-01-02;174.9;174.9;174.9;174.9;1
2017-01-03;170;170;151.3;170;237
2017-01-04;170;170;169.8;169.8;2
2017-01-05;169.8;171.9;160;171.65;91
2017-01-09;170;170;170;170;2
2017-01-10;170;171.5;169.95;171;64
2017-01-11;171.45;171.45;160.2;169.8;140
2017-01-12;171;171;171;171;1
2017-01-13;168.9;170.5;162.1;170.5;66
2017-01-16;170;170;165;170;18
2017-01-17;170;170;170;170;2
2017-01-18;170;170.5;169.95;170.5;66
2017-01-19;170.5;170.5;164;169.95;97
2017-01-20;169.95;169.95;168;168;4
2017-01-23;169.95;169.95;168;168;8
2017-01-24;168;168;168;168;1
2017-01-25;168;168;160;160;157
2017-01-26;156.1;161;153.5;161;256
2017-01-27;167;167;166.8;166.8;11
2017-01-30;166.75;167;155.5;165.1;69
2017-01-31;155.5;170;154;170;738
2017-02-01;169;169;163;169;9
2017-02-02;168;168.8;163;168.8;20
2017-02-03;168;168;165.2;165.2;202
2017-02-06;160.5;165;160;165;122
2017-02-07;154.25;165;154.25;165;18
2017-02-08;165.9;165.9;155;165;8
2017-02-10;165;165;155;164;233
2017-02-13;163;163;162.5;162.85;17
2017-02-14;162.85;162.85;155.2;162.6;22
2017-02-15;162.5;162.5;161.9;161.95;37
2017-02-16;161.9;161.9;161.9;161.9;2
2017-02-17;161.85;161.85;154;158;75
2017-02-20;161.8;161.8;151.8;160.95;11
2017-02-21;160.95;160.95;158;158;6
2017-02-22;159.85;159.85;153.5;158.7;23
2017-02-23;158.65;158.65;154;158.55;262
2017-02-24;158.25;158.25;150;157;131
2017-02-27;157;157;152;157;1327
2017-02-28;155.9;155.9;152;155.5;11
2017-03-01;156;156;154.5;154.95;18
2017-03-02;150;154.95;150;154.95;12
2017-03-03;154.95;154.95;150;154.75;25
2017-03-06;154.95;168;154.95;160;299
2017-03-07;159;159;159;159;10
2017-03-08;160;160;150.5;159.5;15
2017-03-09;160;160;150;159.7;42
