Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2000-11-20;14.3213;14.3665;12.8845;13.0595;137742.3582913
2000-11-21;13.0595;13.0595;12.7518;13.0153;16543.876517222
2000-11-22;12.8402;12.8402;12.6238;12.7961;8107.7429144914
2000-11-23;12.7114;12.7114;12.4479;12.4479;11112.145748318
2000-11-24;12.6238;12.7961;12.5372;12.7961;9615.789473105
2000-11-27;12.8402;12.8402;12.6238;12.7518;11508.552630886
2000-11-28;12.5372;12.5372;12.3208;12.4921;6817.5607283343
2000-11-29;12.3208;12.3208;12.0565;12.0565;2525.1012144228
2000-11-30;11.7525;11.7525;10.5792;11.2293;18489.777326821
2000-12-01;11.0148;11.6199;11.0148;11.2293;4409.3623479125
2000-12-04;11.3188;11.3188;10.8822;10.9696;28128.947366726
2000-12-05;11.0976;11.2745;11.0591;11.2745;19247.520241756
2000-12-06;11.5775;12.1882;11.5775;12.1016;11827.378541798
2000-12-07;11.8861;12.1882;11.7525;12.1882;4438.0566798946
2000-12-08;12.0113;12.2767;11.7525;12.0565;3310.4757083026
2000-12-11;11.9256;12.2767;11.9256;12.1458;3329.6052629573
2000-12-12;11.9689;12.1458;11.7525;12.1458;1240.2327934476
2000-12-13;11.7525;11.9689;11.7525;11.7977;4508.1983802952
2000-12-14;11.7525;11.9689;11.7525;11.9689;2698.3299593516
2000-12-15;12.0113;12.0113;11.7525;11.7525;1469.7874493042
2000-12-18;11.5775;11.5775;11.0976;11.0976;733.29959509753
2000-12-19;11.2293;11.7092;10.8822;11.7092;2292.3582994571
2000-12-20;11.665;11.665;11.3188;11.3188;3515.5870443226
2000-12-21;11.49;11.49;11.4495;11.4495;1148.8360323195
2000-12-22;11.1852;11.7525;11.1852;11.5775;11875.202428435
2000-12-27;11.7525;11.7525;11.7525;11.7525;668.47165987876
2000-12-28;11.7525;11.7525;11.3611;11.7525;3253.0870443385
2000-12-29;11.5333;11.665;11.5333;11.665;2756.7813763522
2001-01-03;10.8822;11.3188;10.8822;10.9696;1586.6902833052
2001-01-04;11.3188;11.3188;11.0976;11.0976;2819.4838054982
2001-01-05;11.0976;11.0976;10.9263;11.0976;3094.7368419188
2001-01-08;10.4465;10.8389;10.4465;10.7946;3089.423076737
2001-01-09;10.4897;10.7946;10.4897;10.7946;1858.7550606168
2001-01-10;10.8822;10.8822;10.4465;10.4465;3009.716599009
2001-01-11;10.4897;10.4897;10.1435;10.4465;3231.831983611
2001-01-12;10.4465;10.4465;10.1877;10.1877;3443.3198378493
2001-01-15;10.0108;10.0108;8.88175;9.40388;3943.8765179811
2001-01-16;9.14041;9.22886;8.74916;9.22886;22484.665990548
2001-01-17;9.14041;10.5349;9.14041;10.4465;7443.5222667581
2001-01-18;10.5349;11.0591;10.2705;10.8389;10596.710525678
2001-01-19;10.8822;10.8822;10.7504;10.8822;3416.7510119399
2001-01-22;10.8389;10.8389;10.5349;10.7504;2376.3157893305
2001-01-23;10.4465;10.5792;10.2705;10.2705;3046.912955282
2001-01-24;10.3147;10.7504;10.3147;10.7071;190.23279351081
2001-01-25;10.4465;10.6243;10.4465;10.4465;2542.1052630048
2001-01-26;10.2705;10.4465;10.0983;10.4465;2393.3198379125
2001-01-29;10.1877;10.1877;9.6203;9.87906;275.25303642067
2001-01-30;10.0108;10.358;9.83672;9.83672;3047.9757083184
2001-01-31;9.96845;10.2705;9.96845;10.2705;2.1255060727465
2001-02-01;10.1877;10.23;10.0108;10.0108;741.80161938851
2001-02-02;10.0108;10.23;10.0108;10.0983;673.78542506063
2001-02-05;10.0108;10.056;10.0108;10.0108;6250.050606911
2001-02-06;10.0108;10.0108;9.83672;9.83672;1678.0870444333
2001-02-07;9.79626;9.79626;9.70781;9.70781;3119.1801617554
2001-02-08;9.6203;9.79626;9.35965;9.35965;13264.220646974
2001-02-09;10.0108;10.7504;9.44528;9.66358;39786.285422704
2001-02-12;9.96845;9.96845;9.75297;9.75297;2093.6234816553
2001-02-13;9.79626;10.0108;9.79626;10.0108;1323.1275302847
2001-02-14;10.056;10.056;10.0108;10.0108;1610.0708501054
2001-02-15;10.4465;10.8389;10.23;10.7946;5473.1781373221
2001-02-16;10.7504;10.7504;10.0983;10.0983;3351.9230767212
2001-02-19;9.92328;10.8389;9.92328;10.8389;917.1558703901
2001-02-20;10.4465;10.5792;10.4465;10.4897;1278.491902757
2001-02-21;10.6243;10.6243;9.70781;9.79626;3104.3016192462
2001-02-22;9.79626;9.83672;9.79626;9.83672;770.49595137059
2001-02-23;10.23;10.23;10.0108;10.0108;7484.9696351767
2001-02-26;10.056;10.056;10.056;10.056;460.17206474961
2001-02-27;10.23;10.23;10.0108;10.056;4591.0931171323
2001-02-28;10.0108;10.23;10.0108;10.056;1798.1781375435
2001-03-01;10.1435;10.1435;10.1435;10.1435;413.41093114919
2001-03-02;10.0983;10.0983;9.75297;9.79626;4402.9858296943
2001-03-05;9.83672;10.0108;9.83672;10.0108;633.40080967844
2001-03-06;10.0108;10.1877;10.0108;10.0108;2528.2894735319
2001-03-07;9.57607;10.0108;9.48762;10.0108;613.20850198735
2001-03-08;9.70781;10.0108;9.70781;10.0108;3787.6518216342
2001-03-09;9.79626;10.0108;9.35965;10.0108;2052.1761132367
2001-03-12;9.48762;9.92328;9.48762;9.6203;4307.3380564207
2001-03-13;9.57607;9.79626;9.57607;9.70781;6806.9331979705
2001-03-14;9.66358;9.79626;9.57607;9.6203;6482.7935218767
2001-03-15;9.75297;10.23;9.75297;10.23;3475.2024289405
2001-03-16;9.87906;10.0108;9.87906;10.0108;3102.1761131735
2001-03-19;10.0108;10.0108;10.0108;10.0108;414.47368418556
2001-03-20;10.0108;10.23;10.0108;10.0983;4144.7368418556
2001-03-21;9.57607;10.0108;9.57607;10.0108;2457.0850200949
2001-03-22;9.79626;9.79626;9.79626;9.79626;2189.2712549289
2001-03-23;9.79626;10.056;9.79626;10.056;1990.5364371271
2001-03-26;10.23;10.8389;10.23;10.4465;1722.722671961
2001-03-27;10.23;10.4032;9.83672;10.4032;2534.6659917502
2001-03-28;10.358;10.662;10.358;10.358;10287.449392093
2001-03-29;10.0108;10.0108;10.0108;10.0108;22.317813763838
2001-03-30;10.4465;10.5349;10.4465;10.5349;2870.4959512441
2001-04-02;10.7504;10.7504;10.662;10.662;277.37854249341
2001-04-03;10.23;10.23;10.23;10.23;1148.8360323195
2001-04-04;10.056;10.4465;10.056;10.0983;1733.3502023247
2001-04-05;10.4465;10.5792;10.2705;10.2705;777.9352226252
2001-04-06;10.23;10.5792;10.23;10.4465;3069.2307690459
2001-04-09;10.6243;10.7946;10.4465;10.7946;3909.8684208171
2001-04-10;10.8822;11.0148;10.8822;11.0148;1871.5080970533
2001-04-11;10.9696;11.0591;10.9263;11.0591;3519.8380564681
2001-04-12;11.1852;11.1852;11.0976;11.0976;2130.8198379283
2001-04-17;11.3188;11.3188;10.8822;10.9263;2182.8947367106
2001-04-18;10.8822;11.2745;10.8822;11.2745;770.49595137059
2001-04-19;11.49;11.665;11.49;11.665;301.82186233
