Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2013-06-18;7.4409;8.03352;7.25593;7.98186;575340.01693993
2013-06-19;7.99667;8.34482;7.62631;7.70009;192120.89584627
2013-06-20;7.61854;7.77459;7.60382;7.70009;62005.28742365
2013-06-21;7.70009;8.10026;7.70009;8.04092;40233.078006391
2013-06-24;8.05573;8.10026;7.922;7.99667;58833.975566415
2013-06-25;7.922;7.95232;7.84812;7.95232;22890.14562752
2013-06-26;7.84812;7.922;7.70776;7.922;16214.666162561
2013-06-27;7.84812;7.98848;7.84812;7.922;32585.430194318
2013-06-28;7.98186;8.13676;7.72248;8.13676;63189.794784007
2013-07-01;8.13676;8.14443;7.86294;7.922;5533.4399072492
2013-07-02;7.84812;8.00329;7.70009;8.00329;18633.035356624
2013-07-04;7.90728;7.91459;7.75201;7.75201;3048.4995630893
2013-07-05;7.71473;7.7373;7.62631;7.7373;5524.2576796496
2013-07-08;7.99667;7.99667;7.48586;7.65583;2121.0945755231
2013-07-09;7.72248;7.72248;7.48586;7.62631;7421.5354574307
2013-07-10;7.76674;7.922;7.76674;7.84812;6552.6671708123
2013-07-11;7.90066;8.68548;7.84812;8.66281;39211.555185928
2013-07-12;8.62536;8.72904;8.51558;8.66281;16493.576325902
2013-07-15;9.18034;9.18034;8.8998;9.01046;24684.123344804
2013-07-16;9.01828;9.01828;8.88586;8.95904;6280.6436781721
2013-07-17;8.88586;8.95904;8.73688;8.73688;4646.2071654315
2013-07-18;8.55131;8.55131;8.40318;8.47028;8045.9269342081
2013-07-19;8.44066;8.69157;8.44066;8.69157;2781.0671842491
2013-07-22;8.69157;9.55066;8.69157;9.41903;81646.072259338
2013-07-23;9.46958;10.069;9.46958;9.73705;63452.636049048
2013-07-24;9.73705;9.90708;9.73705;9.89914;9928.2835921398
2013-07-25;9.81725;10.2693;9.81725;10.2693;43158.765275334
2013-07-26;10.3286;10.366;9.40339;10.366;40298.501378038
2013-07-29;10.366;10.366;10.2171;10.2834;18070.623916144
2013-07-30;10.3512;10.3574;10.2911;10.2911;5217.8008335107
2013-07-31;10.366;10.4402;10.0333;10.1439;27428.461618654
2013-08-01;10.1361;10.1361;9.92091;10.062;36612.984775222
2013-08-02;10.0333;10.3286;9.94356;10.3286;32128.614371234
2013-08-05;10.313;10.7365;10.313;10.6546;47190.910970038
2013-08-06;10.8845;10.8845;10.5961;10.6546;44074.692478402
2013-08-07;10.7365;10.8401;10.6919;10.8401;19534.041439841
2013-08-08;10.9577;11.2025;10.9577;11.2025;88271.049472497
2013-08-09;11.4316;11.4316;11.2547;11.4028;38261.194629362
2013-08-12;11.4386;11.4613;11.1067;11.2399;16537.191907
2013-08-13;11.2399;11.3951;11.2399;11.3871;11703.896854226
2013-08-14;11.4761;11.4761;11.0762;11.1067;40197.496874441
2013-08-16;10.8462;10.8462;9.86256;10.366;126386.47623871
2013-08-19;10.366;10.366;9.6325;10.1805;168457.14754348
2013-08-20;10.1439;10.2171;9.96631;10.2171;41279.851952753
2013-08-21;10.2834;10.4402;10.2397;10.3512;58108.579586042
2013-08-22;10.3364;10.3879;10.2171;10.366;119677.71119872
2013-08-23;10.366;10.366;10.2249;10.3574;27790.011830391
2013-08-26;10.366;10.366;10.1439;10.2545;3812.9200107617
2013-08-27;10.2545;10.3512;9.92091;10.1439;156882.94965411
2013-08-28;9.92091;10.1291;9.54454;9.69873;37159.327317402
2013-08-29;9.55066;9.55066;9.18034;9.33629;26774.227902179
2013-08-30;9.4992;9.60289;9.08451;9.21087;150290.11023754
2013-09-02;9.29186;9.81038;9.18034;9.65429;18855.704375916
2013-09-03;9.81038;9.95837;9.6691;9.68391;20216.969617567
2013-09-04;9.81038;9.81038;9.25439;9.51493;8818.38183103
2013-09-05;9.40339;9.40339;8.58964;9.25439;54401.255192676
2013-09-06;9.04878;9.47744;9.04878;9.47744;13686.110237304
2013-09-09;9.73705;10.0333;9.4853;10.0333;11397.440008086
2013-09-10;10.0481;10.3574;10.0481;10.2911;21935.193957154
2013-09-11;10.3286;10.3286;10.1144;10.2171;34440.240169451
2013-09-12;10.1953;10.1953;10.069;10.069;270.87571419017
2013-09-13;9.98181;10.1213;9.98181;10.1144;1169.5862405075
2013-09-16;9.98181;9.99495;9.84765;9.84765;1799.7166095346
2013-09-17;9.84765;9.99495;9.62467;9.98181;4175.6180009486
2013-09-18;9.99495;9.99495;9.55066;9.69261;17257.996773573
2013-09-19;9.72835;9.95837;9.62467;9.62467;13564.445721609
2013-09-20;9.69873;9.69873;9.55066;9.55066;2867.150567996
2013-09-23;9.55066;9.55066;9.22568;9.36592;15411.221247591
2013-09-24;9.50706;9.6177;9.46958;9.54454;24562.45882911
2013-09-25;9.62467;9.66299;9.6177;9.66299;4713.926093979
2013-09-26;9.66299;9.84765;9.66299;9.84765;12658.848524591
2013-09-27;9.91394;9.99495;9.84765;9.98181;4477.4837332876
2013-09-30;9.99495;9.99495;9.92091;9.92091;7441.04769108
2013-10-01;9.92091;9.94356;9.92091;9.93738;2033.8634133262
2013-10-02;9.92875;10.0246;9.92091;9.99495;6999.1529878461
2013-10-03;10.0333;10.0333;9.92091;9.99495;7960.9913289112
2013-10-04;10.0481;10.0481;9.88433;9.99495;2863.7072326461
2013-10-07;9.99495;10.0167;9.95837;9.95837;1917.9377898804
2013-10-08;9.95837;9.95837;9.77365;9.77365;4480.9270686374
2013-10-09;9.81038;9.81038;9.62467;9.62467;3202.3018753838
