Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2012-10-01;0.792676;0.792676;0.792676;0.792676;37089.5522375
2012-10-02;0.943662;0.943662;0.943662;0.943662;2543329.1491642
2012-10-03;1.13239;1.35887;0.943662;1.35887;577820.253711
2012-10-04;1.6231;1.98169;1.6231;1.98169;80535.194027015
2012-10-05;2.37803;2.84986;2.37803;2.84986;21675.134327595
2012-10-08;3.12352;4.49183;3.12352;3.96338;60100.970147137
2012-10-09;4.15211;4.71831;2.84042;4.71831;120986.11939872
2012-10-10;4.71831;5.04859;4.15211;5.04859;24555.40298421
2012-10-11;5.00141;6.05831;4.38803;6.05831;26956.686566215
2012-10-12;6.04887;6.05831;4.90704;5.66197;21464.253730587
2012-10-15;5.66197;5.66197;4.76549;5.38831;3531.9850745025
2012-10-16;5.37887;5.37887;4.52958;5.33169;5812.4626863625
2012-10-17;5.66197;5.66197;5.09577;5.42606;237.37313432
2012-10-18;4.90704;5.65254;4.31254;5.65254;6556.3731340975
2012-10-19;5.65254;5.65254;5.00141;5.00141;1123.28358205
2012-10-22;4.71831;5.14296;4.71831;5.14296;800.0746268375
2012-10-23;4.71831;5.37887;4.71831;5.19014;6509.7462684275
2012-10-24;5.19014;5.19014;4.71831;5.03915;3320.0447760025
2012-10-25;4.8693;5.00141;4.71831;4.95423;1423.1791044275
2012-10-26;4.72775;4.81268;4.72775;4.81268;1803.611940235
2012-10-29;4.90704;4.95423;4.90704;4.95423;5358.9104475725
2012-10-30;4.95423;5.66197;4.83155;5.66197;22734.835820095
2012-10-31;5.66197;5.86014;5.66197;5.86014;2033.5671641075
2012-11-02;5.89789;6.60563;5.67141;5.67141;499.1194029675
2012-11-05;5.67141;5.67141;4.72775;4.75606;11285.820895125
2012-11-06;4.76549;4.95423;4.76549;4.95423;2354.656716335
2012-11-07;4.91648;4.91648;4.91648;4.91648;370.895522375
2012-11-08;4.91648;5.09577;4.91648;5.09577;20.1343283575
2012-11-09;5.14296;5.14296;5.14296;5.14296;10.597014925
2012-11-12;5.14296;5.14296;5.14296;5.14296;10.597014925
2012-11-13;5.21845;5.21845;5.21845;5.21845;10.597014925
2012-11-14;5.28451;5.28451;5.28451;5.28451;286.119402975
2012-11-15;5.33169;5.33169;5.33169;5.33169;21.19402985
2012-11-16;5.56761;6.25648;5.56761;6.25648;1282.238805925
2012-11-19;6.25648;6.25648;6.25648;6.25648;236.3134328275
2012-11-20;6.25648;6.25648;6.25648;6.25648;662.3134328125
2012-11-21;6.25648;6.25648;6.25648;6.25648;285.0597014825
2012-11-22;6.38859;6.38859;5.84127;5.84127;5434.14925354
2012-11-23;5.89789;6.18099;5.89789;6.18099;314.7313432725
2012-11-26;6.18099;6.18099;6.18099;6.18099;5.2985074625
2012-11-27;6.18099;6.18099;6.18099;6.18099;5.2985074625
2012-11-28;6.18099;6.18099;6.18099;6.18099;7.4179104475
2012-11-29;6.18099;6.18099;6.1338;6.1338;176.9701492475
2012-11-30;6.18099;6.18099;6.18099;6.18099;7.4179104475
2012-12-03;6.18099;6.18099;6.18099;6.18099;5.2985074625
2012-12-04;6.1338;6.1338;6.1338;6.1338;2.119402985
2012-12-05;6.1338;6.89817;6.1338;6.42634;366.656716405
2012-12-06;6.4169;6.4169;6.4169;6.4169;21.19402985
2012-12-07;6.42634;6.46408;6.4169;6.46408;391.0298507325
2012-12-10;6.51127;6.51127;6.51127;6.51127;10.597014925
2012-12-11;6.51127;6.5962;6.51127;6.5962;445.07462685
2012-12-12;6.5962;6.7;6.25648;6.7;4308.746268505
2012-12-13;6.7;6.72831;6.7;6.71887;2300.6119402175
2012-12-14;6.71887;7.17183;6.71887;7.17183;214.059701485
2012-12-17;7.5493;8.02113;7.5493;7.83239;1211.2388059275
2012-12-18;7.74746;7.74746;7.73803;7.73803;757.6865671375
2012-12-19;7.73803;7.73803;7.73803;7.73803;171.671641785
2012-12-20;7.73803;7.73803;7.5493;7.5493;161.07462686
2012-12-21;7.5493;7.5493;7.5493;7.5493;49.8059701475
2012-12-27;7.5493;7.5493;7.5493;7.5493;1.0597014925
2012-12-28;7.5493;7.5493;7.5493;7.5493;4.23880597
2013-01-02;7.78521;7.78521;7.78521;7.78521;10.597014925
2013-01-03;7.78521;8.11549;7.78521;8.11549;221.4776119325
2013-01-04;8.20986;8.20986;8.11549;8.11549;164.2537313375
2013-01-07;8.20986;9.43662;8.02113;8.02113;2651.373134235
2013-01-08;8.12493;8.16268;8.11549;8.11549;434.477611925
2013-01-09;8.11549;8.11549;8.11549;8.11549;6.358208955
2013-01-10;8.11549;8.49296;8.11549;8.49296;729.07462684
2013-01-11;8.58732;9.10634;8.58732;9.10634;756.626865645
2013-01-14;9.15352;9.15352;9.15352;9.15352;6.358208955
2013-01-15;9.24789;9.24789;9.15352;9.15352;15.8955223875
2013-01-16;9.16296;9.17239;9.16296;9.17239;529.85074625
2013-01-17;9.17239;9.17239;9.17239;9.17239;158.955223875
2013-01-18;9.34225;9.34225;9.24789;9.24789;9.5373134325
2013-01-21;9.43662;10.0972;9.43662;10.0972;614.62686565
2013-01-22;10.6634;10.6634;10.0972;10.0972;733.31343281
2013-01-23;10.0123;10.0123;10.0123;10.0123;2.119402985
2013-01-24;10.0217;10.0972;10.0217;10.0217;1006.716417875
2013-01-25;10.3803;10.3803;10.0311;10.0311;996.11940295
2013-01-28;10.7577;10.7577;10.7106;10.7106;182.26865671
2013-01-29;10.7106;10.7106;10.7106;10.7106;280.8208955125
2013-01-30;10.3803;10.3803;10.3803;10.3803;28.6119402975
2013-01-31;10.3803;10.3803;10.3803;10.3803;15.8955223875
2013-02-01;10.8521;11.2768;10.569;11.2768;264.925373125
2013-02-04;10.569;10.6634;10.569;10.6634;225.7164179025
2013-02-05;10.6634;10.6634;10.569;10.569;383.611940285
2013-02-06;10.0028;10.0028;10.0028;10.0028;10.597014925
2013-02-07;9.83296;9.83296;9.83296;9.83296;9.5373134325
2013-02-08;9.67254;9.67254;9.67254;9.67254;9.5373134325
2013-02-11;9.62535;9.62535;8.58732;8.58732;357.1194029725
2013-02-12;7.55873;7.55873;6.93592;7.5493;739.671641765
2013-02-13;6.60563;7.20014;6.60563;7.20014;1596.9701491975
2013-02-14;7.2662;7.5493;6.61507;6.61507;317.91044775
2013-02-15;6.94535;6.94535;6.94535;6.94535;10.597014925
2013-02-18;6.94535;6.94535;6.94535;6.94535;5.2985074625
2013-02-19;6.94535;6.94535;6.94535;6.94535;7.4179104475
2013-02-20;7.03028;7.03028;7.03028;7.03028;5.2985074625
2013-02-22;7.03028;7.03028;7.03028;7.03028;5.2985074625
2013-02-25;7.03028;7.03028;7.03028;7.03028;5.2985074625
2013-02-26;7.03028;7.03028;7.03028;7.03028;121.8656716375
2013-02-27;7.03028;7.03028;7.03028;7.03028;3.1791044775
2013-02-28;7.03028;7.03028;7.03028;7.03028;3.1791044775
2013-03-01;7.03028;7.45493;7.03028;7.45493;227.8358208875
2013-03-04;7.03028;7.03028;7.03028;7.03028;14.835820895
2013-03-05;7.16239;7.16239;7.16239;7.16239;8.47761194
2013-03-06;7.21901;7.21901;7.16239;7.16239;30.7313432825
2013-03-07;7.17183;7.17183;7.17183;7.17183;26.4925373125
2013-03-08;7.22845;7.22845;7.22845;7.22845;10.597014925
2013-03-11;7.22845;7.22845;7.22845;7.22845;31.791044775
2013-03-12;7.03972;7.5493;7.03972;7.5493;452.4925372975
2013-03-13;7.2662;7.36056;7.2662;7.36056;370.895522375
2013-03-14;7.0869;7.0869;7.0869;7.0869;11.6567164175
2013-03-18;7.07746;7.07746;7.07746;7.07746;10.597014925
2013-03-19;7.07746;7.07746;7.07746;7.07746;10.597014925
2013-03-20;7.03972;7.03972;7.03028;7.03028;277.641791035
2013-03-21;7.05859;7.17183;7.05859;7.17183;357.1194029725
2013-03-22;7.07746;7.07746;7.07746;7.07746;5.2985074625
2013-03-25;7.03028;7.03028;7.03028;7.03028;9.5373134325
2013-03-26;7.03028;7.39831;7.03028;7.38887;450.3731343125
2013-03-27;7.03028;7.03028;7.03028;7.03028;12.71641791
2013-03-28;7.03972;7.03972;7.03972;7.03972;14.835820895
2013-04-02;7.03028;7.24732;7.03028;7.24732;321.0895522275
2013-04-03;7.07746;7.36056;7.07746;7.36056;396.328358195
