Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2014-04-11;11.2339;11.2339;10.5683;10.7746;234858.91912207
2014-04-14;10.7102;10.7102;10.3961;10.4823;63602.796052498
2014-04-15;10.4823;10.5806;10.4241;10.476;5684.6870214523
2014-04-16;10.476;10.5582;10.4241;10.4241;5593.165285756
2014-04-17;10.365;10.5985;10.365;10.4823;6099.7645756751
2014-04-22;10.6505;10.8275;10.5124;10.8018;3711.1603943181
2014-04-23;10.7746;10.8336;10.7163;10.8018;12051.225246031
2014-04-24;10.8018;10.8018;10.797;10.797;1562.3184220237
2014-04-25;10.704;10.7746;10.4823;10.7746;15165.628401716
2014-04-28;10.8018;10.8018;10.4884;10.7685;1403.77025635
2014-04-29;10.7685;10.7685;10.4823;10.7685;2508.4799998924
2014-04-30;10.8018;10.8018;10.4823;10.7102;5371.4494672251
2014-05-02;10.7622;10.7622;10.4823;10.4823;6161.642445495
2014-05-05;10.7163;10.7499;10.5412;10.5412;1185.9132149392
2014-05-06;10.5412;10.6583;10.4823;10.5412;2092.1126626321
2014-05-07;10.4823;10.4884;10.3543;10.4481;11509.833530078
2014-05-08;10.4481;10.4535;10.4278;10.4278;2639.9638657644
2014-05-09;10.4349;10.4349;10.3069;10.3069;1237.4833924518
2014-05-12;10.3069;10.3604;9.73686;10.016;99702.55463083
2014-05-13;10.1284;10.1284;9.89946;10.0059;4341.5048518847
2014-05-14;9.91119;9.91119;9.84214;9.91119;23910.463115345
2014-05-15;9.89946;10.1905;9.89946;10.1905;520.77421694018
2014-05-16;10.1851;10.1905;9.89946;10.1851;3938.0353449987
2014-05-19;10.161;10.161;10.161;10.161;12.890429979723
2014-05-20;9.96321;9.98799;9.71416;9.96851;2598.7119525512
2014-05-21;9.96321;9.97551;9.69713;9.92907;1334.1536883057
2014-05-22;9.98099;10.4481;9.89946;10.4481;5473.2894672208
2014-05-23;10.3961;10.476;10.3961;10.476;1736.3439841464
2014-05-26;10.476;10.5124;10.476;10.5124;6.4452255618536
2014-05-27;10.4823;10.4823;10.3371;10.4696;1147.251439793
2014-05-28;10.476;10.476;10.476;10.476;12.890429979723
2014-05-29;10.365;10.365;10.2494;10.3069;743.77981850852
2014-05-30;10.2494;10.7685;10.0748;10.7685;8668.8326623499
2014-06-02;10.7437;10.7437;10.365;10.4481;1981.2547533667
2014-06-03;10.4823;10.4823;9.92443;10.3961;426.67397236828
2014-06-04;10.016;10.3961;10.016;10.365;1219.4370019201
2014-06-05;10.1338;10.2767;10.1338;10.2767;665.14745559276
2014-06-06;10.365;10.6281;10.2603;10.2603;20047.245758509
2014-06-09;10.4481;10.6862;10.1905;10.6862;6933.7784612409
2014-06-10;10.7561;10.7622;10.6583;10.6583;4845.524575729
2014-06-11;10.6583;10.6583;10.4823;10.6164;1910.358974277
2014-06-12;10.6164;10.6164;10.5985;10.6117;540.11039050937
2014-06-13;10.4823;10.604;10.4823;10.604;1278.7247336729
2014-06-16;10.5985;10.5985;10.2494;10.5636;1655.1299407574
2014-06-17;10.604;10.604;10.3767;10.5985;2834.6048125016
2014-06-18;10.5924;10.6281;10.5924;10.5985;766.98216959233
2014-06-20;10.6281;10.6281;10.5985;10.6281;600.69530569414
2014-06-23;10.5985;10.5985;10.5985;10.5985;58.007040628675
2014-06-24;10.6443;10.6443;10.4241;10.6226;956.47244177355
2014-06-25;10.6421;10.6421;10.5985;10.5985;756.67024848824
2014-06-26;10.2271;10.5924;10.2271;10.5924;4297.6733725966
2014-06-27;10.5985;10.5985;10.5412;10.5412;19.335644969585
2014-06-30;10.5869;10.5869;10.3705;10.4823;750.22450489877
2014-07-01;10.4823;10.4823;10.2494;10.2494;279.72222484007
2014-07-02;10.3961;10.4241;10.1035;10.4241;6249.294832079
2014-07-03;10.4241;10.4241;10.4241;10.4241;12.890429979723
2014-07-04;10.4241;10.4241;10.4241;10.4241;12.890429979723
2014-07-07;10.4241;10.4241;10.4193;10.4193;2593.5528204015
2014-07-08;10.4241;10.4241;10.365;10.4077;3494.6037079368
2014-07-09;10.4077;10.4077;10.1338;10.4007;1772.4367652099
2014-07-10;10.4007;10.4007;10.1035;10.3821;4320.8788952781
2014-07-11;10.3821;10.3821;10.1338;10.3069;2343.4829190316
2014-07-14;10.0802;10.3479;10.0802;10.3479;2284.1846152866
2014-07-15;10.3479;10.3479;10.1168;10.2767;1105.9995265798
2014-07-16;10.3479;10.3479;9.99339;10.1548;1771.1469821725
2014-07-17;10.2145;10.2145;9.89946;10.1905;2997.0328992797
2014-07-18;10.1851;10.3479;9.95612;10.3479;1905.2104141194
2014-07-21;10.1905;10.1905;9.89946;10.1035;3146.5631556835
2014-07-22;10.1284;10.2028;10.0748;10.0748;112.14663510367
2014-07-23;10.016;10.0748;10.016;10.0748;384.13544771527
2014-07-24;10.0748;10.0748;10.0392;10.0392;3113.0393687027
2014-07-25;10.1796;10.1796;9.94685;9.99963;15822.994871116
2014-07-28;10.2393;10.2393;10.161;10.161;5157.4723469187
2014-07-29;9.81641;10.0857;9.81641;9.96558;14169.112425427
2014-07-30;9.99026;9.99026;9.87704;9.93682;424.09546349265
2014-07-31;9.92528;9.92528;9.80496;9.92528;4017.9490333582
2014-08-01;9.96558;9.96558;9.52025;9.95309;7493.2271397179
2014-08-04;9.87704;10.0531;9.87704;10.0198;6807.4537275185
2014-08-05;10.1151;10.1151;9.6382;9.6382;1305.7996054667
2014-08-06;9.66762;9.66762;9.52025;9.52025;8664.9633132376
2014-08-07;9.51325;9.51325;8.92437;9.31781;28518.794476094
2014-08-08;9.31781;9.31781;8.56826;9.04384;15801.110847448
2014-08-11;9.1563;9.1563;9.03764;9.04384;3379.8764495591
2014-08-12;9.18585;9.18585;8.92437;9.03764;141.79472977695
