Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2008-09-12;2.18274;3.40381;2.15546;3.1036;19129.500863238
2008-09-15;3.41733;3.61522;2.93306;3.1036;7876.1437980418
2008-09-16;3.27406;3.41052;3.13767;3.27406;3218.0017845598
2008-09-17;3.3423;3.3423;3.3423;3.3423;73.575003320145
2008-09-18;3.27406;3.41052;3.27406;3.41052;1420.8418673956
2008-09-19;3.43781;3.51284;3.43781;3.51284;3300.0198210478
2008-09-22;3.47876;3.81985;3.47876;3.58107;2242.2283798713
2008-09-23;3.56059;3.61522;3.56059;3.61522;36.184427862366
2008-09-24;3.6493;3.6493;3.6493;3.6493;14.473771144947
2008-09-25;3.60155;3.69698;3.60155;3.69698;249.67255225033
2008-09-26;3.81985;4.43362;3.81985;3.95623;6437.209716715
2008-09-29;3.95623;3.95623;3.78568;3.95623;2409.8828956336
2008-09-30;3.95623;3.99711;3.78568;3.99711;3056.3780067746
2008-10-01;3.99711;3.99711;3.71746;3.71746;2362.8431394125
2008-10-02;3.81985;3.99711;3.81985;3.888;309.97993202094
2008-10-03;3.888;3.99711;3.888;3.99031;2105.9337015897
2008-10-06;3.95623;4.02446;3.95623;4.02446;486.07748095112
2008-10-07;4.02446;4.02446;4.02446;4.02446;14.473771144947
2008-10-08;3.95623;4.05854;3.95623;4.05854;79.605741297206
2008-10-09;4.02446;4.07902;3.78568;3.888;9529.7721513519
2008-10-10;3.888;3.888;3.85393;3.85393;539.14797514926
2008-10-13;3.85393;3.85393;3.85393;3.85393;14.473771144947
2008-10-14;3.888;3.888;3.888;3.888;161.62377778524
2008-10-15;3.85393;3.85393;3.85393;3.85393;14.473771144947
2008-10-16;3.85393;3.85393;3.85393;3.85393;14.473771144947
2008-10-17;3.85393;3.85393;3.85393;3.85393;14.473771144947
2008-10-20;3.85393;3.85393;3.85393;3.85393;14.473771144947
2008-10-21;3.888;3.888;3.888;3.888;14.473771144947
2008-10-22;3.888;3.888;3.888;3.888;14.473771144947
2008-10-23;3.888;4.05166;3.888;4.05166;28.947542289893
2008-10-28;4.04486;4.04486;4.04486;4.04486;14.473771144947
2008-10-29;4.04486;4.04486;3.888;3.888;21.71065671742
2008-10-30;3.888;3.888;3.888;3.888;14.473771144947
2008-10-31;3.888;3.92216;3.888;3.92216;45.833608625664
2008-11-03;3.92216;3.92216;3.92216;3.92216;261.73402820445
2008-11-04;4.04486;4.05854;4.04486;4.05854;495.72666171442
2008-11-05;4.05166;4.05166;3.99031;3.99031;7.2368855724733
