Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2008-04-08;6.5457;6.92781;6.53184;6.6779;356126.14891225
2008-04-09;6.61538;6.70563;6.61538;6.67083;184450.76968843
2008-04-10;6.65706;6.6847;6.64302;6.67083;92335.745853759
2008-04-11;6.69159;6.7473;6.69159;6.74043;30130.762825239
2008-04-14;6.74043;6.74043;6.60832;6.67083;8676.5825702159
2008-04-15;6.67083;6.70563;6.67083;6.67083;11360.562322284
2008-04-16;6.65017;6.67083;6.65017;6.67083;5929.697042708
2008-04-17;6.67083;6.67083;6.64302;6.67083;2701.6375135956
2008-04-18;6.60832;6.67083;6.60832;6.67083;12376.987220169
2008-04-21;6.6779;6.6779;6.67083;6.6779;14526.819686054
2008-04-22;6.69865;6.69865;6.62906;6.67083;89225.772604856
2008-04-23;6.58756;6.67083;6.58756;6.67083;3649.638585564
2008-04-24;6.67083;6.67083;6.67083;6.67083;517.5931347534
2008-04-25;6.67083;6.67083;6.53899;6.5457;45388.172394463
2008-04-28;6.53899;6.65706;6.53899;6.65706;261.55559261526
2008-04-29;6.65706;6.65706;6.65706;6.65706;176.57761526769
2008-04-30;6.46233;6.74043;6.46233;6.74043;14405.422575557
2008-05-05;6.60143;6.67083;6.60143;6.67083;1915.8671256544
2008-05-06;6.67083;6.67083;6.67083;6.67083;18.761371622192
2008-05-07;6.71959;6.71959;6.71959;6.71959;144.57292250042
2008-05-08;6.71959;6.71959;6.53899;6.67083;44317.670601903
2008-05-09;6.73335;6.75419;6.60143;6.73335;1119.060636759
2008-05-12;6.74043;6.74043;6.73335;6.74043;44946.728356294
2008-05-13;6.7473;6.7473;6.60832;6.7473;1021.9429483617
2008-05-14;6.75419;6.80983;6.67083;6.80983;6449.4973976522
2008-05-15;6.87236;6.94874;6.80983;6.94874;2747.9891376034
2008-05-16;7.01136;7.37289;7.01136;7.12254;172362.92831326
2008-05-19;7.29605;7.43442;7.29605;7.41467;41508.982909051
2008-05-20;7.50455;7.63694;7.37289;7.48362;3310.8302862691
2008-05-21;7.49766;7.49766;7.31038;7.31038;3838.3559118813
2008-05-23;7.17101;7.44221;7.17101;7.44221;2839.5887755235
2008-05-26;7.48362;7.50455;7.19212;7.43442;377.43465263468
