Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
1987-01-02;39.338;39.9399;38.7402;39.338;0
1987-01-05;39.9399;40.39;39.9399;39.9399;0
1987-01-07;40.991;41.2857;39.9399;39.9399;0
1987-01-08;39.338;39.338;38.1349;38.281;0
1987-01-09;38.281;38.5826;38.281;38.281;0
1987-01-12;38.281;38.281;38.281;38.281;0
1987-01-13;38.281;38.281;38.281;38.281;0
1987-01-14;38.281;38.281;38.281;38.281;0
1987-01-15;39.0366;39.0366;39.0366;39.0366;0
1987-01-16;38.7402;38.7402;38.7402;38.7402;0
1987-01-19;38.1349;38.1349;38.1349;38.1349;0
1987-01-20;37.8394;37.8394;37.8394;37.8394;0
1987-01-21;37.6866;37.6866;37.6866;37.6866;0
1987-01-22;36.7816;36.7816;36.7816;36.7816;0
1987-01-23;37.2332;37.2332;37.2332;37.2332;0
1987-01-26;36.1864;36.1864;36.1864;36.1864;0
1987-01-27;36.1864;36.1864;36.1864;36.1864;0
1987-01-28;35.7305;35.7305;35.7305;35.7305;0
1987-01-29;36.6322;36.6322;36.6322;36.6322;0
1987-01-30;37.0847;37.6866;37.0847;37.6866;0
1987-02-02;37.0847;37.0847;37.0847;37.0847;0
1987-02-03;37.0847;37.0847;37.0847;37.0847;0
1987-02-04;36.1864;36.1864;36.1864;36.1864;0
1987-02-05;36.4818;36.4818;36.4818;36.4818;0
1987-02-06;36.1864;36.1864;36.1864;36.1864;0
1987-02-09;35.4349;35.4349;35.4349;35.4349;0
1987-02-10;35.2814;35.2814;35.2814;35.2814;0
1987-02-11;35.4349;35.4349;35.4349;35.4349;0
1987-02-12;34.9774;35.4349;34.9774;34.9774;0
1987-02-13;34.9774;35.4349;34.9774;34.9774;0
1987-02-16;35.8849;35.8849;35.8849;35.8849;0
1987-02-17;34.8338;34.8338;34.8338;34.8338;0
1987-02-18;34.6827;34.6827;34.6827;34.6827;0
1987-02-19;34.383;34.383;34.383;34.383;0
1987-02-20;34.383;34.383;34.383;34.383;0
1987-02-23;34.9774;34.9774;34.9774;34.9774;0
1987-02-24;35.1335;35.1335;35.1335;35.1335;0
1987-02-25;34.383;34.383;34.383;34.383;0
1987-02-26;34.08;34.08;34.08;34.08;0
1987-02-27;34.383;34.5307;34.383;34.5307;0
1987-03-02;34.08;34.08;34.08;34.08;0
1987-03-03;33.4787;33.4787;33.4787;33.4787;0
1987-03-04;33.7819;33.7819;33.7819;33.7819;0
1987-03-05;33.7819;33.7819;33.7819;33.7819;0
1987-03-06;33.7819;33.7819;33.7819;33.7819;0
1987-03-09;33.3318;33.3318;33.3318;33.3318;0
1987-03-10;33.3318;33.3318;33.3318;33.3318;0
