Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2012-09-26;1.69561;1.92951;1.69561;1.75412;4857.8739896729
2012-09-27;1.75412;1.75412;1.46186;1.66643;445.26467387861
2012-10-08;1.66643;1.66643;1.66643;1.66643;1210.8287316917
2012-10-09;1.71332;1.71332;1.71332;1.71332;7.2795314530562
2012-10-10;1.66643;1.66643;1.59637;1.59637;528.97928558875
2012-10-11;1.60791;1.60791;1.55532;1.55532;685.48921182946
2012-10-12;1.63131;1.95302;1.63131;1.91782;27992.224947486
2012-10-15;1.91782;1.91782;1.56117;1.56703;4657.6868747138
2012-10-16;1.56703;1.56703;1.34482;1.34482;3004.0199796279
2012-10-17;1.34482;1.40333;1.34482;1.36237;169.85573390465
2012-10-18;1.34482;1.36821;1.34482;1.36821;510.78045695611
2012-10-19;1.37407;1.40333;1.34482;1.34482;1865.9865624668
2012-10-22;1.34482;1.40333;1.34482;1.40333;154.08341575636
2012-10-23;1.43259;1.74234;1.43259;1.74234;4043.7797221727
2012-10-24;1.74234;1.74234;1.56117;1.66643;4243.9668371318
2012-10-25;1.69561;1.69561;1.69561;1.69561;143.16411857677
2012-10-29;1.66643;1.66643;1.60791;1.63717;1375.8314446276
2012-10-30;1.70154;1.74234;1.70154;1.74234;1195.0564135434
2012-10-31;1.75412;1.81264;1.75412;1.81264;197.76060447469
2012-11-05;1.80671;1.80671;1.80671;1.80671;43.677188718338
2012-11-06;1.80671;1.80671;1.80671;1.80671;16.985573390465
2012-11-07;1.80671;1.80671;1.69561;1.69561;3967.3446419157
2012-11-08;1.72494;1.72494;1.46186;1.60791;5799.3600576015
2012-11-09;1.60791;1.60791;1.60791;1.60791;43.677188718338
2012-11-12;1.63131;1.80671;1.63131;1.80671;3428.6593143895
2012-11-13;1.80671;1.80671;1.60791;1.60791;2722.544763443
2012-11-14;1.63717;1.80671;1.63717;1.80671;22234.115568118
2012-11-15;1.80671;1.8185;1.80671;1.8185;3144.7575877203
2012-11-16;1.82435;1.82435;1.60791;1.63717;2006.7241705592
2012-11-19;1.60791;1.60791;1.57881;1.57881;998.50906431088
2012-11-20;1.54954;1.82435;1.49688;1.82435;5764.1756555784
2012-11-22;1.81264;1.82435;1.81264;1.82435;2462.9081416174
2012-11-23;1.82435;1.82435;1.69561;1.69561;958.47164131907
2012-11-30;1.66643;1.66643;1.60791;1.60791;990.01627761565
2012-12-03;1.61384;1.61384;1.61384;1.61384;939.05955744426
2012-12-06;1.61384;1.61384;1.59043;1.59043;2051.6146145197
2012-12-07;1.60791;1.60791;1.60791;1.60791;939.05955744426
2012-12-10;1.60791;1.60791;1.59043;1.59043;958.47164131907
2012-12-14;1.60791;1.60791;1.60791;1.60791;613.90715254108
2012-12-21;1.60791;1.7073;1.60791;1.7073;1847.7877338341
2012-12-27;1.72494;1.74836;1.72494;1.74836;3667.6705970982
2012-12-28;1.75412;1.75412;1.75412;1.75412;16.985573390465
2013-01-07;1.73081;1.73081;1.60214;1.68992;1213.255242176
2013-01-08;1.74836;1.85344;1.74836;1.85344;75.221825014915
2013-01-09;1.85344;1.85344;1.85344;1.85344;69.155548804034
2013-01-10;1.85344;1.85344;1.85344;1.85344;103.12669558496
2013-01-11;1.85344;1.85344;1.795;1.795;499.86115977653
