Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2021-10-27;101;101;84.35;98.8;3800
2021-10-28;99.03;99.97;98;98;609
2021-10-29;98;98;94;97;133
2021-11-02;94.1;94.1;93.5;94;762
2021-11-03;92;110;91;99.6;3598
2021-11-04;99.6;100.98;94;99.2;263
2021-11-05;94.1;99;94;98;303
2021-11-08;94.1;96;94;96;142
2021-11-09;96;98;96;97;533
2021-11-10;97;97;97;97;8
2021-11-12;99;100;99;100;22
2021-11-15;100.46;100.46;100.46;100.46;2
2021-11-16;97;99.5;96;98;388
2021-11-17;97.5;97.5;97.5;97.5;1
2021-11-18;94.02;96;94.02;96;117
2021-11-19;94.02;96;94.02;96;521
2021-11-22;96;96;96;96;252
2021-11-23;92.02;96;92.02;96;336
2021-11-25;95.98;95.98;95.98;95.98;1
2021-11-30;95.89;95.89;94;94;15
2021-12-01;95.88;95.88;90;90;44
2021-12-02;89.7;95.88;89.7;90;112
2021-12-03;88.9;88.9;88.9;88.9;10
2021-12-06;87.2;87.2;85;85;80
2021-12-07;85;95.9;85;93.5;637
2021-12-08;94;95.9;94;95.78;150
2021-12-09;95.8;95.9;92;95.88;128
2021-12-10;95.88;95.9;95.88;95.9;311
2021-12-13;95.9;95.9;95.9;95.9;6
2021-12-14;95.9;95.9;93;95.89;38
2021-12-15;93;94;90.21;94;31
2021-12-16;94;94;93.89;93.89;10
2021-12-17;90.5;94;85.01;94;354
2021-12-20;93.98;94;93.98;94;40
2021-12-21;93;95.9;93;94.01;471
2021-12-22;95;95;95;95;1
2021-12-23;95;95;93;93;10
2021-12-27;95.9;95.9;95.9;95.9;1
2021-12-28;95.4;95.8;95.4;95.8;15
2021-12-29;95.8;95.9;95.8;95.9;40
2021-12-30;95.9;95.9;95.9;95.9;1
2022-01-03;95.9;104.9;95.9;104.9;61
2022-01-04;99.99;102;96;100;422
2022-01-05;100.88;100.88;97;100;107
2022-01-10;100;100;98;100;36
2022-01-11;100;102.9;98;99;341
2022-01-12;97.5;99.98;97.5;99.98;32
2022-01-13;99.98;99.98;99.98;99.98;2
2022-01-14;99.98;99.98;99.98;99.98;20
2022-01-17;97.68;100;96.31;100;116
2022-01-18;99;100;99;100;30
2022-01-19;100;100;100;100;38
2022-01-20;97.51;100;97.51;100;26
2022-01-21;98;98;97.51;97.51;38
2022-01-24;100.98;100.98;96;97;138
2022-01-25;98.99;98.99;98.99;98.99;6
2022-01-26;98.99;99;98.99;99;15
2022-01-27;99;100;98;100;31
2022-01-28;100;100;99;99;14
2022-01-31;99;99.66;98;99.66;139
2022-02-01;99;99;99;99;86
2022-02-02;99;99;99;99;25
2022-02-04;99;99;90;99;141
2022-02-08;97;99;97;99;13
2022-02-09;98;98;96;96;108
2022-02-10;96;96;96;96;37
2022-02-11;94;94;94;94;20
2022-02-14;97;97;93;95;52
2022-02-15;97;97;95;95;35
2022-02-16;96;96;96;96;19
2022-02-17;98;99;95;95;22
2022-02-18;91.2;94;90;92;63
2022-02-21;92;92;87.15;89;320
2022-02-22;89;89;89;89;35
2022-02-24;85;85;80;81;228
2022-02-25;81;89;81;89;100
2022-02-28;85;100;85;99.8;353
2022-03-01;96;96;96;96;1
2022-03-02;92;96;89;89;29
2022-03-03;93;93;93;93;11
2022-03-04;94.95;94.95;91;91;62
2022-03-07;87;88;85;88;61
2022-03-08;88;88;88;88;30
2022-03-09;86;86;83;85;99
2022-03-10;85;89;85;85;40
2022-03-11;84;86;84;86;6
2022-03-14;85;86;85;86;4
2022-03-15;86;86;86;86;1
2022-03-16;81;84.98;81;84;57
2022-03-17;85;85;83;83;65
2022-03-18;83;85;83;85;2
2022-03-21;85;94.9;85;90.99;649
2022-03-22;90.89;90.89;88;89;70
2022-03-23;89;91;89;91;180
2022-03-24;90.99;91;89;89;179
2022-03-25;86;89;85;89;1115
2022-03-28;84;84.99;83;83;216
2022-03-29;83;98;83;94;1869
2022-03-30;94;94;92;92;40
2022-03-31;90;90;88;90;34
2022-04-01;87;94;86.01;94;124
2022-04-04;91;93;87;93;71
2022-04-06;93.95;93.95;93.95;93.95;1
2022-04-07;90;93.85;90;93.85;56
2022-04-08;90;93.8;90;93.8;36
2022-04-11;91.99;91.99;91.99;91.99;28
2022-04-12;91.99;91.99;89.02;89.02;6
2022-04-13;91;91;91;91;12
2022-04-14;93.4;93.4;93.4;93.4;2
2022-04-19;93.6;93.6;93.4;93.6;41
2022-04-20;93.6;105;93.2;94;408
2022-04-21;93;93;93;93;21
2022-04-22;93;94;93;93;73
2022-04-27;94;94;94;94;6
2022-04-28;93;93;93;93;1
2022-05-04;90.2;90.2;90;90;38
2022-05-09;85;93.8;85;93.8;37
2022-05-10;90;90;90;90;1
2022-05-11;90;90;88;88;25
2022-05-13;85;91.2;85;90;205
2022-05-16;89;89;89;89;6
2022-05-17;90;90;90;90;35
2022-05-18;85.2;90;85.2;90;26
2022-05-19;86.2;90;86.2;90;5
2022-05-20;90;90;90;90;1
2022-05-23;89;89;89;89;12
2022-05-24;86;89.4;86;89.4;44
2022-05-26;85;89.4;85;89.4;8
2022-05-27;89;89;85.2;85.2;16
2022-05-30;89.2;89.2;89.2;89.2;1
2022-05-31;85.2;85.2;85;85;53
2022-06-01;86;86;85.8;85.8;9
2022-06-02;85.6;85.8;85.6;85.8;9
2022-06-03;84.6;89.8;84;88;60
2022-06-07;88;88;88;88;6
2022-06-09;83.4;88;83.4;88;11
2022-06-14;88;88;85;88;29
2022-06-15;83;87.8;83;87.8;9
2022-06-17;87.8;87.8;87.8;87.8;2
2022-06-20;87.8;87.8;87.8;87.8;7
2022-06-22;85;87.8;85;87.8;11
2022-06-23;87.8;87.8;87.8;87.8;2
2022-06-24;87.8;87.8;87.8;87.8;1
2022-06-28;87.8;93.2;83;89.8;340
2022-06-29;89.8;89.8;89.8;89.8;4
2022-06-30;89.8;89.8;89.8;89.8;2
2022-07-04;89;89;89;89;18
2022-07-06;87;88.8;87;88.8;44
2022-07-07;86;88;85;88;98
2022-07-08;86;88;86;88;24
2022-07-11;88;88;88;88;155
2022-07-12;88;88;88;88;4
2022-07-14;88;88;88;88;3
