Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2021-05-06;51.6089;55.2223;49.2287;50.0891;22105.913296814
2021-05-07;50.1846;51.6185;48.7507;50.2803;31998.181345399
2021-05-10;51.5134;51.5229;50.0891;50.2803;127761.52918461
2021-05-11;51.5229;51.5229;49.2287;49.2383;949.89206727115
2021-05-12;49.2383;49.7066;49.2287;49.7066;1345.3317164215
2021-05-13;50.6625;50.6625;49.7066;49.7066;297.10280518173
2021-05-14;49.2287;49.7066;48.5596;48.7699;475.99217027354
2021-05-17;48.7699;48.8273;48.6552;48.8177;677.89654140056
2021-05-18;48.617;49.8119;48.4832;48.5787;1303.4862509029
2021-05-19;48.942;49.7066;48.942;49.7066;124.4902599177
2021-05-20;48.7604;50.3758;48.7507;50.3758;539.80650518933
2021-05-21;50.3758;51.6185;50.1846;51.6185;349.40963707992
2021-05-24;51.6185;52.1921;49.7066;51.6185;564.91378450046
2021-05-25;48.9324;50.4714;48.9324;49.4008;1239.6719159871
2021-05-26;50.3758;50.3758;48.8655;49.6971;1282.5635181436
2021-05-27;49.6971;49.7066;49.2287;49.2287;1623.6040621199
2021-05-28;49.6684;49.6971;48.9037;48.9037;412.17783535775
2021-05-31;48.9037;49.5538;47.7948;49.5538;344.1789538901
2021-06-01;49.6971;49.6971;48.6552;49.6876;464.48466725594
2021-06-02;49.6876;49.6876;49.6876;49.6876;12.553639655566
2021-06-04;49.4199;49.7066;48.942;49.7066;559.68310131065
2021-06-07;49.7066;49.7066;48.7604;49.3244;781.46406855898
2021-06-08;49.7066;49.7066;49.6111;49.6111;361.96327673548
2021-06-09;51.2362;51.2362;49.7066;49.7066;79.506384485251
2021-06-10;49.7066;50.4714;49.6111;49.7066;2823.5227858644
2021-06-11;51.3317;51.3317;51.2362;51.2362;91.013887502853
2021-06-14;51.3796;51.3796;50.1846;50.6625;1158.073258226
2021-06-15;51.3796;51.3796;50.6722;50.6722;391.25510259847
2021-06-16;50.6625;50.8537;50.1846;50.2325;364.05555001141
2021-06-17;51.3796;51.3796;50.1846;51.1406;397.53192242625
2021-06-18;51.1406;51.1406;50.6625;50.6625;261.53415949096
2021-06-21;49.7066;49.8979;49.5155;49.5155;776.23338536916
2021-06-22;49.7066;49.7258;49.7066;49.7066;125.53639655566
2021-06-23;49.8023;51.1501;49.0566;51.1501;1094.2589233102
2021-06-24;51.1214;51.1214;49.7066;50.1846;12037.89429305
2021-06-25;50.1846;50.6625;49.6111;50.5288;2087.0425927378
2021-06-28;49.9074;49.917;49.7066;49.7066;903.86205520074
2021-06-29;49.5538;49.8979;48.7986;48.7986;4544.4175553148
2021-06-30;49.7066;49.7066;48.7986;49.4199;1262.6869220223
2021-07-01;48.8942;50.3758;48.8942;50.1846;1964.6446060961
2021-07-02;49.7066;50.567;49.7066;50.567;2824.5689225023
2021-07-05;50.567;51.0928;49.8979;50.6625;2727.2782151717
2021-07-06;50.6625;51.5229;50.6625;51.1406;4508.8489096241
