Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2010-12-20;2.05499;2.19328;2.00256;2.07408;431899.10254853
2010-12-21;2.08355;2.16478;2.00256;2.13612;149239.30502237
2010-12-22;2.1456;2.36014;2.14093;2.16952;387814.17520079
2010-12-23;2.18388;2.27916;2.13612;2.1456;59082.474559249
2010-12-27;2.19328;2.19328;2.00738;2.1456;45769.331686456
2010-12-28;2.10273;2.17892;2.04062;2.17418;30528.646719561
2010-12-29;2.15026;2.15026;2.09794;2.09794;30084.244933323
2010-12-30;2.08355;2.09794;2.04062;2.09794;7892.5216929513
2010-12-31;2.10273;2.17418;2.05499;2.17418;14361.336751576
2011-01-03;2.12176;2.16952;2.09794;2.12176;57040.117413991
2011-01-04;2.12658;2.12658;2.05024;2.1171;20530.281911888
2011-01-05;2.06461;2.2839;2.00256;2.13131;92796.22587439
2011-01-07;2.13131;2.18388;2.05024;2.12176;28890.168401308
2011-01-10;2.01686;2.09794;1.98821;2.08845;18213.719409165
2011-01-11;2.07408;2.09794;2.07408;2.09326;8761.063785809
2011-01-12;2.05024;2.1171;1.99316;2.07408;10442.766593908
2011-01-13;2.07889;2.07889;2.00256;2.05024;5636.743629075
2011-01-14;2.0216;2.0216;1.86909;1.90721;82854.593209642
2011-01-17;1.90721;2.00256;1.85947;1.96452;25626.719417879
2011-01-18;1.96452;1.97873;1.85947;1.95009;21202.963035129
2011-01-19;1.90721;2.02647;1.85947;1.90721;60071.234764492
2011-01-20;1.90721;2.00256;1.85947;1.94053;50344.373783671
2011-01-21;1.93587;1.94053;1.85472;1.91203;20580.260228274
2011-01-24;1.85947;1.92616;1.85947;1.88819;222408.91097573
2011-01-25;1.83563;1.89759;1.83563;1.86429;9712.002562437
2011-01-26;1.85947;1.88819;1.81195;1.83563;238349.29237202
2011-01-27;1.84998;1.94548;1.81195;1.87856;75372.704170234
2011-01-28;1.88338;1.89759;1.84998;1.88338;17218.205377383
2011-01-31;1.92616;2.00256;1.91203;1.94548;21158.387779975
2011-02-01;1.94548;1.99776;1.90721;1.95009;26369.64033712
2011-02-02;1.90721;1.95009;1.86909;1.95009;23288.544670233
2011-02-03;1.95009;1.96452;1.94548;1.96452;4333.2551071346
2011-02-04;1.91203;1.91203;1.83563;1.90248;50963.024294602
2011-02-07;1.91203;1.91203;1.85947;1.89307;40466.227088385
2011-02-08;1.88338;1.90721;1.85947;1.90721;7670.9961824868
2011-02-09;1.95488;1.95488;1.81195;1.89759;9043.3737351204
2011-02-10;1.81195;1.90721;1.81195;1.90248;4163.0586783632
2011-02-11;1.89759;1.94548;1.82134;1.90721;9410.7818988176
2011-02-14;1.90248;1.90248;1.83081;1.88338;10426.557410216
2011-02-15;1.86909;1.88338;1.83081;1.88338;3104.0586771183
2011-02-16;1.85947;1.88338;1.85947;1.88338;4195.4770457481
2011-02-17;1.84525;1.85947;1.84051;1.85947;6837.5739876296
2011-02-18;1.84051;1.89307;1.84051;1.89307;2099.0892881819
2011-02-21;1.88338;1.90721;1.88338;1.90721;5362.5382716098
2011-02-22;1.90721;1.90721;1.84525;1.90721;7445.4183760992
2011-02-23;1.89307;1.90721;1.89307;1.90721;10877.713022991
2011-02-24;1.88338;1.90721;1.88338;1.90721;10804.771696375
2011-02-25;1.92616;2.08355;1.92616;2.01212;49602.803629737
2011-02-28;2.03108;2.03108;1.96452;1.99776;19654.985992493
2011-03-01;1.98354;2.00738;1.98354;2.00738;15520.293385591
2011-03-02;1.98354;2.06942;1.98354;2.00256;54091.396747259
2011-03-03;1.98821;2.04062;1.98354;1.98354;2682.6199011127
2011-03-04;1.96917;2.00256;1.88819;1.974;22705.014057302
2011-03-07;1.86429;1.95488;1.86429;1.95488;1215.6887769393
2011-03-08;1.97873;2.07408;1.95488;2.0598;134892.82668918
2011-03-09;2.07408;2.07408;1.92616;2.06942;9250.0408272002
2011-03-10;2.07889;2.09794;2.00738;2.09794;27154.434980901
2011-03-11;2.05024;2.09794;2.05024;2.07408;2001.8341860267
2011-03-14;2.00738;2.08845;2.00256;2.08355;18871.542114021
2011-03-15;1.974;2.08355;1.974;2.08355;6820.0140386293
2011-03-16;2.06461;2.07408;1.97873;1.97873;15964.695171828
2011-03-17;1.98821;2.04062;1.96452;2.04062;10621.067614526
2011-03-18;2.06942;2.06942;1.96917;1.96917;2393.5561252627
2011-03-21;2.01686;2.01686;1.95488;2.01686;35123.950296391
2011-03-22;2.00738;2.01212;1.9597;2.01212;4003.6683720533
2011-03-23;1.99316;2.01212;1.95488;1.9597;63182.04726815
2011-03-24;1.96452;2.01212;1.96452;2.01212;3809.158167743
2011-03-25;1.97873;2.01212;1.97873;2.01212;2166.6275535673
2011-03-28;2.00256;2.0455;2.00256;2.0455;2863.6224523458
2011-03-29;2.04062;2.0455;2.02647;2.02647;14320.813792344
2011-03-30;2.05024;2.12176;2.04062;2.09794;48080.491127948
2011-03-31;2.09326;2.09794;2.08845;2.09794;15541.905630515
2011-04-01;2.09794;2.09794;2.09794;2.09794;2508.3711764181
2011-04-04;2.09794;2.13131;2.09326;2.12658;6543.1071505486
2011-04-05;2.12176;2.13612;2.09794;2.13612;31056.795954875
2011-04-06;2.09794;2.12658;2.09794;2.12658;2546.1926050339
2011-04-07;2.09794;2.16952;2.09326;2.1456;30760.978352487
2011-04-08;2.10273;2.13612;2.09794;2.13612;5058.6160773751
2011-04-11;2.1456;2.1456;2.13612;2.13612;522.74617408389
2011-04-12;2.07408;2.13131;2.05024;2.13131;5138.31123053
2011-04-14;2.12176;2.12176;2.12176;2.12176;1245.4056137089
2011-04-18;2.05024;2.1074;2.03108;2.1074;2829.8533196531
2011-04-19;2.00256;2.08355;1.9597;1.97873;18963.394154945
2011-04-20;1.97873;2.01686;1.97873;1.97873;22984.622475998
2011-04-21;1.97873;2.01686;1.97873;1.99776;31942.897996733
2011-04-26;2.00738;2.00738;2.00738;2.00738;522.74617408389
2011-04-27;2.0455;2.0455;2.03603;2.03603;4027.9821475922
2011-04-28;2.01212;2.02647;1.99316;2.02647;2578.610972419
2011-04-29;2.02647;2.02647;1.96917;2.0216;4515.6084236755
2011-05-02;2.0216;2.0216;1.95488;1.95488;2099.0892881819
2011-05-04;1.95488;2.0216;1.95488;2.01686;996.86479709021
2011-05-05;1.974;2.00738;1.95488;2.00738;3474.1683714309
2011-05-06;2.00738;2.00738;1.97873;1.97873;1885.6683695636
2011-05-09;1.97873;2.00738;1.97873;1.97873;24284.058702016
2011-05-10;1.97873;2.00256;1.97873;1.97873;5208.551026531
2011-05-11;1.97873;1.97873;1.97873;1.97873;16423.955376449
2011-05-12;1.97873;2.00256;1.97873;1.98821;212.07015331052
2011-05-13;1.974;2.00256;1.95488;1.96452;5042.4068936826
2011-05-16;1.95488;1.99776;1.95488;1.97873;1287.2793382479
2011-05-17;1.95488;1.97873;1.95488;1.97873;61917.730940133
2011-05-18;1.95488;1.974;1.95488;1.974;9856.534450362
2011-05-19;1.95488;1.974;1.90721;1.91203;3828.0688820509
2011-05-20;1.97873;1.97873;1.92616;1.92616;5602.9744963823
2011-05-23;1.97873;1.97873;1.90721;1.92616;29568.252585778
2011-05-24;1.90721;1.95488;1.90721;1.95488;31289.127587802
2011-05-25;1.95009;1.95488;1.95009;1.95488;3147.283166965
2011-05-26;1.95488;1.95488;1.95488;1.95488;5288.2461796859
2011-05-27;1.95488;1.95488;1.88338;1.88338;548.41071493039
2011-05-30;1.90721;1.90721;1.90721;1.90721;1335.9068893256
2011-05-31;1.90721;1.94053;1.90721;1.90721;4426.4579133666
2011-06-01;1.90721;1.95009;1.90248;1.95009;7742.5867437955
2011-06-03;1.94053;1.95009;1.93105;1.93105;5245.0216898391
2011-06-06;1.95009;1.95009;1.93105;1.93105;1049.5446440909
2011-06-07;1.95009;1.95009;1.88338;1.94548;214.77168392594
2011-06-08;1.90721;1.95009;1.88338;1.95009;2063.9693901813
2011-06-09;1.88338;1.95009;1.88338;1.95009;7553.479600716
2011-06-10;1.90248;1.93587;1.90248;1.93587;850.98214385749
2011-06-13;1.90248;1.95009;1.81195;1.90721;7962.7614889522
2011-06-14;1.81195;1.92616;1.81195;1.90721;298.51913300397
2011-06-15;1.88819;1.90721;1.88338;1.90248;230.98086761846
2011-06-16;1.90721;1.94548;1.81195;1.90721;71016.486052869
2011-06-17;1.81195;1.90721;1.81195;1.90721;66837.218190814
2011-06-22;1.89307;1.89307;1.89307;1.89307;252.59311254182
2011-06-24;1.81195;1.81195;1.81195;1.81195;240.43622477243
2011-06-27;1.81195;1.81195;1.81195;1.81195;11018.192614993
2011-06-28;1.83081;1.83563;1.78802;1.78802;15664.825273517
2011-06-29;1.66883;1.76418;1.66883;1.72606;83217.949077416
2011-06-30;1.76418;1.76418;1.74034;1.74034;20021.043390882
2011-07-01;1.74034;1.81195;1.74034;1.81195;3348.5471978138
2011-07-04;1.74516;1.75937;1.74516;1.74516;6841.6262835527
2011-07-05;1.74034;1.74034;1.74034;1.74034;12163.641595931
2011-07-06;1.7308;1.74034;1.71659;1.74034;4739.8354647555
2011-07-07;1.74516;1.74516;1.71659;1.71659;1167.0612258617
2011-07-08;1.72606;1.73553;1.71659;1.72606;4172.5140355172
2011-07-11;1.72606;1.72606;1.66416;1.71659;17830.102061775
2011-07-12;1.66883;1.8023;1.54971;1.8023;80647.442696843
2011-07-13;1.75937;1.75937;1.71659;1.75937;7507.5535802539
2011-07-14;1.74034;1.76418;1.69267;1.75937;4531.8176073681
2011-07-15;1.66883;1.71659;1.62122;1.71177;7858.7525602586
2011-07-18;1.66883;1.66883;1.45428;1.47805;55221.987309812
2011-07-19;1.51626;1.55904;1.47339;1.51626;66329.330435114
2011-07-20;1.5258;1.59732;1.5258;1.59732;69238.878907922
2011-07-21;1.59732;1.61161;1.55438;1.58289;10005.11863421
2011-07-22;1.60205;1.63536;1.58289;1.63536;12005.602054929
2011-07-25;1.70688;1.70688;1.645;1.645;3987.4591883608
2011-07-26;1.645;1.69267;1.62122;1.62122;11704.38139131
2011-07-27;1.62122;1.62122;1.59732;1.59732;7919.5369991055
2011-07-28;1.57348;1.59732;1.54971;1.55438;11762.464299541
2011-07-29;1.55438;1.59732;1.55438;1.59732;4311.6428622112
2011-08-01;1.59732;1.59732;1.59732;1.59732;63.485969462384
2011-08-02;1.60205;1.61642;1.60205;1.61642;237.73469415701
2011-08-03;1.57348;1.57348;1.50197;1.50197;8558.4489896525
