Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2011-10-11;10.311;10.6546;9.96641;9.96641;34291.869676731
2011-10-12;9.96641;9.96641;9.41727;9.82248;39425.262250115
2011-10-13;9.82918;10.2081;9.75998;10.2081;4342.7266497311
2011-10-14;10.311;10.6345;10.1745;10.311;21900.02146189
2011-10-17;10.311;10.311;9.62282;10.1045;3794.2466846749
2011-10-18;10.0709;10.0709;8.93625;9.62282;1237.0478865555
2011-10-19;9.69176;9.69176;9.62282;9.62282;871.39457651795
2011-10-20;9.62282;9.62282;9.45172;9.45172;147.21107287224
2011-10-21;9.45172;10.187;9.24456;10.187;8495.5035280142
2011-10-24;9.96641;9.96641;9.96641;9.96641;11.871860715503
2011-10-25;9.96641;9.96641;9.87127;9.96136;740.80410864741
2011-10-26;9.96136;9.96136;9.86369;9.86369;30.866837860309
2011-10-27;9.86369;9.86369;9.75998;9.75998;51.049001076665
2011-10-28;9.75998;9.75998;9.62282;9.62282;3078.37348353
2011-10-31;9.62282;9.62282;9.48627;9.62282;1760.5969441092
2011-11-02;9.45172;9.45172;8.93625;9.03903;3457.0858403546
2011-11-03;9.27992;9.51918;9.27992;9.48627;1613.3858712369
2011-11-04;9.51918;9.62282;9.48627;9.48627;283.73747110053
2011-11-07;9.48627;9.54017;9.48627;9.53431;204.19600430666
2011-11-08;9.5553;9.5553;9.07271;9.07271;9457.12424597
2011-11-09;9.27992;9.27992;9.27992;9.27992;11.871860715503
2011-11-10;9.27992;9.6649;9.27992;9.65819;3806.1185453904
2011-11-14;9.65819;9.6649;9.51407;9.51407;1460.2388680069
2011-11-15;9.41727;9.41727;9.31274;9.31274;42.738698575812
2011-11-16;9.31274;9.31274;9.27992;9.27992;72.418350364571
2011-11-17;9.27992;9.27992;6.88081;7.56191;18954.612818373
2011-11-18;8.24217;8.24217;6.73635;6.87364;30653.14436743
2011-11-21;6.87364;6.87364;6.87364;6.87364;11.871860715503
2011-11-22;6.86033;7.07951;6.86033;7.07951;29927.773677712
2011-11-23;7.21724;7.28723;7.07951;7.07951;510.49001076665
2011-11-24;7.08693;7.90449;7.07951;7.07951;982.99006724368
2011-11-25;7.07951;7.07951;7.07951;7.07951;11.871860715503
2011-11-28;7.14833;7.14833;7.08693;7.08693;87.851769294725
2011-11-29;7.07951;7.07951;7.01137;7.01137;364.46612396595
2011-11-30;7.01137;7.01802;7.01137;7.01137;212.50630680751
2011-12-01;7.01137;7.01137;7.01137;7.01137;4.7487442862014
2011-12-02;6.95645;6.96302;6.95645;6.96302;116.34423501193
2011-12-05;6.977;7.04582;6.977;7.04582;58.172117505967
2011-12-06;6.977;6.977;6.977;6.977;42.738698575812
2011-12-07;7.04582;7.04582;7.04582;7.04582;72.418350364571
2011-12-08;7.01137;8.24217;6.66753;8.24217;112754.18433156
2011-12-09;8.24217;8.24217;8.24217;8.24217;11.871860715503
2011-12-12;8.2346;8.2346;6.87364;6.87364;1383.0717733561
2011-12-14;6.87364;6.87364;6.87364;6.87364;11.871860715503
2011-12-16;6.87364;7.21724;6.86665;6.86665;2166.6145805794
2011-12-19;7.21724;7.21724;6.87364;6.87364;100.91081608178
2011-12-20;6.86665;6.86665;6.52332;6.53006;2573.8194031211
2011-12-21;6.53006;7.07951;6.52332;7.07951;26216.630018046
2011-12-22;7.14833;7.21724;7.14833;7.21724;4901.8912894313
2011-12-23;7.21724;7.28723;7.21067;7.28723;1980.226367346
2011-12-27;7.35538;7.554;7.35538;7.52637;2976.2754813767
2011-12-28;7.56191;7.898;7.21724;7.898;31757.227413972
2011-12-29;7.96758;8.17984;7.9328;8.04255;10573.079153227
