Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2001-05-24;3.25155;3.28675;3.09668;3.21627;75610.102017629
2001-05-25;3.23746;3.23746;3.11779;3.1388;7767.5352568267
2001-05-28;3.14597;3.14597;3.04048;3.13188;15024.469298977
2001-05-29;3.0756;3.11779;2.99102;3.0756;15883.467315614
2001-05-30;3.06849;3.06849;2.93474;3.0052;2989.3587892817
2001-05-31;2.96992;2.96992;2.89945;2.89945;14606.393136624
2001-06-01;2.89263;2.93474;2.85734;2.85734;11510.80187986
2001-06-04;2.89945;2.89945;2.68839;2.68839;4747.3347834371
2001-06-05;2.64627;2.65327;2.29443;2.40693;26016.673971984
2001-06-06;2.37901;2.39984;2.35765;2.39283;4039.11833355
2001-06-07;2.33654;2.38584;2.30845;2.37174;1952.164375576
2001-06-08;2.35765;2.37174;2.30845;2.37174;1465.5511374277
2001-06-12;2.23806;2.32963;2.16758;2.16758;14481.884115596
2001-06-13;2.18178;2.18178;2.15358;2.15358;4461.763634289
2001-06-15;2.16758;2.19586;2.09737;2.09737;9955.0102593008
2001-06-18;2.09737;2.09737;1.95662;1.95662;5468.1163638868
2001-06-19;1.9425;1.9425;1.6046;1.70316;29859.31935492
2001-06-20;1.68216;1.68216;1.57648;1.57648;14847.415186505
2001-06-21;1.57648;1.6046;1.56239;1.6046;3723.8477848904
2001-06-22;1.5835;1.61859;1.5694;1.5694;19526.212894147
2001-06-25;1.61859;1.69625;1.59767;1.69625;69847.276227822
2001-06-26;1.73828;1.73828;1.67497;1.67497;2599.8397418438
2001-06-27;1.67497;1.67497;1.67497;1.67497;250.16032665368
2001-06-28;1.6046;1.6046;1.54129;1.54129;1403.8677692118
2001-06-29;1.54129;1.61176;1.54129;1.6046;6515.5913389618
2001-07-02;1.57648;1.57648;1.57648;1.57648;1717.9960332747
2001-07-04;1.54129;1.6046;1.54129;1.6046;294.70942592078
2001-07-05;1.70316;1.74536;1.70316;1.71026;2747.1944548042
2001-07-10;1.71026;1.71026;1.67497;1.67497;4718.7776685223
2001-07-11;1.71026;1.71026;1.71026;1.71026;1000.6413066147
2001-07-13;1.5694;1.5694;1.5694;1.5694;3330.9018836628
2001-07-16;1.73828;1.78764;1.73828;1.78764;679.65933497234
2001-07-17;1.78063;1.81583;1.78063;1.81583;873.84771639302
2001-07-18;1.81583;1.81583;1.81583;1.81583;1.1422845965922
2001-07-19;1.81583;1.81583;1.67497;1.81583;33.126253301173
2001-07-23;1.71026;1.71026;1.71026;1.71026;4575.9920939482
2001-07-24;1.75946;1.75946;1.75946;1.75946;1.1422845965922
2001-07-25;1.75255;1.75255;1.74536;1.74536;7435.1304392184
2001-07-26;1.75255;1.75255;1.75255;1.75255;47.975953056871
2001-07-27;1.67497;1.67497;1.67497;1.67497;8551.142490089
2001-07-30;1.66097;1.66097;1.66097;1.66097;1487.254544763
2001-07-31;1.6046;1.66796;1.5694;1.66796;11758.67763732
2001-08-02;1.5835;1.5835;1.52729;1.52729;4657.0943003063
2001-08-03;1.6046;1.6046;1.6046;1.6046;44.549099267095
2001-08-07;1.43563;1.54129;1.43563;1.54129;2864.8497682532
2001-08-09;1.40043;1.40043;1.40043;1.40043;13588.617561061
2001-08-10;1.4709;1.54129;1.4709;1.54129;2501.6032665368
2001-08-13;1.5694;1.5694;1.19646;1.38643;36262.966803416
2001-08-14;1.27385;1.28794;1.25266;1.28794;12159.619530724
2001-08-16;1.28794;1.28794;1.18946;1.28094;10751.182623125
2001-08-17;1.34423;1.34423;1.27385;1.27385;1807.0942318088
2001-08-20;1.27385;1.27385;1.27385;1.27385;7282.0643032751
2001-08-21;1.33023;1.33023;1.25975;1.25975;6226.5933360239
2001-08-22;1.22465;1.29487;1.22465;1.29487;6958.7977624395
2001-08-23;1.33023;1.33023;1.29487;1.29487;2830.5812303554
2001-08-27;1.33023;1.33722;1.25975;1.33722;1571.7836049108
2001-08-31;1.22465;1.29487;1.22465;1.26675;10556.994241705
2001-09-03;1.23867;1.23867;1.21765;1.21765;4068.8177330613
2001-09-04;1.22465;1.22465;1.22465;1.22465;1221.1022337571
2001-09-05;1.30212;1.30212;1.30212;1.30212;713.9278728701
2001-09-06;1.25975;1.25975;1.25975;1.25975;713.9278728701
2001-09-07;1.25975;1.25975;1.25975;1.25975;1428.9980303368
2001-09-12;1.04869;1.25975;1.04869;1.25975;6436.7737017969
2001-09-17;1.11907;1.23156;1.11907;1.23156;236.45291149458
2001-09-18;1.11907;1.23867;1.11907;1.23867;1116.0120508705
2001-09-19;1.22465;1.22465;1.22465;1.22465;284.42886455145
2001-09-25;1.0416;1.15425;1.0416;1.15425;9155.4110416862
2001-09-26;1.25975;1.25975;1.04869;1.18237;2174.9098719115
2001-09-27;1.18946;1.18946;1.04869;1.14009;1202.8256802115
2001-09-28;1.11907;1.19646;1.11907;1.19646;1432.4248841266
2001-10-02;1.02042;1.08379;1.02042;1.08379;436.35271589821
2001-10-05;1.01349;1.1119;1.01349;1.1119;2929.9599902589
2001-10-08;0.978301;1.08379;0.978301;1.08379;2879.6994680089
2001-10-10;1.08379;1.22465;1.0275;1.22465;10215.451147324
2001-10-11;1.25975;1.25975;1.07679;1.25975;3200.6814396513
2001-10-12;1.25975;1.25975;1.15425;1.24558;19284.048559669
2001-10-15;1.23867;1.23867;1.23867;1.23867;141.64328997743
2001-10-16;1.22465;1.4499;1.22465;1.35106;118660.523894
2001-10-17;1.43563;1.62569;1.17536;1.4499;289486.90074516
2001-10-18;1.42879;1.42879;1.25975;1.35833;25114.269140676
2001-10-19;1.24558;1.36524;1.24558;1.32305;12004.268825587
2001-10-22;1.33722;1.43563;1.33722;1.43563;38878.798529611
2001-10-23;1.5132;1.5132;1.36524;1.39361;21222.505520086
2001-10-24;1.33023;1.45664;1.33023;1.42171;4730.2005144882
2001-10-25;1.42879;1.42879;1.33722;1.40762;15429.980330767
2001-10-26;1.43563;1.43563;1.35833;1.40043;7596.192567338
2001-10-29;1.43563;1.43563;1.35106;1.39361;8128.4971893499
2001-10-30;1.33023;1.33023;1.33023;1.33023;1428.9980303368
2001-10-31;1.27385;1.32305;1.27385;1.32305;3286.3527843957
2001-11-02;1.29487;1.33722;1.28094;1.28094;13355.591503356
2001-11-05;1.37235;1.37235;1.25975;1.35106;10727.194646598
2001-11-06;1.35106;1.35106;1.33023;1.33023;1269.078186814
2001-11-07;1.35106;1.35106;1.35106;1.35106;4361.2425897889
2001-11-08;1.28094;1.33023;1.25975;1.33023;3361.7435677708
2001-11-09;1.33023;1.33023;1.25975;1.25975;5929.59934091
2001-11-12;1.27385;1.27385;1.27385;1.27385;141.64328997743
2001-11-13;1.25975;1.32305;1.25975;1.32305;7406.5733243037
2001-11-14;1.25975;1.29487;1.18946;1.28794;69276.133929525
2001-11-15;1.28094;1.28094;1.23867;1.25975;7231.803781025
2001-11-16;1.27385;1.27385;1.23867;1.25975;2112.084219099
2001-11-19;1.25975;1.25975;1.21765;1.21765;7508.2366534003
2001-11-20;1.20338;1.20338;1.18946;1.18946;8611.6835737084
2001-11-21;1.20338;1.23156;1.15425;1.15425;97671.044431614
2001-11-22;1.15425;1.15425;1.13317;1.13317;5127.7155541023
2001-11-23;1.13317;1.13317;1.12607;1.12607;6397.9360255128
2001-11-26;1.17536;1.17536;1.04869;1.07679;50041.20360751
2001-11-27;1.11907;1.11907;1.06261;1.11907;18525.571587532
2001-11-28;1.11907;1.16118;1.11907;1.14009;12801.583474008
2001-11-29;1.1119;1.1471;1.1119;1.1471;857.85573204072
2001-11-30;1.10506;1.15425;1.06979;1.06979;6844.5693027803
2001-12-03;1.04869;1.05578;1.04869;1.04869;2632.9659951449
2001-12-04;1.06261;1.06979;1.06261;1.06261;5526.3728783129
2001-12-05;1.06979;1.10506;1.06979;1.10506;6243.7276049728
2001-12-06;1.11907;1.16118;1.11907;1.14009;14309.39914151
2001-12-07;1.15425;1.15425;1.12607;1.12607;9921.8840059996
2001-12-10;1.20338;1.20338;1.07679;1.07679;15450.541453506
2001-12-11;0.992312;1.07679;0.992312;1.07679;2098.3768039399
2001-12-12;1.01349;1.01349;1.01349;1.01349;5722.8458289268
2001-12-13;0.999309;0.999309;0.978301;0.978301;1428.9980303368
2001-12-14;0.992312;0.992312;0.893823;0.893823;3309.1984763275
2001-12-17;0.957119;0.957119;0.907742;0.907742;181.62325085816
2001-12-18;0.957119;0.957119;0.844711;0.907742;177413.93211971
2001-12-19;0.893823;0.893823;0.858542;0.858542;13805.651634413
2001-12-20;0.858542;0.886906;0.837445;0.837445;3669.0181242541
2001-12-21;0.844711;0.844711;0.844711;0.844711;3454.2686200947
2001-12-27;0.858542;0.858542;0.809255;0.809255;2273.1463472184
2001-12-28;0.816347;0.865634;0.816347;0.823438;5722.8458289268
2001-12-31;0.837445;0.865634;0.837445;0.865634;477030.61266745
2002-01-02;0.858542;0.900913;0.858542;0.900913;18825.992436436
2002-01-03;0.91492;0.929105;0.907742;0.929105;7164.4089898261
2002-01-04;0.943019;0.950199;0.929105;0.929105;6689.2185976438
2002-01-07;0.907742;0.943019;0.893823;0.943019;12465.751802611
2002-01-08;0.943019;0.992312;0.943019;0.992312;21422.40532449
2002-01-09;1.00641;1.09089;1.00641;1.06261;33908.718249838
2002-01-10;1.1119;1.12607;1.02042;1.03468;36734.730341808
2002-01-11;1.03468;1.06979;1.03468;1.05578;2359.9599765594
2002-01-14;1.04869;1.04869;0.992312;1.00641;5469.2586484833
2002-01-15;0.985394;1.00641;0.957119;0.999309;5806.232604478
2002-01-16;1.00641;1.01349;1.00641;1.01349;2857.9960606737
2002-01-17;1.01349;1.01349;0.985394;0.985394;2003.5671824227
2002-01-18;0.964204;0.978301;0.943019;0.943019;7097.0141986271
2002-01-22;0.950199;1.07679;0.950199;1.03468;70572.626946658
2002-01-23;1.0416;1.0416;1.00641;1.0275;4120.220539908
2002-01-24;1.01349;1.01349;0.978301;0.985394;14681.783919999
2002-01-25;0.992312;1.03468;0.992312;0.992312;4859.2786739031
2002-01-28;1.03468;1.0416;0.978301;0.978301;9856.7737839938
2002-01-29;0.992312;0.992312;0.929105;0.943019;1231.3827951264
2002-01-30;0.91492;0.936109;0.865634;0.936109;10511.302857841
2002-01-31;0.929105;0.943019;0.900913;0.921837;8690.5012108733
2002-02-01;0.936109;0.936109;0.872637;0.936109;4575.9920939482
2002-02-04;0.872637;0.900913;0.872637;0.900913;2032.1242973374
2002-02-05;0.872637;0.907742;0.872637;0.907742;1576.3527432971
2002-02-06;0.907742;0.907742;0.872637;0.886906;5126.5732695057
2002-02-07;0.865634;0.893823;0.837445;0.858542;79070.082060707
2002-02-08;0.837445;0.872637;0.837445;0.872637;25036.593788107
2002-02-11;0.893823;0.893823;0.851539;0.851539;16332.385162075
2002-02-12;0.886906;0.893823;0.844711;0.879729;11741.543368371
2002-02-13;0.893823;0.893823;0.844711;0.865634;15867.475331261
2002-02-14;0.886906;0.886906;0.844711;0.844711;14170.040420726
2002-02-15;0.879729;0.879729;0.844711;0.865634;6155.7716910353
2002-02-18;0.858542;0.858542;0.837445;0.837445;9434.1284832548
2002-02-19;0.823438;0.823438;0.788158;0.823438;9740.2607551415
2002-02-20;0.844711;0.844711;0.788158;0.830529;23069.579712775
2002-02-21;0.816347;0.816347;0.802252;0.816347;2614.6894415995
2002-02-22;0.816347;0.830529;0.802252;0.830529;11204.669607973
2002-02-25;0.872637;0.872637;0.837445;0.872637;5896.4730876088
2002-02-26;0.872637;0.900913;0.872637;0.893823;13611.463252993
2002-02-27;0.921837;0.999309;0.921837;0.957119;46936.474073972
2002-02-28;0.957119;0.964204;0.91492;0.943019;20811.283065313
2002-03-01;0.91492;0.936109;0.893823;0.936109;14750.320995795
2002-03-04;0.950199;0.957119;0.886906;0.91492;14278.557457402
2002-03-05;0.91492;0.91492;0.907742;0.907742;1450.701437672
2002-03-06;0.865634;0.900913;0.865634;0.900913;4448.0562191299
2002-03-07;0.900913;0.943019;0.900913;0.943019;13976.994323902
2002-03-08;0.893823;0.91492;0.893823;0.91492;736.77356480196
2002-03-11;0.943019;0.943019;0.872637;0.943019;294.70942592078
2002-03-12;0.879729;0.907742;0.879729;0.907742;288.99800293782
2002-03-13;0.907742;0.936109;0.872637;0.929105;2177.1944411046
2002-03-14;0.91492;0.91492;0.865634;0.907742;10311.403053438
2002-03-15;0.907742;0.907742;0.844711;0.879729;26347.936504995
2002-03-18;0.851539;0.907742;0.851539;0.893823;6078.0963384669
2002-03-19;0.893823;0.893823;0.858542;0.872637;2310.8417389059
2002-03-20;0.858542;0.858542;0.858542;0.858542;1995.5711902465
2002-03-21;0.865634;0.865634;0.865634;0.865634;1.1422845965922
2002-03-22;0.823438;0.865634;0.823438;0.865634;11421.703681325
2002-03-25;0.858542;0.858542;0.837445;0.837445;291.28257213101
2002-03-26;0.837445;0.865634;0.809255;0.865634;787.03408705201
2002-03-27;0.865634;0.865634;0.865634;0.865634;1.1422845965922
2002-03-28;0.865634;0.865634;0.865634;0.865634;1.1422845965922
2002-04-02;0.858542;0.865634;0.858542;0.865634;1303.3467247116
2002-04-03;0.830529;0.830529;0.809255;0.809255;1414.1483305812
2002-04-04;0.809255;0.837445;0.781241;0.837445;3207.5351472308
2002-04-05;0.795335;0.802252;0.781241;0.802252;1995.5711902465
2002-04-08;0.802252;0.802252;0.788158;0.788158;2404.5090758265
2002-04-09;0.802252;0.830529;0.795335;0.830529;3951.1624196123
2002-04-10;0.795335;0.837445;0.795335;0.837445;2.2845691931844
2002-04-11;0.795335;0.830529;0.781241;0.781241;1326.1924166435
2002-04-12;0.745961;0.823438;0.696674;0.745961;33918.998811208
2002-04-15;0.745961;0.745961;0.745961;0.745961;1972.7254983147
2002-04-16;0.717773;0.717773;0.696674;0.696674;4392.0842738969
2002-04-17;0.696674;0.724951;0.696674;0.724951;7086.7336372578
2002-04-18;0.696674;0.710769;0.696674;0.696674;7410.0001780934
2002-04-19;0.717773;0.752966;0.717773;0.724951;12623.38707694
2002-04-22;0.696674;0.703765;0.668396;0.703765;13852.485302873
2002-04-23;0.682754;0.703765;0.682754;0.696674;3582.204494913
2002-04-24;0.696674;0.724951;0.696674;0.717773;10311.403053438
2002-04-25;0.696674;0.696674;0.696674;0.696674;141.64328997743
2002-04-26;0.703765;0.73213;0.703765;0.703765;1439.2785917062
2002-04-29;0.710769;0.710769;0.710769;0.710769;379.2384860686
2002-04-30;0.717773;0.717773;0.696674;0.696674;2640.9619873211
2002-05-02;0.717773;0.739045;0.717773;0.73213;1526.0922210471
2002-05-06;0.703765;0.73213;0.703765;0.73213;1001.7835912113
2002-05-07;0.745961;0.795335;0.73213;0.767147;21082.004514705
2002-05-08;0.752966;0.752966;0.73213;0.752966;3019.0581887931
2002-05-09;0.760056;0.760056;0.739045;0.739045;2885.4108909919
2002-05-10;0.703765;0.717773;0.696674;0.717773;3030.4810347591
2002-05-13;0.710769;0.724951;0.696674;0.710769;23752.665901537
