Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
1998-03-11;26.194;26.194;26.194;26.194;111770.03823817
1998-03-12;24.9468;24.9468;24.9468;24.9468;75780.516730304
1998-03-13;26.5053;26.5053;26.5053;26.5053;74199.095005651
1998-03-16;27.4421;27.4421;27.4421;27.4421;70781.881874419
1998-03-17;28.814;28.814;28.814;28.814;52474.841745015
1998-03-18;29.9365;29.9365;29.9365;29.9365;62547.881149273
1998-03-19;29.8118;29.8118;29.8118;29.8118;50672.605487966
1998-03-20;28.6902;28.6902;28.6902;28.6902;51057.948495478
1998-03-23;27.4421;27.4421;27.4421;27.4421;18215.03407424
1998-03-24;26.5053;26.5053;26.5053;26.5053;31199.794518416
1998-03-25;26.5681;26.5681;26.5681;26.5681;24905.497920977
1998-03-26;26.9423;26.9423;26.9423;26.9423;45944.576676681
1998-03-27;26.6928;26.6928;26.6928;26.6928;24108.833725668
1998-03-30;26.8185;26.8185;26.8185;26.8185;46200.028782787
1998-03-31;26.6928;26.6928;26.6928;26.6928;37582.849898484
1998-04-01;26.6928;26.6928;26.6928;26.6928;40683.995169622
1998-04-02;26.8185;26.8185;26.8185;26.8185;21440.658125894
1998-04-06;26.6928;26.6928;26.6928;26.6928;9287.1994507358
1998-04-07;26.8786;26.8786;26.8786;26.8786;20954.649669789
1998-04-08;26.9423;26.9423;26.9423;26.9423;28203.644392584
1998-04-09;26.8185;26.8185;26.8185;26.8185;40088.661871498
1998-04-14;26.8185;26.8185;26.8185;26.8185;7554.2383411055
1998-04-15;26.63;26.63;26.63;26.63;7764.2286317165
1998-04-16;26.194;26.194;26.194;26.194;7991.537709182
1998-04-17;25.5713;25.5713;25.5713;25.5713;6674.2274840602
1998-04-20;25.5713;25.5713;25.5713;25.5713;10979.028441586
1998-04-21;24.5735;24.5735;24.5735;24.5735;13225.058611781
1998-04-22;24.3241;24.3241;24.3241;24.3241;16585.985685737
1998-04-23;23.3873;23.3873;23.3873;23.3873;10231.073334307
1998-04-24;24.6345;24.6345;24.6345;24.6345;16471.248722826
1998-04-27;24.0118;24.0118;24.0118;24.0118;10086.0284944
1998-04-28;23.077;23.077;23.077;23.077;11392.514477739
1998-04-29;24.1975;24.1975;24.1975;24.1975;14617.056105215
1998-04-30;24.5735;24.5735;24.5735;24.5735;19286.634010863
1998-05-04;27.0051;27.0051;27.0051;27.0051;67823.616594832
1998-05-05;28.6902;28.6902;28.6902;28.6902;124313.16961756
1998-05-06;31.496;31.496;31.496;31.496;161885.19527425
1998-05-07;32.43;32.43;32.43;32.43;221187.96873666
1998-05-08;30.0604;30.0604;30.0604;30.0604;16020.960264608
1998-05-11;28.0639;28.0639;28.0639;28.0639;21018.512696316
1998-05-12;25.8826;25.8826;25.8826;25.8826;12821.314393236
1998-05-13;26.3806;26.3806;26.3806;26.3806;7979.6310432196
1998-05-14;26.0693;26.0693;26.0693;26.0693;9039.3243138804
1998-05-15;25.3828;25.3828;25.3828;25.3828;2471.1743993042
1998-05-18;25.4466;25.4466;25.4466;25.4466;4707.4627518939
1998-05-19;24.8211;24.8211;24.8211;24.8211;10235.40303102
1998-05-20;24.8211;24.8211;24.8211;24.8211;3654.2640263035
1998-05-21;25.5713;25.5713;25.5713;25.5713;3713.7973561159
1998-05-22;25.5713;25.5713;25.5713;25.5713;2949.6058861602
1998-05-25;24.1356;24.1356;24.1356;24.1356;3601.2252415616
1998-05-26;23.7624;23.7624;23.7624;23.7624;2601.0653007131
1998-05-27;23.077;23.077;23.077;23.077;6107.0372145748
1998-05-28;21.8278;21.8278;21.8278;21.8278;5235.6857509568
1998-05-29;23.0123;23.0123;23.0123;23.0123;21388.70176533
1998-06-01;22.4524;22.4524;22.4524;22.4524;3152.0192075224
1998-06-02;21.8907;21.8907;21.8907;21.8907;13173.102251219
1998-06-03;22.4524;22.4524;22.4524;22.4524;2696.3186284129
1998-06-04;23.512;23.512;23.512;23.512;7256.5716920435
1998-06-05;23.6368;23.6368;23.6368;23.6368;3183.4095086963
1998-06-08;25.9455;25.9455;25.9455;25.9455;9163.8030943974
1998-06-09;23.6996;23.6996;23.6996;23.6996;1900.7368572834
1998-06-10;23.077;23.077;23.077;23.077;2109.6447237161
1998-06-15;24.9468;24.9468;24.9468;24.9468;6023.6905528373
1998-06-16;23.1379;23.1379;23.1379;23.1379;1954.8580662038
1998-06-17;24.9468;24.9468;24.9468;24.9468;4051.513699779
1998-06-18;24.8849;24.8849;24.8849;24.8849;4417.3730720808
1998-06-19;22.7638;22.7638;22.7638;22.7638;7694.9534842984
1998-06-22;22.5143;22.5143;22.5143;22.5143;25024.564580602
1998-06-23;23.077;23.077;23.077;23.077;10395.601809425
1998-06-24;23.077;23.077;23.077;23.077;12156.705947693
1998-06-25;23.6996;23.6996;23.6996;23.6996;2267.6786537636
1998-06-26;23.6996;23.6996;23.6996;23.6996;6164.4056960303
1998-06-29;26.0073;26.0073;26.0073;26.0073;32067.898709498
1998-06-30;26.194;26.194;26.194;26.194;18243.177102879
1998-07-01;24.3241;24.3241;24.3241;24.3241;1845.5332241847
1998-07-02;25.2581;25.2581;25.2581;25.2581;7094.2080652824
1998-07-03;25.0715;25.0715;25.0715;25.0715;3591.4834239558
1998-07-06;24.386;24.386;24.386;24.386;1338.95870869
1998-07-07;24.386;24.386;24.386;24.386;2807.8083187888
1998-07-08;24.3241;24.3241;24.3241;24.3241;3875.0785586986
1998-07-09;24.0118;24.0118;24.0118;24.0118;9808.9279047281
1998-07-10;23.9481;23.9481;23.9481;23.9481;5201.0481772478
1998-07-13;23.6996;23.6996;23.6996;23.6996;1754.6095931985
1998-07-14;24.5735;24.5735;24.5735;24.5735;4974.8215239606
