Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2007-11-28;4.77467;5.41123;4.76826;5.39852;201993.38709508
2007-11-29;5.92056;5.92056;5.42395;5.60214;262632.72350011
2007-11-30;5.60214;5.60214;5.22645;5.50683;115957.24884696
2007-12-03;5.60214;5.60214;5.34747;5.44307;111714.33640459
2007-12-04;5.60214;5.60214;5.22024;5.4749;52639.940091725
2007-12-05;5.50033;5.50033;5.22024;5.32204;171133.94009073
2007-12-06;5.32204;5.32845;5.1884;5.1949;62581.912441872
2007-12-07;5.22024;5.22645;5.1884;5.1949;214433.40552816
2007-12-10;5.16297;5.40502;5.15647;5.35397;209201.94469871
2007-12-11;5.4749;5.4749;5.284;5.284;31237.082949047
2007-12-12;5.15647;5.284;5.15647;5.22024;55452.857142393
2007-12-13;5.16297;5.22024;5.16297;5.22024;33561.479262392
2007-12-14;5.22024;5.22024;5.20752;5.22024;89489.258063767
2007-12-17;5.22024;5.22024;5.15647;5.21393;54316.811059453
2007-12-18;5.15647;5.15647;4.96567;4.96567;8968.0691243489
2007-12-19;4.98479;5.15647;4.98479;5.15647;12902.387096666
2007-12-20;4.95276;5.22024;4.95276;5.22024;11957.774193448
2007-12-21;5.22024;5.22024;5.0929;5.0929;85440.917049976
2007-12-27;5.0929;5.0929;4.64724;4.71081;38694.608294607
2007-12-28;4.77467;5.0929;4.77467;5.0929;8171.9999999316
2008-01-02;5.33495;5.33495;5.0929;5.10552;33444.31797207
2008-01-03;5.12474;5.12474;5.02933;5.02933;979.1336405448
2008-01-04;5.0865;5.0929;5.02933;5.02933;8681.4423962407
2008-01-07;5.01031;5.01031;4.77467;4.78088;2904.9723502061
2008-01-08;4.8065;4.90181;4.77467;4.90181;7418.8202764356
2008-01-09;4.77467;4.83834;4.62181;4.77467;7197.050691184
2008-01-10;4.62812;4.62812;4.56474;4.62812;12705.723502198
2008-01-11;4.609;4.609;4.48817;4.48817;4097.5069124081
2008-01-14;4.76186;4.76186;4.45624;4.5201;36624.410137942
2008-01-15;4.69188;4.69188;4.5201;4.69188;9707.649769504
2008-01-16;4.5201;4.58367;4.34172;4.58367;313572.77879922
2008-01-17;4.53272;4.77467;4.45624;4.62181;161279.83870833
2008-01-18;4.55174;4.71081;4.55174;4.71081;21033.589861575
2008-01-21;4.77467;4.77467;4.44362;4.45624;24594.456220992
2008-01-22;4.45624;4.5201;4.39898;4.5201;26573.645161068
2008-01-23;4.5201;4.6155;4.4182;4.44362;21849.534562029
2008-01-24;4.609;4.609;4.50069;4.50069;3028.4101382235
2008-01-25;4.5136;4.71081;4.5136;4.71081;55811.663594003
