Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2008-05-29;0.0836072;0.150438;0.0668315;0.133744;10856915.789847
2008-05-30;0.128135;0.133744;0.100257;0.100257;1440171.4710762
2008-06-02;0.111421;0.111421;0.0891538;0.0947096;486476.34350432
2008-06-03;0.0836072;0.100257;0.0836072;0.100257;289663.53347617
2008-06-04;0.100257;0.100257;0.0891538;0.0947096;50749.333104002
2008-06-05;0.0891538;0.100257;0.0836072;0.0891538;258484.52246724
2008-06-06;0.0836072;0.0947096;0.0779881;0.0891538;551576.2883321
2008-06-09;0.0836072;0.0891538;0.0836072;0.0836072;227935.4574485
2008-06-10;0.0891538;0.0891538;0.0779881;0.0779881;84728.840848245
2008-06-11;0.0836072;0.0836072;0.0724505;0.0779881;199271.80972669
2008-06-12;0.0779881;0.0779881;0.0724505;0.0779881;46726.52011405
2008-06-13;0.0779881;0.0836072;0.0779881;0.0836072;666.41654751117
2008-06-16;0.0836072;0.0836072;0.0724505;0.0724505;43426.487260205
2008-06-17;0.0724505;0.0779881;0.0724505;0.0724505;233115.38175726
2008-06-18;0.0724505;0.0724505;0.0668315;0.0668315;94367.01449807
2008-06-19;0.0668315;0.0724505;0.0612939;0.0724505;54202.984365979
2008-06-20;0.0724505;0.0724505;0.0668315;0.0724505;21807.182944429
2008-06-23;0.0724505;0.0724505;0.0724505;0.0724505;88.413472306623
2008-06-24;0.0668315;0.0724505;0.0668315;0.0724505;7853.3266776358
2008-06-25;0.0724505;0.0724505;0.0668315;0.0724505;124381.17800936
2008-06-26;0.0724505;0.0724505;0.0612939;0.0668315;168030.90928714
2008-06-27;0.0612939;0.0668315;0.0612939;0.0668315;46173.935912133
2008-06-30;0.0724505;0.0724505;0.0724505;0.0724505;269.6610905352
2008-07-01;0.0612939;0.0724505;0.0612939;0.0724505;22346.505125499
2008-07-02;0.0724505;0.0724505;0.0668315;0.0724505;28789.636919845
2008-07-03;0.0724505;0.0947096;0.0724505;0.0891538;678673.97027808
2008-07-04;0.0891538;0.0891538;0.0724505;0.0836072;51688.72624726
2008-07-07;0.0779881;0.0779881;0.0724505;0.0779881;68415.450039268
2008-07-08;0.0779881;0.0836072;0.0779881;0.0779881;289933.1945667
2008-07-09;0.0779881;0.0891538;0.0779881;0.0891538;31141.435283201
2008-07-10;0.0836072;0.0891538;0.0779881;0.0836072;117063.85800758
2008-07-11;0.0779881;0.0836072;0.0779881;0.0836072;11587.690714187
2008-07-14;0.0779881;0.0836072;0.0779881;0.0779881;14681.057076514
2008-07-15;0.0724505;0.0779881;0.0724505;0.0779881;94263.12866811
2008-07-16;0.0724505;0.0779881;0.0724505;0.0779881;61142.336773645
2008-07-17;0.0779881;0.0779881;0.0724505;0.0724505;64933.064398791
2008-07-18;0.0724505;0.0779881;0.0724505;0.0724505;36089.27422716
