Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2016-05-06;6.13694;6.40752;6.1203;6.40241;2707543.1327872
2016-05-09;6.40241;6.41263;6.28497;6.37555;582683.73842053
2016-05-10;6.3596;6.37555;6.27986;6.34373;59438.642556286
2016-05-11;6.31115;6.40241;6.21606;6.40241;325512.92937111
2016-05-12;6.40241;6.52939;6.37555;6.45537;599581.21300209
2016-05-13;6.48726;6.58814;6.43361;6.58814;267569.55736683
2016-05-16;6.58814;7.0131;6.5345;6.90619;249302.61939628
2016-05-17;6.98127;6.98127;6.88071;6.90619;763315.30418351
2016-05-18;6.96495;7.27895;6.96495;7.215;232313.41042503
2016-05-19;7.06696;7.38502;7.0131;7.38502;101074.26105562
2016-05-20;7.38502;7.59715;7.25224;7.59715;103912.78517099
2016-05-23;7.57044;7.57044;7.22561;7.43843;69533.356896419
2016-05-24;7.3583;7.6933;6.82759;7.5445;182458.39060916
2016-05-25;7.5445;7.97029;7.3583;7.97029;60383.506770129
2016-05-27;7.97029;7.97029;7.70398;7.91611;8980.7967509972
2016-05-30;7.81005;8.18244;7.70932;7.91154;124808.5686519
2016-05-31;7.95808;7.95808;7.66049;7.8047;80385.535197164
2016-06-01;7.8047;7.81005;7.38502;7.65133;34192.028021344
2016-06-02;7.62462;7.62462;7.3957;7.3957;10825.968475118
2016-06-03;7.3316;7.43843;7.08253;7.43843;16031.239844586
2016-06-06;7.62462;7.62462;7.25224;7.43843;4615.5502928662
2016-06-07;7.34228;7.43843;7.24118;7.43843;98408.721789383
2016-06-08;7.43843;7.43843;7.25224;7.25224;2860.802467157
2016-06-09;7.1831;7.28964;7.1831;7.27895;9214.0641990751
2016-06-10;7.22561;7.3316;7.16258;7.3316;27456.102835276
2016-06-13;7.3316;7.3316;7.17181;7.27895;20962.618536255
2016-06-14;7.17181;7.27895;7.0981;7.27895;31812.175854437
2016-06-15;7.15617;7.22064;7.15617;7.22064;106896.7738186
2016-06-16;7.11939;7.17181;7.0981;7.16754;41764.046644905
2016-06-17;7.0981;7.27895;7.0981;7.27895;40862.428643345
2016-06-20;7.17815;7.30489;7.17181;7.30489;32189.597343462
2016-06-21;7.3316;7.38502;7.17815;7.3583;39313.427948805
2016-06-22;7.3583;7.53839;7.3583;7.43843;47889.282893871
2016-06-23;7.43843;7.5445;7.3377;7.5445;15531.942666396
2016-06-24;7.17181;7.70398;7.08253;7.64523;207626.37566723
2016-06-27;7.64523;7.97029;7.43843;7.97029;130666.46467948
2016-06-28;7.76274;8.21829;7.76274;7.91154;62539.264927927
2016-06-29;7.91154;7.91154;7.83676;7.87338;60543.386706452
2016-06-30;7.95808;8.02295;7.70932;8.02295;173347.85522132
2016-07-01;7.92146;7.94282;7.89475;7.93748;1854.3451630908
2016-07-04;7.91154;7.97029;7.70932;7.97029;15205.630337345
2016-07-05;7.85278;7.8627;7.7986;7.8047;59434.711082443
2016-07-06;7.77799;7.77799;7.57044;7.70398;203911.13288464
2016-07-07;7.62844;7.74518;7.62844;7.74137;2455.8606612242
2016-07-08;7.65514;7.81005;7.65514;7.81005;1338.0115982443
2016-07-11;7.95808;7.95808;7.70932;7.88407;4719.0791040918
2016-07-12;7.81005;7.88407;7.70398;7.88407;40984.30433251
2016-07-13;7.81005;7.95427;7.44225;7.8047;67658.043872827
2016-07-14;7.83676;7.83676;7.72993;7.8215;36147.281013098
2016-07-15;7.88407;7.88407;7.60783;7.8047;20384.691881185
2016-07-18;7.7986;7.7986;7.65514;7.7986;117326.97392675
2016-07-19;7.79402;7.7986;7.4804;7.53839;559499.8371624
2016-07-20;7.59181;7.59181;7.49109;7.49109;16512.190144836
